Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,46.6,39.6,34.0,40.6,37.1,32.2,96.0,91.0,78.0,1.1,0.0,0.0,30.28,30.15,0.0
1/2/2024,45.7,40.3,33.4,43.5,38.1,32.2,96.0,92.0,80.0,1.1,0.0,0.0,30.29,30.18,0.0
1/3/2024,54.5,49.5,45.0,52.2,48.1,43.5,97.0,95.0,91.0,3.4,0.1,0.0,30.21,30.12,0.23
1/4/2024,50.9,48.0,44.1,49.5,47.1,42.6,98.0,97.0,92.0,2.2,0.0,0.0,30.19,29.9,0.23
1/5/2024,47.8,43.3,37.4,45.7,37.5,30.2,97.0,81.0,54.0,7.6,0.6,0.0,30.01,29.81,0.04
1/6/2024,46.4,40.5,34.5,34.2,31.9,29.7,87.0,72.0,54.0,10.7,0.8,0.0,30.22,29.99,0.0
1/7/2024,46.8,38.9,31.8,32.5,29.9,27.1,87.0,71.0,51.0,8.1,1.0,0.0,30.28,30.2,0.0
1/8/2024,44.2,35.9,28.0,32.5,29.2,24.8,90.0,77.0,56.0,4.3,0.1,0.0,30.24,30.14,0.0
1/9/2024,45.5,40.8,36.7,38.1,35.6,31.3,89.0,82.0,74.0,2.0,0.0,0.0,30.19,30.12,0.0
1/10/2024,47.7,42.8,39.7,42.3,39.4,37.2,95.0,88.0,79.0,2.5,0.0,0.0,30.18,30.1,0.03
1/11/2024,45.0,37.8,31.3,39.6,32.5,27.7,96.0,82.0,61.0,4.0,0.2,0.0,30.3,30.11,0.01
1/12/2024,45.3,35.0,28.2,32.5,28.3,24.8,88.0,77.0,57.0,3.8,0.2,0.0,30.37,30.27,0.0
1/13/2024,49.1,39.5,31.5,40.6,34.6,27.9,90.0,83.0,67.0,1.8,0.0,0.0,30.39,30.25,0.0
1/14/2024,46.4,42.8,38.8,45.0,40.9,36.1,97.0,93.0,86.0,2.9,0.1,0.0,30.26,30.11,0.16
1/15/2024,56.1,49.7,42.8,54.5,48.7,42.1,98.0,96.0,89.0,3.8,0.2,0.0,30.13,29.99,0.24
1/16/2024,57.0,54.5,51.6,54.3,51.7,47.1,96.0,90.0,80.0,4.5,0.4,0.0,30.05,29.88,0.02
1/17/2024,54.7,51.6,48.9,50.2,48.3,45.5,97.0,89.0,79.0,6.7,0.8,0.0,29.89,29.67,0.23
1/18/2024,57.9,52.5,49.6,50.2,48.0,46.0,94.0,85.0,70.0,7.2,0.5,0.0,29.94,29.83,0.0
1/19/2024,50.9,43.0,37.0,49.3,40.9,32.7,97.0,92.0,82.0,9.2,2.2,0.0,30.01,29.75,1.31
1/20/2024,50.2,41.1,33.8,43.5,36.2,29.3,93.0,83.0,60.0,8.5,0.6,0.0,30.48,30.01,0.0
1/21/2024,55.2,43.2,35.8,42.6,38.7,33.6,93.0,85.0,61.0,4.7,0.1,0.0,30.62,30.47,0.0
