Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,50.8,39.1,30.5,33.1,27.7,18.6,92.0,67.0,30.0,7.0,0.5,0.0,30.26,30.1,0.0
1/2/2024,54.5,37.4,29.9,49.8,34.2,26.9,93.0,88.0,73.0,11.0,1.6,0.0,30.27,30.14,0.08
1/3/2024,53.7,48.1,39.9,48.6,44.5,37.5,95.0,87.0,76.0,10.0,2.3,0.0,30.15,30.07,0.57
1/4/2024,44.8,39.0,29.6,42.4,36.9,27.6,93.0,92.0,90.0,5.0,0.1,0.0,30.13,29.86,0.08
1/5/2024,42.9,36.6,33.9,40.6,33.7,31.6,97.0,89.0,77.0,13.0,3.9,0.0,30.02,29.78,0.32
1/6/2024,37.5,34.5,32.1,32.4,31.2,29.2,93.0,88.0,81.0,12.0,3.6,0.0,30.25,30.03,0.12
1/7/2024,40.5,35.7,32.3,33.2,29.8,27.7,84.0,79.0,70.0,8.0,1.1,0.0,30.3,30.22,0.03
1/8/2024,46.5,34.3,24.0,31.6,27.0,21.5,91.0,76.0,50.0,7.0,0.2,0.0,30.25,30.14,0.0
1/9/2024,40.1,35.3,30.4,35.9,32.5,28.2,93.0,89.0,83.0,5.0,0.2,0.0,30.18,30.11,0.0
1/10/2024,40.5,37.4,34.4,38.6,35.3,32.6,93.0,92.0,87.0,13.0,0.9,0.0,30.16,30.08,0.52
1/11/2024,40.6,34.9,29.3,34.2,29.9,25.6,93.0,82.0,64.0,5.0,0.5,0.0,30.31,30.11,0.01
1/12/2024,41.7,29.3,19.7,31.7,25.0,17.5,92.0,85.0,66.0,3.0,0.0,0.0,30.46,30.29,0.0
1/13/2024,47.2,35.6,24.8,40.4,32.5,22.8,93.0,88.0,75.0,4.0,0.0,0.0,30.45,30.29,0.01
1/14/2024,51.0,45.0,36.0,48.7,42.7,34.2,94.0,91.0,84.0,12.0,2.0,0.0,30.3,30.04,0.42
1/15/2024,53.6,50.6,47.2,51.6,48.7,45.4,94.0,93.0,92.0,13.0,2.8,0.0,30.05,29.88,0.93
1/16/2024,52.6,50.5,47.9,50.7,48.4,45.4,98.0,92.0,82.0,9.0,1.1,0.0,29.94,29.74,0.11
1/17/2024,52.0,48.1,39.8,47.4,43.7,37.9,94.0,85.0,72.0,17.0,3.1,0.0,29.74,29.52,0.54
1/18/2024,52.8,48.9,43.3,45.7,42.3,39.8,92.0,78.0,73.0,14.0,5.1,0.0,29.84,29.7,0.0
1/19/2024,43.3,38.8,32.9,40.8,36.9,31.1,100.0,93.0,90.0,2.0,0.0,0.0,30.0,29.71,0.83
1/20/2024,50.3,35.5,26.1,40.4,31.7,24.1,94.0,87.0,57.0,5.0,0.2,0.0,30.52,30.0,0.02
1/21/2024,53.7,35.3,26.2,40.7,30.9,24.2,93.0,85.0,58.0,3.0,0.1,0.0,30.68,30.52,0.0
1/22/2024,57.4,46.4,29.0,49.7,41.8,27.2,94.0,85.0,59.0,11.0,1.2,0.0,30.68,30.59,0.01
1/23/2024,64.5,48.4,34.6,53.4,42.9,32.8,98.0,83.0,61.0,9.0,0.7,0.0,30.72,30.61,0.0
1/24/2024,67.9,45.4,30.3,50.2,38.2,28.5,93.0,79.0,47.0,0.0,0.0,0.0,30.76,30.66,0.0
1/25/2024,69.0,46.4,31.1,50.3,38.5,29.3,93.0,77.0,45.0,4.0,0.1,0.0,30.71,30.53,0.01
1/26/2024,68.4,47.2,31.7,48.6,38.6,29.6,93.0,75.0,44.0,7.0,0.4,0.0,30.6,30.49,0.0
1/27/2024,65.5,45.7,31.9,48.7,38.6,29.8,92.0,79.0,49.0,2.0,0.0,0.0,30.53,30.39,0.0
1/28/2024,60.2,43.5,30.6,49.1,38.6,28.6,95.0,84.0,65.0,8.0,0.6,0.0,30.46,30.36,0.0
1/29/2024,58.4,44.2,34.3,48.4,39.8,32.5,97.0,85.0,67.0,6.0,0.3,0.0,30.49,30.38,0.01
1/30/2024,61.3,42.6,28.9,46.8,36.6,27.1,93.0,81.0,51.0,0.0,0.0,0.0,30.57,30.45,0.0
1/31/2024,61.6,42.4,27.6,47.6,35.6,25.6,93.0,79.0,55.0,4.0,0.1,0.0,30.65,30.53,0.01
2/1/2024,62.6,43.0,28.0,45.1,34.5,25.7,92.0,75.0,43.0,4.0,0.2,0.0,30.68,30.56,0.0
2/2/2024,59.7,43.1,30.8,46.6,35.8,27.9,92.0,77.0,50.0,6.0,0.5,0.0,30.59,30.45,0.0
2/3/2024,58.5,41.0,27.8,46.1,35.2,25.8,93.0,81.0,61.0,6.0,0.5,0.0,30.59,30.5,0.0
2/4/2024,63.9,41.8,25.4,41.9,32.2,23.1,99.0,73.0,40.0,6.0,0.2,0.0,30.59,30.48,0.01
2/5/2024,59.8,41.0,26.5,41.7,33.0,24.3,92.0,76.0,47.0,6.0,0.3,0.0,30.55,30.39,0.0
2/6/2024,58.0,42.5,30.8,44.8,35.4,27.9,95.0,77.0,52.0,6.0,0.3,0.0,30.43,30.29,0.0
2/7/2024,50.9,42.4,28.3,44.1,37.8,25.9,92.0,84.0,75.0,10.0,1.0,0.0,30.35,30.15,0.0
2/8/2024,48.5,42.2,37.4,41.9,38.0,35.5,93.0,86.0,66.0,11.0,0.9,0.0,30.15,29.59,0.23
2/9/2024,48.2,43.9,39.9,45.5,41.6,37.5,94.0,91.0,84.0,7.0,0.8,0.0,29.59,29.15,0.57
2/10/2024,40.5,37.5,34.7,38.1,33.7,29.7,92.0,86.0,77.0,16.0,6.5,0.0,29.8,29.2,0.72
2/11/2024,45.6,38.2,33.9,41.2,33.7,29.8,91.0,84.0,72.0,14.0,2.8,0.0,29.95,29.79,0.13
2/12/2024,54.3,48.5,41.1,45.6,43.3,38.4,91.0,83.0,70.0,15.0,4.6,0.0,30.15,29.82,0.7
2/13/2024,50.9,49.1,47.4,48.3,45.9,43.5,94.0,89.0,77.0,6.0,0.4,0.0,30.31,30.11,0.02
2/14/2024,56.9,48.0,41.5,53.4,45.2,38.8,95.0,90.0,87.0,3.0,0.1,0.0,30.34,30.18,0.02
2/15/2024,61.7,48.3,40.6,53.8,44.5,37.9,92.0,87.0,70.0,11.0,0.9,0.0,30.2,29.95,0.09
2/16/2024,50.9,44.6,39.0,43.4,40.0,35.7,92.0,84.0,70.0,9.0,1.8,0.0,30.4,30.07,0.06
2/17/2024,58.5,44.2,32.3,39.7,35.1,28.3,92.0,73.0,43.0,7.0,0.7,0.0,30.61,30.4,0.03
2/18/2024,64.0,42.9,26.5,43.5,33.7,23.7,92.0,73.0,43.0,7.0,0.4,0.0,30.67,30.58,0.0
2/19/2024,63.4,47.3,34.8,48.7,39.5,32.2,92.0,77.0,35.0,8.0,0.6,0.0,30.64,30.46,0.0
2/20/2024,67.6,45.3,27.4,42.0,32.0,24.3,90.0,65.0,27.0,8.0,0.5,0.0,30.54,30.4,0.0
2/21/2024,59.9,44.9,27.4,43.4,32.5,22.8,85.0,64.0,34.0,8.0,1.3,0.0,30.47,30.24,0.0
2/22/2024,59.5,50.0,37.4,47.5,40.1,32.1,92.0,70.0,40.0,16.0,5.3,0.0,30.25,29.73,0.32
2/23/2024,41.3,36.1,33.0,36.0,31.4,29.2,92.0,83.0,74.0,14.0,6.8,1.0,29.91,29.8,0.12
2/24/2024,41.8,36.6,32.8,35.3,31.6,29.3,92.0,82.0,70.0,13.0,5.7,1.0,30.07,29.85,0.17
2/25/2024,52.3,46.0,38.1,46.0,42.1,34.9,92.0,86.0,75.0,19.0,9.1,1.0,30.05,29.67,1.19
2/26/2024,44.1,38.1,33.7,39.3,34.4,30.0,91.0,87.0,74.0,14.0,6.2,0.0,29.97,29.59,0.39
2/27/2024,40.3,34.8,31.7,32.0,28.3,25.0,89.0,77.0,65.0,14.0,3.7,0.0,30.31,29.97,0.01
2/28/2024,46.9,40.3,34.8,39.6,33.0,26.1,82.0,75.0,70.0,13.0,3.7,0.0,30.33,30.24,0.0
2/29/2024,46.8,40.0,33.2,40.5,34.0,26.2,90.0,79.0,70.0,16.0,4.1,0.0,30.27,29.99,0.0
3/1/2024,45.7,37.7,31.0,38.0,32.0,25.7,86.0,80.0,73.0,16.0,4.7,0.0,30.21,29.97,0.0
3/2/2024,45.0,38.6,30.7,39.0,34.3,28.1,92.0,85.0,74.0,14.0,4.5,0.0,29.97,29.44,0.08
3/3/2024,40.1,34.0,29.0,35.0,30.3,26.7,91.0,86.0,75.0,14.0,4.5,0.0,30.08,29.71,0.43
3/4/2024,50.2,42.7,37.4,43.6,38.4,32.6,92.0,85.0,73.0,12.0,4.0,0.0,30.15,30.02,0.12
3/5/2024,51.1,40.6,29.2,38.9,33.7,26.4,89.0,77.0,60.0,8.0,2.0,0.0,30.29,30.15,0.0
3/6/2024,53.2,37.6,23.4,42.5,31.5,20.9,91.0,79.0,57.0,7.0,0.7,0.0,30.29,30.08,0.0
