Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,59.9,51.4,43.9,52.9,48.5,43.5,99.0,90.0,74.0,8.5,1.2,0.0,30.16,30.03,0.01
1/2/2024,62.6,53.0,45.9,55.6,50.5,45.5,99.0,92.0,74.0,6.9,0.9,0.0,30.19,30.09,0.0
1/3/2024,57.0,53.9,50.2,56.5,53.5,49.8,99.0,99.0,97.0,8.5,1.7,0.0,30.15,30.06,0.42
1/4/2024,57.4,54.8,48.9,57.0,54.4,48.6,99.0,99.0,97.0,8.3,1.3,0.0,30.08,29.84,0.15
1/5/2024,52.9,47.3,41.9,49.1,43.4,39.2,99.0,87.0,64.0,22.6,4.7,0.0,30.04,29.83,0.02
1/6/2024,54.0,45.2,37.2,41.4,38.3,34.9,98.0,78.0,50.0,10.7,3.2,0.0,30.13,30.03,0.0
1/7/2024,58.5,45.3,37.4,40.6,36.4,31.8,93.0,73.0,41.0,5.4,1.2,0.0,30.16,30.08,0.0
1/8/2024,52.0,44.7,37.0,44.2,39.2,34.0,99.0,82.0,69.0,6.7,1.5,0.0,30.11,30.0,0.03
1/9/2024,49.3,45.2,41.4,48.9,44.8,40.6,99.0,99.0,92.0,9.6,3.2,0.0,30.04,29.94,0.1
1/10/2024,57.7,49.6,42.4,53.4,48.2,42.1,99.0,95.0,82.0,10.3,1.5,0.0,30.13,30.01,0.0
1/11/2024,57.0,48.3,41.7,49.5,46.2,41.4,99.0,93.0,69.0,8.1,1.1,0.0,30.08,30.02,0.01
1/12/2024,59.0,49.6,43.0,50.7,45.9,41.2,99.0,88.0,67.0,11.6,4.1,0.2,30.11,30.02,0.0
1/13/2024,58.3,50.8,45.9,49.6,45.3,41.5,95.0,82.0,68.0,23.0,5.6,0.0,30.16,30.06,0.0
1/14/2024,65.7,56.4,48.6,56.5,49.6,43.5,99.0,79.0,58.0,8.3,1.6,0.0,30.12,30.02,0.0
1/15/2024,61.0,57.6,54.9,60.6,57.3,54.5,99.0,99.0,99.0,10.7,1.5,0.0,30.05,29.95,0.13
1/16/2024,61.0,55.5,53.1,57.2,54.2,52.0,99.0,96.0,75.0,16.3,2.6,0.0,30.0,29.76,0.58
1/17/2024,62.6,56.8,51.4,57.9,55.7,51.1,99.0,96.0,75.0,20.6,4.7,0.0,29.86,29.62,1.18
1/18/2024,58.3,56.4,54.9,57.9,56.1,54.5,99.0,99.0,99.0,13.2,2.9,0.0,29.87,29.74,1.81
1/19/2024,58.1,54.1,47.1,56.3,52.4,43.0,99.0,94.0,79.0,28.2,5.4,0.0,29.93,29.56,0.64
1/20/2024,57.2,46.9,37.4,44.8,39.4,34.3,93.0,76.0,52.0,14.3,1.9,0.0,30.31,29.92,0.0
1/21/2024,59.4,50.3,43.5,50.0,45.4,40.5,96.0,84.0,64.0,9.4,2.7,0.0,30.47,30.29,0.0
1/22/2024,64.8,54.2,46.8,50.5,46.5,43.0,89.0,76.0,52.0,7.2,2.1,0.0,30.54,30.45,0.0
1/23/2024,71.6,61.0,49.8,56.3,50.3,45.0,84.0,69.0,52.0,12.1,4.0,0.0,30.52,30.44,0.0
1/24/2024,70.0,62.1,55.4,54.0,49.8,46.2,76.0,64.0,50.0,12.5,4.6,0.0,30.52,30.43,0.0
1/25/2024,73.8,64.5,57.4,54.0,47.9,44.4,69.0,55.0,43.0,11.6,4.8,0.0,30.45,30.3,0.0
1/26/2024,73.2,65.0,59.0,54.3,48.4,44.2,73.0,55.0,41.0,10.1,3.3,0.0,30.35,30.26,0.0
1/27/2024,72.9,61.1,52.3,52.3,47.6,43.9,88.0,62.0,42.0,9.2,2.9,0.0,30.29,30.2,0.0
1/28/2024,68.0,56.4,48.0,53.8,50.6,47.7,99.0,82.0,52.0,7.2,1.1,0.0,30.25,30.18,0.0
1/29/2024,63.7,54.5,46.8,53.1,48.7,44.6,93.0,81.0,65.0,12.1,1.5,0.0,30.3,30.19,0.0
1/30/2024,62.2,54.2,47.7,53.6,49.3,46.2,96.0,84.0,67.0,13.9,4.1,0.2,30.34,30.27,0.0
1/31/2024,62.2,54.1,48.0,51.8,48.0,45.1,91.0,80.0,64.0,16.8,4.3,0.0,30.41,30.3,0.0
2/1/2024,64.2,54.1,46.4,52.2,47.4,43.0,93.0,79.0,60.0,17.0,3.4,0.0,30.43,30.35,0.0
2/2/2024,67.1,56.2,47.5,50.4,44.5,39.9,84.0,66.0,47.0,8.7,2.5,0.0,30.37,30.26,0.0
2/3/2024,63.0,53.5,46.8,50.5,45.5,41.0,85.0,75.0,59.0,13.0,3.9,0.0,30.36,30.27,0.0
2/4/2024,65.3,53.8,45.9,48.9,45.3,42.8,90.0,74.0,48.0,13.2,3.1,0.0,30.36,30.29,0.0
2/5/2024,65.5,54.7,46.9,50.0,45.6,41.9,89.0,73.0,48.0,5.6,1.1,0.0,30.34,30.25,0.0
2/6/2024,65.1,55.4,48.2,52.0,46.0,41.9,96.0,72.0,44.0,8.7,1.6,0.0,30.3,30.23,0.0
2/7/2024,63.7,53.0,46.2,55.4,50.8,45.9,99.0,93.0,71.0,8.9,1.1,0.0,30.28,30.11,0.0
2/8/2024,54.9,52.2,50.0,54.5,51.5,49.6,99.0,98.0,91.0,12.3,2.9,0.0,30.12,29.57,1.02
2/9/2024,58.5,52.9,49.8,57.0,52.3,49.3,99.0,98.0,84.0,17.0,4.2,0.0,29.58,29.27,1.75
2/10/2024,57.9,50.1,42.3,51.8,47.5,41.5,99.0,91.0,71.0,21.0,4.9,0.0,29.88,29.44,0.01
2/11/2024,55.0,46.9,41.0,54.7,46.4,40.6,99.0,98.0,92.0,13.0,1.1,0.0,29.89,29.78,0.42
2/12/2024,67.6,60.1,55.0,59.5,56.9,53.6,99.0,90.0,63.0,12.1,4.1,0.0,30.12,29.84,0.17
2/13/2024,67.8,59.6,54.7,61.9,57.6,54.3,99.0,94.0,78.0,10.1,1.5,0.0,30.18,30.09,0.17
2/14/2024,70.5,63.0,57.7,58.1,55.5,53.1,95.0,77.0,58.0,11.0,4.4,0.0,30.12,29.96,0.0
2/15/2024,63.7,57.9,51.3,59.2,52.0,47.1,99.0,82.0,62.0,11.6,3.6,0.0,30.14,29.86,0.31
2/16/2024,63.1,54.5,47.7,52.0,49.0,46.4,99.0,83.0,56.0,11.2,3.0,0.0,30.29,30.11,0.01
2/17/2024,67.8,57.2,48.2,51.8,47.7,45.0,91.0,72.0,49.0,8.9,2.4,0.0,30.38,30.24,0.0
2/18/2024,68.2,57.2,48.7,51.1,46.6,43.3,86.0,69.0,47.0,10.5,2.5,0.0,30.46,29.85,0.0
2/19/2024,72.1,61.9,54.9,53.4,48.1,43.9,75.0,61.0,41.0,9.2,3.1,0.0,29.89,29.74,0.0
2/20/2024,73.8,63.0,55.9,55.9,50.4,46.2,83.0,64.0,48.0,11.2,3.1,0.0,29.79,29.69,0.0
2/21/2024,72.9,62.5,51.1,54.7,48.1,42.8,77.0,60.0,41.0,6.9,2.1,0.0,29.75,29.64,0.0
2/22/2024,61.3,55.2,47.7,55.4,50.7,43.5,99.0,85.0,62.0,15.2,3.2,0.0,29.65,29.41,0.05
2/23/2024,57.4,48.6,42.4,49.1,43.3,39.7,96.0,83.0,60.0,18.3,5.6,0.0,29.51,29.4,0.01
2/24/2024,57.9,48.1,41.0,46.4,42.9,40.3,99.0,83.0,61.0,14.8,4.1,0.0,29.59,29.42,0.0
2/25/2024,60.4,51.2,44.2,56.1,49.6,43.0,99.0,95.0,78.0,15.4,4.0,0.0,29.6,29.37,0.06
2/26/2024,55.6,50.8,45.3,52.7,44.9,39.0,99.0,81.0,57.0,21.9,8.2,0.7,29.41,29.22,0.17
2/27/2024,57.6,48.5,41.4,39.9,35.4,32.0,82.0,62.0,43.0,16.3,5.2,0.0,29.58,29.38,0.0
2/28/2024,66.2,52.7,41.0,46.0,36.5,30.2,74.0,55.0,34.0,12.5,2.4,0.0,29.62,29.53,0.0
2/29/2024,61.7,52.2,43.7,49.8,42.3,36.7,81.0,69.0,58.0,18.8,4.9,0.0,29.59,29.5,0.0
3/1/2024,61.0,49.5,42.6,44.2,37.2,31.3,87.0,63.0,48.0,15.9,4.4,0.0,29.6,29.46,0.0
