Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,50.9,43.1,37.4,41.3,38.4,35.7,95.0,84.0,61.0,7.6,1.2,0.0,29.91,29.76,0.0
1/2/2024,46.9,41.3,37.9,42.9,38.3,35.9,93.0,89.0,80.0,4.0,0.2,0.0,29.91,29.82,0.0
1/3/2024,54.3,51.7,49.4,52.5,49.9,46.0,96.0,94.0,81.0,11.1,2.4,0.0,29.85,29.73,0.06
1/4/2024,52.1,49.5,47.1,49.8,48.0,46.0,96.0,95.0,88.0,8.5,1.0,0.0,29.82,29.53,0.25
1/5/2024,48.3,44.1,39.7,47.3,36.8,30.3,96.0,76.0,52.0,22.5,6.6,0.0,29.65,29.47,0.11
1/6/2024,46.4,42.4,39.2,34.8,32.2,30.3,75.0,68.0,56.0,22.8,7.3,0.0,29.85,29.65,0.0
1/7/2024,51.4,41.4,35.7,32.5,30.7,28.2,82.0,67.0,43.0,9.6,2.6,0.0,29.91,29.82,0.0
1/8/2024,46.9,40.2,33.4,33.2,30.0,27.5,82.0,68.0,50.0,7.3,1.2,0.0,29.88,29.76,0.0
1/9/2024,45.3,42.0,39.7,38.3,36.4,33.2,88.0,81.0,72.0,6.7,1.1,0.0,29.82,29.73,0.0
1/10/2024,46.0,42.8,40.4,42.0,39.4,37.0,93.0,88.0,83.0,9.3,2.2,0.0,29.82,29.73,0.01
1/11/2024,46.9,40.8,36.8,40.6,33.5,26.9,94.0,77.0,57.0,9.6,2.4,0.0,29.91,29.76,0.0
1/12/2024,44.7,37.4,31.4,33.6,28.6,25.8,81.0,71.0,55.0,8.7,2.7,0.0,30.0,29.91,0.0
1/13/2024,48.2,41.9,35.4,39.9,34.7,29.1,83.0,76.0,63.0,6.4,1.4,0.0,30.0,29.88,0.0
1/14/2024,49.8,45.7,42.0,47.8,41.5,37.7,93.0,85.0,79.0,10.0,1.5,0.0,29.88,29.76,0.04
1/15/2024,56.3,52.6,49.8,54.5,51.2,47.8,96.0,95.0,89.0,10.9,2.6,0.0,29.76,29.65,0.2
1/16/2024,59.3,55.3,52.1,54.3,51.3,46.0,96.0,87.0,68.0,10.2,2.4,0.0,29.68,29.53,0.0
1/17/2024,53.9,52.1,49.6,50.7,48.4,45.6,95.0,87.0,80.0,13.6,4.1,0.0,29.53,29.32,0.33
1/18/2024,56.6,52.1,50.0,50.0,48.5,47.1,93.0,88.0,75.0,12.5,3.6,0.0,29.56,29.47,0.0
1/19/2024,51.0,44.3,39.2,49.8,42.0,33.9,96.0,92.0,82.0,13.8,4.6,0.0,29.62,29.38,1.16
1/20/2024,54.3,42.8,36.5,42.2,35.9,28.4,92.0,78.0,49.0,11.6,2.7,0.0,30.09,29.65,0.0
1/21/2024,54.8,45.2,38.3,42.0,39.6,35.4,92.0,82.0,58.0,6.9,1.1,0.0,30.24,30.09,0.0
1/22/2024,53.7,43.9,37.5,46.0,40.3,35.9,94.0,88.0,71.0,6.4,0.6,0.0,30.3,30.21,0.0
1/23/2024,63.5,49.1,39.9,51.2,44.4,38.1,94.0,85.0,61.0,5.3,1.0,0.0,30.35,30.27,0.0
1/24/2024,66.5,54.7,46.2,51.4,47.3,42.2,93.0,78.0,53.0,5.8,1.0,0.0,30.35,30.27,0.0
1/25/2024,65.8,55.2,46.4,50.0,46.2,41.7,86.0,73.0,51.0,5.5,1.2,0.0,30.3,30.18,0.0
1/26/2024,69.0,56.5,48.2,47.1,43.7,40.1,82.0,64.0,36.0,6.9,1.1,0.0,30.21,30.12,0.0
1/27/2024,65.3,56.3,48.2,46.2,41.6,38.3,72.0,59.0,39.0,7.6,1.7,0.0,30.12,30.03,0.0
1/28/2024,63.1,53.7,44.2,46.0,42.6,39.0,83.0,67.0,46.0,7.1,1.8,0.0,30.06,30.0,0.0
1/29/2024,58.8,52.0,46.2,44.2,42.1,38.8,84.0,70.0,50.0,12.7,1.6,0.0,30.09,30.03,0.0
1/30/2024,57.9,49.6,42.4,46.7,43.4,39.9,92.0,80.0,63.0,5.5,0.7,0.0,30.18,30.09,0.0
1/31/2024,53.9,46.0,40.2,45.5,41.3,37.9,92.0,84.0,69.0,5.5,1.2,0.0,30.24,30.18,0.0
2/1/2024,44.0,43.7,43.3,41.1,40.6,39.9,92.0,89.0,86.0,7.6,4.2,1.3,30.21,30.21,0.0
2/3/2024,59.9,51.3,41.5,41.9,37.8,34.3,85.0,62.0,42.0,8.9,2.5,0.0,30.18,30.12,0.0
2/4/2024,66.7,52.2,41.9,38.1,34.9,31.1,72.0,54.0,28.0,6.9,1.3,0.0,30.15,30.09,0.0
2/5/2024,62.0,51.5,42.6,42.6,37.1,33.0,76.0,59.0,35.0,5.5,0.6,0.0,30.12,30.0,0.0
2/6/2024,59.3,50.2,43.3,47.4,42.5,38.6,85.0,76.0,56.0,7.1,1.2,0.0,30.03,29.94,0.0
2/7/2024,53.4,48.3,43.5,48.3,44.7,41.3,94.0,88.0,74.0,9.3,2.4,0.0,29.97,29.82,0.0
2/8/2024,54.8,49.6,46.9,47.6,44.1,35.7,94.0,83.0,49.0,9.8,1.9,0.0,29.82,29.35,0.01
2/9/2024,53.4,49.2,46.2,50.1,46.8,42.8,95.0,91.0,85.0,12.3,2.5,0.0,29.35,28.94,0.31
2/10/2024,51.6,45.7,41.9,43.8,36.6,30.9,94.0,71.0,51.0,17.8,6.2,0.0,29.47,28.97,0.01
2/11/2024,47.4,42.0,37.2,41.0,35.8,29.4,92.0,79.0,61.0,14.0,3.0,0.0,29.62,29.47,0.0
2/12/2024,60.2,49.1,42.0,51.2,45.5,39.9,96.0,88.0,67.0,10.0,2.8,0.0,29.85,29.53,0.0
2/13/2024,62.0,55.0,49.6,54.6,50.8,47.6,94.0,86.0,71.0,5.8,1.1,0.0,29.97,29.79,0.0
2/14/2024,63.1,55.7,50.7,55.2,51.7,49.2,95.0,87.0,73.0,9.3,2.1,0.0,30.0,29.85,0.0
2/15/2024,57.9,53.6,50.5,52.7,49.7,46.7,92.0,87.0,71.0,9.6,2.5,0.0,29.85,29.68,0.09
2/16/2024,60.2,52.0,46.5,47.3,41.8,37.0,90.0,70.0,45.0,15.4,4.6,0.0,30.03,29.76,0.0
2/17/2024,64.9,52.7,41.1,43.7,37.8,33.0,86.0,59.0,33.0,8.0,1.4,0.0,30.21,30.03,0.0
2/18/2024,67.4,53.7,42.0,41.1,35.9,32.5,72.0,53.0,29.0,7.8,1.5,0.0,30.27,30.18,0.0
2/19/2024,67.2,55.9,46.4,47.4,42.6,36.5,78.0,62.0,45.0,6.7,1.4,0.0,30.21,30.09,0.0
2/20/2024,67.6,55.0,44.7,45.1,36.5,32.0,68.0,51.0,33.0,7.8,1.5,0.0,30.15,30.03,0.0
2/21/2024,59.0,48.9,43.3,41.1,39.3,36.8,83.0,70.0,47.0,5.3,0.8,0.0,30.06,30.0,0.0
2/22/2024,51.9,49.6,47.6,46.9,44.0,41.7,86.0,81.0,73.0,12.7,3.3,0.0,29.79,29.71,0.0
2/23/2024,46.2,43.4,39.5,39.9,36.5,30.3,84.0,77.0,66.0,13.1,3.9,0.0,29.59,29.53,0.0
2/24/2024,51.0,43.4,37.4,37.4,32.7,26.6,90.0,68.0,41.0,16.3,5.4,0.0,29.73,29.53,0.0
2/25/2024,55.5,48.9,42.0,49.8,45.0,36.6,94.0,87.0,74.0,16.1,4.9,0.0,29.73,29.44,0.0
2/26/2024,50.5,46.9,42.0,48.5,36.5,29.6,94.0,68.0,46.0,25.0,8.1,0.0,29.62,29.38,0.0
2/27/2024,51.2,44.4,38.1,31.2,27.1,20.1,72.0,52.0,38.0,24.1,5.2,0.0,29.85,29.59,0.0
2/28/2024,57.0,47.0,37.7,36.5,29.9,20.3,67.0,52.0,38.0,19.2,4.5,0.0,29.88,29.82,0.0
2/29/2024,45.6,43.2,42.0,35.4,34.6,33.6,75.0,72.0,65.0,2.6,0.3,0.0,29.88,29.79,0.0
3/1/2024,56.1,46.1,37.2,39.9,32.7,26.0,82.0,60.0,43.0,14.5,5.3,0.0,29.82,29.65,0.0
3/2/2024,46.2,42.9,35.7,43.7,39.0,32.0,92.0,86.0,77.0,19.0,4.7,0.0,29.65,29.23,0.36
3/3/2024,48.9,41.8,36.5,33.8,30.5,27.5,79.0,65.0,47.0,18.7,6.8,0.0,29.68,29.41,0.0
