Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,50.7,39.9,31.8,39.6,33.0,28.6,91.0,77.0,46.0,2.9,0.9,0.0,29.82,29.69,0.0
1/2/2024,44.1,37.5,32.0,43.5,35.4,30.0,98.0,92.0,84.0,2.5,0.8,0.0,29.82,29.73,0.01
1/3/2024,53.6,47.9,41.9,51.1,46.5,39.9,99.0,95.0,82.0,5.4,0.3,0.0,29.76,29.69,0.25
1/4/2024,47.7,42.7,38.7,46.9,41.6,37.8,99.0,96.0,88.0,5.1,0.5,0.0,29.75,29.46,0.08
1/5/2024,43.2,37.9,34.2,39.2,34.9,31.8,98.0,89.0,66.0,15.0,1.7,0.0,29.55,29.38,0.2
1/6/2024,46.2,38.3,32.0,37.9,31.9,28.8,91.0,78.0,61.0,10.7,1.6,0.0,29.77,29.54,0.01
1/7/2024,47.1,37.5,29.7,31.5,28.0,25.5,85.0,70.0,46.0,6.3,1.4,0.0,29.81,29.74,0.0
1/8/2024,46.2,33.8,25.2,32.2,27.8,22.3,95.0,80.0,50.0,2.7,1.2,0.0,29.79,29.68,0.0
1/9/2024,41.9,37.1,33.6,36.7,33.9,31.3,95.0,88.0,79.0,2.7,1.3,0.0,29.73,29.66,0.0
1/10/2024,43.3,38.7,36.1,41.9,37.5,34.5,98.0,95.0,87.0,5.8,1.1,0.0,29.72,29.64,0.19
1/11/2024,47.7,36.6,29.7,36.9,31.9,27.1,97.0,84.0,57.0,4.3,1.2,0.0,29.83,29.66,0.01
1/12/2024,45.3,33.3,25.5,34.0,27.4,22.6,95.0,80.0,54.0,2.5,1.2,0.0,29.91,29.81,0.0
1/13/2024,44.6,38.1,30.4,40.3,35.3,27.9,95.0,90.0,82.0,2.5,1.1,0.0,29.92,29.8,0.0
1/14/2024,45.9,42.3,38.5,44.6,40.8,36.7,99.0,95.0,85.0,4.9,0.5,0.0,29.81,29.67,0.1
1/15/2024,53.4,48.1,42.3,52.7,47.7,41.7,99.0,99.0,95.0,2.2,0.3,0.0,29.69,29.57,0.24
1/16/2024,52.3,49.8,45.9,51.6,49.1,45.1,99.0,97.0,90.0,2.9,0.3,0.0,29.62,29.45,0.28
1/17/2024,53.2,47.3,44.1,48.4,46.2,42.3,99.0,96.0,80.0,6.5,1.0,0.0,29.46,29.24,0.85
