Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,47.8,40.1,35.2,41.9,38.2,34.9,99.0,94.0,65.0,6.9,0.9,0.0,30.13,30.0,0.0
1/2/2024,47.1,41.1,35.1,46.8,40.0,34.5,99.0,96.0,88.0,6.7,1.0,0.0,30.14,30.04,0.01
1/3/2024,54.1,49.9,46.6,53.8,49.5,46.0,99.0,99.0,97.0,11.4,2.2,0.0,30.09,29.99,0.23
1/4/2024,50.7,47.9,45.1,49.8,47.5,44.8,99.0,99.0,95.0,12.1,1.2,0.0,30.06,29.76,0.31
1/5/2024,46.2,42.7,38.7,45.9,37.9,31.1,99.0,84.0,61.0,17.7,4.5,0.0,29.87,29.68,0.06
1/6/2024,45.9,39.6,35.6,34.3,32.0,30.0,88.0,75.0,55.0,15.7,3.3,0.0,30.09,29.86,0.0
1/7/2024,46.0,38.9,32.0,32.9,30.2,28.0,87.0,71.0,54.0,15.7,3.2,0.0,30.15,30.08,0.0
1/8/2024,44.4,37.1,29.7,31.8,29.1,25.7,91.0,73.0,53.0,7.4,1.1,0.0,30.12,30.0,0.0
1/9/2024,43.2,39.3,36.0,38.3,35.8,30.4,95.0,88.0,74.0,4.9,0.9,0.0,30.06,29.98,0.0
1/10/2024,42.6,40.6,38.7,41.7,39.5,37.0,99.0,96.0,91.0,9.4,1.9,0.0,30.05,29.96,0.06
1/11/2024,44.8,36.8,31.5,40.6,32.3,26.6,99.0,85.0,57.0,10.7,2.3,0.0,30.15,29.97,0.0
1/12/2024,45.7,34.9,25.2,35.4,29.9,23.4,94.0,82.0,65.0,8.3,1.8,0.0,30.23,30.12,0.0
1/13/2024,50.2,41.4,32.5,43.0,37.5,31.1,97.0,87.0,71.0,6.5,0.5,0.0,30.25,30.1,0.0
1/14/2024,49.1,45.4,42.1,47.5,42.7,39.0,98.0,90.0,81.0,8.1,1.2,0.0,30.12,29.99,0.07
1/15/2024,54.1,51.0,48.0,53.8,50.7,47.5,99.0,99.0,98.0,13.0,3.3,0.0,30.0,29.87,0.3
1/16/2024,58.1,53.6,49.8,54.5,51.3,44.1,99.0,93.0,70.0,13.9,3.4,0.0,29.92,29.76,0.01
1/17/2024,52.2,50.2,48.2,50.4,48.3,43.9,99.0,93.0,84.0,19.9,5.0,0.0,29.77,29.56,0.47
1/18/2024,55.8,50.6,48.4,50.9,48.7,46.2,99.0,93.0,82.0,19.5,4.9,0.0,29.82,29.71,0.01
1/19/2024,49.8,43.1,35.2,49.5,42.7,34.9,99.0,99.0,97.0,16.3,3.0,0.0,29.86,29.6,1.33
1/20/2024,47.3,40.0,34.3,43.9,37.8,31.8,99.0,92.0,75.0,19.0,2.6,0.0,30.32,29.85,0.04
1/21/2024,53.1,43.7,35.8,44.2,40.7,35.4,99.0,90.0,68.0,8.3,1.0,0.0,30.47,30.31,0.0
1/22/2024,51.8,42.2,35.4,45.1,40.5,35.1,99.0,94.0,77.0,8.5,0.9,0.0,30.54,30.44,0.0
1/23/2024,59.9,47.9,38.3,51.3,45.3,37.9,99.0,92.0,71.0,6.9,1.0,0.0,30.58,30.51,0.01
1/24/2024,68.2,55.4,46.9,54.3,49.3,45.1,97.0,81.0,57.0,5.4,1.0,0.0,30.59,30.5,0.01
1/25/2024,68.2,55.1,45.5,53.2,47.2,40.3,92.0,76.0,54.0,4.3,0.9,0.0,30.52,30.39,0.0
1/26/2024,68.7,55.9,46.6,50.4,43.4,38.7,82.0,64.0,40.0,5.4,0.7,0.0,30.44,30.34,0.0
1/27/2024,69.8,55.8,47.1,47.7,43.0,39.7,80.0,64.0,38.0,5.8,0.9,0.0,30.37,30.26,0.0
1/28/2024,64.9,53.0,43.2,48.0,42.6,38.5,85.0,69.0,47.0,4.9,1.0,0.0,30.31,30.25,0.0
1/29/2024,59.7,50.3,43.3,46.0,41.6,37.9,92.0,73.0,48.0,6.0,1.1,0.0,30.35,30.26,0.0
1/30/2024,56.8,45.6,37.6,47.8,42.7,37.2,99.0,90.0,70.0,6.0,0.9,0.0,30.41,30.33,0.0
1/31/2024,47.7,42.5,37.0,43.7,40.9,36.7,99.0,94.0,78.0,5.4,0.9,0.0,30.48,30.4,0.0
2/1/2024,64.6,52.3,43.9,43.5,38.5,35.4,80.0,61.0,36.0,14.3,3.0,0.0,30.5,30.39,0.0
2/2/2024,60.1,51.3,43.5,43.2,38.3,31.5,79.0,62.0,46.0,13.2,2.4,0.0,30.41,30.33,0.0
2/3/2024,64.0,49.6,38.7,41.5,36.4,31.8,90.0,64.0,32.0,8.1,1.2,0.0,30.42,30.35,0.0
2/4/2024,62.6,50.7,40.1,43.5,36.0,32.5,79.0,58.0,38.0,7.2,0.9,0.0,30.4,30.32,0.0
2/5/2024,60.1,50.2,41.0,42.4,35.8,31.1,72.0,58.0,35.0,5.8,0.9,0.0,30.36,30.25,0.0
2/6/2024,56.5,47.8,39.7,45.7,41.4,36.1,94.0,79.0,60.0,6.0,0.9,0.0,30.26,30.17,0.0
2/7/2024,50.5,45.9,39.9,48.0,44.6,39.4,99.0,95.0,78.0,8.7,1.9,0.0,30.21,30.06,0.0
2/8/2024,52.0,48.1,45.0,48.2,44.7,37.2,99.0,89.0,57.0,14.3,2.3,0.0,30.07,29.6,0.14
2/9/2024,51.8,47.6,43.7,50.4,46.9,43.3,99.0,98.0,91.0,16.3,3.0,0.0,29.61,29.18,0.69
2/10/2024,47.8,43.4,37.8,43.7,36.8,30.9,99.0,78.0,62.0,25.3,7.8,0.0,29.69,29.22,0.02
2/11/2024,45.9,39.5,35.2,40.5,35.4,30.0,99.0,85.0,73.0,11.2,2.4,0.0,29.86,29.68,0.0
2/12/2024,58.6,47.8,40.5,50.5,45.4,40.1,99.0,92.0,70.0,15.9,3.2,0.0,30.08,29.75,0.02
2/13/2024,59.5,52.7,48.6,53.4,50.6,48.2,99.0,93.0,76.0,10.5,1.4,0.0,30.22,30.05,0.0
2/14/2024,67.5,55.8,46.6,56.5,51.9,46.2,99.0,88.0,63.0,7.8,0.8,0.0,30.23,30.08,0.0
2/15/2024,61.2,52.9,49.1,52.3,49.2,46.4,99.0,88.0,67.0,21.7,2.0,0.0,30.1,29.92,0.1
2/16/2024,58.5,50.4,44.6,48.9,42.9,39.0,99.0,77.0,52.0,15.7,2.9,0.0,30.27,29.99,0.01
2/17/2024,62.4,51.2,42.8,40.5,33.8,25.3,86.0,55.0,25.0,13.6,3.2,0.0,30.42,30.26,0.0
2/18/2024,62.1,50.7,39.7,39.9,35.0,32.4,77.0,56.0,35.0,7.4,1.2,0.0,30.5,30.41,0.0
2/19/2024,65.5,54.2,45.1,48.4,40.8,28.6,86.0,62.0,34.0,13.6,2.8,0.0,30.45,30.32,0.0
2/20/2024,66.2,53.7,40.1,41.5,30.3,20.8,68.0,42.0,24.0,11.9,2.3,0.0,30.39,30.26,0.0
2/21/2024,58.5,50.2,40.1,45.9,40.0,33.1,82.0,68.0,48.0,8.3,1.0,0.0,30.3,30.11,0.0
2/22/2024,51.6,49.3,44.8,50.2,45.0,36.7,99.0,85.0,70.0,20.8,5.1,0.0,30.14,29.75,0.13
2/23/2024,46.2,40.9,36.7,41.0,34.4,30.4,92.0,78.0,63.0,17.9,6.5,0.0,29.86,29.77,0.1
2/24/2024,48.7,41.0,34.3,36.5,32.9,27.9,99.0,75.0,48.0,22.4,4.9,0.0,29.98,29.77,0.0
2/25/2024,54.1,46.8,40.1,49.1,44.6,36.0,99.0,92.0,77.0,23.5,7.6,0.0,29.97,29.66,0.02
2/26/2024,50.0,45.1,39.7,48.6,37.6,30.4,99.0,76.0,49.0,23.7,7.6,0.0,29.83,29.61,0.03
2/27/2024,48.0,41.4,37.4,33.3,29.9,26.2,72.0,64.0,54.0,26.2,9.0,0.0,30.09,29.83,0.0
2/28/2024,55.0,43.7,33.3,38.7,32.7,25.5,80.0,66.0,48.0,22.6,5.3,0.0,30.13,30.06,0.0
2/29/2024,55.9,44.6,34.7,42.3,34.3,24.6,92.0,68.0,44.0,24.2,5.5,0.0,30.1,29.9,0.0
3/1/2024,53.8,42.0,30.4,38.8,31.2,24.6,87.0,66.0,49.0,12.5,3.3,0.0,30.07,29.86,0.0
3/2/2024,45.0,40.2,32.2,42.4,38.3,31.8,99.0,93.0,82.0,21.0,4.5,0.0,29.88,29.45,0.06
3/3/2024,48.4,39.1,31.3,36.1,31.7,28.0,95.0,76.0,49.0,22.6,5.6,0.0,29.94,29.63,0.4
3/4/2024,53.8,45.4,38.8,46.6,42.0,35.1,99.0,88.0,71.0,17.0,4.4,0.0,30.06,29.93,0.0
3/5/2024,55.4,45.6,37.2,37.0,34.5,32.9,87.0,66.0,46.0,14.8,2.0,0.0,30.18,30.05,0.0
3/6/2024,58.5,45.6,34.2,39.6,35.3,30.6,90.0,69.0,43.0,9.6,1.2,0.0,30.15,29.92,0.0
3/7/2024,54.1,45.3,38.3,44.4,40.0,33.8,99.0,83.0,57.0,12.1,2.2,0.0,29.93,29.64,0.36
3/8/2024,49.8,41.4,36.5,41.2,37.7,36.1,99.0,88.0,61.0,19.0,4.1,0.0,29.7,29.47,0.21
3/9/2024,44.1,40.2,36.5,43.7,38.3,34.5,99.0,93.0,81.0,17.9,4.3,0.0,29.48,29.33,0.49
3/10/2024,52.3,43.6,37.4,44.2,39.3,35.4,99.0,86.0,53.0,21.0,6.3,0.0,29.8,29.4,0.33
3/11/2024,55.2,46.1,37.8,38.5,35.5,32.0,88.0,68.0,43.0,14.3,3.0,0.0,30.11,29.8,0.0
3/12/2024,60.8,49.3,35.4,41.4,36.7,32.4,90.0,63.0,43.0,8.5,1.7,0.0,30.16,30.06,0.0
3/13/2024,68.2,54.3,40.5,43.5,39.5,35.6,86.0,60.0,35.0,10.1,1.2,0.0,30.07,29.93,0.0
3/14/2024,60.3,52.1,44.2,49.3,44.1,39.0,91.0,75.0,61.0,13.2,2.0,0.0,30.09,29.96,0.0
3/15/2024,62.4,51.4,38.1,51.4,46.6,37.8,99.0,85.0,59.0,8.5,1.2,0.0,30.18,30.06,0.0
3/16/2024,65.3,54.4,44.4,53.8,49.0,44.1,99.0,84.0,54.0,10.5,1.3,0.0,30.25,30.17,0.0
3/17/2024,68.5,59.2,47.1,54.5,49.7,45.1,94.0,72.0,52.0,8.5,1.1,0.0,30.2,30.07,0.0
3/18/2024,69.1,60.2,48.9,55.4,50.2,46.4,92.0,71.0,48.0,9.2,1.2,0.0,30.1,29.99,0.0
3/19/2024,73.4,62.6,51.8,53.2,47.6,37.0,85.0,61.0,27.0,20.8,1.7,0.0,30.01,29.91,0.0
3/20/2024,71.8,61.8,52.2,51.4,46.6,39.7,80.0,59.0,39.0,11.9,2.1,0.0,29.99,29.88,0.01
3/21/2024,77.7,62.9,52.7,53.1,47.3,43.2,82.0,59.0,35.0,11.0,2.8,0.0,30.13,29.97,0.0
3/22/2024,79.7,64.9,53.2,50.0,45.8,40.8,78.0,53.0,29.0,8.9,1.6,0.0,30.14,29.99,0.0
3/23/2024,77.5,63.9,53.1,56.7,46.9,40.5,70.0,55.0,28.0,11.6,1.9,0.0,30.08,29.96,0.0
3/24/2024,73.2,59.9,51.1,48.4,45.5,42.3,79.0,61.0,38.0,10.7,1.9,0.0,30.0,29.7,0.0
3/25/2024,54.0,50.8,47.1,52.7,49.3,44.1,99.0,95.0,77.0,13.2,1.8,0.0,29.71,29.29,0.48
3/26/2024,47.8,41.0,35.4,45.1,36.1,30.0,99.0,84.0,52.0,20.4,4.6,0.0,29.38,29.29,0.07
3/27/2024,54.7,45.0,36.7,48.4,43.4,36.3,99.0,95.0,70.0,18.1,6.4,0.0,29.49,29.36,0.18
3/28/2024,59.7,50.0,42.6,51.4,46.2,40.3,99.0,88.0,61.0,19.7,4.9,0.0,29.61,29.42,0.5
3/29/2024,50.4,44.5,38.5,50.0,43.9,38.1,99.0,98.0,89.0,15.9,2.6,0.0,29.51,29.37,0.69
3/30/2024,52.2,42.9,38.1,44.1,41.1,37.8,99.0,94.0,65.0,14.3,2.0,0.0,29.48,29.29,0.41
3/31/2024,48.7,41.4,38.3,43.2,39.6,36.9,99.0,94.0,73.0,18.3,2.9,0.0,29.63,29.32,0.51
4/1/2024,54.0,43.9,37.4,44.2,39.4,36.1,99.0,85.0,57.0,17.9,4.1,0.0,30.02,29.62,0.07
4/2/2024,56.7,48.1,37.9,46.2,42.0,37.0,97.0,81.0,58.0,9.8,1.6,0.0,30.07,29.95,0.0
4/3/2024,62.6,52.9,46.4,49.1,45.0,42.1,93.0,76.0,53.0,15.2,2.6,0.0,30.11,30.0,0.0
4/4/2024,69.8,56.2,43.0,51.3,46.4,41.9,97.0,72.0,42.0,9.2,1.2,0.0,30.11,29.98,0.0
4/5/2024,74.7,61.3,50.4,50.0,45.5,41.2,80.0,58.0,32.0,8.9,1.8,0.0,30.05,29.9,0.0
4/6/2024,76.6,66.3,56.3,55.4,46.3,37.4,69.0,49.0,37.0,18.8,2.3,0.0,29.99,29.86,0.0
4/7/2024,70.9,62.9,56.1,54.3,51.1,48.0,80.0,66.0,47.0,12.8,2.1,0.0,29.99,29.87,0.0
4/8/2024,61.9,54.5,47.1,52.3,46.5,35.4,93.0,75.0,53.0,18.3,3.8,0.0,30.05,29.84,0.0
4/9/2024,59.2,48.6,39.2,37.2,32.0,25.7,79.0,55.0,29.0,21.0,4.2,0.0,30.34,30.04,0.0
4/10/2024,67.1,53.2,37.9,46.6,38.7,33.4,85.0,59.0,40.0,13.6,3.3,0.0,30.36,30.27,0.0
4/11/2024,77.5,62.6,51.1,49.8,44.2,36.1,73.0,53.0,31.0,22.1,4.6,0.0,30.36,30.25,0.0
4/12/2024,75.2,62.4,49.1,48.0,40.7,34.0,62.0,46.0,33.0,8.7,1.3,0.0,30.42,30.29,0.0
4/13/2024,79.0,64.9,49.1,47.8,42.1,36.7,71.0,45.0,26.0,12.1,1.6,0.0,30.35,30.21,0.0
4/14/2024,78.1,66.1,50.4,50.5,43.6,38.1,69.0,45.0,29.0,9.6,1.5,0.0,30.26,30.12,0.0
4/15/2024,80.4,68.1,54.7,55.4,47.3,38.5,72.0,48.0,29.0,13.2,2.4,0.0,30.15,30.02,0.0
4/16/2024,76.1,63.5,50.5,49.3,43.3,38.3,68.0,49.0,31.0,13.6,3.6,0.0,30.09,29.92,0.0
4/17/2024,68.5,56.7,44.1,43.0,38.4,31.8,76.0,52.0,28.0,12.5,3.9,0.0,29.99,29.9,0.0
4/18/2024,69.3,55.9,43.9,40.1,36.4,31.6,70.0,50.0,29.0,14.8,4.2,0.0,30.05,29.93,0.0
4/19/2024,71.6,54.9,37.0,47.1,38.4,30.6,81.0,55.0,35.0,10.1,2.0,0.0,30.11,29.96,0.0
4/20/2024,73.4,60.4,47.3,49.6,39.8,30.2,85.0,53.0,21.0,20.8,2.8,0.0,30.0,29.85,0.0
4/21/2024,72.3,59.1,44.4,42.8,34.2,28.9,69.0,41.0,21.0,19.5,2.5,0.0,29.98,29.86,0.0
4/22/2024,62.6,51.9,41.2,33.6,26.4,16.9,69.0,40.0,20.0,23.7,4.6,0.0,30.03,29.9,0.0
4/23/2024,59.9,46.5,33.8,37.6,28.4,21.4,70.0,50.0,36.0,17.0,4.4,0.0,30.05,29.95,0.0
4/24/2024,63.0,49.2,33.6,36.9,29.5,19.0,82.0,50.0,25.0,11.6,2.6,0.0,30.06,29.88,0.0
4/25/2024,63.3,53.4,42.4,42.1,35.6,31.6,71.0,52.0,34.0,19.5,2.6,0.0,29.89,29.68,0.0
4/26/2024,59.7,52.6,46.0,43.9,39.1,34.2,74.0,60.0,47.0,17.2,2.1,0.0,29.73,29.59,0.0
4/27/2024,56.7,49.9,42.4,46.9,43.5,37.6,99.0,80.0,50.0,18.1,3.5,0.0,29.74,29.49,0.21
4/28/2024,62.6,50.1,37.6,43.0,37.4,31.5,95.0,65.0,35.0,12.1,1.6,0.0,29.9,29.72,0.0
4/29/2024,63.5,50.7,41.9,48.0,41.6,34.2,89.0,72.0,40.0,15.2,1.7,0.0,29.97,29.89,0.25
4/30/2024,62.1,52.3,41.7,47.8,42.8,35.4,98.0,73.0,39.0,15.0,2.9,0.0,29.97,29.83,0.0
5/1/2024,57.0,48.1,41.5,46.9,38.4,26.6,96.0,72.0,34.0,22.6,5.3,0.0,29.89,29.75,0.03
5/2/2024,59.0,46.9,35.4,38.3,35.5,32.9,94.0,67.0,40.0,14.1,2.5,0.0,30.02,29.88,0.0
5/3/2024,64.0,51.8,39.6,42.8,38.6,34.5,92.0,63.0,37.0,13.0,2.3,0.0,30.09,30.0,0.0
5/4/2024,72.1,59.3,47.8,48.0,44.8,41.7,85.0,61.0,37.0,16.6,3.2,0.0,30.05,29.95,0.0
5/5/2024,64.6,59.4,52.0,55.2,51.2,46.0,98.0,75.0,58.0,14.3,2.8,0.0,30.0,29.86,0.13
5/6/2024,66.2,56.4,49.1,52.9,48.0,36.5,99.0,77.0,43.0,15.7,2.9,0.0,29.99,29.84,0.07
5/7/2024,70.7,58.0,44.6,46.9,42.2,36.7,93.0,58.0,34.0,15.0,3.6,0.0,30.14,29.98,0.0
5/8/2024,76.6,60.1,45.3,46.0,40.3,33.4,79.0,51.0,23.0,12.1,2.7,0.0,30.16,30.03,0.0
5/9/2024,80.1,66.2,49.1,48.9,41.9,34.3,69.0,43.0,27.0,10.1,2.0,0.0,30.07,29.95,0.0
5/10/2024,83.7,68.7,50.4,51.6,44.6,39.2,76.0,44.0,23.0,10.1,1.6,0.0,30.03,29.9,0.0
5/11/2024,81.0,67.5,52.5,48.7,44.2,40.5,67.0,45.0,27.0,10.1,2.2,0.0,30.0,29.9,0.0
5/12/2024,78.6,68.1,53.1,53.4,46.9,42.8,71.0,48.0,30.0,13.4,1.6,0.0,30.0,29.89,0.0
5/13/2024,79.0,68.3,56.8,55.0,50.1,46.4,76.0,53.0,34.0,16.1,4.0,0.0,29.93,29.72,0.0
5/14/2024,66.9,56.9,48.4,53.4,43.9,37.6,95.0,64.0,38.0,19.5,4.3,0.0,29.78,29.7,0.03
5/15/2024,61.9,52.9,41.9,42.3,36.7,28.6,87.0,57.0,30.0,21.5,2.9,0.0,29.78,29.72,0.0
5/16/2024,61.3,52.7,42.6,41.2,38.7,34.9,87.0,61.0,39.0,13.9,3.1,0.0,29.8,29.73,0.0
5/17/2024,66.0,56.3,49.3,49.6,44.0,39.4,95.0,65.0,42.0,13.2,2.8,0.0,29.83,29.73,0.0
5/18/2024,69.6,58.5,47.1,45.1,40.7,34.7,81.0,54.0,30.0,12.3,2.3,0.0,29.87,29.77,0.0
5/19/2024,69.8,56.4,46.2,49.3,44.0,39.4,85.0,65.0,35.0,15.9,2.5,0.0,29.84,29.73,0.02
5/20/2024,67.3,56.0,42.8,45.0,41.8,37.8,88.0,61.0,37.0,11.0,2.5,0.0,29.89,29.81,0.0
5/21/2024,66.2,55.2,48.6,51.1,45.7,41.4,91.0,71.0,46.0,13.4,1.9,0.0,30.0,29.87,0.12
5/22/2024,68.0,57.0,45.1,48.2,43.7,37.8,91.0,64.0,35.0,11.0,1.9,0.0,30.05,29.94,0.0
5/23/2024,75.0,62.4,49.1,47.1,39.8,30.6,74.0,46.0,22.0,13.9,3.0,0.0,30.03,29.92,0.0
5/24/2024,78.8,64.7,47.8,52.2,43.7,33.1,89.0,51.0,21.0,11.6,1.9,0.0,29.99,29.92,0.0
5/25/2024,81.7,68.7,52.7,52.0,40.9,28.6,82.0,41.0,16.0,17.2,3.6,0.0,30.02,29.94,0.0
5/26/2024,82.0,69.5,52.5,48.7,40.9,32.5,51.0,36.0,24.0,23.0,2.4,0.0,30.04,29.93,0.0
5/27/2024,84.6,71.0,55.0,55.6,48.6,40.8,79.0,48.0,23.0,12.8,1.8,0.0,30.03,29.95,0.0
5/28/2024,85.3,71.2,55.4,59.5,52.4,47.7,82.0,54.0,28.0,13.9,1.5,0.0,30.09,29.99,0.0
5/29/2024,89.8,75.3,57.4,59.7,50.9,46.0,77.0,45.0,23.0,12.8,1.6,0.0,30.05,29.92,0.0
5/30/2024,89.6,75.9,59.7,58.3,51.4,46.2,67.0,44.0,26.0,15.0,2.7,0.0,29.95,29.8,0.0
5/31/2024,81.3,68.3,53.1,55.4,41.6,32.0,68.0,41.0,21.0,22.8,4.8,0.0,29.93,29.83,0.0
6/1/2024,76.8,63.6,48.9,52.0,43.6,39.4,72.0,50.0,28.0,22.6,4.1,0.0,30.02,29.89,0.0
6/2/2024,80.1,65.4,49.6,47.7,42.4,39.0,74.0,46.0,26.0,14.8,3.2,0.0,30.05,29.94,0.0
6/3/2024,82.4,68.9,53.8,55.6,49.0,43.0,79.0,52.0,27.0,13.9,2.3,0.0,30.01,29.89,0.0
6/4/2024,85.6,71.8,57.4,57.0,51.0,45.5,86.0,53.0,26.0,15.2,1.6,0.0,29.97,29.88,0.0
6/5/2024,90.0,76.6,61.5,57.9,48.9,43.5,61.0,39.0,24.0,15.4,2.2,0.0,30.01,29.91,0.0
6/6/2024,93.9,79.7,66.0,58.5,49.8,45.3,54.0,37.0,20.0,9.6,2.0,0.0,30.0,29.91,0.0
6/7/2024,93.4,78.5,64.8,55.9,50.0,44.4,52.0,38.0,25.0,11.4,2.1,0.0,30.01,29.84,0.0
6/8/2024,75.4,65.6,57.9,60.6,54.7,48.0,99.0,71.0,39.0,13.6,2.6,0.0,29.89,29.76,0.29
6/9/2024,71.2,62.7,55.9,59.9,57.6,55.6,99.0,85.0,62.0,9.6,1.5,0.0,29.87,29.78,0.0
6/10/2024,63.5,59.0,53.8,59.7,56.2,53.4,99.0,91.0,76.0,14.3,2.5,0.0,29.93,29.82,0.22
6/11/2024,75.6,62.0,49.3,56.1,47.7,43.2,86.0,62.0,36.0,14.1,3.2,0.0,29.99,29.9,0.01
6/12/2024,73.9,63.1,50.7,55.6,49.3,41.0,87.0,63.0,40.0,16.6,2.6,0.0,30.07,29.95,0.0
6/13/2024,80.2,66.1,48.6,54.7,46.5,38.8,85.0,54.0,24.0,14.3,2.6,0.0,30.09,29.99,0.0
6/14/2024,84.4,73.0,57.6,50.7,44.4,39.0,62.0,38.0,21.0,23.5,2.9,0.0,30.03,29.86,0.0
6/15/2024,81.3,71.1,58.6,55.6,47.4,33.3,83.0,47.0,20.0,13.9,2.8,0.0,29.93,29.85,0.0
6/16/2024,84.2,71.9,57.2,46.9,40.9,33.6,50.0,33.0,22.0,13.6,2.6,0.0,29.94,29.84,0.0
6/17/2024,85.6,73.1,57.7,52.9,45.3,37.9,66.0,39.0,21.0,14.3,2.8,0.0,29.92,29.81,0.0
6/18/2024,78.8,68.5,57.7,57.2,51.4,40.6,81.0,57.0,27.0,16.8,2.5,0.0,29.93,29.82,0.0
6/19/2024,75.0,62.4,52.2,55.9,50.3,44.1,93.0,68.0,35.0,12.3,1.8,0.0,29.97,29.88,0.04
6/20/2024,68.2,58.8,52.9,54.1,50.3,46.4,94.0,75.0,47.0,19.9,1.9,0.0,30.07,29.92,0.02
6/21/2024,80.2,67.1,51.4,51.8,48.5,43.7,86.0,54.0,30.0,10.5,1.9,0.0,30.15,30.06,0.0
6/22/2024,85.3,72.3,56.5,53.2,48.9,44.6,73.0,45.0,26.0,16.1,3.9,0.0,30.14,30.03,0.0
6/23/2024,83.8,72.3,59.4,58.3,54.0,49.5,71.0,53.0,40.0,19.2,3.7,0.0,30.08,29.93,0.0
6/24/2024,88.5,74.6,58.3,59.5,54.3,46.8,83.0,52.0,25.0,13.2,2.7,0.0,29.99,29.81,0.0
6/25/2024,92.8,78.0,62.1,61.9,56.7,47.7,85.0,51.0,27.0,10.7,1.9,0.0,29.88,29.74,0.0
6/26/2024,86.2,75.8,66.2,63.7,58.0,53.8,73.0,55.0,37.0,12.1,2.2,0.0,29.88,29.77,0.0
6/27/2024,94.6,78.4,68.0,58.8,53.8,48.0,63.0,44.0,24.0,13.2,2.1,0.0,29.92,29.81,0.0
6/28/2024,81.3,71.1,63.3,62.4,53.3,46.9,70.0,54.0,39.0,15.0,2.4,0.0,29.94,29.89,0.0
6/29/2024,71.8,63.1,56.8,61.2,58.1,53.4,99.0,85.0,64.0,15.9,3.2,0.0,29.97,29.89,0.09
6/30/2024,79.2,68.1,60.4,60.1,56.4,51.3,90.0,68.0,42.0,14.3,1.6,0.0,29.99,29.93,0.0
7/1/2024,83.3,71.6,58.3,58.8,53.0,46.8,84.0,55.0,30.0,17.0,3.8,0.0,30.12,29.96,0.0
7/2/2024,86.2,71.5,55.6,55.6,51.4,44.4,79.0,52.0,32.0,18.8,4.3,0.0,30.13,29.99,0.0
7/3/2024,90.9,76.4,59.4,51.1,44.2,33.4,55.0,34.0,17.0,15.9,3.0,0.0,30.05,29.92,0.0
7/4/2024,96.1,81.9,63.9,54.7,49.0,44.8,54.0,34.0,19.0,13.2,1.8,0.0,29.99,29.89,0.0
