Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,52.1,43.1,38.9,42.0,39.1,36.0,94.0,87.0,66.0,3.0,0.2,0.0,30.25,30.1,0.0
1/2/2024,47.8,42.6,36.4,45.0,39.1,34.0,93.0,89.0,83.0,3.0,0.1,0.0,30.25,30.15,0.0
1/3/2024,55.0,51.6,47.2,53.0,49.3,44.0,96.0,93.0,89.0,9.0,0.4,0.0,30.17,30.09,0.14
1/4/2024,53.6,50.6,48.1,50.0,48.6,46.0,96.0,94.0,89.0,3.0,0.2,0.0,30.15,29.85,0.2
1/5/2024,50.8,45.6,41.0,47.0,38.8,34.0,95.0,79.0,58.0,6.0,1.0,0.0,29.96,29.76,0.06
1/6/2024,49.6,40.6,33.6,36.0,32.7,30.0,89.0,75.0,54.0,5.0,0.4,0.0,30.18,29.96,0.0
1/7/2024,50.3,39.3,32.5,36.0,31.2,29.0,89.0,75.0,50.0,4.0,0.3,0.0,30.24,30.17,0.0
1/8/2024,48.3,37.3,29.1,35.0,30.2,26.0,90.0,77.0,53.0,4.0,0.2,0.0,30.2,30.1,0.0
1/9/2024,45.9,42.3,39.7,39.0,35.9,31.0,87.0,79.0,69.0,2.0,0.1,0.0,30.14,30.07,0.0
1/10/2024,45.4,42.7,39.9,42.0,39.6,36.0,93.0,90.0,85.0,5.0,0.6,0.0,30.15,30.07,0.06
1/11/2024,48.0,40.6,34.3,41.0,34.0,28.0,95.0,79.0,56.0,5.0,0.5,0.0,30.26,30.07,0.0
1/12/2024,47.2,36.3,28.5,37.0,30.1,24.0,88.0,79.0,64.0,4.0,0.2,0.0,30.34,30.24,0.0
1/13/2024,48.7,39.9,33.0,41.0,35.4,30.0,91.0,85.0,75.0,2.0,0.1,0.0,30.36,30.21,0.0
1/14/2024,49.4,44.9,40.6,46.0,41.4,38.0,91.0,88.0,82.0,4.0,0.2,0.0,30.23,30.09,0.03
1/15/2024,56.7,52.7,49.0,54.0,50.8,46.0,96.0,94.0,91.0,9.0,0.9,0.0,30.09,29.96,0.2
1/16/2024,60.4,56.1,52.8,55.0,51.7,45.0,94.0,86.0,65.0,13.0,1.1,0.0,30.0,29.84,0.01
1/17/2024,54.9,53.0,50.7,51.0,48.6,46.0,93.0,86.0,79.0,12.0,2.0,0.0,29.84,29.61,0.49
1/18/2024,56.3,52.6,50.5,52.0,49.0,46.0,94.0,89.0,82.0,7.0,1.0,0.0,29.89,29.8,0.13
1/19/2024,51.8,45.8,38.1,50.0,43.6,36.0,96.0,94.0,88.0,6.0,1.0,0.0,29.93,29.68,1.36
1/20/2024,51.0,42.3,35.3,44.0,38.0,32.0,92.0,86.0,74.0,6.0,0.6,0.0,30.44,29.94,0.02
1/21/2024,56.1,45.7,39.5,43.0,40.6,37.0,94.0,84.0,61.0,3.0,0.2,0.0,30.6,30.45,0.0
1/22/2024,54.0,42.7,35.6,45.0,38.8,34.0,94.0,88.0,72.0,3.0,0.2,0.0,30.67,30.58,0.0
1/23/2024,61.9,46.1,36.9,51.0,42.0,35.0,96.0,87.0,67.0,4.0,0.1,0.0,30.72,30.64,0.0
1/24/2024,69.5,48.8,38.5,55.0,44.3,37.0,97.0,86.0,59.0,1.0,0.0,0.0,30.72,30.63,0.0
1/25/2024,67.9,49.3,38.7,54.0,44.2,37.0,96.0,85.0,58.0,2.0,0.0,0.0,30.65,30.52,0.0
1/26/2024,68.1,49.8,39.6,53.0,44.0,37.0,94.0,83.0,55.0,2.0,0.1,0.0,30.56,30.46,0.0
1/27/2024,66.7,50.7,40.9,50.0,44.1,38.0,93.0,80.0,50.0,2.0,0.1,0.0,30.49,30.37,0.0
1/28/2024,66.5,49.7,39.1,50.0,43.0,36.0,92.0,80.0,54.0,3.0,0.1,0.0,30.42,30.36,0.0
1/29/2024,60.2,49.7,41.4,47.0,42.8,38.0,90.0,79.0,55.0,3.0,0.3,0.0,30.48,30.39,0.0
1/30/2024,60.1,47.9,39.5,48.0,42.3,37.0,92.0,83.0,65.0,3.0,0.2,0.0,30.54,30.46,0.0
1/31/2024,50.2,44.1,39.3,44.0,39.9,36.0,91.0,86.0,79.0,4.0,0.3,0.0,30.61,30.54,0.0
2/1/2024,67.3,46.4,34.9,47.0,38.4,32.0,93.0,77.0,39.0,4.0,0.2,0.0,30.62,30.51,0.0
2/2/2024,62.2,48.4,38.3,44.0,39.4,35.0,89.0,74.0,48.0,9.0,0.5,0.0,30.53,30.45,0.0
2/3/2024,65.9,47.8,37.6,45.0,37.5,34.0,90.0,71.0,33.0,3.0,0.2,0.0,30.54,30.47,0.0
2/4/2024,65.6,46.2,34.7,41.0,36.0,31.0,90.0,71.0,36.0,3.0,0.1,0.0,30.52,30.44,0.0
2/5/2024,62.4,46.0,35.6,44.0,37.3,32.0,87.0,74.0,45.0,3.0,0.2,0.0,30.48,30.37,0.0
2/6/2024,59.2,47.8,40.0,47.0,41.5,36.0,89.0,80.0,60.0,3.0,0.2,0.0,30.38,30.28,0.0
2/7/2024,53.7,48.5,42.3,48.0,44.7,39.0,94.0,88.0,77.0,7.0,0.7,0.0,30.32,30.17,0.0
2/8/2024,55.5,50.9,47.8,47.0,44.4,38.0,92.0,80.0,54.0,8.0,1.1,0.0,30.17,29.66,0.03
2/9/2024,54.8,50.3,47.6,50.0,47.2,43.0,94.0,90.0,82.0,8.0,1.5,0.0,29.66,29.23,0.56
