Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,63.3,56.3,50.5,48.6,43.1,39.4,82.0,62.0,48.0,7.4,1.2,0.0,30.12,29.96,0.0
1/2/2024,62.4,55.8,48.2,54.9,49.4,40.5,92.0,79.0,63.0,12.1,2.3,0.0,30.12,30.0,0.0
1/3/2024,69.8,60.5,52.3,53.6,44.2,36.9,87.0,56.0,38.0,11.2,2.5,0.0,30.04,29.94,0.0
1/4/2024,68.7,60.8,54.1,54.9,50.2,43.9,90.0,69.0,49.0,11.9,2.2,0.0,29.97,29.73,0.0
1/5/2024,63.0,58.0,51.6,55.4,43.6,31.6,91.0,61.0,39.0,20.1,6.9,0.0,29.79,29.59,0.0
1/6/2024,60.6,54.4,50.7,34.9,31.5,28.8,53.0,42.0,30.0,20.1,6.6,0.0,30.0,29.78,0.0
1/7/2024,59.9,53.4,50.7,33.3,29.9,27.0,46.0,41.0,29.0,18.6,6.3,0.0,30.05,29.96,0.0
1/8/2024,61.9,53.8,49.6,45.1,31.8,22.1,74.0,45.0,22.0,16.6,5.4,0.0,30.03,29.94,0.0
1/9/2024,57.6,53.5,48.7,50.9,41.2,27.7,90.0,65.0,33.0,6.7,1.0,0.0,30.04,29.96,0.0
1/10/2024,61.2,52.8,47.8,52.2,49.6,47.1,98.0,89.0,70.0,9.6,2.0,0.0,30.05,29.94,0.06
1/11/2024,59.2,53.5,50.0,50.7,46.5,41.9,93.0,78.0,56.0,12.3,2.7,0.0,30.12,29.93,0.0
1/12/2024,54.9,51.7,46.2,45.1,43.7,41.9,87.0,74.0,68.0,10.1,2.5,0.0,30.23,30.1,0.0
1/13/2024,59.2,51.2,44.1,51.6,46.0,41.4,91.0,83.0,66.0,11.9,2.2,0.0,30.23,30.08,0.0
1/14/2024,74.7,63.5,54.1,55.6,45.8,28.8,87.0,58.0,19.0,20.8,6.1,0.0,30.09,29.9,0.0
1/15/2024,72.7,67.0,59.9,51.4,37.8,25.7,66.0,36.0,20.0,13.7,3.2,0.0,29.92,29.8,0.0
1/16/2024,75.6,66.9,57.9,54.0,48.8,32.9,80.0,54.0,23.0,15.7,3.5,0.0,29.89,29.76,0.03
1/17/2024,68.4,63.4,58.8,56.3,52.7,45.7,88.0,69.0,45.0,29.3,9.3,0.0,29.8,29.6,0.0
1/18/2024,68.7,64.7,60.4,56.1,49.6,42.3,78.0,59.0,42.0,21.7,6.8,0.0,29.83,29.72,0.0
1/19/2024,67.5,61.0,56.5,56.3,52.8,48.4,89.0,75.0,58.0,29.1,7.9,0.0,29.75,29.6,0.0
1/20/2024,56.8,53.7,52.7,53.2,47.1,43.2,94.0,79.0,66.0,17.0,4.7,0.0,30.34,29.72,0.0
1/21/2024,60.6,53.5,48.7,48.6,46.4,44.2,88.0,77.0,58.0,8.5,1.9,0.0,30.47,30.33,0.0
1/22/2024,60.6,53.8,45.0,51.6,47.6,42.6,93.0,80.0,63.0,16.3,3.5,0.0,30.49,30.37,0.0
1/23/2024,69.6,60.7,54.3,51.4,45.9,42.4,77.0,59.0,45.0,8.5,1.8,0.0,30.53,30.41,0.0
1/24/2024,73.2,60.7,51.1,52.2,45.8,40.8,79.0,59.0,40.0,11.4,2.0,0.0,30.56,30.45,0.0
1/25/2024,75.6,66.7,56.5,48.0,43.4,38.5,62.0,44.0,28.0,8.5,1.8,0.0,30.48,30.3,0.0
1/26/2024,67.6,61.8,55.4,55.4,47.1,38.7,88.0,61.0,38.0,7.6,1.7,0.0,30.38,30.28,0.0
1/27/2024,62.8,57.3,52.9,55.6,51.2,44.6,97.0,81.0,62.0,9.0,1.7,0.0,30.34,30.25,0.0
1/28/2024,59.0,55.5,51.6,55.6,52.6,47.7,96.0,90.0,83.0,14.3,3.2,0.0,30.3,30.23,0.0
1/29/2024,57.9,56.8,55.9,55.2,53.5,51.6,95.0,89.0,82.0,15.0,4.3,0.0,30.35,30.26,0.0
1/30/2024,58.6,56.9,55.4,55.4,53.5,51.3,93.0,88.0,85.0,13.7,3.1,0.0,30.41,30.32,0.0
1/31/2024,58.6,56.2,50.4,54.1,50.9,45.3,91.0,82.0,75.0,11.2,2.7,0.0,30.47,30.38,0.0
2/1/2024,60.4,54.1,49.1,47.7,46.5,45.0,88.0,76.0,59.0,9.2,1.2,0.0,30.48,30.36,0.0
2/2/2024,57.9,52.9,46.2,51.3,48.5,44.1,95.0,85.0,75.0,7.6,1.3,0.0,30.4,30.3,0.0
2/3/2024,57.6,50.0,47.3,49.8,48.0,46.2,97.0,93.0,74.0,4.0,0.5,0.0,30.43,30.37,0.0
2/4/2024,54.0,52.4,50.5,51.3,50.1,48.6,94.0,92.0,89.0,6.3,1.6,0.0,30.35,30.32,0.01
2/5/2024,64.4,54.6,46.4,53.2,47.5,39.9,95.0,78.0,43.0,11.4,2.1,0.0,30.34,30.2,0.0
2/6/2024,70.7,60.7,53.1,54.5,48.1,33.1,93.0,66.0,30.0,13.7,3.4,0.0,30.21,30.07,0.0
2/7/2024,71.4,62.6,57.9,53.1,39.4,33.8,75.0,43.0,29.0,13.7,3.4,0.0,30.16,30.01,0.0
2/8/2024,67.6,60.7,56.1,56.5,49.4,35.8,89.0,68.0,31.0,24.4,6.1,0.0,30.03,29.62,0.0
2/9/2024,67.5,60.4,56.3,54.5,49.3,37.2,90.0,68.0,33.0,31.3,11.1,0.9,29.64,29.19,0.04
2/10/2024,68.7,61.4,54.1,54.7,40.2,33.4,86.0,47.0,28.0,21.9,8.6,0.9,29.67,29.2,0.0
2/11/2024,58.1,55.0,52.2,47.1,35.7,30.7,77.0,49.0,36.0,11.4,2.3,0.0,29.83,29.65,0.01
2/12/2024,76.1,62.3,49.6,57.9,49.7,44.8,92.0,66.0,35.0,13.9,2.7,0.0,30.01,29.7,0.0
2/13/2024,73.4,64.9,57.7,54.7,48.5,45.5,72.0,56.0,42.0,13.7,3.0,0.0,30.16,29.99,0.0
2/14/2024,65.8,61.0,55.4,56.7,50.7,44.4,95.0,70.0,49.0,6.9,1.3,0.0,30.2,30.07,0.0
2/15/2024,65.7,59.0,55.4,56.5,52.4,47.7,90.0,79.0,62.0,15.2,2.9,0.0,30.08,29.88,0.0
2/16/2024,70.5,61.4,54.5,55.6,49.6,42.6,91.0,67.0,41.0,19.0,4.5,0.0,30.18,29.93,0.03
2/17/2024,62.8,56.9,53.1,53.1,47.8,43.9,93.0,72.0,54.0,8.5,1.8,0.0,30.39,30.17,0.03
2/18/2024,65.3,56.7,49.5,53.2,48.4,43.9,91.0,74.0,52.0,9.6,1.9,0.0,30.48,30.37,0.0
2/19/2024,66.9,59.2,53.6,55.2,49.8,43.7,94.0,73.0,45.0,10.5,1.8,0.0,30.4,30.27,0.0
2/20/2024,67.6,58.4,51.1,55.8,49.9,44.4,97.0,75.0,49.0,13.7,2.5,0.0,30.33,30.15,0.0
2/21/2024,64.0,57.3,50.9,55.6,53.0,47.1,97.0,86.0,70.0,18.1,3.4,0.0,30.27,30.06,0.0
2/22/2024,73.2,64.3,54.0,58.1,50.0,35.8,94.0,63.0,28.0,17.9,4.6,0.0,30.07,29.7,0.0
2/23/2024,66.9,61.3,55.2,51.6,37.4,27.9,67.0,42.0,28.0,19.0,5.4,0.0,29.84,29.64,0.0
2/24/2024,63.9,56.4,50.2,41.7,33.5,26.8,70.0,43.0,26.0,22.6,6.1,0.0,29.99,29.74,0.0
2/25/2024,66.2,59.6,54.7,54.0,42.2,31.3,74.0,53.0,39.0,21.0,8.1,0.7,30.0,29.69,0.0
2/26/2024,66.7,60.5,53.2,53.6,44.9,34.3,89.0,58.0,35.0,22.2,7.0,0.0,29.7,29.49,0.02
2/27/2024,63.0,56.4,51.1,35.8,33.2,30.7,50.0,42.0,33.0,25.1,8.8,2.2,29.9,29.65,0.0
2/28/2024,64.0,54.4,47.5,45.3,32.3,26.2,70.0,44.0,28.0,16.1,5.6,0.0,29.99,29.88,0.0
2/29/2024,70.2,59.6,50.7,46.2,37.6,32.0,74.0,45.0,27.0,19.5,5.0,0.0,29.97,29.79,0.0
3/1/2024,67.8,57.3,51.1,50.0,32.9,20.7,82.0,43.0,17.0,19.0,7.0,0.0,30.02,29.83,0.0
3/2/2024,63.0,56.8,47.5,51.3,43.0,29.7,90.0,61.0,38.0,21.9,5.3,0.0,29.87,29.51,0.0
3/3/2024,64.4,55.5,46.4,50.2,33.2,24.3,88.0,45.0,22.0,23.7,6.0,0.0,29.94,29.53,0.06
3/4/2024,67.5,59.9,54.1,50.5,40.5,31.6,73.0,49.0,38.0,15.2,4.6,0.0,30.01,29.92,0.0
3/5/2024,68.9,59.6,52.2,46.0,41.4,36.1,70.0,52.0,33.0,15.0,3.1,0.0,30.13,30.0,0.0
3/6/2024,63.1,55.5,47.7,52.5,47.0,41.4,92.0,74.0,46.0,11.6,2.1,0.0,30.12,29.97,0.0
3/7/2024,61.9,55.7,50.5,54.9,52.5,50.0,98.0,89.0,73.0,13.7,2.5,0.0,29.99,29.67,0.01
3/8/2024,62.4,57.2,50.2,54.1,44.3,34.9,90.0,63.0,38.0,19.9,6.9,0.0,29.75,29.65,0.01
3/9/2024,60.1,55.7,49.6,54.1,49.3,39.6,97.0,80.0,60.0,28.9,8.3,0.0,29.66,29.34,0.6
3/10/2024,68.0,59.0,51.8,50.4,42.6,36.5,78.0,56.0,33.0,19.9,6.5,0.9,29.77,29.45,0.0
3/11/2024,68.9,60.4,52.9,47.7,38.8,34.2,60.0,45.0,29.0,14.8,4.1,0.0,30.07,29.76,0.0
3/12/2024,66.9,58.9,52.9,51.8,41.2,34.9,94.0,54.0,33.0,13.7,2.7,0.0,30.12,30.03,0.0
3/13/2024,62.4,55.0,49.1,54.0,50.7,45.1,97.0,86.0,55.0,9.4,1.8,0.0,30.06,29.92,0.0
3/14/2024,66.4,58.2,50.4,54.5,50.4,44.6,93.0,76.0,55.0,16.3,3.8,0.0,30.02,29.93,0.0
3/15/2024,73.0,64.3,54.9,54.5,50.2,44.6,93.0,62.0,42.0,16.6,3.8,0.0,30.1,29.98,0.0
3/16/2024,76.6,68.0,61.3,54.3,49.6,44.6,64.0,52.0,42.0,11.2,2.7,0.0,30.19,30.09,0.0
3/17/2024,77.7,65.5,55.6,56.7,49.0,41.4,82.0,57.0,35.0,8.1,1.6,0.0,30.17,30.01,0.0
3/18/2024,82.4,67.9,58.1,59.0,48.5,37.6,95.0,54.0,29.0,10.3,2.0,0.0,30.02,29.88,0.0
3/19/2024,75.7,64.7,56.7,59.0,53.7,44.1,97.0,70.0,38.0,13.0,1.7,0.0,29.98,29.87,0.0
3/20/2024,65.3,61.0,57.9,58.8,56.2,51.8,97.0,85.0,69.0,17.0,4.6,0.0,29.96,29.84,0.0
3/21/2024,62.4,60.3,58.6,57.2,55.8,53.4,92.0,85.0,74.0,22.2,8.0,0.7,30.08,29.9,0.0
3/22/2024,68.7,62.3,59.0,57.0,53.0,43.7,91.0,73.0,41.0,19.0,4.7,0.0,30.07,29.93,0.0
3/23/2024,66.9,61.6,57.0,57.4,53.6,49.3,89.0,76.0,59.0,17.5,3.9,0.0,30.01,29.9,0.0
3/24/2024,60.6,59.0,56.7,57.0,56.2,53.6,98.0,90.0,78.0,21.5,6.1,0.0,29.92,29.64,0.27
3/25/2024,64.6,58.5,55.4,58.3,56.3,52.7,99.0,93.0,71.0,14.3,5.3,0.0,29.67,29.26,0.16
3/26/2024,62.4,58.1,49.6,57.6,44.7,28.0,91.0,63.0,29.0,21.5,6.6,0.0,29.45,29.23,0.06
3/27/2024,68.2,60.8,54.7,53.2,44.5,37.4,76.0,56.0,35.0,30.4,11.6,1.3,29.55,29.4,0.0
3/28/2024,66.7,62.5,59.9,56.5,53.4,49.5,81.0,72.0,54.0,30.0,13.4,2.5,29.65,29.5,0.0
3/29/2024,68.4,62.8,58.5,56.8,51.9,36.3,89.0,68.0,41.0,25.7,7.3,0.7,29.56,29.32,0.0
3/30/2024,62.1,57.6,52.5,52.2,47.0,37.4,81.0,68.0,44.0,26.6,7.7,0.0,29.48,29.34,0.0
3/31/2024,66.7,60.0,57.0,57.7,50.8,35.8,87.0,72.0,40.0,25.3,8.8,0.2,29.65,29.37,0.0
4/1/2024,65.3,59.3,49.6,52.5,43.5,36.5,70.0,56.0,40.0,20.4,5.6,0.0,30.01,29.64,0.0
4/2/2024,68.5,61.2,53.6,52.0,42.2,36.5,74.0,50.0,37.0,13.9,2.8,0.0,30.08,29.94,0.0
4/3/2024,73.8,62.7,52.2,53.8,49.3,44.4,89.0,64.0,37.0,15.7,3.1,0.0,30.06,29.96,0.0
4/4/2024,74.7,64.3,55.6,58.1,49.2,40.6,75.0,59.0,30.0,12.1,2.3,0.0,30.06,29.96,0.0
