Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,47.5,38.2,32.5,34.7,31.1,27.0,92.0,77.0,49.0,15.4,3.1,0.0,29.01,28.9,0.0
1/2/2024,47.5,42.5,35.1,44.1,35.0,25.9,89.0,75.0,55.0,16.6,4.9,0.0,29.0,28.92,0.0
1/3/2024,56.5,49.1,45.1,47.5,45.4,43.0,94.0,87.0,68.0,15.9,4.8,0.0,28.98,28.87,0.0
1/4/2024,52.2,45.3,39.6,44.2,41.7,38.5,98.0,88.0,65.0,14.8,1.8,0.0,28.97,28.64,0.08
1/5/2024,42.8,36.2,32.7,41.7,34.8,31.1,98.0,95.0,80.0,21.0,5.7,0.0,28.73,28.57,0.37
1/6/2024,39.4,34.5,31.6,33.6,30.6,27.7,95.0,86.0,64.0,24.2,9.0,0.0,28.93,28.72,0.0
1/7/2024,39.0,33.0,29.1,32.4,28.7,24.6,94.0,84.0,62.0,20.1,7.0,0.0,28.97,28.87,0.0
1/8/2024,38.5,31.6,26.4,28.0,26.2,24.1,93.0,81.0,60.0,17.5,6.1,0.0,28.95,28.86,0.0
1/9/2024,41.2,35.6,29.7,34.7,29.9,23.7,87.0,79.0,73.0,5.6,0.3,0.0,28.95,28.87,0.0
1/10/2024,39.9,37.2,32.7,37.8,35.4,31.5,98.0,93.0,83.0,12.5,2.0,0.0,28.92,28.86,0.14
1/11/2024,33.8,31.4,27.5,31.5,29.3,25.3,96.0,92.0,73.0,10.7,1.3,0.0,29.07,28.89,0.07
1/12/2024,40.5,29.7,20.7,31.3,26.3,19.4,97.0,88.0,58.0,7.8,0.8,0.0,29.13,29.03,0.06
1/13/2024,53.1,40.4,28.8,42.8,33.6,27.0,95.0,78.0,59.0,8.7,1.6,0.0,29.12,29.0,0.0
1/14/2024,50.4,46.1,42.8,42.6,38.8,31.8,90.0,76.0,58.0,21.9,5.7,0.0,29.01,28.86,0.0
1/15/2024,51.3,47.5,44.6,49.6,46.3,42.1,98.0,95.0,88.0,13.2,5.1,0.0,28.89,28.76,0.26
1/16/2024,56.5,50.8,47.5,51.1,46.9,38.1,98.0,87.0,65.0,17.9,3.9,0.0,28.82,28.69,0.0
1/17/2024,52.9,49.9,46.8,46.6,43.6,39.0,87.0,79.0,63.0,25.1,8.0,0.0,28.71,28.42,0.0
1/18/2024,54.9,48.0,43.9,45.7,42.7,39.0,92.0,82.0,66.0,28.2,7.7,0.0,28.74,28.59,0.0
1/19/2024,43.9,34.3,27.3,41.2,33.0,26.1,96.0,95.0,90.0,18.6,5.4,0.0,29.92,28.6,1.15
1/20/2024,36.7,32.9,28.8,36.0,31.9,28.0,99.0,96.0,88.0,4.0,0.1,0.0,29.92,28.89,1.57
1/21/2024,50.2,36.5,27.7,40.1,33.8,27.1,99.0,91.0,59.0,9.6,1.0,0.0,29.35,29.21,0.05
1/22/2024,52.9,42.2,33.8,45.0,38.7,32.4,95.0,88.0,69.0,17.9,5.0,0.0,29.42,29.3,0.01
1/23/2024,57.7,48.8,42.6,48.6,44.9,39.7,97.0,87.0,62.0,14.3,3.3,0.0,29.48,29.39,0.0
1/24/2024,70.3,50.5,37.8,49.6,42.2,37.0,97.0,76.0,40.0,4.7,0.7,0.0,29.5,29.4,0.0
1/25/2024,69.3,52.8,39.9,46.6,38.7,26.4,87.0,61.0,33.0,6.5,0.9,0.0,29.43,29.29,0.0
1/26/2024,64.6,49.2,37.8,43.7,37.1,30.4,84.0,65.0,36.0,7.2,0.8,0.0,29.36,29.28,0.0
