Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,58.4,41.7,32.9,42.9,36.7,30.3,95.0,84.0,47.0,7.3,0.4,0.0,30.15,30.0,0.0
1/2/2024,48.3,41.4,34.5,47.3,39.4,32.0,96.0,92.0,82.0,4.0,0.2,0.0,30.15,30.06,0.0
1/3/2024,54.8,51.2,45.3,53.6,49.9,44.0,96.0,95.0,93.0,10.9,0.4,0.0,30.06,30.0,0.12
1/4/2024,51.2,48.5,44.7,50.0,47.3,43.5,97.0,95.0,92.0,2.4,0.1,0.0,30.06,29.76,0.17
1/5/2024,50.5,44.5,38.3,47.1,37.5,30.9,97.0,78.0,50.0,10.2,1.1,0.0,29.88,29.71,0.06
1/6/2024,53.4,43.6,37.5,34.8,32.4,30.3,79.0,66.0,46.0,9.8,1.4,0.0,30.09,29.88,0.0
1/7/2024,57.9,40.9,29.6,34.5,30.3,26.2,88.0,68.0,37.0,5.5,0.4,0.0,30.15,30.06,0.0
1/8/2024,51.8,37.5,25.1,34.5,29.2,23.0,92.0,74.0,42.0,6.0,0.4,0.0,30.12,30.0,0.0
1/9/2024,46.9,41.9,39.3,38.8,36.7,33.8,89.0,82.0,71.0,4.6,0.5,0.0,30.06,29.97,0.0
1/10/2024,48.9,42.9,39.0,42.4,39.8,37.2,94.0,89.0,77.0,6.2,0.5,0.0,30.06,29.97,0.0
1/11/2024,53.6,40.3,30.7,40.6,32.5,27.3,96.0,76.0,48.0,8.2,0.9,0.0,30.15,29.97,0.0
1/12/2024,48.7,37.0,28.9,32.0,28.0,24.9,85.0,71.0,44.0,8.9,2.0,0.0,30.24,30.15,0.0
1/13/2024,50.0,41.8,34.3,40.1,34.7,28.7,87.0,77.0,64.0,6.7,1.6,0.0,30.24,30.12,0.0
1/14/2024,48.2,44.4,40.6,45.8,41.5,37.2,95.0,90.0,84.0,9.8,0.6,0.0,30.12,30.0,0.09
1/15/2024,58.6,51.8,46.0,55.5,50.5,44.7,97.0,95.0,86.0,4.6,0.2,0.0,30.0,29.88,0.22
1/16/2024,62.7,55.0,52.3,55.7,51.8,45.6,97.0,89.0,71.0,8.0,0.7,0.0,29.91,29.76,0.01
1/17/2024,56.4,52.4,49.6,51.0,49.2,46.9,96.0,89.0,77.0,11.1,2.1,0.0,29.76,29.56,0.51
1/18/2024,64.4,53.2,49.1,52.8,49.1,47.3,94.0,87.0,61.0,10.2,1.3,0.0,29.79,29.71,0.0
1/19/2024,50.5,44.3,40.2,49.1,42.1,34.8,96.0,92.0,81.0,19.9,5.0,0.0,29.85,29.62,1.16
1/20/2024,55.5,42.2,30.3,41.9,34.7,29.1,95.0,78.0,37.0,7.8,0.7,0.0,30.33,29.88,0.0
1/21/2024,60.4,44.4,32.9,42.9,38.1,31.4,95.0,81.0,49.0,4.6,0.3,0.0,30.47,30.33,0.0
1/22/2024,58.6,41.6,31.8,46.7,38.2,30.3,96.0,88.0,59.0,5.1,0.6,0.0,30.53,30.44,0.0
1/23/2024,68.0,48.0,36.8,51.6,43.0,35.7,96.0,85.0,54.0,5.8,0.9,0.0,30.59,30.5,0.0
1/24/2024,75.9,52.9,39.9,53.6,45.6,38.3,96.0,79.0,41.0,6.2,0.6,0.0,30.59,30.5,0.0
1/25/2024,74.6,52.7,40.4,51.9,44.8,38.4,95.0,78.0,40.0,7.6,0.9,0.0,30.53,30.41,0.0
1/26/2024,73.5,52.4,39.0,48.3,42.4,36.5,94.0,73.0,33.0,6.4,0.7,0.0,30.44,30.35,0.0
