Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,53.6,42.4,32.1,42.9,38.3,29.6,94.0,86.0,60.0,5.8,0.2,0.0,30.41,30.27,0.0
1/2/2024,50.9,40.3,30.5,45.6,37.1,29.1,93.0,89.0,79.0,4.6,0.3,0.0,30.44,30.33,0.0
1/3/2024,58.2,51.8,44.4,54.8,49.3,41.7,94.0,91.0,87.0,5.8,0.2,0.0,30.35,30.27,0.0
1/4/2024,55.7,50.0,44.6,52.1,48.0,42.9,95.0,93.0,87.0,8.2,0.2,0.0,30.33,30.03,0.15
1/5/2024,53.7,46.0,38.8,46.4,39.4,33.6,94.0,79.0,50.0,8.9,0.4,0.0,30.15,29.94,0.01
1/6/2024,54.5,40.4,30.9,38.6,32.4,28.9,92.0,75.0,43.0,6.0,0.2,0.0,30.35,30.15,0.0
1/7/2024,52.1,36.9,27.6,36.3,29.6,25.7,93.0,77.0,44.0,8.9,0.5,0.0,30.41,30.33,0.0
1/8/2024,50.3,34.9,23.3,35.0,28.6,21.3,92.0,79.0,50.0,5.3,0.4,0.0,30.38,30.27,0.0
1/9/2024,50.0,41.6,35.4,41.3,36.6,31.4,89.0,83.0,69.0,6.4,0.3,0.0,30.33,30.24,0.0
1/10/2024,46.4,42.3,37.2,42.9,39.9,35.4,94.0,91.0,86.0,6.0,0.3,0.0,30.33,30.24,0.11
1/11/2024,50.3,40.6,29.8,42.6,34.7,26.6,94.0,81.0,51.0,8.2,1.0,0.0,30.41,30.24,0.01
1/12/2024,48.2,35.2,24.9,40.1,30.9,22.6,90.0,84.0,70.0,6.4,0.6,0.0,30.5,30.41,0.0
1/13/2024,51.2,39.9,30.5,43.7,35.9,28.9,93.0,86.0,70.0,4.6,0.3,0.0,30.5,30.38,0.0
1/14/2024,52.8,44.2,37.0,46.9,40.9,34.5,93.0,88.0,78.0,7.8,0.1,0.0,30.38,30.27,0.0
1/15/2024,58.1,51.7,46.4,55.0,49.8,43.5,95.0,93.0,88.0,5.5,0.2,0.0,30.27,30.15,0.33
1/16/2024,61.3,55.1,51.4,55.4,51.7,43.1,96.0,88.0,62.0,7.6,0.3,0.0,30.18,30.06,0.09
1/17/2024,56.1,53.2,47.6,51.4,49.5,45.3,92.0,87.0,81.0,13.6,1.9,0.0,30.03,29.79,0.28
1/18/2024,59.7,52.3,47.3,55.2,49.7,45.1,94.0,91.0,83.0,4.2,0.1,0.0,30.09,30.0,0.12
1/19/2024,57.5,50.9,42.2,53.2,49.1,40.2,95.0,93.0,84.0,16.5,1.2,0.0,30.09,29.85,0.81
1/20/2024,51.2,44.3,39.3,46.2,40.7,35.6,93.0,87.0,80.0,8.2,0.9,0.0,30.59,30.09,0.0
1/21/2024,52.5,44.5,37.9,46.7,41.7,35.4,93.0,90.0,70.0,4.4,0.1,0.0,30.74,30.59,0.0
1/22/2024,59.3,43.9,31.4,47.8,40.0,30.0,95.0,87.0,61.0,4.4,0.3,0.0,30.83,30.74,0.01
1/23/2024,63.3,47.4,35.4,54.3,43.8,34.1,95.0,88.0,66.0,4.6,0.1,0.0,30.86,30.77,0.0
