Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,51.0,42.4,35.3,42.1,38.3,32.5,96.0,86.0,62.0,15.7,3.1,0.0,30.07,29.93,0.0
1/2/2024,47.1,40.9,36.5,46.6,39.8,35.6,98.0,96.0,86.0,7.2,1.3,0.0,30.08,29.98,0.01
1/3/2024,53.4,50.9,47.2,52.6,50.0,46.1,98.0,96.0,87.0,21.7,7.3,0.0,30.0,29.92,0.07
1/4/2024,50.1,47.3,44.0,49.2,46.6,43.5,98.0,98.0,93.0,10.7,1.8,0.0,29.99,29.72,0.14
1/5/2024,50.0,44.6,39.2,47.3,36.9,29.5,98.0,75.0,50.0,19.2,7.5,0.0,29.83,29.65,0.05
1/6/2024,50.9,43.4,37.4,34.2,32.2,30.4,78.0,65.0,48.0,16.6,5.4,0.0,30.05,29.82,0.0
1/7/2024,54.5,42.9,35.4,32.1,30.2,27.1,80.0,62.0,37.0,12.5,3.2,0.0,30.08,30.02,0.0
1/8/2024,48.3,38.8,29.5,34.8,30.4,26.1,87.0,72.0,50.0,8.3,2.1,0.0,30.06,29.95,0.0
1/9/2024,45.6,41.3,38.0,39.3,37.3,34.3,94.0,86.0,75.0,5.8,1.5,0.0,29.99,29.93,0.0
1/10/2024,45.8,41.9,38.8,42.4,39.7,37.2,97.0,92.0,85.0,17.4,5.9,0.0,30.0,29.92,0.01
1/11/2024,51.9,40.9,33.6,40.2,33.8,28.1,97.0,77.0,47.0,11.2,2.6,0.0,30.09,29.92,0.01
1/12/2024,48.6,37.3,29.3,31.5,28.4,25.1,84.0,71.0,47.0,8.3,2.5,0.0,30.18,30.08,0.0
1/13/2024,49.1,41.9,35.5,40.4,35.5,30.6,88.0,78.0,65.0,5.6,1.6,0.0,30.19,30.06,0.0
1/14/2024,46.4,43.9,41.2,44.9,41.6,38.5,96.0,92.0,82.0,11.0,2.3,0.0,30.08,29.93,0.11
1/15/2024,55.9,50.9,45.0,54.5,50.2,43.9,98.0,97.0,93.0,22.4,7.8,0.0,29.94,29.82,0.24
1/16/2024,58.5,54.8,51.1,54.4,51.6,46.3,98.0,90.0,67.0,21.9,8.8,0.9,29.87,29.69,0.0
1/17/2024,54.6,51.8,49.5,51.2,48.9,46.0,97.0,90.0,82.0,33.8,14.7,3.4,29.7,29.48,1.94
1/18/2024,58.0,52.0,49.1,51.5,49.1,47.3,96.0,90.0,75.0,33.8,12.1,0.0,29.75,29.63,0.7
1/19/2024,50.1,44.4,38.9,49.2,42.3,33.7,98.0,92.0,79.0,22.1,5.7,0.0,29.83,29.54,1.32
1/20/2024,55.7,42.2,32.5,41.5,35.2,30.4,93.0,78.0,46.0,7.4,1.6,0.0,30.29,29.83,0.0
1/21/2024,55.3,44.6,36.1,42.0,38.7,34.3,94.0,81.0,58.0,7.8,1.9,0.0,30.42,30.28,0.0
1/22/2024,53.3,41.5,34.7,46.1,39.3,33.7,97.0,92.0,74.0,6.0,1.5,0.0,30.49,30.4,0.0
1/23/2024,65.3,48.6,38.3,52.3,44.5,37.3,97.0,87.0,61.0,7.4,1.6,0.0,30.54,30.46,0.0
1/24/2024,70.8,54.1,43.4,53.1,46.8,40.9,96.0,78.0,47.0,5.1,1.7,0.0,30.55,30.46,0.0
1/25/2024,69.5,54.0,42.9,51.0,45.8,38.4,90.0,75.0,49.0,6.9,1.9,0.0,30.48,30.36,0.0
1/26/2024,73.9,55.9,44.5,49.3,43.8,40.3,90.0,67.0,33.0,4.7,1.7,0.0,30.39,30.31,0.0
1/27/2024,68.0,55.1,46.6,45.6,41.1,36.9,72.0,60.0,39.0,6.5,2.0,0.0,30.32,30.22,0.0
1/28/2024,65.5,51.9,42.5,45.0,42.2,38.5,87.0,71.0,45.0,6.3,2.2,0.0,30.26,30.2,0.0
1/29/2024,63.2,52.7,45.1,46.4,43.1,39.4,87.0,72.0,44.0,9.2,1.9,0.0,30.32,30.21,0.0
1/30/2024,61.2,49.0,40.2,47.0,43.2,38.2,93.0,81.0,57.0,6.3,1.5,0.0,30.37,30.3,0.0
1/31/2024,60.4,45.9,37.6,46.9,41.9,36.1,96.0,87.0,60.0,4.7,1.4,0.0,30.44,30.36,0.0
2/1/2024,68.5,51.0,40.0,46.5,40.4,36.0,94.0,70.0,33.0,7.2,2.0,0.0,30.46,30.36,0.0
2/2/2024,63.8,51.1,40.2,44.6,39.8,35.1,85.0,67.0,44.0,10.1,2.5,0.0,30.37,30.3,0.0
2/3/2024,63.3,50.3,39.6,43.7,38.6,36.2,89.0,66.0,39.0,8.9,2.7,0.0,30.37,30.31,0.0
2/4/2024,69.0,50.7,38.3,40.5,34.6,29.8,74.0,56.0,29.0,6.7,2.2,0.0,30.36,30.29,0.0
2/5/2024,63.5,49.0,37.9,42.0,35.9,28.2,82.0,61.0,40.0,7.6,2.1,0.0,30.32,30.2,0.0
2/6/2024,61.1,48.7,39.6,48.3,41.8,36.1,88.0,78.0,53.0,12.1,3.7,0.0,30.22,30.13,0.0
2/7/2024,53.4,46.3,39.2,48.3,43.6,38.2,97.0,91.0,70.0,24.8,4.7,0.0,30.16,30.02,0.0
2/8/2024,54.6,48.4,46.2,47.9,45.1,36.8,97.0,89.0,51.0,45.4,6.1,0.0,30.02,29.53,0.19
2/9/2024,53.1,48.8,45.6,50.7,47.3,43.7,97.0,95.0,89.0,27.5,7.9,0.0,29.53,29.1,0.41
2/10/2024,53.7,46.0,41.1,44.2,36.3,31.0,96.0,70.0,48.0,27.7,10.5,1.1,29.69,29.17,0.19
2/11/2024,46.5,41.2,36.2,41.6,35.9,29.7,96.0,82.0,61.0,18.3,6.6,0.0,29.79,29.68,0.01
2/12/2024,59.9,48.5,40.6,50.9,45.4,39.3,98.0,90.0,68.0,22.6,7.9,0.0,30.03,29.7,0.02
2/13/2024,62.6,53.5,47.0,55.0,50.6,46.2,97.0,90.0,75.0,11.6,2.8,0.0,30.18,29.99,0.02
2/14/2024,66.1,55.1,48.1,55.7,51.7,47.3,98.0,89.0,67.0,8.7,2.1,0.0,30.17,30.04,0.0
2/15/2024,59.3,53.1,38.2,52.6,50.1,36.1,96.0,90.0,70.0,15.9,4.2,0.0,30.04,29.87,0.09
2/16/2024,64.5,53.0,46.8,47.5,41.7,38.2,92.0,67.0,43.0,14.3,4.6,0.0,30.24,29.95,0.0
