Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,46.0,39.2,33.8,35.8,30.1,25.3,84.0,70.0,57.0,5.8,0.4,0.0,29.86,29.75,0.0
1/2/2024,43.7,37.8,34.7,41.7,35.1,31.1,96.0,90.0,80.0,4.5,0.2,0.0,29.87,29.77,0.06
1/3/2024,52.2,46.6,42.3,47.5,43.3,37.8,98.0,89.0,70.0,9.4,0.7,0.0,29.82,29.74,0.17
1/4/2024,45.9,42.5,38.3,43.2,40.0,36.0,98.0,91.0,79.0,7.6,0.3,0.0,29.82,29.52,0.12
1/5/2024,42.3,36.7,33.8,37.2,31.8,28.2,90.0,82.0,65.0,14.8,3.3,0.0,29.61,29.43,0.21
1/6/2024,38.7,35.0,31.8,31.1,28.4,25.3,90.0,77.0,60.0,14.1,3.4,0.0,29.8,29.6,0.02
1/7/2024,41.7,35.7,31.8,28.6,25.7,24.1,77.0,67.0,52.0,6.5,0.5,0.0,29.86,29.79,0.0
1/8/2024,42.3,34.7,28.9,29.3,25.7,21.6,80.0,70.0,51.0,5.4,0.4,0.0,29.83,29.74,0.0
1/9/2024,38.5,35.2,32.4,34.7,31.9,28.6,97.0,88.0,79.0,1.8,0.0,0.0,29.78,29.71,0.0
1/10/2024,39.9,36.5,34.0,37.8,34.6,32.7,97.0,93.0,78.0,13.2,0.6,0.0,29.77,29.69,0.35
1/11/2024,41.0,34.4,29.3,33.6,27.2,22.1,95.0,76.0,52.0,4.7,0.4,0.0,29.87,29.72,0.01
1/12/2024,39.9,31.3,25.5,29.1,25.3,20.7,88.0,79.0,62.0,2.7,0.1,0.0,29.95,29.86,0.0
1/13/2024,46.2,39.1,30.9,39.4,33.6,27.7,89.0,81.0,67.0,2.9,0.2,0.0,29.97,29.86,0.0
1/14/2024,52.2,44.9,40.1,46.6,39.8,32.7,98.0,83.0,55.0,8.5,0.8,0.0,29.87,29.74,0.11
1/15/2024,52.9,48.3,44.2,49.6,46.4,42.4,98.0,93.0,86.0,8.9,0.7,0.0,29.75,29.65,0.53
1/16/2024,50.5,48.3,44.6,48.9,46.8,43.0,98.0,95.0,84.0,5.8,0.1,0.0,29.7,29.53,0.17
1/17/2024,47.7,45.2,41.7,45.9,43.3,36.7,98.0,93.0,72.0,15.4,0.9,0.0,29.54,29.32,1.84
1/18/2024,52.3,46.2,40.1,48.2,40.3,35.2,97.0,81.0,58.0,12.8,1.1,0.0,29.58,29.45,0.0
1/19/2024,43.9,40.0,36.3,41.7,38.0,32.4,97.0,93.0,81.0,6.5,0.4,0.0,29.61,29.4,0.92
1/20/2024,46.2,38.1,32.5,38.8,31.2,21.7,95.0,77.0,47.0,6.9,0.3,0.0,30.06,29.6,0.0
1/21/2024,49.1,39.0,32.5,41.0,35.0,29.8,94.0,86.0,69.0,2.9,0.2,0.0,30.19,30.06,0.0
1/22/2024,55.2,45.0,36.0,46.9,40.2,33.6,93.0,84.0,68.0,10.7,0.9,0.0,30.27,30.16,0.0
1/23/2024,57.4,48.4,41.4,50.5,44.1,38.7,94.0,85.0,75.0,2.5,0.3,0.0,30.34,30.25,0.0
1/24/2024,63.5,52.4,45.7,50.0,42.7,35.2,83.0,70.0,52.0,2.2,0.5,0.0,30.35,30.28,0.0
1/25/2024,64.2,53.7,46.8,48.7,40.0,31.5,76.0,60.0,45.0,2.2,0.5,0.0,30.3,30.18,0.0
1/26/2024,64.0,54.4,48.2,44.1,37.5,32.0,72.0,54.0,36.0,2.2,0.6,0.0,30.22,30.15,0.0
1/27/2024,63.3,52.9,46.4,44.1,37.0,31.3,67.0,55.0,41.0,2.5,0.4,0.0,30.16,30.06,0.0
1/28/2024,58.8,48.8,42.1,44.6,40.2,37.0,83.0,73.0,57.0,2.5,0.2,0.0,30.08,30.02,0.0
1/29/2024,57.2,48.3,43.3,43.9,40.6,36.7,86.0,75.0,60.0,2.5,0.1,0.0,30.11,30.03,0.0
1/30/2024,55.9,45.9,38.8,46.8,40.4,35.4,91.0,82.0,66.0,2.0,0.1,0.0,30.17,30.08,0.0
1/31/2024,57.0,44.6,35.1,46.8,38.1,30.2,95.0,79.0,51.0,2.2,0.1,0.0,30.23,30.14,0.0
2/1/2024,60.3,50.8,43.3,41.9,31.9,23.4,68.0,49.0,27.0,4.3,0.4,0.0,30.25,30.16,0.0
2/2/2024,58.8,49.7,43.2,41.7,33.0,22.1,78.0,54.0,31.0,4.3,0.2,0.0,30.18,30.1,0.0
2/3/2024,60.8,45.9,39.0,41.5,36.0,28.2,85.0,70.0,36.0,2.0,0.2,0.0,30.17,30.12,0.0
2/4/2024,61.3,48.2,40.5,33.8,25.9,14.5,61.0,43.0,20.0,3.6,0.4,0.0,30.16,30.1,0.0
2/5/2024,58.1,48.1,40.6,37.9,30.6,22.6,66.0,52.0,33.0,2.5,0.3,0.0,30.13,30.02,0.0
2/6/2024,55.9,47.9,41.0,41.4,31.1,24.6,67.0,52.0,33.0,7.8,0.8,0.0,30.03,29.93,0.0
2/7/2024,48.2,43.9,37.8,41.4,35.5,27.1,93.0,74.0,45.0,7.6,0.4,0.0,29.96,29.81,0.0
2/8/2024,43.2,41.7,39.9,40.6,39.1,36.7,96.0,90.0,83.0,9.6,0.9,0.0,29.81,29.34,0.38
2/9/2024,45.3,42.5,39.9,44.8,41.8,37.6,99.0,97.0,91.0,5.4,0.2,0.0,29.35,28.95,1.12
2/10/2024,40.3,36.8,33.1,38.7,31.8,26.2,95.0,82.0,66.0,22.1,6.1,0.0,29.42,28.99,0.61
