Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,60.8,54.1,45.8,54.4,49.8,43.0,91.0,86.0,75.0,11.5,2.6,0.0,30.17,30.02,0.0
1/2/2024,61.7,53.1,40.2,56.9,49.0,36.7,93.0,86.0,71.0,25.3,9.3,0.0,30.18,30.04,0.0
1/3/2024,64.8,60.5,58.0,59.1,56.8,55.1,95.0,88.0,76.0,23.0,10.8,0.0,30.05,29.97,0.0
1/4/2024,63.1,58.4,51.2,59.6,56.3,49.8,97.0,93.0,84.0,14.0,4.5,0.0,30.05,29.82,0.0
1/5/2024,60.5,57.2,48.7,58.7,54.3,45.6,97.0,90.0,77.0,27.0,8.9,0.0,29.82,29.56,0.6
1/6/2024,56.5,51.1,47.3,47.4,44.9,41.9,94.0,80.0,64.0,32.2,12.4,2.0,29.85,29.6,0.26
1/7/2024,54.4,50.5,47.3,43.6,40.7,37.3,79.0,69.0,56.0,30.0,13.3,1.0,29.92,29.84,0.0
1/8/2024,54.4,47.7,41.2,41.2,37.7,34.8,79.0,69.0,52.0,22.0,6.5,0.0,30.1,29.91,0.0
1/9/2024,56.9,48.4,37.3,44.7,39.0,32.3,85.0,71.0,50.0,9.2,2.1,0.0,30.17,30.08,0.0
1/10/2024,56.6,52.8,49.4,50.1,46.9,44.3,93.0,81.0,70.0,11.5,2.7,0.0,30.13,30.03,0.15
1/11/2024,54.5,49.8,45.4,50.1,47.3,43.5,96.0,91.0,80.0,18.4,6.2,0.0,30.18,29.99,0.18
1/12/2024,57.3,49.3,44.3,49.7,45.0,40.5,94.0,86.0,72.0,12.0,5.2,0.0,30.31,30.17,0.0
1/13/2024,58.1,49.6,39.0,51.3,44.8,36.7,94.0,84.0,70.0,17.3,5.8,0.0,30.32,30.16,0.0
1/14/2024,63.5,58.2,55.3,57.7,54.9,50.8,95.0,89.0,74.0,18.4,7.8,0.0,30.17,29.88,0.0
1/15/2024,62.0,58.5,55.0,57.4,55.1,50.6,94.0,88.0,82.0,21.0,8.0,0.0,29.89,29.79,0.0
1/16/2024,64.1,59.5,55.3,60.0,57.3,53.9,96.0,92.0,85.0,23.0,7.7,0.0,29.91,29.82,0.0
1/17/2024,64.2,60.7,57.7,58.8,57.2,55.4,94.0,88.0,76.0,33.4,13.7,0.0,29.86,29.59,0.0
1/18/2024,63.9,61.1,58.4,58.2,56.4,54.5,93.0,85.0,76.0,34.5,14.0,0.0,29.84,29.71,0.0
1/19/2024,58.6,55.1,49.4,56.9,52.6,47.7,98.0,91.0,82.0,22.0,8.4,0.0,29.88,29.77,0.32
1/20/2024,57.7,50.3,46.0,51.6,44.7,39.7,95.0,82.0,59.0,28.0,13.9,1.0,30.42,29.83,0.58
1/21/2024,56.3,48.2,41.0,45.3,40.9,37.1,88.0,76.0,56.0,11.5,3.6,0.0,30.57,30.42,0.0
1/22/2024,58.2,50.6,39.0,51.2,45.5,36.3,93.0,83.0,71.0,21.0,6.4,0.0,30.58,30.48,0.0
1/23/2024,61.1,55.9,48.6,57.1,53.1,46.7,95.0,90.0,82.0,11.5,3.4,0.0,30.61,30.51,0.0
1/24/2024,64.5,55.5,46.8,57.1,52.6,45.6,98.0,90.0,71.0,14.0,3.7,0.0,30.61,30.55,0.0
1/25/2024,68.1,57.2,49.1,59.8,54.1,48.0,98.0,90.0,66.0,14.0,3.4,0.0,30.56,30.39,0.01
1/26/2024,70.7,56.4,45.6,59.2,50.4,44.3,97.0,82.0,50.0,9.2,2.1,0.0,30.46,30.38,0.01
1/27/2024,69.5,57.3,49.2,55.3,49.7,44.0,91.0,77.0,54.0,12.0,3.2,0.0,30.45,30.38,0.0
1/28/2024,62.5,56.1,48.8,57.2,51.2,44.0,94.0,84.0,78.0,17.3,6.7,0.0,30.44,30.37,0.0
1/29/2024,62.5,58.8,56.0,54.5,52.9,52.1,87.0,81.0,73.0,17.3,6.6,0.0,30.46,30.4,0.0
1/30/2024,61.4,55.4,50.4,52.8,50.2,48.2,93.0,83.0,71.0,15.0,4.3,0.0,30.54,30.44,0.0
1/31/2024,59.9,54.9,48.5,49.8,47.9,43.9,86.0,77.0,67.0,11.5,2.9,0.0,30.57,30.51,0.0
2/1/2024,60.7,52.0,42.0,53.1,47.6,39.0,93.0,85.0,73.0,13.0,3.6,0.0,30.55,30.44,0.0
2/2/2024,62.5,53.6,46.3,53.5,48.4,44.7,96.0,84.0,61.0,26.5,6.7,0.0,30.49,30.41,0.0
2/3/2024,60.7,52.4,43.3,54.4,49.1,41.7,96.0,89.0,72.0,15.0,3.8,0.0,30.52,30.46,0.0
2/4/2024,61.1,55.4,49.8,55.3,52.0,47.3,95.0,89.0,79.0,16.1,4.7,0.0,30.48,30.41,0.0
2/5/2024,61.7,53.4,42.8,57.1,51.0,41.2,98.0,92.0,82.0,15.0,3.1,0.0,30.45,30.33,0.01
2/6/2024,61.2,55.8,50.9,58.2,53.9,49.8,98.0,93.0,84.0,18.4,3.8,0.0,30.33,30.16,0.0
2/7/2024,61.8,54.6,43.3,56.5,51.5,41.9,97.0,90.0,80.0,19.6,5.4,0.0,30.17,30.07,0.0
2/8/2024,62.9,58.5,51.7,57.7,55.3,49.8,95.0,89.0,78.0,25.3,9.0,0.0,30.07,29.76,0.0
2/9/2024,62.9,59.4,56.2,56.1,54.4,52.5,94.0,84.0,73.0,35.0,15.2,0.0,29.77,29.3,0.17
2/10/2024,63.4,58.2,51.0,57.0,51.7,45.4,93.0,79.0,56.0,34.5,15.6,0.0,29.59,29.2,0.0
2/11/2024,60.3,55.3,51.1,47.6,43.0,36.8,81.0,64.0,42.0,26.5,13.5,3.0,29.87,29.59,0.0
2/12/2024,64.6,58.6,54.4,56.3,51.0,43.9,87.0,76.0,58.0,30.0,11.0,0.0,30.04,29.77,0.0
2/13/2024,62.9,56.1,48.1,54.7,48.9,40.5,89.0,77.0,64.0,13.8,4.3,0.0,30.3,30.03,0.0
2/14/2024,65.5,56.5,47.2,58.9,52.9,44.7,95.0,88.0,71.0,11.5,2.9,0.0,30.35,30.25,0.0
2/15/2024,65.4,59.2,53.7,56.1,54.6,51.7,96.0,85.0,67.0,19.6,7.9,0.0,30.26,30.03,0.0
2/16/2024,62.1,56.9,52.6,57.9,53.8,51.5,97.0,90.0,77.0,22.0,7.4,0.0,30.2,29.99,0.0
2/17/2024,62.4,57.6,54.6,53.1,51.3,48.7,90.0,80.0,67.0,34.5,15.1,1.0,30.48,30.2,0.04
2/18/2024,64.4,55.6,48.6,55.5,51.0,46.4,94.0,85.0,68.0,13.0,4.2,0.0,30.57,30.48,0.0
2/19/2024,61.0,55.6,49.9,56.7,53.0,48.0,96.0,91.0,80.0,11.5,2.7,0.0,30.52,30.42,0.0
2/20/2024,64.0,54.9,48.6,55.8,48.0,41.7,97.0,79.0,46.0,26.5,6.9,0.0,30.44,30.33,0.01
2/21/2024,62.2,53.5,43.6,53.2,47.0,40.5,91.0,79.0,55.0,15.0,4.0,0.0,30.4,30.22,0.0
2/22/2024,62.7,59.4,56.1,59.7,56.5,52.5,94.0,90.0,85.0,24.2,11.0,0.0,30.23,29.71,0.0
2/23/2024,61.3,57.7,52.1,56.6,46.6,34.9,89.0,68.0,39.0,25.3,12.8,0.0,29.84,29.66,0.0
2/24/2024,58.1,53.0,47.4,47.3,43.8,39.0,86.0,71.0,56.0,25.3,9.6,0.0,30.01,29.75,0.12
2/25/2024,60.7,54.4,42.2,55.3,47.1,36.6,87.0,77.0,65.0,35.0,13.6,0.0,30.03,29.7,0.0
2/26/2024,60.2,56.6,51.0,57.1,53.6,46.6,93.0,90.0,82.0,28.0,8.5,0.0,29.71,29.54,0.26
2/27/2024,58.4,51.3,47.4,50.6,46.0,43.7,91.0,82.0,63.0,26.5,8.6,0.0,29.91,29.63,0.06
2/28/2024,53.9,50.3,47.6,47.5,46.0,44.5,92.0,85.0,72.0,31.1,12.8,1.0,30.04,29.89,0.08
2/29/2024,63.9,55.9,48.4,50.8,45.8,39.9,86.0,70.0,51.0,18.4,7.0,0.0,30.02,29.84,0.0
3/1/2024,58.9,53.1,45.6,50.7,46.3,41.7,94.0,78.0,56.0,27.0,10.3,0.0,29.99,29.77,0.69
3/2/2024,61.1,57.8,55.3,54.3,51.9,47.0,89.0,81.0,63.0,30.0,15.9,3.5,29.97,29.65,0.0
3/3/2024,58.4,54.9,50.0,55.0,43.9,36.5,91.0,67.0,50.0,36.8,19.6,1.0,29.89,29.51,0.1
3/4/2024,59.5,54.9,49.3,53.3,44.0,37.3,89.0,68.0,48.0,27.0,10.9,0.0,30.04,29.89,0.0
3/5/2024,65.0,56.3,46.1,52.2,46.3,38.7,92.0,71.0,42.0,18.4,5.7,0.0,30.26,30.04,0.0
3/6/2024,62.0,52.7,42.1,49.6,43.3,38.4,91.0,72.0,43.0,13.0,3.2,0.0,30.27,30.16,0.0
3/7/2024,60.3,53.9,45.3,55.1,48.5,40.9,91.0,82.0,68.0,21.0,8.4,0.0,30.16,29.86,0.0
3/8/2024,60.6,57.3,51.2,56.6,51.7,46.6,95.0,82.0,63.0,27.0,13.1,1.0,29.86,29.77,0.15
