Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/4/2024,46.6,45.6,44.4,46.2,45.2,44.1,99.0,99.0,98.0,4.3,0.2,0.0,29.61,29.57,0.05
1/5/2024,51.3,42.8,37.2,44.4,34.8,26.8,99.0,75.0,46.0,8.5,0.9,0.0,29.69,29.51,0.19
1/6/2024,41.7,38.8,33.4,31.6,29.8,27.9,82.0,70.0,63.0,6.0,0.6,0.0,29.85,29.69,0.0
1/12/2024,36.7,34.9,33.1,32.0,30.4,29.1,86.0,84.0,80.0,0.0,0.0,0.0,30.01,29.96,0.0
1/13/2024,46.2,39.1,33.1,40.6,35.4,30.4,94.0,87.0,76.0,1.8,0.0,0.0,30.03,29.91,0.0
1/14/2024,49.6,44.9,38.1,47.5,41.6,36.3,95.0,89.0,76.0,11.4,0.8,0.0,29.92,29.78,0.04
1/15/2024,53.8,51.0,46.6,53.4,50.5,45.9,99.0,99.0,94.0,8.3,1.3,0.0,29.79,29.68,0.34
1/16/2024,59.7,53.2,49.8,53.6,50.6,45.9,99.0,91.0,67.0,9.6,2.0,0.0,29.73,29.51,0.2
1/17/2024,53.2,49.3,44.8,50.7,47.4,41.9,99.0,93.0,80.0,16.3,4.0,0.0,29.52,29.33,1.56
1/18/2024,58.1,50.0,47.7,51.3,47.8,46.0,98.0,92.0,76.0,13.9,2.9,0.0,29.6,29.5,0.07
1/19/2024,48.2,42.7,33.3,47.5,41.2,27.1,99.0,95.0,78.0,6.3,0.5,0.0,29.7,29.4,0.51
1/20/2024,56.8,40.5,32.9,40.3,34.1,27.5,98.0,79.0,46.0,5.8,0.3,0.0,30.12,29.69,0.0
1/21/2024,54.0,40.4,31.6,45.1,37.3,31.1,99.0,90.0,64.0,2.5,0.1,0.0,30.25,30.11,0.0
1/22/2024,58.5,44.2,34.2,48.6,41.2,33.8,99.0,90.0,67.0,3.4,0.1,0.0,30.32,30.22,0.0
1/23/2024,61.9,48.3,41.7,52.0,45.9,41.2,99.0,92.0,67.0,1.6,0.1,0.0,30.38,30.29,0.0
1/24/2024,71.2,52.0,40.8,54.7,45.8,40.1,99.0,82.0,48.0,2.2,0.0,0.0,30.38,30.3,0.0
1/25/2024,70.0,50.6,39.2,53.2,44.4,37.9,97.0,82.0,44.0,2.0,0.1,0.0,30.32,30.19,0.0
1/26/2024,72.9,52.0,40.5,51.1,42.6,37.2,90.0,73.0,34.0,1.8,0.0,0.0,30.23,30.15,0.0
1/27/2024,69.6,50.5,40.3,49.6,41.6,37.0,89.0,74.0,38.0,1.6,0.0,0.0,30.17,30.07,0.0
1/28/2024,58.5,44.3,39.0,46.2,40.6,37.4,96.0,88.0,61.0,1.8,0.0,0.0,30.1,30.05,0.0
2/9/2024,46.9,44.5,43.2,45.1,43.5,42.6,99.0,96.0,92.0,12.3,3.7,0.0,29.05,28.99,0.55
2/10/2024,50.5,43.1,38.7,42.8,36.7,27.9,99.0,79.0,55.0,9.2,1.0,0.0,29.53,29.04,0.15
2/11/2024,43.2,37.9,32.7,38.3,33.0,26.8,95.0,83.0,62.0,7.2,0.6,0.0,29.64,29.52,0.01
2/16/2024,49.1,46.3,42.8,41.7,40.2,39.0,87.0,79.0,71.0,2.5,0.1,0.0,30.09,30.02,0.0
2/17/2024,64.9,51.0,42.1,42.8,36.9,30.2,86.0,62.0,32.0,5.4,0.4,0.0,30.24,30.07,0.0
2/18/2024,65.8,48.4,34.3,47.1,36.1,30.6,86.0,65.0,34.0,3.6,0.2,0.0,30.29,30.21,0.0
3/1/2024,44.6,43.4,41.9,39.0,38.6,38.1,88.0,83.0,79.0,6.0,2.1,0.0,29.73,29.68,0.0
3/2/2024,44.4,40.6,34.3,43.3,38.1,27.9,98.0,91.0,68.0,11.6,2.5,0.0,29.68,29.28,1.14
3/3/2024,44.8,38.8,30.7,36.5,30.0,23.0,85.0,71.0,55.0,7.4,0.7,0.0,29.7,29.43,0.04
3/8/2024,41.9,40.9,40.1,40.8,39.2,36.9,99.0,94.0,82.0,6.3,0.8,0.0,29.39,29.21,0.59
3/9/2024,44.4,38.8,34.7,43.3,37.1,33.1,99.0,94.0,77.0,11.9,2.8,0.0,29.21,29.11,0.57
3/10/2024,54.1,42.8,36.1,44.8,39.7,35.2,98.0,90.0,63.0,10.3,1.8,0.0,29.45,29.19,0.21
3/21/2024,56.1,54.1,52.0,48.7,47.7,46.6,82.0,79.0,74.0,0.5,0.0,0.0,29.94,29.92,0.0
3/22/2024,78.6,60.5,48.9,64.0,47.6,41.7,89.0,66.0,31.0,2.5,0.1,0.0,29.94,29.8,0.0
3/23/2024,75.2,60.6,49.1,56.1,48.9,43.3,82.0,67.0,40.0,2.7,0.1,0.0,29.88,29.76,0.0
3/24/2024,69.3,58.7,50.0,51.8,47.5,44.6,87.0,68.0,42.0,3.1,0.1,0.0,29.8,29.51,0.0
3/25/2024,59.9,51.8,45.1,52.3,47.3,38.7,95.0,85.0,75.0,7.6,0.6,0.0,29.51,29.11,0.0
3/26/2024,49.6,40.2,33.8,39.2,35.1,30.7,98.0,83.0,50.0,11.0,1.5,0.0,29.18,29.12,0.37
3/27/2024,52.0,45.0,37.2,47.3,42.7,35.6,98.0,92.0,77.0,16.3,3.6,0.0,29.27,29.14,0.29
3/28/2024,56.8,47.7,41.5,50.2,44.2,39.2,98.0,88.0,67.0,14.3,3.4,0.0,29.36,29.21,1.26
3/29/2024,48.4,41.8,38.7,47.7,41.0,37.8,99.0,97.0,86.0,8.1,0.9,0.0,29.27,29.2,0.51
3/30/2024,51.1,41.3,36.1,45.1,40.1,35.4,99.0,96.0,74.0,6.3,0.6,0.0,29.26,29.08,0.71
3/31/2024,50.4,40.7,36.1,45.0,38.8,35.4,99.0,94.0,73.0,8.5,1.2,0.0,29.33,29.08,0.44
4/5/2024,72.5,59.0,52.9,55.8,50.3,46.8,82.0,74.0,46.0,1.8,0.0,0.0,29.73,29.7,0.0
4/6/2024,71.6,59.5,47.5,51.4,46.8,41.7,88.0,65.0,37.0,4.0,0.1,0.0,29.8,29.64,0.0
4/7/2024,71.6,58.2,51.3,55.8,49.1,45.9,88.0,73.0,48.0,6.5,0.7,0.0,29.79,29.68,0.0
4/26/2024,55.6,52.5,47.8,45.9,41.4,39.2,93.0,67.0,55.0,4.5,0.7,0.0,29.41,29.37,0.0
