Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,49.3,39.5,33.3,40.8,37.4,32.0,99.0,93.0,66.0,7.6,1.2,0.0,30.22,30.09,0.0
1/2/2024,44.6,39.5,32.9,44.2,38.5,32.4,99.0,97.0,86.0,5.4,0.8,0.0,30.23,30.12,0.0
1/3/2024,54.9,50.0,44.2,53.6,49.5,43.9,99.0,98.0,95.0,13.9,3.2,0.0,30.15,30.06,0.21
1/4/2024,50.9,48.1,44.6,50.4,47.7,44.2,99.0,99.0,95.0,6.7,0.9,0.0,30.14,29.84,0.22
1/5/2024,47.8,44.4,39.6,46.8,38.7,32.0,99.0,81.0,57.0,22.1,4.2,0.0,29.95,29.76,0.03
1/6/2024,46.8,40.8,33.8,35.8,32.7,30.6,90.0,73.0,54.0,19.9,4.3,0.0,30.16,29.94,0.0
1/7/2024,48.0,40.3,33.4,34.2,30.6,27.7,89.0,69.0,48.0,23.3,5.0,0.0,30.21,30.14,0.0
1/8/2024,46.9,37.9,27.3,34.0,30.1,25.3,93.0,74.0,50.0,17.7,2.0,0.0,30.18,30.08,0.0
1/9/2024,44.6,40.5,36.5,39.2,36.7,32.7,94.0,86.0,78.0,6.9,0.9,0.0,30.13,30.06,0.0
1/10/2024,45.7,42.2,39.9,43.2,40.6,38.3,99.0,94.0,87.0,10.5,2.5,0.0,30.12,30.04,0.04
1/11/2024,45.7,37.9,30.9,40.8,32.7,27.5,99.0,83.0,59.0,11.4,2.8,0.0,30.24,30.05,0.01
1/12/2024,45.5,34.7,27.0,34.9,29.2,24.3,92.0,81.0,62.0,8.1,1.9,0.0,30.32,30.21,0.0
1/13/2024,50.2,39.4,29.8,42.4,35.4,28.0,96.0,86.0,69.0,6.3,1.3,0.0,30.32,30.19,0.0
1/14/2024,46.8,42.2,37.6,45.1,41.1,36.5,99.0,96.0,92.0,9.8,1.6,0.0,30.2,30.06,0.13
1/15/2024,57.2,49.8,42.3,55.0,49.3,41.9,99.0,98.0,92.0,12.1,2.6,0.0,30.07,29.94,0.25
1/16/2024,57.9,55.3,52.2,55.2,52.6,46.2,99.0,91.0,71.0,15.4,5.6,0.2,29.99,29.83,0.02
1/17/2024,54.5,52.6,49.6,51.4,49.2,46.0,99.0,88.0,78.0,25.1,10.7,1.1,29.84,29.61,0.3
1/18/2024,59.9,53.0,49.8,51.6,49.3,47.1,96.0,87.0,69.0,21.9,7.6,0.0,29.89,29.78,0.0
1/19/2024,51.4,43.3,37.0,50.5,41.5,33.1,99.0,94.0,81.0,29.3,8.7,0.0,29.95,29.69,1.12
1/20/2024,48.6,42.1,34.7,43.7,36.9,27.7,94.0,82.0,52.0,26.4,4.3,0.0,30.41,29.95,0.0
1/21/2024,53.4,44.6,36.3,43.5,40.1,35.1,97.0,85.0,62.0,7.6,1.5,0.0,30.55,30.41,0.0
1/22/2024,49.8,39.7,32.0,44.6,38.0,31.5,99.0,94.0,80.0,7.6,1.5,0.0,30.62,30.53,0.0
1/23/2024,61.3,45.7,34.2,52.7,42.9,33.8,99.0,91.0,72.0,6.9,1.4,0.0,30.67,30.59,0.01
1/24/2024,69.8,49.7,36.9,54.1,45.2,36.5,99.0,86.0,51.0,6.0,1.2,0.0,30.67,30.58,0.0
1/25/2024,69.1,49.5,36.7,50.7,43.8,36.1,98.0,83.0,46.0,6.5,1.3,0.0,30.6,30.47,0.0
1/26/2024,72.1,50.2,37.6,53.6,44.3,36.5,97.0,82.0,47.0,6.3,1.2,0.0,30.52,30.42,0.0
1/27/2024,68.9,50.6,39.7,50.5,43.4,37.8,94.0,79.0,36.0,5.8,1.2,0.0,30.45,30.33,0.0
1/28/2024,65.7,49.3,37.8,47.7,42.3,36.0,95.0,79.0,48.0,7.4,1.9,0.0,30.39,30.32,0.0
1/29/2024,60.6,49.0,39.0,47.1,42.2,37.6,96.0,80.0,48.0,6.3,1.3,0.0,30.45,30.34,0.0
1/30/2024,58.3,45.1,36.7,47.8,41.7,36.0,98.0,89.0,66.0,5.1,1.5,0.0,30.51,30.42,0.0
1/31/2024,49.1,40.4,35.1,44.1,38.9,34.3,98.0,94.0,82.0,6.9,1.2,0.0,30.57,30.49,0.0
2/1/2024,65.7,47.5,34.7,45.5,38.7,33.3,97.0,76.0,37.0,10.3,2.5,0.0,30.58,30.46,0.0
2/2/2024,61.5,47.1,36.7,44.4,38.8,33.8,91.0,75.0,44.0,18.3,3.2,0.0,30.49,30.41,0.0
2/3/2024,63.3,46.2,34.9,44.8,37.7,33.6,96.0,76.0,38.0,6.5,1.7,0.0,30.51,30.43,0.0
2/4/2024,64.9,45.5,32.5,41.4,35.3,30.4,93.0,72.0,31.0,6.7,1.7,0.0,30.48,30.4,0.0
2/5/2024,60.8,44.9,32.0,42.8,37.0,30.0,94.0,76.0,40.0,7.6,1.5,0.0,30.44,30.33,0.0
2/6/2024,57.6,44.9,36.9,46.4,40.1,34.9,95.0,84.0,57.0,8.1,1.6,0.0,30.35,30.24,0.0
2/7/2024,52.0,43.5,33.1,47.7,41.4,32.7,99.0,93.0,77.0,10.1,1.7,0.0,30.28,30.13,0.0
2/8/2024,54.1,49.4,46.4,48.6,45.2,39.2,98.0,86.0,59.0,21.9,5.1,0.0,30.15,29.67,0.15
2/9/2024,53.6,49.3,46.0,50.7,47.7,43.5,99.0,95.0,85.0,22.6,6.5,0.0,29.67,29.23,0.58
2/10/2024,50.7,45.3,37.6,44.8,37.7,31.5,96.0,75.0,58.0,23.7,8.1,0.0,29.76,29.28,0.01
2/11/2024,47.5,40.6,32.4,41.4,35.9,29.8,97.0,84.0,66.0,15.7,3.9,0.0,29.92,29.76,0.0
2/12/2024,61.7,49.3,42.1,51.6,45.7,41.2,99.0,89.0,61.0,20.4,5.3,0.0,30.16,29.82,0.02
2/13/2024,61.2,52.4,46.2,54.1,49.8,45.5,98.0,91.0,75.0,7.4,1.1,0.0,30.3,30.12,0.0
2/14/2024,64.8,55.2,48.0,56.1,52.1,47.3,98.0,90.0,69.0,7.4,2.0,0.0,30.3,30.16,0.0
2/15/2024,59.7,52.4,46.8,53.6,49.8,45.5,96.0,91.0,72.0,15.0,3.2,0.0,30.17,30.0,0.12
2/16/2024,60.3,51.0,41.5,50.0,43.2,37.2,99.0,77.0,44.0,19.9,5.2,0.0,30.36,30.06,0.01
2/17/2024,64.6,48.7,36.5,43.2,37.0,29.5,96.0,69.0,28.0,7.4,1.9,0.0,30.52,30.35,0.0
2/18/2024,66.9,47.7,34.2,44.1,37.9,32.0,93.0,72.0,34.0,6.0,1.4,0.0,30.58,30.49,0.0
2/19/2024,66.9,51.8,39.7,48.7,41.4,34.7,94.0,71.0,37.0,14.1,2.6,0.0,30.53,30.41,0.0
2/20/2024,69.3,50.0,33.4,43.5,35.1,24.8,87.0,61.0,19.0,7.6,2.0,0.0,30.48,30.33,0.0
2/21/2024,57.9,46.6,35.1,46.0,38.5,31.6,90.0,75.0,50.0,7.4,1.4,0.0,30.39,30.19,0.0
2/22/2024,55.6,49.8,40.5,51.3,45.1,34.5,97.0,84.0,61.0,24.2,6.4,0.0,30.21,29.81,0.04
2/23/2024,47.3,41.2,35.2,35.4,32.5,30.0,84.0,71.0,61.0,15.2,5.3,0.0,29.91,29.84,0.0
2/24/2024,51.4,43.5,36.5,36.9,32.3,26.1,93.0,67.0,38.0,19.9,6.2,0.0,30.03,29.81,0.0
2/25/2024,57.2,49.5,42.4,49.5,45.1,35.6,96.0,85.0,69.0,28.0,11.6,1.3,30.02,29.73,0.06
2/26/2024,52.3,47.1,42.4,49.3,37.5,29.7,95.0,70.0,42.0,22.1,7.8,0.7,29.91,29.66,0.03
2/27/2024,50.2,43.8,38.1,33.1,29.9,26.4,66.0,58.0,48.0,38.7,16.4,0.0,30.18,29.9,0.0
2/28/2024,55.8,45.6,32.9,38.8,33.6,26.4,83.0,63.0,48.0,26.6,10.3,0.0,30.21,30.13,0.0
2/29/2024,58.5,44.0,30.0,42.6,33.3,24.6,94.0,69.0,41.0,28.9,6.5,0.0,30.19,29.98,0.0
3/1/2024,56.7,44.2,29.1,39.7,31.5,24.1,85.0,62.0,44.0,18.8,4.5,0.0,30.13,29.94,0.0
3/2/2024,47.7,42.4,34.0,43.0,39.1,32.4,98.0,88.0,76.0,30.4,8.3,0.0,29.94,29.51,0.39
3/3/2024,50.0,41.4,30.2,36.1,32.4,27.1,96.0,72.0,42.0,25.9,5.5,0.0,30.01,29.68,0.0
3/4/2024,55.9,47.4,39.0,47.3,41.4,35.6,94.0,80.0,65.0,20.6,6.0,0.0,30.14,30.0,0.0
3/5/2024,56.3,44.7,32.2,38.3,34.4,30.0,92.0,69.0,42.0,9.2,2.2,0.0,30.26,30.12,0.0
3/6/2024,58.6,44.4,31.6,40.5,35.3,29.3,93.0,73.0,44.0,10.5,2.1,0.0,30.23,30.0,0.0
3/7/2024,55.8,45.6,37.6,44.8,39.3,34.0,96.0,80.0,51.0,24.2,5.4,0.0,30.0,29.72,0.24
3/8/2024,52.3,44.2,39.4,41.9,38.3,34.3,97.0,81.0,53.0,29.1,10.6,1.1,29.76,29.54,0.22
3/9/2024,46.6,42.7,37.8,45.1,39.4,35.2,98.0,88.0,72.0,23.9,8.9,0.7,29.54,29.39,0.48
3/10/2024,55.0,46.4,39.2,43.3,39.6,37.0,99.0,79.0,52.0,25.1,8.6,0.0,29.88,29.47,0.14
3/11/2024,57.4,48.3,40.3,39.7,36.1,31.8,83.0,64.0,40.0,19.5,5.5,0.0,30.2,29.87,0.0
3/12/2024,63.7,47.3,33.8,42.4,37.4,31.8,93.0,71.0,39.0,7.4,1.9,0.0,30.23,30.14,0.0
3/13/2024,67.8,50.3,36.9,45.5,39.9,34.9,93.0,71.0,36.0,7.4,2.0,0.0,30.15,30.0,0.0
3/14/2024,63.0,49.9,38.1,48.9,42.9,36.0,92.0,78.0,57.0,15.9,3.5,0.0,30.16,30.04,0.0
3/15/2024,64.9,50.9,37.2,53.1,45.5,36.5,98.0,83.0,54.0,8.3,2.0,0.0,30.27,30.14,0.0
3/16/2024,50.0,44.8,41.2,47.5,43.2,40.3,96.0,94.0,91.0,5.4,1.3,0.0,30.33,30.25,0.0
3/27/2024,56.8,53.0,50.0,49.1,46.9,43.5,95.0,80.0,63.0,32.2,16.0,4.5,29.52,29.41,0.12
3/28/2024,60.3,52.2,45.3,52.2,46.1,41.5,96.0,80.0,55.0,25.5,10.6,1.8,29.66,29.48,0.27
3/29/2024,53.1,46.3,38.1,50.7,44.4,37.2,98.0,93.0,80.0,24.8,5.7,0.0,29.56,29.44,0.34
3/30/2024,53.4,45.1,37.4,44.1,41.3,36.5,97.0,87.0,59.0,21.9,6.6,0.0,29.56,29.36,0.31
3/31/2024,50.7,43.7,40.6,42.8,40.4,37.0,98.0,88.0,69.0,26.2,6.8,0.0,29.7,29.37,0.45
4/1/2024,56.3,45.4,37.2,43.0,39.3,35.6,96.0,81.0,52.0,24.6,6.6,0.0,30.09,29.69,0.0
4/2/2024,58.5,47.4,35.6,46.0,41.2,34.9,97.0,81.0,57.0,17.2,3.1,0.0,30.14,30.02,0.0
4/3/2024,64.0,53.2,43.2,49.1,44.8,40.8,92.0,75.0,48.0,14.8,3.0,0.0,30.19,30.07,0.0
4/4/2024,68.9,53.7,39.6,54.0,45.7,38.1,95.0,77.0,46.0,12.3,2.8,0.0,30.18,30.06,0.0
4/5/2024,73.8,57.7,42.8,54.0,45.9,40.8,94.0,69.0,32.0,13.9,3.0,0.0,30.12,29.98,0.0
4/6/2024,76.1,64.6,49.8,57.4,47.5,36.1,83.0,56.0,35.0,14.3,2.5,0.0,30.06,29.93,0.0
4/7/2024,72.9,62.7,54.5,55.6,52.4,48.9,89.0,71.0,46.0,15.4,3.1,0.0,30.06,29.93,0.0
4/8/2024,64.2,56.0,48.0,52.0,46.4,36.1,92.0,71.0,42.0,23.3,6.5,0.0,30.12,29.92,0.0
4/9/2024,60.8,49.7,38.5,39.2,33.0,26.1,81.0,55.0,29.0,24.6,4.7,0.0,30.43,30.12,0.0
4/10/2024,70.3,53.5,36.5,46.9,39.8,33.3,89.0,62.0,37.0,18.8,3.8,0.0,30.45,30.33,0.0
4/11/2024,79.2,61.7,44.6,51.3,45.3,40.8,87.0,59.0,32.0,17.9,4.0,0.0,30.43,30.31,0.0
4/12/2024,77.7,59.9,43.0,51.1,42.9,37.0,85.0,58.0,27.0,7.6,2.0,0.0,30.49,30.36,0.0
4/13/2024,81.5,62.2,44.6,51.8,45.3,34.5,91.0,60.0,20.0,8.1,2.1,0.0,30.43,30.28,0.0
4/14/2024,80.2,63.1,45.9,51.6,45.0,37.8,86.0,57.0,26.0,8.5,2.5,0.0,30.35,30.19,0.0
4/15/2024,82.4,65.1,51.3,54.9,48.6,40.5,87.0,59.0,29.0,16.8,3.3,0.0,30.22,30.08,0.0
4/16/2024,77.9,62.4,46.4,49.8,44.4,40.8,83.0,54.0,29.0,20.6,4.4,0.0,30.16,29.99,0.0
4/17/2024,70.7,57.0,45.3,45.3,39.6,35.8,74.0,54.0,32.0,19.0,5.3,0.0,30.08,29.97,0.0
4/18/2024,69.3,55.7,41.7,41.7,37.7,34.5,78.0,53.0,30.0,14.8,4.7,0.0,30.14,30.01,0.0
4/19/2024,71.8,54.9,37.4,47.5,38.8,31.8,81.0,56.0,35.0,13.2,2.8,0.0,30.19,30.03,0.0
4/20/2024,75.0,59.9,43.2,46.6,37.6,28.2,87.0,51.0,18.0,15.2,3.6,0.0,30.07,29.92,0.0
4/21/2024,74.1,60.1,45.3,44.4,35.4,28.4,68.0,42.0,24.0,21.3,3.4,0.0,30.05,29.92,0.0
4/22/2024,62.8,52.6,42.4,34.3,27.6,20.5,67.0,40.0,22.0,20.6,7.5,0.0,30.12,29.99,0.0
4/23/2024,61.5,48.3,31.8,38.5,29.4,23.4,76.0,49.0,32.0,22.1,5.7,0.0,30.14,30.02,0.0
4/24/2024,65.1,50.2,34.2,37.9,30.0,23.0,82.0,50.0,22.0,10.7,3.0,0.0,30.15,29.96,0.0
4/25/2024,65.5,53.0,39.0,40.1,36.0,32.4,81.0,55.0,30.0,16.8,3.1,0.0,29.97,29.75,0.0
4/26/2024,61.0,53.0,43.0,43.5,39.2,36.7,82.0,61.0,42.0,19.2,4.7,0.0,29.8,29.65,0.0
4/27/2024,58.6,52.1,44.8,47.8,43.6,37.6,97.0,74.0,46.0,26.2,8.3,0.0,29.8,29.54,0.31
4/28/2024,64.8,50.3,35.8,43.5,37.3,31.3,94.0,66.0,30.0,11.6,2.4,0.0,29.97,29.79,0.0
4/29/2024,65.3,52.1,43.5,49.8,41.2,37.2,89.0,69.0,37.0,17.2,3.6,0.0,30.02,29.94,0.35
4/30/2024,63.1,54.0,40.3,47.7,42.4,35.8,94.0,68.0,36.0,16.1,5.1,0.0,30.02,29.89,0.0
5/1/2024,58.6,51.1,44.6,48.0,36.9,25.0,87.0,60.0,28.0,21.7,6.4,0.0,29.96,29.82,0.0
5/2/2024,60.3,47.8,33.6,39.4,34.7,30.0,93.0,64.0,34.0,15.7,3.4,0.0,30.1,29.95,0.0
5/3/2024,66.2,52.0,35.1,43.7,37.7,32.4,91.0,62.0,34.0,13.2,3.0,0.0,30.16,30.07,0.0
5/4/2024,73.4,59.2,42.3,47.7,43.3,38.7,88.0,59.0,30.0,20.4,4.9,0.0,30.11,30.0,0.0
5/5/2024,67.1,60.9,53.1,55.4,51.1,47.1,94.0,71.0,56.0,23.0,6.3,0.0,30.07,29.92,0.21
5/6/2024,69.1,57.4,48.6,52.7,47.3,38.1,98.0,73.0,33.0,15.7,3.7,0.0,30.07,29.91,0.02
5/7/2024,72.7,57.5,44.4,45.3,41.7,37.9,85.0,59.0,32.0,19.5,4.6,0.0,30.23,30.07,0.0
5/8/2024,77.7,60.3,45.1,46.8,39.4,30.2,79.0,51.0,20.0,14.8,3.6,0.0,30.25,30.1,0.0
5/9/2024,80.8,63.7,45.3,49.1,43.2,36.1,83.0,52.0,22.0,10.7,1.9,0.0,30.15,30.02,0.0
5/10/2024,84.6,67.9,51.3,49.8,45.3,40.3,76.0,48.0,22.0,10.7,2.3,0.0,30.1,29.97,0.0
5/11/2024,82.9,69.0,52.9,49.5,44.0,39.9,71.0,43.0,23.0,14.5,3.9,0.0,30.07,29.97,0.0
5/12/2024,82.2,68.8,52.7,51.3,47.4,45.0,79.0,49.0,29.0,10.7,2.3,0.0,30.07,29.96,0.0
5/13/2024,81.3,67.7,52.3,56.7,50.0,44.4,80.0,55.0,31.0,22.4,4.7,0.0,30.01,29.79,0.0
5/14/2024,66.0,58.2,50.7,55.9,45.8,36.7,92.0,66.0,35.0,15.9,4.3,0.0,29.85,29.78,0.07
5/15/2024,64.4,56.4,45.7,42.3,35.9,28.9,79.0,49.0,27.0,14.3,3.2,0.0,29.85,29.8,0.0
5/16/2024,63.9,55.2,46.9,41.5,38.1,34.0,79.0,54.0,37.0,19.0,4.7,0.0,29.87,29.81,0.0
5/17/2024,66.7,58.8,51.3,49.8,44.0,38.3,90.0,60.0,39.0,17.4,5.0,0.0,29.9,29.8,0.01
5/18/2024,70.9,58.2,42.8,46.9,41.0,34.3,89.0,57.0,27.0,14.3,3.1,0.0,29.94,29.84,0.0
5/19/2024,70.2,57.5,45.3,47.3,43.4,36.3,86.0,62.0,29.0,18.3,4.3,0.0,29.92,29.8,0.0
5/20/2024,69.1,56.4,40.8,49.5,41.9,37.8,90.0,62.0,35.0,16.3,3.4,0.0,29.97,29.88,0.02
5/21/2024,66.7,57.4,49.3,50.9,46.4,36.5,91.0,69.0,36.0,19.0,3.2,0.0,30.07,29.94,0.03
