Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,51.1,41.8,37.4,43.2,39.0,36.3,99.0,90.0,63.0,5.8,0.4,0.0,30.12,29.99,0.0
1/2/2024,47.7,42.1,36.7,45.9,39.7,33.8,95.0,91.0,85.0,5.8,0.4,0.0,30.13,30.04,0.0
1/3/2024,52.7,50.1,47.7,52.3,49.5,45.7,99.0,98.0,92.0,8.7,1.2,0.0,30.07,29.99,0.22
1/4/2024,51.4,48.7,46.4,50.2,48.2,46.0,99.0,99.0,93.0,7.8,0.8,0.0,30.05,29.75,0.27
1/5/2024,49.3,43.0,38.7,46.6,38.1,32.5,99.0,84.0,54.0,10.7,1.8,0.0,29.86,29.67,0.06
1/6/2024,50.0,40.5,34.5,34.7,32.2,30.4,89.0,73.0,52.0,8.1,0.5,0.0,30.06,29.85,0.0
1/7/2024,50.7,39.1,32.4,33.8,30.3,27.9,88.0,72.0,45.0,8.1,0.3,0.0,30.12,30.04,0.0
1/8/2024,46.2,37.1,29.8,32.4,29.5,27.1,91.0,74.0,51.0,4.3,0.1,0.0,30.08,29.99,0.0
1/9/2024,44.1,40.4,37.6,38.7,35.5,31.3,91.0,83.0,72.0,3.4,0.1,0.0,30.04,29.96,0.0
1/10/2024,42.8,40.9,38.5,41.7,39.3,36.9,99.0,94.0,87.0,7.6,1.1,0.0,30.04,29.96,0.14
1/11/2024,49.3,38.9,32.4,40.8,33.4,26.8,99.0,82.0,50.0,5.4,0.1,0.0,30.13,29.96,0.0
1/12/2024,49.5,36.1,27.5,37.4,30.3,24.1,89.0,80.0,58.0,3.4,0.1,0.0,30.2,30.1,0.0
1/13/2024,49.5,41.7,33.8,43.0,37.4,31.5,92.0,85.0,74.0,3.6,0.1,0.0,30.22,30.09,0.0
1/14/2024,50.0,45.9,41.4,46.6,42.2,39.2,95.0,87.0,76.0,5.4,0.4,0.0,30.11,29.97,0.06
1/15/2024,54.1,51.0,47.8,53.6,50.6,46.4,99.0,99.0,95.0,9.6,1.8,0.0,29.99,29.86,0.26
1/16/2024,58.8,54.0,50.2,55.2,51.0,42.4,99.0,91.0,63.0,10.5,2.3,0.0,29.91,29.76,0.01
1/17/2024,52.9,50.6,48.4,50.4,48.1,44.4,99.0,91.0,83.0,19.2,3.9,0.0,29.76,29.54,0.48
