Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,51.1,42.5,36.5,43.5,40.2,36.1,99.0,92.0,72.0,6.0,0.3,0.0,30.19,30.06,0.0
1/2/2024,47.1,41.9,36.1,46.8,40.5,35.6,99.0,95.0,84.0,4.3,0.1,0.0,30.19,30.1,0.01
1/3/2024,54.3,50.2,43.3,54.0,49.8,42.8,99.0,99.0,96.0,7.2,0.8,0.0,30.12,30.04,0.1
1/4/2024,52.3,50.2,48.0,51.8,49.8,46.8,99.0,99.0,95.0,5.1,0.6,0.0,30.1,29.82,0.18
1/5/2024,48.4,44.6,39.9,47.7,38.6,32.4,99.0,80.0,61.0,11.2,2.5,0.0,29.93,29.75,0.13
1/6/2024,48.4,41.9,36.1,36.0,33.7,31.6,85.0,73.0,56.0,10.1,2.0,0.0,30.14,29.92,0.0
1/7/2024,50.7,41.1,34.2,35.1,32.2,30.0,89.0,72.0,47.0,4.9,0.6,0.0,30.19,30.11,0.0
1/8/2024,46.0,37.7,28.8,35.1,31.5,26.4,92.0,79.0,58.0,2.0,0.1,0.0,30.16,30.05,0.0
1/9/2024,47.5,41.8,38.3,40.3,37.6,34.5,91.0,85.0,75.0,2.7,0.1,0.0,30.09,30.02,0.0
1/10/2024,44.8,42.2,39.0,43.3,40.9,38.3,99.0,95.0,89.0,7.4,1.1,0.0,30.12,30.03,0.03
1/11/2024,49.3,40.2,33.6,41.9,35.2,28.6,99.0,83.0,58.0,4.5,0.4,0.0,30.2,30.03,0.01
1/12/2024,45.7,36.4,29.1,36.7,31.1,26.1,89.0,81.0,67.0,4.5,0.4,0.0,30.28,30.18,0.0
1/13/2024,47.3,40.6,34.9,41.5,36.4,31.1,91.0,85.0,77.0,3.6,0.3,0.0,30.3,30.15,0.0
1/14/2024,49.1,44.5,40.3,48.4,42.3,38.5,97.0,92.0,84.0,4.5,0.2,0.0,30.18,30.03,0.02
1/15/2024,55.8,51.7,47.1,55.2,51.3,46.8,99.0,99.0,97.0,9.6,1.1,0.0,30.04,29.92,0.66
1/16/2024,58.8,55.0,52.0,55.4,52.6,47.1,99.0,92.0,72.0,8.7,1.4,0.0,29.98,29.79,0.02
1/17/2024,55.8,52.5,48.9,52.2,49.8,46.2,99.0,91.0,80.0,12.1,3.2,0.0,29.8,29.59,0.57
1/18/2024,57.0,51.9,48.0,53.1,50.1,47.5,99.0,94.0,82.0,12.3,2.5,0.0,29.86,29.77,0.06
1/19/2024,50.7,45.4,39.0,50.4,44.4,36.1,99.0,97.0,88.0,10.1,1.8,0.0,29.93,29.64,1.09
1/20/2024,49.5,41.7,34.9,43.7,37.9,32.5,99.0,87.0,67.0,8.3,0.7,0.0,30.38,29.92,0.0
1/21/2024,54.3,44.2,37.9,43.9,41.0,37.4,99.0,90.0,66.0,3.8,0.1,0.0,30.52,30.38,0.0
1/22/2024,54.9,42.5,32.2,47.8,40.6,31.8,99.0,93.0,75.0,4.0,0.1,0.0,30.59,30.5,0.01
1/23/2024,61.7,46.5,37.0,53.2,44.3,36.7,99.0,93.0,71.0,2.5,0.1,0.0,30.64,30.56,0.0
1/24/2024,65.8,50.7,40.5,54.7,47.2,40.1,99.0,89.0,61.0,2.2,0.1,0.0,30.64,30.55,0.01
1/25/2024,66.4,51.5,40.6,53.6,47.0,40.3,99.0,86.0,58.0,3.8,0.1,0.0,30.57,30.44,0.01
1/26/2024,67.1,52.2,41.7,51.3,46.0,41.0,97.0,81.0,51.0,2.5,0.2,0.0,30.49,30.39,0.0
1/27/2024,65.1,52.6,44.1,50.2,45.1,40.6,93.0,77.0,51.0,3.8,0.3,0.0,30.41,30.3,0.0
1/28/2024,64.8,51.0,41.4,49.3,44.7,39.4,93.0,80.0,56.0,3.6,0.2,0.0,30.35,30.29,0.0
1/29/2024,57.0,49.7,42.6,47.8,44.6,40.6,94.0,83.0,64.0,3.4,0.2,0.0,30.41,30.31,0.0
1/30/2024,57.6,47.0,39.9,48.0,43.5,39.4,98.0,88.0,69.0,3.8,0.2,0.0,30.47,30.39,0.0
