Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,51.9,41.4,31.1,44.4,38.2,30.0,96.0,89.0,66.0,7.3,1.2,0.0,29.71,29.59,0.01
1/2/2024,48.7,43.9,39.7,47.4,41.8,37.9,95.0,92.0,87.0,8.5,1.8,0.0,29.71,29.62,0.06
1/3/2024,54.1,50.7,47.4,52.3,49.3,44.7,95.0,95.0,90.0,8.9,2.2,0.0,29.65,29.59,0.23
1/4/2024,51.0,48.7,46.2,49.1,47.1,44.4,95.0,94.0,91.0,8.2,1.2,0.0,29.62,29.35,0.2
1/5/2024,51.0,44.3,35.9,44.7,35.9,27.5,95.0,74.0,43.0,9.6,2.0,0.0,29.47,29.29,0.09
1/6/2024,51.2,43.8,37.2,33.2,29.9,25.5,77.0,59.0,41.0,10.0,1.7,0.0,29.68,29.47,0.0
1/7/2024,53.6,43.1,34.3,36.1,30.1,23.7,86.0,61.0,44.0,8.9,1.6,0.0,29.71,29.65,0.0
1/8/2024,48.3,39.9,27.8,36.6,32.3,24.4,91.0,75.0,54.0,6.9,0.8,0.0,29.68,29.59,0.0
1/9/2024,46.9,41.1,36.3,40.1,36.5,32.5,91.0,84.0,74.0,6.0,0.5,0.0,29.62,29.56,0.0
1/10/2024,42.4,40.6,36.5,40.4,38.4,34.1,95.0,92.0,87.0,9.1,2.5,0.0,29.65,29.56,0.03
1/11/2024,48.0,41.5,35.7,40.1,32.1,26.6,95.0,71.0,45.0,12.0,2.8,0.0,29.73,29.59,0.03
1/12/2024,44.7,37.7,31.2,34.8,28.7,24.6,86.0,71.0,56.0,7.8,0.9,0.0,29.82,29.73,0.03
1/13/2024,49.8,41.7,34.7,41.3,37.1,32.7,94.0,84.0,66.0,4.6,0.2,0.0,29.79,29.71,0.0
1/14/2024,51.2,45.4,38.4,46.4,41.6,35.9,92.0,87.0,64.0,8.7,1.5,0.0,29.71,29.56,0.01
1/15/2024,54.6,51.9,48.2,53.4,50.2,45.6,95.0,94.0,91.0,9.1,2.4,0.0,29.56,29.47,0.67
1/16/2024,59.9,54.4,51.4,54.3,51.4,47.1,95.0,90.0,68.0,9.3,2.8,0.0,29.5,29.32,0.15
1/17/2024,54.5,50.9,46.7,50.9,48.0,43.7,94.0,90.0,81.0,14.7,4.8,0.0,29.32,29.11,1.1
1/18/2024,58.4,51.7,49.1,52.7,48.5,47.1,94.0,89.0,76.0,11.6,3.9,0.0,29.38,29.29,0.07
1/19/2024,49.1,45.2,35.2,47.6,42.2,29.6,95.0,89.0,75.0,15.2,3.1,0.0,29.44,29.17,1.77
1/20/2024,53.4,42.0,31.8,41.1,35.0,29.6,94.0,77.0,55.0,14.5,1.8,0.0,29.91,29.44,0.0
1/21/2024,55.7,41.9,32.1,45.8,38.1,30.7,96.0,87.0,64.0,8.9,0.5,0.0,30.03,29.91,0.0
1/22/2024,59.5,43.7,33.6,50.9,40.0,31.8,94.0,87.0,66.0,7.1,0.7,0.0,30.12,30.03,0.0
1/23/2024,62.6,47.4,36.8,53.4,43.9,35.6,96.0,89.0,68.0,5.3,0.3,0.0,30.18,30.09,0.01
1/24/2024,69.0,50.8,39.9,54.3,44.6,38.6,96.0,81.0,48.0,5.3,0.4,0.0,30.18,30.09,0.0
1/25/2024,66.2,50.5,38.8,52.3,43.0,34.8,89.0,77.0,47.0,5.3,0.4,0.0,30.09,29.97,0.0
