Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,50.7,41.2,34.8,37.2,27.8,12.0,84.0,61.0,22.0,13.6,1.1,0.0,30.01,29.9,0.0
1/2/2024,44.9,39.4,35.2,42.8,33.2,18.1,93.0,80.0,45.0,4.2,0.2,0.0,30.02,29.94,0.03
1/3/2024,52.8,48.1,44.2,47.4,43.4,33.2,95.0,84.0,54.0,12.9,1.3,0.0,29.98,29.9,0.64
1/4/2024,46.9,43.3,38.6,42.9,38.7,30.0,94.0,84.0,55.0,6.9,0.3,0.0,29.97,29.67,0.64
1/5/2024,42.2,36.7,33.9,38.8,32.2,28.4,92.0,84.0,65.0,20.3,2.7,0.0,29.79,29.59,0.34
1/6/2024,37.7,34.9,32.3,31.6,29.5,27.3,91.0,81.0,67.0,15.4,2.4,0.0,29.96,29.79,0.35
1/7/2024,41.3,35.9,32.1,30.0,26.8,25.5,80.0,70.0,56.0,13.1,1.2,0.0,30.01,29.95,0.14
1/8/2024,45.1,35.8,29.6,30.2,26.2,20.4,82.0,69.0,41.0,6.9,0.5,0.0,29.98,29.88,0.07
1/9/2024,38.4,36.4,34.1,35.0,32.9,25.1,94.0,87.0,63.0,2.9,0.1,0.0,29.91,29.86,0.01
1/10/2024,41.1,37.8,35.9,37.9,35.5,33.6,95.0,91.0,79.0,15.6,0.8,0.0,29.91,29.84,0.88
1/11/2024,41.7,36.0,32.7,34.8,28.1,19.2,93.0,74.0,44.0,9.1,1.0,0.0,30.01,29.86,0.88
1/12/2024,41.0,33.8,26.6,30.9,26.3,20.6,88.0,75.0,50.0,4.4,0.3,0.0,30.09,29.99,0.01
1/13/2024,48.0,41.4,33.9,40.6,35.3,29.8,87.0,79.0,61.0,4.2,0.3,0.0,30.11,30.01,0.0
1/14/2024,53.4,46.3,41.7,47.1,41.0,31.8,93.0,82.0,49.0,15.4,1.0,0.0,30.02,29.89,0.29
1/15/2024,53.6,50.5,47.1,50.1,47.3,42.6,94.0,89.0,77.0,14.9,1.3,0.0,29.9,29.79,1.02
1/16/2024,53.4,49.4,46.0,49.8,47.0,42.4,95.0,91.0,82.0,8.7,0.6,0.0,29.84,29.67,1.02
1/17/2024,48.7,45.9,40.6,45.8,43.0,36.1,95.0,90.0,69.0,9.1,0.8,0.0,29.67,29.47,1.18
1/18/2024,54.5,47.0,42.8,44.4,39.6,36.8,89.0,76.0,60.0,13.6,1.0,0.0,29.73,29.62,1.18
1/19/2024,44.6,40.3,32.3,41.5,37.9,27.8,95.0,91.0,81.0,14.5,0.9,0.0,29.76,29.52,0.75
1/20/2024,49.4,39.2,31.6,35.4,31.0,27.3,86.0,74.0,49.0,13.8,0.9,0.0,30.2,29.75,0.75
1/21/2024,50.7,40.0,31.4,38.8,32.6,24.9,89.0,76.0,56.0,5.8,0.5,0.0,30.34,30.2,0.0
1/22/2024,58.2,49.6,39.7,46.5,41.0,30.9,85.0,73.0,47.0,14.3,1.3,0.0,30.41,30.31,0.0
1/23/2024,60.0,52.4,44.9,50.0,43.6,31.8,88.0,73.0,43.0,9.3,1.0,0.0,30.48,30.39,0.0
1/24/2024,69.8,56.9,49.1,47.6,38.2,21.7,72.0,52.0,28.0,3.8,0.6,0.0,30.49,30.43,0.0
1/25/2024,70.5,58.4,51.4,48.0,34.1,20.6,72.0,41.0,24.0,5.1,0.5,0.0,30.44,30.32,0.0
1/26/2024,69.2,58.9,52.7,42.9,35.8,28.0,57.0,43.0,27.0,3.8,0.6,0.0,30.36,30.28,0.0
1/27/2024,67.1,56.5,51.0,43.3,33.6,25.8,64.0,43.0,30.0,3.8,0.4,0.0,30.3,30.2,0.0
1/28/2024,62.6,52.5,44.9,43.8,38.0,31.8,72.0,59.0,40.0,4.9,0.5,0.0,30.22,30.17,0.0
1/29/2024,58.8,50.1,44.7,43.8,39.4,33.8,81.0,67.0,52.0,3.8,0.4,0.0,30.25,30.17,0.0
