Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,47.8,40.6,33.8,39.2,34.4,30.4,95.0,79.0,52.0,13.9,2.6,0.0,29.95,29.83,0.0
1/2/2024,43.5,38.0,34.0,42.4,36.0,32.4,96.0,93.0,90.0,10.7,1.7,0.0,29.96,29.85,0.0
1/3/2024,51.1,46.3,40.8,49.3,45.1,40.1,99.0,96.0,82.0,9.6,1.7,0.0,29.88,29.81,0.03
1/4/2024,46.9,42.3,36.3,45.7,41.0,35.8,98.0,95.0,89.0,8.9,1.2,0.0,29.88,29.57,0.13
1/5/2024,43.5,40.3,38.3,42.1,34.3,30.0,97.0,80.0,61.0,31.3,9.0,0.0,29.67,29.5,0.16
1/6/2024,41.7,38.7,34.3,32.9,31.0,29.3,84.0,74.0,64.0,32.0,10.4,0.0,29.89,29.66,0.0
1/7/2024,44.4,38.1,33.1,31.5,29.4,27.9,83.0,71.0,57.0,19.0,4.2,0.0,29.94,29.88,0.0
1/8/2024,46.2,37.4,31.5,31.6,27.9,22.3,84.0,70.0,39.0,16.8,3.9,0.0,29.91,29.8,0.0
1/9/2024,40.3,38.0,35.4,36.1,33.7,30.9,89.0,84.0,80.0,8.9,1.2,0.0,29.85,29.79,0.0
1/10/2024,43.5,39.2,35.1,40.1,37.0,33.8,96.0,92.0,83.0,9.4,1.0,0.0,29.84,29.77,0.23
1/11/2024,42.4,36.5,29.5,35.6,29.3,24.4,96.0,76.0,52.0,17.0,3.4,0.0,29.96,29.79,0.0
1/12/2024,44.1,32.0,24.4,30.0,25.9,21.9,93.0,80.0,52.0,7.6,1.3,0.0,30.04,29.95,0.0
1/13/2024,47.3,37.7,28.4,38.7,32.9,26.2,95.0,83.0,62.0,7.8,1.2,0.0,30.04,29.94,0.0
1/14/2024,46.4,41.8,36.1,43.2,39.7,34.3,97.0,92.0,82.0,17.4,2.1,0.0,29.95,29.8,0.08
1/15/2024,54.0,46.3,42.1,53.2,45.6,41.4,98.0,98.0,96.0,7.6,0.9,0.0,29.81,29.68,0.24
1/16/2024,53.4,50.9,47.7,51.3,48.8,44.6,99.0,93.0,77.0,20.4,5.0,0.0,29.74,29.58,0.06
1/17/2024,50.5,48.6,42.1,48.7,46.1,40.5,98.0,91.0,78.0,31.5,9.6,0.0,29.59,29.37,1.16
1/18/2024,56.3,48.8,44.6,48.7,43.9,38.7,94.0,84.0,53.0,23.5,4.6,0.0,29.64,29.5,0.0
1/19/2024,44.8,41.5,37.4,43.5,39.9,33.1,97.0,94.0,84.0,8.9,1.2,0.0,29.7,29.45,1.39
1/20/2024,49.1,39.5,34.2,37.4,32.5,26.4,94.0,78.0,44.0,12.1,3.2,0.0,30.15,29.7,0.0
1/21/2024,50.4,40.0,31.8,41.2,35.0,29.7,96.0,83.0,50.0,10.5,2.7,0.0,30.29,30.15,0.0
1/22/2024,54.3,39.4,30.6,47.7,37.2,29.8,98.0,92.0,75.0,12.1,1.7,0.0,30.35,30.26,0.0
1/23/2024,55.9,42.3,36.3,48.4,40.5,35.8,98.0,94.0,74.0,11.6,1.1,0.0,30.39,30.33,0.01
1/25/2024,66.2,51.2,41.4,45.7,40.7,37.2,92.0,70.0,40.0,7.2,1.1,0.0,30.29,30.23,0.01
1/26/2024,71.1,49.5,37.9,45.1,38.2,32.5,92.0,70.0,26.0,8.1,0.8,0.0,30.28,30.19,0.0
1/27/2024,68.2,47.9,36.9,45.5,38.7,34.2,92.0,74.0,31.0,3.4,0.4,0.0,30.23,30.1,0.0
1/28/2024,61.3,45.4,35.4,44.2,39.0,34.7,97.0,81.0,48.0,8.9,1.1,0.0,30.15,30.08,0.0
1/29/2024,59.5,46.4,38.1,45.3,40.4,36.3,95.0,81.0,54.0,7.8,1.1,0.0,30.19,30.09,0.0
1/30/2024,54.9,42.7,33.3,46.8,39.1,32.5,97.0,88.0,67.0,10.5,1.8,0.0,30.25,30.15,0.0
1/31/2024,55.8,40.3,32.9,46.9,38.5,32.2,98.0,94.0,70.0,6.5,0.6,0.0,30.3,30.22,0.01
2/1/2024,65.7,46.6,34.7,42.4,35.9,31.5,96.0,70.0,30.0,11.9,1.8,0.0,30.32,30.22,0.01
2/2/2024,60.6,47.1,35.1,43.0,36.3,29.3,93.0,68.0,43.0,9.6,2.0,0.0,30.24,30.15,0.0
2/3/2024,59.9,43.3,32.7,43.2,34.7,25.0,96.0,76.0,27.0,7.8,1.3,0.0,30.24,30.18,0.0
