Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,48.7,40.6,33.8,38.8,33.7,29.1,92.0,77.0,50.0,10.2,1.4,0.0,29.93,29.81,0.0
1/2/2024,46.5,38.6,33.4,45.8,36.7,32.3,98.0,93.0,86.0,6.9,0.9,0.0,29.93,29.85,0.0
1/3/2024,55.2,48.6,44.7,50.1,47.0,41.7,99.0,95.0,80.0,10.7,1.6,0.0,29.87,29.81,0.19
1/4/2024,47.4,44.2,40.2,46.2,42.7,39.5,99.0,95.0,83.0,9.6,1.2,0.0,29.87,29.58,0.11
1/5/2024,44.4,39.5,37.0,41.0,34.7,30.0,95.0,83.0,59.0,22.5,5.7,0.0,29.64,29.5,0.09
1/6/2024,42.9,38.2,33.6,33.9,31.2,28.4,88.0,76.0,62.0,22.3,4.3,0.0,29.88,29.64,0.0
1/7/2024,46.4,38.1,32.5,31.2,28.3,25.1,83.0,69.0,44.0,11.8,3.0,0.0,29.92,29.86,0.0
1/8/2024,44.9,35.4,26.2,32.9,28.6,24.0,92.0,77.0,53.0,6.7,0.9,0.0,29.9,29.8,0.0
1/9/2024,41.3,38.1,35.0,37.0,34.5,31.8,94.0,87.0,79.0,8.9,1.3,0.0,29.83,29.78,0.0
1/10/2024,46.4,39.9,37.7,41.1,37.6,35.6,97.0,92.0,71.0,11.4,1.6,0.0,29.83,29.77,0.12
1/11/2024,44.2,37.6,31.4,35.9,31.4,25.7,96.0,79.0,59.0,9.3,1.5,0.0,29.94,29.78,0.0
1/12/2024,44.4,34.5,26.6,32.0,27.5,24.0,90.0,76.0,55.0,10.0,2.1,0.0,30.02,29.93,0.0
1/13/2024,47.1,40.0,30.7,41.1,35.9,28.2,92.0,86.0,74.0,6.0,0.6,0.0,30.03,29.92,0.0
1/14/2024,48.5,43.4,39.7,44.4,41.0,37.4,98.0,92.0,76.0,13.6,1.3,0.0,29.93,29.79,0.11
1/15/2024,55.2,49.3,43.1,52.7,48.5,42.4,99.0,97.0,89.0,8.9,1.3,0.0,29.8,29.68,0.18
1/16/2024,53.0,50.8,47.6,51.8,49.6,45.3,99.0,95.0,80.0,11.4,2.7,0.0,29.73,29.57,0.23
1/17/2024,50.5,48.1,45.1,49.1,46.2,41.5,99.0,93.0,75.0,15.2,4.7,0.0,29.57,29.36,0.67
1/18/2024,56.3,49.2,44.9,49.2,44.8,41.3,97.0,85.0,66.0,10.2,3.0,0.0,29.62,29.52,0.01
1/19/2024,46.0,41.7,33.9,44.4,39.5,29.8,97.0,92.0,84.0,22.3,5.3,0.0,29.66,29.42,0.61
1/20/2024,49.8,38.5,30.3,36.8,32.1,28.5,96.0,79.0,51.0,9.6,1.2,0.0,30.12,29.66,0.0
1/21/2024,52.3,40.8,31.8,41.5,36.1,30.3,96.0,84.0,59.0,7.1,1.4,0.0,30.26,30.12,0.0
1/22/2024,56.6,44.7,33.4,48.3,40.9,32.9,98.0,88.0,69.0,13.4,2.2,0.0,30.32,30.23,0.0
1/23/2024,60.9,49.3,39.7,51.2,45.5,38.8,98.0,88.0,68.0,6.7,1.5,0.0,30.38,30.3,0.0
1/24/2024,69.0,52.4,41.3,51.2,45.4,40.2,97.0,80.0,48.0,3.1,0.1,0.0,30.39,30.32,0.01
1/25/2024,68.9,53.0,42.2,49.6,43.6,37.5,91.0,73.0,34.0,6.7,0.8,0.0,30.33,30.21,0.0
1/26/2024,70.3,54.0,44.0,47.8,41.9,34.5,87.0,67.0,35.0,6.2,0.4,0.0,30.25,30.17,0.0
1/27/2024,68.0,52.8,43.8,45.1,39.3,32.9,78.0,62.0,40.0,7.3,0.7,0.0,30.19,30.08,0.0
1/28/2024,63.8,50.2,39.3,45.6,41.3,36.6,92.0,73.0,44.0,8.2,0.8,0.0,30.12,30.06,0.0
1/29/2024,59.9,49.6,42.6,45.1,41.7,39.2,91.0,75.0,55.0,6.9,0.8,0.0,30.16,30.08,0.0
1/30/2024,57.7,45.2,38.6,48.0,42.1,37.5,98.0,90.0,66.0,5.8,0.5,0.0,30.22,30.14,0.0
1/31/2024,58.4,45.0,37.5,47.8,41.7,37.0,99.0,89.0,63.0,6.4,0.7,0.0,30.27,30.21,0.0
2/1/2024,63.3,49.1,38.6,44.2,38.5,31.4,95.0,71.0,32.0,8.2,0.8,0.0,30.29,30.21,0.0
2/2/2024,60.9,48.5,40.2,43.3,37.5,31.4,85.0,67.0,37.0,10.2,1.2,0.0,30.22,30.15,0.0
2/3/2024,60.8,46.6,36.6,42.2,36.6,28.7,93.0,71.0,31.0,6.7,0.4,0.0,30.22,30.16,0.0
2/4/2024,64.5,47.4,34.3,37.5,32.1,26.2,85.0,59.0,28.0,6.4,0.5,0.0,30.2,30.14,0.0
2/5/2024,60.8,47.2,36.3,39.2,31.7,22.6,78.0,57.0,31.0,6.7,0.7,0.0,30.17,30.06,0.0
2/6/2024,59.7,49.5,39.9,43.5,37.4,33.2,83.0,64.0,44.0,11.1,1.2,0.0,30.07,29.97,0.0
2/7/2024,51.9,44.8,35.6,45.8,38.6,30.9,99.0,80.0,48.0,10.2,1.4,0.0,30.01,29.87,0.0
2/8/2024,47.1,44.4,42.0,45.1,42.8,39.3,99.0,94.0,78.0,13.8,2.9,0.0,29.87,29.4,0.16
2/9/2024,48.5,45.3,42.8,48.3,44.9,39.5,99.0,98.0,87.0,14.3,3.3,0.0,29.39,28.98,0.7
2/10/2024,46.4,41.2,37.4,41.5,35.2,30.7,94.0,79.0,65.0,19.9,5.0,0.0,29.51,29.03,0.11
2/11/2024,45.6,39.4,36.8,39.0,34.3,30.0,99.0,83.0,65.0,13.1,3.8,0.0,29.63,29.51,0.06
2/12/2024,57.7,48.7,37.5,45.1,41.6,37.4,99.0,78.0,54.0,19.6,3.1,0.0,29.89,29.55,0.04
2/13/2024,57.2,51.5,45.5,52.3,47.1,41.0,97.0,85.0,74.0,10.0,1.4,0.0,30.03,29.86,0.02
2/14/2024,57.3,51.8,47.1,52.7,49.7,46.2,98.0,93.0,83.0,8.0,1.1,0.0,30.04,29.91,0.0
2/15/2024,58.8,51.5,47.3,51.8,48.2,42.0,97.0,89.0,70.0,13.4,2.5,0.0,29.91,29.74,0.06
