Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,49.6,42.3,39.2,41.0,38.6,36.3,95.0,87.0,64.0,4.0,0.2,0.0,30.23,30.1,0.0
1/2/2024,46.2,41.6,36.3,44.2,39.3,34.5,97.0,92.0,81.0,4.5,0.2,0.0,30.24,30.14,0.0
1/3/2024,54.7,51.2,45.9,53.2,50.0,43.9,99.0,96.0,92.0,8.9,0.8,0.0,30.16,30.08,0.13
1/4/2024,53.2,49.2,46.6,50.4,48.3,45.7,99.0,97.0,87.0,6.9,0.6,0.0,30.15,29.85,0.22
1/5/2024,48.6,45.6,41.9,47.3,37.3,30.6,97.0,74.0,52.0,13.9,3.9,0.0,29.96,29.76,0.09
1/6/2024,50.9,43.8,36.9,34.5,32.4,29.8,80.0,65.0,47.0,10.3,1.4,0.0,30.18,29.94,0.0
1/7/2024,49.1,41.7,36.0,34.0,31.0,29.1,82.0,66.0,48.0,8.5,0.7,0.0,30.23,30.15,0.0
1/8/2024,46.2,39.0,30.0,32.7,30.1,26.8,89.0,71.0,52.0,2.2,0.0,0.0,30.2,30.09,0.0
1/9/2024,46.2,41.7,38.5,38.1,35.7,31.3,85.0,79.0,70.0,4.5,0.3,0.0,30.14,30.07,0.0
1/10/2024,47.3,43.4,39.7,42.4,39.7,37.6,94.0,87.0,78.0,9.2,0.8,0.0,30.14,30.05,0.01
1/11/2024,46.2,41.0,36.0,40.8,33.6,28.0,94.0,76.0,55.0,8.1,1.1,0.0,30.25,30.06,0.0
1/12/2024,45.9,37.2,30.0,32.5,28.8,25.5,84.0,72.0,56.0,6.0,0.8,0.0,30.33,30.23,0.0
1/13/2024,48.4,40.9,33.8,39.9,34.3,28.9,85.0,77.0,68.0,4.5,0.4,0.0,30.34,30.2,0.0
1/14/2024,47.8,44.3,40.8,45.1,41.2,37.2,95.0,89.0,84.0,10.1,0.4,0.0,30.22,30.07,0.11
1/15/2024,57.4,51.4,44.8,55.2,50.1,43.7,99.0,95.0,87.0,11.0,1.1,0.0,30.08,29.95,0.22
1/16/2024,58.5,55.6,51.6,54.7,51.7,45.5,97.0,87.0,68.0,9.6,2.1,0.0,30.0,29.84,0.0
1/17/2024,54.7,52.4,49.6,50.5,48.4,44.6,97.0,86.0,77.0,17.9,4.2,0.0,29.84,29.63,0.38
1/18/2024,58.8,53.2,50.2,50.9,48.6,46.6,96.0,85.0,70.0,13.0,2.7,0.0,29.89,29.79,0.0
1/19/2024,50.9,43.9,37.9,50.2,41.7,32.9,99.0,92.0,80.0,17.2,4.7,0.0,29.96,29.7,1.3
1/20/2024,50.0,42.8,36.1,42.8,36.5,30.7,90.0,79.0,53.0,16.3,2.5,0.0,30.43,29.96,0.01
1/21/2024,52.9,46.1,40.5,42.4,39.9,36.1,91.0,80.0,63.0,9.4,0.7,0.0,30.57,30.42,0.0
1/22/2024,51.1,42.5,36.0,43.5,38.9,34.0,93.0,87.0,75.0,5.1,0.4,0.0,30.64,30.54,0.0
1/23/2024,59.5,47.6,37.0,50.2,43.2,36.1,98.0,85.0,68.0,6.0,0.3,0.0,30.68,30.6,0.0
1/24/2024,64.9,52.5,41.7,51.1,45.9,39.7,95.0,80.0,58.0,3.8,0.3,0.0,30.69,30.59,0.0
1/25/2024,64.4,52.3,42.1,49.8,44.6,38.7,89.0,76.0,56.0,2.2,0.0,0.0,30.62,30.48,0.0
1/26/2024,66.9,53.3,42.4,49.1,44.0,39.2,89.0,73.0,45.0,2.5,0.1,0.0,30.54,30.43,0.0
1/27/2024,65.7,53.5,43.7,47.8,43.3,38.3,83.0,70.0,43.0,1.3,0.0,0.0,30.46,30.35,0.0
1/28/2024,62.8,51.6,41.9,45.9,42.5,38.1,87.0,72.0,50.0,1.8,0.0,0.0,30.41,30.33,0.0
1/29/2024,60.6,50.9,43.5,46.0,42.8,39.9,88.0,75.0,51.0,3.4,0.1,0.0,30.46,30.36,0.0
1/30/2024,57.4,48.5,41.0,46.2,42.8,38.8,92.0,81.0,64.0,2.2,0.1,0.0,30.52,30.43,0.0
1/31/2024,49.5,43.8,38.5,43.2,40.1,36.0,93.0,87.0,78.0,6.0,0.4,0.0,30.58,30.51,0.0
2/1/2024,64.0,50.0,37.4,43.9,39.6,34.2,95.0,70.0,45.0,3.6,0.3,0.0,30.59,30.48,0.0
2/2/2024,60.6,50.4,41.2,44.1,39.8,35.8,83.0,68.0,49.0,11.0,0.3,0.0,30.5,30.42,0.0
2/3/2024,61.9,49.5,38.5,43.9,38.3,35.1,89.0,68.0,38.0,4.5,0.3,0.0,30.51,30.44,0.0
2/4/2024,63.9,49.2,36.7,39.6,35.2,29.7,82.0,61.0,28.0,3.8,0.4,0.0,30.5,30.41,0.0
2/5/2024,60.3,48.3,38.3,42.4,37.4,32.9,81.0,67.0,44.0,3.8,0.4,0.0,30.46,30.33,0.0
2/6/2024,59.0,48.8,41.7,46.9,41.4,36.9,86.0,76.0,59.0,3.8,0.2,0.0,30.36,30.25,0.0
2/7/2024,53.8,46.8,39.2,47.3,43.0,36.9,95.0,87.0,71.0,8.5,0.7,0.0,30.3,30.15,0.0
2/8/2024,54.5,49.1,45.7,47.5,44.3,37.8,96.0,84.0,54.0,9.2,2.2,0.0,30.16,29.67,0.05
2/9/2024,52.9,49.2,46.4,50.7,47.4,43.3,99.0,93.0,82.0,13.2,3.5,0.0,29.68,29.25,0.59
2/10/2024,51.1,46.7,42.4,44.2,36.1,31.3,92.0,67.0,52.0,21.3,5.6,0.0,29.78,29.3,0.01
2/11/2024,48.7,43.1,37.2,40.8,35.7,30.0,94.0,76.0,62.0,14.1,2.0,0.0,29.94,29.79,0.0
2/12/2024,60.4,49.8,41.9,50.2,45.7,40.1,99.0,87.0,64.0,10.7,1.9,0.0,30.17,29.83,0.0
2/13/2024,61.7,53.9,47.7,54.1,49.9,45.1,95.0,87.0,71.0,7.4,0.5,0.0,30.31,30.13,0.0
2/14/2024,63.0,56.0,50.2,54.5,51.4,48.4,95.0,85.0,72.0,4.7,0.3,0.0,30.32,30.16,0.0
2/15/2024,57.9,52.9,48.9,52.9,49.5,46.6,93.0,89.0,75.0,9.2,1.0,0.0,30.18,30.01,0.1
2/16/2024,60.4,53.8,48.0,47.3,42.5,37.9,91.0,67.0,48.0,8.9,0.8,0.0,30.37,30.07,0.01
2/17/2024,65.5,52.5,41.0,43.0,37.0,28.6,86.0,59.0,27.0,4.0,0.1,0.0,30.53,30.36,0.0
2/18/2024,64.2,50.8,38.7,41.0,37.0,32.7,81.0,61.0,37.0,4.7,0.4,0.0,30.59,30.5,0.0
2/19/2024,67.1,54.7,43.2,48.2,42.1,36.0,84.0,64.0,47.0,2.9,0.1,0.0,30.55,30.41,0.0
2/20/2024,68.4,53.6,39.6,44.1,36.3,25.2,79.0,55.0,20.0,2.9,0.1,0.0,30.49,30.35,0.0
2/21/2024,60.8,50.6,39.9,46.4,39.9,32.4,80.0,67.0,51.0,2.2,0.0,0.0,30.39,30.2,0.0
2/22/2024,56.3,51.6,46.4,51.1,45.3,34.5,93.0,79.0,60.0,17.4,3.6,0.0,30.22,29.84,0.18
2/23/2024,49.6,44.5,37.4,39.7,34.1,29.8,81.0,67.0,53.0,19.2,4.0,0.0,29.95,29.85,0.02
2/24/2024,50.2,44.3,38.7,36.7,32.5,28.0,88.0,65.0,44.0,15.2,3.6,0.0,30.06,29.84,0.0
2/25/2024,57.4,49.7,43.0,49.1,44.8,36.5,95.0,84.0,69.0,19.0,3.9,0.0,30.05,29.73,0.01
2/26/2024,52.3,48.3,44.8,48.6,36.5,29.7,91.0,64.0,43.0,17.9,6.0,0.0,29.92,29.69,0.0
2/27/2024,52.2,45.6,41.9,31.8,28.3,25.0,59.0,51.0,43.0,24.8,7.4,0.0,30.18,29.92,0.0
2/28/2024,56.3,48.5,41.9,36.7,32.2,25.0,66.0,53.0,45.0,15.9,5.9,0.0,30.22,30.13,0.0
2/29/2024,57.4,47.2,35.1,42.3,34.2,25.7,86.0,62.0,42.0,22.8,4.7,0.0,30.2,29.99,0.0
3/1/2024,56.5,46.2,36.1,39.4,31.8,24.8,74.0,58.0,44.0,11.4,2.9,0.0,30.15,29.96,0.0
3/2/2024,47.8,43.7,35.4,43.0,38.6,31.3,92.0,82.0,69.0,19.5,3.5,0.0,29.97,29.54,0.47
3/3/2024,49.5,43.2,37.6,36.5,31.2,26.4,74.0,63.0,43.0,18.3,5.2,0.0,30.03,29.71,0.01
3/4/2024,56.1,48.9,41.7,46.2,41.9,34.9,90.0,77.0,59.0,15.4,2.9,0.0,30.16,30.02,0.0
3/5/2024,58.1,49.1,39.9,38.1,35.2,32.9,79.0,59.0,42.0,9.2,1.3,0.0,30.27,30.15,0.0
3/6/2024,58.6,48.3,35.8,39.7,35.8,30.9,83.0,63.0,45.0,5.4,0.3,0.0,30.24,30.01,0.0
3/7/2024,54.9,46.2,40.8,45.7,39.3,35.1,94.0,78.0,55.0,14.8,1.9,0.0,30.02,29.72,0.26
3/8/2024,53.1,44.2,39.0,41.7,37.9,34.3,96.0,80.0,51.0,13.4,3.4,0.0,29.78,29.55,0.31
3/9/2024,48.0,42.9,38.7,45.0,38.6,34.9,96.0,85.0,68.0,14.5,3.2,0.0,29.55,29.4,0.31
3/10/2024,55.4,46.5,39.4,42.6,39.2,34.5,96.0,78.0,47.0,24.2,4.1,0.0,29.9,29.49,0.14
3/11/2024,58.3,50.5,44.6,37.4,35.1,30.7,71.0,57.0,38.0,13.6,4.4,0.0,30.21,29.89,0.0
3/12/2024,62.8,50.2,38.3,41.5,37.3,33.8,85.0,63.0,38.0,5.4,0.4,0.0,30.25,30.15,0.0
3/13/2024,67.6,53.7,41.0,43.5,40.0,36.5,85.0,62.0,37.0,4.5,0.6,0.0,30.17,30.01,0.0
3/14/2024,63.7,53.3,43.7,48.6,43.4,37.6,85.0,70.0,54.0,8.1,0.3,0.0,30.17,30.05,0.0
3/15/2024,65.1,54.4,42.6,51.3,46.6,40.3,92.0,76.0,57.0,4.0,0.3,0.0,30.28,30.15,0.0
3/16/2024,67.1,56.3,47.3,53.8,49.1,45.0,95.0,78.0,54.0,6.7,0.5,0.0,30.35,30.25,0.0
3/17/2024,70.5,60.1,48.6,53.6,50.0,45.7,91.0,71.0,51.0,5.4,0.2,0.0,30.29,30.15,0.0
3/18/2024,71.1,60.8,49.1,54.3,50.4,46.2,90.0,70.0,50.0,6.9,0.5,0.0,30.18,30.07,0.0
3/19/2024,75.6,64.0,52.2,53.1,48.7,41.7,87.0,61.0,32.0,6.0,0.3,0.0,30.1,29.98,0.0
3/20/2024,73.0,62.1,51.8,50.7,46.9,44.1,78.0,59.0,40.0,17.9,1.4,0.0,30.07,29.96,0.0
3/21/2024,77.2,64.6,55.8,51.8,48.2,45.9,74.0,57.0,34.0,14.3,1.7,0.0,30.22,30.06,0.0
3/22/2024,79.3,66.0,52.9,52.7,48.6,44.1,78.0,56.0,30.0,6.9,1.1,0.0,30.23,30.07,0.0
3/23/2024,77.5,65.7,52.2,54.5,48.7,43.2,75.0,56.0,38.0,11.6,0.8,0.0,30.17,30.03,0.0
3/24/2024,73.9,62.0,52.3,50.9,45.8,40.6,76.0,57.0,33.0,15.2,1.2,0.0,30.09,29.79,0.0
3/25/2024,59.0,53.8,50.4,54.3,48.9,39.4,95.0,84.0,63.0,13.6,1.3,0.0,29.8,29.37,0.16
3/26/2024,51.3,45.1,39.0,39.4,34.6,26.8,90.0,68.0,46.0,17.2,2.8,0.0,29.46,29.37,0.06
3/27/2024,57.7,48.4,40.1,48.9,43.5,37.0,95.0,84.0,61.0,17.4,3.6,0.0,29.56,29.43,0.04
3/28/2024,61.5,52.5,45.0,52.2,45.8,40.6,96.0,79.0,53.0,14.3,2.5,0.0,29.68,29.5,0.36
3/29/2024,51.6,46.2,39.9,50.4,43.6,37.8,97.0,91.0,74.0,11.4,1.8,0.0,29.58,29.45,0.29
3/30/2024,53.8,45.0,40.3,44.1,41.2,38.1,97.0,87.0,56.0,12.3,3.0,0.0,29.56,29.37,0.36
3/31/2024,50.5,44.2,40.8,42.3,39.4,35.4,97.0,84.0,61.0,18.8,2.4,0.0,29.72,29.39,0.35
4/1/2024,56.7,46.6,38.1,43.3,39.2,35.4,93.0,77.0,52.0,19.7,2.2,0.0,30.11,29.72,0.35
4/2/2024,60.1,50.5,40.5,45.7,41.9,38.1,92.0,74.0,54.0,6.0,0.3,0.0,30.16,30.04,0.04
4/3/2024,65.3,55.8,47.1,48.9,44.9,42.3,87.0,68.0,46.0,3.1,0.2,0.0,30.2,30.08,0.0
4/4/2024,69.8,57.6,44.6,51.6,46.7,41.5,90.0,69.0,43.0,3.4,0.1,0.0,30.19,30.07,0.0
4/5/2024,76.1,60.7,47.8,50.0,46.6,43.2,86.0,63.0,34.0,2.9,0.1,0.0,30.14,29.99,0.0
4/6/2024,76.3,65.5,53.8,54.0,47.8,42.1,71.0,54.0,34.0,2.9,0.0,0.0,30.07,29.94,0.0
4/7/2024,73.2,64.6,57.0,54.5,51.6,49.3,81.0,64.0,46.0,3.4,0.1,0.0,30.07,29.94,0.0
4/8/2024,65.7,56.7,49.8,51.1,45.9,37.0,89.0,69.0,44.0,14.3,0.7,0.0,30.14,29.93,0.03
4/9/2024,64.0,52.3,42.3,37.4,33.2,27.5,70.0,50.0,32.0,4.5,0.2,0.0,30.44,30.13,0.03
4/10/2024,71.6,56.1,43.3,46.4,38.4,34.7,73.0,53.0,33.0,5.4,0.1,0.0,30.46,30.35,0.0
4/11/2024,80.8,65.5,50.9,51.6,45.4,41.2,74.0,51.0,31.0,6.0,0.2,0.0,30.44,30.32,0.0
4/12/2024,80.1,65.2,50.7,47.1,42.2,36.9,71.0,45.0,26.0,4.5,0.1,0.0,30.51,30.37,0.0
4/13/2024,84.7,66.9,50.9,48.7,43.5,31.6,82.0,48.0,16.0,2.2,0.0,0.0,30.44,30.29,0.0
4/14/2024,82.6,68.2,52.7,47.5,44.4,38.7,73.0,45.0,25.0,3.4,0.1,0.0,30.35,30.2,0.0
4/15/2024,86.0,69.7,55.9,54.5,48.9,39.7,75.0,50.0,30.0,3.4,0.1,0.0,30.23,30.09,0.0
4/16/2024,81.1,66.3,53.6,50.0,44.4,39.0,70.0,47.0,30.0,4.5,0.2,0.0,30.17,29.99,0.0
4/17/2024,74.7,60.3,47.3,43.3,39.8,36.7,69.0,48.0,31.0,6.9,0.5,0.0,30.09,29.98,0.0
4/18/2024,73.8,59.2,46.6,41.4,37.3,34.3,66.0,46.0,27.0,2.9,0.2,0.0,30.15,30.01,0.0
4/19/2024,75.6,57.9,43.9,46.6,38.3,31.1,62.0,49.0,33.0,3.8,0.3,0.0,30.2,30.04,0.0
4/20/2024,78.3,63.5,49.3,47.3,39.1,29.3,76.0,46.0,18.0,2.7,0.1,0.0,30.08,29.93,0.0
4/21/2024,77.5,62.4,48.9,40.1,35.2,30.4,58.0,38.0,24.0,3.6,0.3,0.0,30.06,29.93,0.0
4/22/2024,66.6,55.6,44.1,34.5,28.4,22.6,62.0,37.0,23.0,11.6,0.6,0.0,30.13,29.99,0.0
4/23/2024,63.1,50.8,37.9,37.8,28.7,23.2,57.0,43.0,30.0,9.8,0.4,0.0,30.15,30.02,0.0
4/24/2024,67.8,53.2,38.8,38.1,30.7,23.4,72.0,45.0,22.0,4.5,0.3,0.0,30.16,29.97,0.0
