Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,48.2,40.4,35.6,41.0,38.1,33.6,97.0,92.0,75.0,7.4,1.6,0.0,29.89,29.76,0.0
1/2/2024,44.8,40.2,34.3,44.1,38.6,33.4,97.0,94.0,86.0,7.6,0.9,0.0,29.9,29.8,0.0
1/3/2024,54.5,49.9,44.8,53.4,48.9,44.1,99.0,96.0,93.0,14.3,3.5,0.0,29.83,29.73,0.2
1/4/2024,50.2,47.9,45.3,49.5,47.3,43.5,99.0,98.0,94.0,5.4,1.3,0.0,29.81,29.5,0.24
1/5/2024,48.4,44.5,40.1,46.2,38.1,30.9,97.0,79.0,54.0,17.2,4.0,0.0,29.62,29.42,0.02
1/6/2024,47.5,42.1,35.8,35.8,33.0,30.6,85.0,70.0,56.0,19.7,4.5,0.0,29.83,29.61,0.0
1/7/2024,47.5,40.1,34.0,33.6,31.0,28.6,87.0,71.0,53.0,20.6,4.4,0.0,29.89,29.81,0.0
1/8/2024,46.2,38.1,29.7,33.6,30.5,26.2,88.0,74.0,55.0,8.5,2.0,0.0,29.93,29.79,0.0
1/9/2024,43.9,40.4,37.8,38.5,36.1,31.8,91.0,85.0,76.0,6.5,1.5,0.0,29.93,29.86,0.0
1/10/2024,45.9,42.2,39.4,42.4,39.8,37.8,96.0,92.0,84.0,11.2,3.1,0.0,29.92,29.84,0.03
1/11/2024,46.0,38.3,32.5,39.9,33.1,28.0,97.0,82.0,62.0,25.3,5.6,0.0,30.04,29.85,0.0
1/12/2024,46.6,35.7,28.6,34.3,29.3,25.2,88.0,78.0,59.0,14.8,4.6,0.0,30.11,30.01,0.0
1/13/2024,49.3,40.2,32.0,42.1,35.6,28.8,90.0,84.0,71.0,8.3,1.6,0.0,30.12,29.98,0.0
1/14/2024,46.6,43.0,38.7,44.8,41.1,36.5,96.0,93.0,85.0,14.5,1.8,0.0,29.99,29.86,0.15
1/15/2024,58.1,49.8,42.4,54.9,48.9,41.5,99.0,97.0,88.0,13.9,3.4,0.0,29.87,29.73,0.23
1/16/2024,57.4,54.9,51.4,55.0,52.2,47.3,98.0,91.0,77.0,15.9,7.0,0.0,29.78,29.63,0.01
1/17/2024,54.3,52.2,49.5,50.5,48.8,45.5,97.0,89.0,78.0,31.3,11.8,2.2,29.63,29.4,0.26
1/18/2024,58.3,52.7,50.0,51.3,48.8,47.1,96.0,87.0,72.0,22.6,8.6,0.0,29.68,29.56,0.0
1/19/2024,50.5,43.0,36.7,49.8,41.0,33.1,99.0,93.0,83.0,34.2,16.0,0.0,29.74,29.48,1.1
1/20/2024,48.2,41.6,34.2,43.9,36.9,29.8,93.0,84.0,58.0,30.9,7.4,0.0,30.2,29.74,0.0
1/21/2024,54.0,44.8,37.6,43.0,40.1,35.6,94.0,84.0,64.0,9.6,2.0,0.0,30.35,30.2,0.0
1/22/2024,48.7,40.3,33.4,44.4,38.5,32.5,97.0,93.0,84.0,7.8,1.7,0.0,30.42,30.33,0.0
1/23/2024,59.9,43.6,36.1,52.0,41.2,35.2,97.0,92.0,72.0,6.3,1.4,0.0,30.47,30.39,0.01
1/28/2024,65.7,56.4,49.3,47.7,45.5,44.2,84.0,68.0,50.0,6.0,2.0,0.0,29.95,29.89,0.01
1/29/2024,60.3,50.6,41.4,47.5,43.3,38.7,92.0,77.0,51.0,7.2,1.8,0.0,30.01,29.91,0.0
1/30/2024,56.8,46.4,38.5,48.2,42.7,37.6,96.0,88.0,71.0,6.3,1.2,0.0,30.07,29.99,0.0
1/31/2024,47.3,41.3,37.0,43.9,39.5,35.8,97.0,94.0,87.0,7.8,2.1,0.0,30.14,30.07,0.0
2/1/2024,65.3,50.0,38.5,47.1,40.7,36.1,95.0,73.0,42.0,12.5,2.9,0.0,30.15,30.04,0.01
2/2/2024,60.3,49.3,39.0,46.6,39.8,34.0,85.0,71.0,49.0,37.6,4.8,0.0,30.06,29.98,0.0
2/3/2024,62.6,48.4,37.6,44.6,39.3,35.4,92.0,73.0,43.0,8.9,2.4,0.0,30.07,30.0,0.0
2/4/2024,65.3,47.8,35.8,41.9,36.0,31.5,87.0,67.0,30.0,8.1,1.5,0.0,30.05,29.97,0.0
2/5/2024,60.8,47.0,34.9,43.0,38.1,31.5,88.0,72.0,47.0,8.9,1.2,0.0,30.02,29.9,0.0
2/6/2024,57.4,46.4,39.4,46.8,40.9,36.0,93.0,82.0,60.0,8.3,1.6,0.0,29.92,29.81,0.0
2/7/2024,51.3,44.4,34.7,47.5,42.1,33.8,98.0,92.0,80.0,8.9,1.6,0.0,29.86,29.71,0.0
2/8/2024,53.8,48.6,46.0,47.5,44.9,38.7,96.0,88.0,57.0,25.5,6.1,0.0,29.72,29.23,0.15
2/9/2024,52.7,48.8,45.9,50.2,47.2,43.3,98.0,94.0,84.0,25.3,8.7,0.7,29.93,29.2,0.61
2/10/2024,49.5,45.5,40.6,44.1,37.3,32.4,94.0,73.0,57.0,25.7,8.3,0.0,30.06,29.56,0.03
