Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,56.7,47.7,42.1,48.9,45.9,41.4,99.0,94.0,71.0,4.0,0.5,0.0,30.21,30.07,0.0
1/2/2024,61.5,50.5,41.5,54.7,48.2,41.2,99.0,92.0,77.0,8.1,1.3,0.0,30.21,30.1,0.0
1/3/2024,59.7,56.4,53.2,59.0,54.8,51.8,99.0,95.0,85.0,6.3,1.1,0.0,30.14,30.07,0.07
1/4/2024,61.2,53.4,47.7,58.1,52.6,47.3,99.0,97.0,86.0,12.1,2.2,0.0,30.12,29.85,0.26
1/5/2024,54.7,48.1,42.6,50.4,43.4,37.9,99.0,85.0,58.0,15.9,5.5,0.0,30.04,29.83,0.02
1/6/2024,52.5,43.0,35.2,44.2,39.6,34.7,99.0,88.0,68.0,10.1,1.7,0.0,30.18,30.03,0.0
1/7/2024,50.9,38.0,29.5,43.2,36.4,29.1,99.0,95.0,69.0,5.6,0.4,0.0,30.23,30.15,0.01
1/8/2024,48.7,38.5,30.0,44.2,37.3,29.7,99.0,96.0,78.0,4.5,0.8,0.0,30.19,30.05,0.15
1/9/2024,52.2,45.4,39.4,46.4,43.4,39.0,99.0,93.0,73.0,7.8,1.2,0.0,30.09,29.99,0.01
1/10/2024,54.9,46.9,42.8,49.8,45.8,42.4,99.0,96.0,83.0,8.1,1.0,0.0,30.16,30.07,0.0
1/11/2024,56.7,47.8,39.0,48.2,44.6,38.7,99.0,89.0,61.0,7.6,1.2,0.0,30.15,30.06,0.0
1/12/2024,57.7,46.3,38.1,46.9,40.6,33.3,99.0,81.0,64.0,13.2,2.3,0.0,30.21,30.12,0.0
1/13/2024,57.6,51.5,46.8,49.6,45.6,42.4,91.0,81.0,67.0,8.1,2.3,0.0,30.23,30.1,0.0
1/14/2024,59.4,52.0,45.1,53.2,48.8,43.0,99.0,89.0,74.0,6.5,1.2,0.0,30.14,30.05,0.09
1/15/2024,65.5,57.8,52.7,61.3,56.4,52.3,99.0,95.0,82.0,17.2,2.7,0.0,30.05,29.94,0.14
1/16/2024,65.5,58.5,55.2,57.4,54.3,50.0,99.0,86.0,58.0,18.6,3.5,0.0,29.99,29.75,0.03
1/17/2024,62.2,57.7,53.8,57.2,53.9,50.9,99.0,87.0,72.0,23.5,6.8,0.0,29.83,29.56,1.11
1/18/2024,59.7,56.7,55.0,57.6,55.3,53.1,99.0,95.0,88.0,10.1,2.3,0.0,29.88,29.76,0.7
1/19/2024,58.3,52.4,42.8,56.1,50.5,35.8,99.0,93.0,74.0,22.1,4.7,0.0,29.94,29.55,1.32
1/20/2024,55.2,44.1,35.1,44.8,38.8,33.1,99.0,83.0,63.0,9.8,1.1,0.0,30.39,29.94,0.0
1/21/2024,58.6,46.6,37.4,48.4,43.3,37.0,99.0,89.0,60.0,6.0,0.7,0.0,30.54,30.37,0.0
1/22/2024,59.7,45.1,34.7,50.0,42.5,34.3,99.0,92.0,66.0,6.5,0.8,0.0,30.62,30.53,0.01
1/23/2024,68.5,50.3,39.4,55.9,47.3,39.0,99.0,91.0,62.0,6.5,0.8,0.0,30.63,30.54,0.01
1/24/2024,70.0,53.1,39.9,57.7,49.4,39.6,99.0,89.0,58.0,9.2,1.1,0.0,30.61,30.5,0.01
1/25/2024,70.9,54.2,43.0,58.1,50.4,42.6,99.0,89.0,61.0,4.9,0.9,0.0,30.53,30.38,0.01
1/26/2024,73.0,54.1,42.4,56.7,49.4,42.1,99.0,87.0,46.0,5.6,0.8,0.0,30.44,30.33,0.01
1/27/2024,70.7,54.7,43.0,58.1,50.5,42.3,99.0,87.0,58.0,6.7,1.1,0.0,30.35,30.24,0.0
1/28/2024,67.8,53.7,42.8,54.7,49.5,42.4,99.0,87.0,55.0,5.4,1.0,0.0,30.32,30.25,0.01
1/29/2024,63.9,51.1,43.7,53.2,48.2,43.3,99.0,91.0,65.0,6.0,1.0,0.0,30.36,30.24,0.01
1/30/2024,63.0,50.4,39.7,53.2,47.2,39.4,99.0,90.0,68.0,7.8,1.2,0.0,30.43,30.35,0.01
1/31/2024,65.1,49.9,39.2,52.0,45.8,38.8,99.0,87.0,59.0,8.9,1.1,0.0,30.51,30.41,0.0
