Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,46.2,45.6,45.1,39.0,37.9,37.0,76.0,74.0,73.0,0.0,0.0,0.0,29.7,29.57,0.0
1/2/2024,45.5,44.5,44.1,37.8,36.6,36.0,76.0,74.0,73.0,0.0,0.0,0.0,29.71,29.61,0.0
1/3/2024,46.4,45.0,44.2,40.6,38.3,36.9,80.0,77.0,75.0,0.0,0.0,0.0,29.63,29.55,0.0
1/4/2024,47.5,46.9,46.4,42.3,41.5,40.6,82.0,82.0,80.0,0.0,0.0,0.0,29.61,29.31,0.0
1/5/2024,47.5,47.3,46.9,42.3,40.9,39.2,82.0,78.0,74.0,0.0,0.0,0.0,29.43,29.24,0.0
1/6/2024,47.1,46.5,45.5,39.6,37.1,35.1,75.0,70.0,66.0,0.0,0.0,0.0,29.64,29.42,0.0
1/7/2024,46.9,46.1,45.0,37.4,34.5,33.1,69.0,64.0,61.0,0.0,0.0,0.0,29.69,29.62,0.0
1/8/2024,46.6,45.6,44.6,34.9,33.5,31.8,66.0,62.0,60.0,0.0,0.0,0.0,29.66,29.56,0.0
1/9/2024,45.7,44.8,44.4,35.4,34.8,34.2,70.0,68.0,66.0,0.0,0.0,0.0,29.61,29.54,0.0
1/10/2024,44.4,44.2,44.1,36.5,35.7,35.1,74.0,72.0,70.0,0.0,0.0,0.0,29.6,29.52,0.0
1/11/2024,44.4,43.8,43.0,36.5,35.0,33.8,74.0,71.0,67.0,0.0,0.0,0.0,29.97,29.53,0.0
1/12/2024,44.1,42.7,41.7,33.8,31.4,29.3,67.0,64.0,61.0,0.0,0.0,0.0,30.04,29.94,0.0
1/13/2024,42.8,42.0,41.2,34.2,32.1,30.7,72.0,68.0,65.0,0.0,0.0,0.0,30.06,29.92,0.0
1/14/2024,42.8,42.5,42.3,36.5,35.3,34.2,79.0,76.0,72.0,0.0,0.0,0.0,29.93,29.79,0.0
1/15/2024,46.2,43.7,42.6,41.9,38.3,36.5,86.0,81.0,78.0,0.0,0.0,0.0,29.8,29.66,0.0
1/16/2024,50.4,48.9,46.2,46.2,44.6,41.9,86.0,85.0,84.0,0.0,0.0,0.0,29.94,29.59,0.0
1/17/2024,50.9,50.5,50.4,46.9,46.4,46.0,86.0,86.0,85.0,0.0,0.0,0.0,29.89,29.66,0.0
1/18/2024,52.3,50.9,50.0,48.6,46.9,45.7,88.0,86.0,85.0,0.0,0.0,0.0,29.94,29.82,0.0
1/19/2024,52.3,49.7,45.5,48.4,43.9,37.0,86.0,81.0,72.0,0.0,0.0,0.0,30.01,29.75,0.0
1/20/2024,45.5,44.0,42.6,40.1,37.2,35.2,82.0,77.0,72.0,0.0,0.0,0.0,30.46,30.0,0.0
1/21/2024,48.6,46.4,45.1,43.3,40.9,39.4,83.0,81.0,80.0,0.0,0.0,0.0,30.6,30.46,0.0
1/22/2024,48.4,45.9,44.4,42.8,40.0,38.1,82.0,80.0,77.0,0.0,0.0,0.0,30.68,30.58,0.0
1/23/2024,49.5,46.0,43.9,45.3,40.9,37.9,86.0,82.0,79.0,0.0,0.0,0.0,30.72,29.91,0.0
1/24/2024,53.1,49.9,47.8,49.1,45.3,42.6,87.0,84.0,82.0,0.0,0.0,0.0,29.96,29.87,0.0
1/25/2024,54.7,52.3,50.4,49.6,46.5,43.5,84.0,81.0,77.0,0.0,0.0,0.0,29.89,29.76,0.0
1/26/2024,56.1,53.8,51.8,50.0,47.2,44.4,81.0,78.0,76.0,0.0,0.0,0.0,29.92,29.75,0.0
1/27/2024,56.5,54.7,53.1,48.9,46.6,44.1,77.0,74.0,71.0,0.0,0.0,0.0,29.86,29.74,0.0
1/28/2024,56.5,54.6,52.7,48.4,45.8,42.8,75.0,72.0,69.0,0.0,0.0,0.0,29.8,29.73,0.0
1/29/2024,55.8,54.2,52.7,47.3,45.4,43.2,74.0,72.0,70.0,0.0,0.0,0.0,29.84,29.75,0.0
1/30/2024,55.2,53.2,51.4,47.1,44.8,42.3,76.0,73.0,70.0,0.0,0.0,0.0,29.91,29.82,0.0
1/31/2024,54.1,50.9,49.3,45.7,42.1,40.5,74.0,72.0,70.0,0.0,0.0,0.0,29.97,29.9,0.0
2/1/2024,52.2,48.9,46.8,44.2,40.5,37.6,75.0,73.0,70.0,0.0,0.0,0.0,29.99,29.88,0.0
2/2/2024,53.2,51.2,49.5,44.8,42.2,39.4,74.0,71.0,68.0,0.0,0.0,0.0,29.9,29.82,0.0
2/3/2024,53.6,51.8,49.8,44.4,42.2,39.4,72.0,70.0,67.0,0.0,0.0,0.0,29.91,29.84,0.0
2/4/2024,53.8,51.8,49.6,43.5,40.7,37.6,69.0,66.0,62.0,0.0,0.0,0.0,29.88,29.81,0.0
2/5/2024,53.6,51.5,49.8,42.8,40.3,37.8,69.0,65.0,62.0,0.0,0.0,0.0,29.85,29.73,0.0
2/6/2024,52.7,51.0,49.5,42.4,41.0,39.0,71.0,69.0,66.0,0.0,0.0,0.0,29.76,29.65,0.0
2/7/2024,51.6,49.2,47.8,42.3,40.2,38.8,74.0,71.0,68.0,0.0,0.0,0.0,29.69,29.54,0.0
