Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/21/2024,45.5,37.6,34.2,39.4,35.8,33.3,97.0,93.0,79.0,1.1,0.1,0.0,30.01,29.96,0.0
1/22/2024,57.4,41.7,31.1,48.2,39.1,30.6,99.0,91.0,69.0,7.4,0.8,0.0,30.08,29.98,0.0
1/23/2024,61.2,47.5,37.2,51.4,44.5,36.7,98.0,90.0,67.0,3.8,0.4,0.0,30.13,30.04,0.0
1/24/2024,68.4,51.9,41.9,51.8,43.8,37.6,94.0,75.0,45.0,2.7,0.6,0.0,30.14,30.06,0.0
1/25/2024,68.2,52.2,40.5,50.4,41.3,33.3,89.0,68.0,41.0,3.8,0.4,0.0,30.08,29.95,0.0
1/26/2024,70.2,54.1,43.3,47.7,40.5,36.3,82.0,62.0,31.0,3.1,0.5,0.0,29.99,29.91,0.0
1/27/2024,66.2,52.8,43.9,43.3,37.6,32.5,71.0,57.0,39.0,4.0,0.6,0.0,29.94,29.83,0.0
1/28/2024,62.1,49.3,40.3,45.0,40.3,35.4,86.0,72.0,49.0,4.5,0.5,0.0,29.86,29.8,0.0
1/29/2024,59.7,48.7,42.3,45.0,40.7,38.1,93.0,75.0,53.0,3.6,0.3,0.0,29.91,29.82,0.0
1/30/2024,58.8,44.8,37.8,47.5,41.4,36.3,96.0,89.0,62.0,3.1,0.2,0.0,29.97,29.88,0.0
1/31/2024,58.3,43.6,36.5,48.4,41.0,35.8,98.0,91.0,65.0,3.4,0.2,0.0,30.02,29.95,0.0
2/1/2024,64.4,49.8,38.8,43.5,36.9,32.0,90.0,63.0,37.0,3.4,0.6,0.0,30.05,29.95,0.0
2/2/2024,59.0,48.5,37.6,43.7,36.4,29.8,82.0,64.0,40.0,7.6,0.9,0.0,29.96,29.88,0.0
2/3/2024,60.1,46.6,37.8,41.2,35.8,30.6,87.0,68.0,37.0,4.9,0.8,0.0,29.97,29.91,0.0
2/4/2024,66.2,48.0,37.6,37.9,29.8,21.9,68.0,51.0,25.0,3.4,0.7,0.0,29.95,29.88,0.0
2/5/2024,62.2,47.0,37.0,39.2,31.4,21.4,78.0,56.0,32.0,3.6,0.4,0.0,29.92,29.81,0.0
2/6/2024,62.4,48.5,39.7,45.1,38.7,32.9,88.0,70.0,36.0,4.5,0.6,0.0,29.81,29.72,0.0
2/7/2024,52.0,43.1,32.2,46.0,38.6,29.5,98.0,84.0,57.0,5.8,0.4,0.0,29.75,29.61,0.0
2/8/2024,48.0,44.6,42.3,45.0,43.0,39.0,99.0,94.0,76.0,9.2,0.8,0.0,29.62,29.13,0.17
2/9/2024,48.9,45.7,41.4,48.4,45.1,40.6,99.0,98.0,95.0,9.2,1.1,0.0,29.13,28.72,1.27
2/10/2024,47.7,42.3,37.6,42.1,34.3,26.8,98.0,74.0,59.0,10.7,2.6,0.0,29.26,28.78,0.08
2/11/2024,45.5,39.5,35.4,39.2,33.5,26.4,97.0,80.0,61.0,7.6,1.5,0.0,29.38,29.25,0.05
2/12/2024,60.1,48.0,37.9,44.6,40.7,37.2,99.0,78.0,46.0,9.8,1.7,0.0,29.63,29.29,0.02
2/13/2024,57.4,51.0,43.5,52.7,47.3,40.6,97.0,87.0,76.0,5.1,0.5,0.0,29.78,29.6,0.0
2/14/2024,57.2,51.8,47.5,52.5,49.5,46.9,98.0,92.0,82.0,4.0,0.3,0.0,29.78,29.65,0.0
