Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,45.8,38.1,32.8,34.7,30.3,25.0,91.0,74.0,45.0,1.8,0.0,0.0,29.85,29.73,0.0
1/2/2024,41.2,36.4,32.0,38.7,34.1,29.7,96.0,91.0,85.0,2.5,0.1,0.0,29.85,29.75,0.0
1/3/2024,53.7,45.6,39.0,48.1,42.6,37.6,98.0,90.0,69.0,3.6,0.2,0.0,29.8,29.73,0.0
1/4/2024,46.0,40.0,33.2,42.9,38.0,31.9,96.0,93.0,86.0,1.6,0.0,0.0,29.79,29.49,0.0
1/5/2024,41.6,37.3,35.5,39.3,33.0,28.1,94.0,84.0,66.0,7.4,1.1,0.0,29.6,29.42,0.02
1/6/2024,37.8,35.5,32.9,31.8,29.9,27.7,88.0,80.0,72.0,7.8,1.2,0.0,29.8,29.6,0.0
1/7/2024,41.6,36.8,33.6,31.6,28.8,26.9,82.0,73.0,60.0,2.2,0.1,0.0,29.85,29.78,0.0
1/8/2024,44.2,34.6,26.6,29.8,26.5,20.4,86.0,73.0,41.0,1.1,0.0,0.0,29.91,29.76,0.02
1/9/2024,42.9,36.9,34.3,35.6,32.4,28.5,91.0,84.0,72.0,1.1,0.0,0.0,29.95,29.86,0.02
1/10/2024,42.9,38.0,35.1,40.4,35.4,33.0,94.0,90.0,77.0,2.0,0.1,0.0,29.95,29.88,0.0
1/11/2024,39.8,34.8,27.6,34.5,28.9,24.0,94.0,80.0,55.0,2.5,0.1,0.0,30.0,29.87,0.02
1/12/2024,41.6,29.4,20.8,28.6,23.9,18.5,91.0,81.0,55.0,1.1,0.0,0.0,30.06,29.96,0.0
1/13/2024,47.3,36.1,26.5,38.2,31.4,23.7,93.0,84.0,60.0,1.1,0.0,0.0,30.07,29.96,0.0
