Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,50.3,43.5,39.4,40.9,38.2,35.6,94.0,82.0,59.0,8.0,2.3,0.0,30.27,30.12,0.0
1/2/2024,47.9,42.7,38.2,45.6,39.6,35.2,93.0,89.0,78.0,5.0,0.8,0.0,30.29,30.17,0.0
1/3/2024,54.9,51.8,47.6,53.0,50.0,45.9,97.0,94.0,87.0,16.0,5.3,0.0,30.18,30.05,0.06
1/4/2024,52.1,50.2,48.5,50.5,48.8,46.0,96.0,95.0,87.0,10.0,2.3,0.0,30.14,29.84,0.17
1/5/2024,48.7,45.1,41.5,47.3,35.6,27.2,95.0,71.0,45.0,12.0,5.5,0.0,29.99,29.76,0.09
1/6/2024,48.1,43.8,40.5,33.1,30.6,28.8,70.0,60.0,49.0,11.0,5.0,1.0,30.21,29.97,0.0
1/7/2024,50.0,42.6,38.2,31.5,29.1,23.6,73.0,60.0,37.0,4.0,1.3,0.0,30.27,30.2,0.0
1/8/2024,46.6,39.9,32.1,31.9,28.9,26.6,82.0,65.0,47.0,3.0,0.9,0.0,30.24,30.15,0.0
1/9/2024,45.4,42.5,39.4,37.1,35.3,31.5,82.0,76.0,66.0,4.0,1.2,0.0,30.18,30.11,0.0
1/10/2024,46.0,43.3,41.2,41.9,39.4,37.0,94.0,86.0,78.0,11.0,4.5,0.0,30.17,30.09,0.06
1/11/2024,45.9,41.1,37.2,41.4,33.0,26.5,94.0,74.0,54.0,5.0,2.0,0.0,30.3,30.1,0.01
1/12/2024,45.1,38.4,31.8,32.3,28.1,25.0,76.0,66.0,57.0,6.0,2.2,0.0,30.39,30.29,0.0
1/13/2024,48.5,41.9,37.2,38.7,33.4,28.9,79.0,72.0,65.0,3.0,1.2,0.0,30.4,30.25,0.0
1/14/2024,51.3,45.5,42.2,48.8,40.5,37.4,91.0,83.0,76.0,10.0,1.8,0.0,30.26,30.08,0.02
1/15/2024,56.9,53.7,51.2,55.3,52.2,48.7,100.0,95.0,87.0,14.0,7.3,0.0,30.09,29.94,0.18
1/16/2024,59.4,56.0,52.8,54.7,51.0,43.2,95.0,84.0,60.0,15.0,6.5,1.0,29.98,29.79,0.02
1/17/2024,55.0,52.8,50.3,50.6,47.9,43.8,94.0,84.0,74.0,23.0,11.0,1.0,29.79,29.57,0.42
1/18/2024,57.2,52.8,50.9,50.1,48.3,45.7,93.0,85.0,69.0,20.0,10.1,0.0,29.86,29.76,0.03
1/19/2024,51.8,45.0,39.1,50.2,42.2,32.5,98.0,90.0,76.0,13.0,6.4,0.0,29.97,29.67,0.91
