Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,55.6,38.8,29.5,41.4,34.4,28.9,99.0,86.0,55.0,4.9,0.3,0.0,30.1,29.97,0.0
1/2/2024,43.7,39.0,32.0,41.2,38.2,31.5,99.0,97.0,88.0,1.3,0.0,0.0,30.1,29.99,0.0
1/3/2024,54.1,47.0,41.5,53.2,46.6,41.2,99.0,99.0,93.0,3.1,0.1,0.0,30.03,29.94,0.05
1/4/2024,52.2,44.7,37.8,48.4,44.0,37.4,99.0,98.0,85.0,3.4,0.1,0.0,30.02,29.72,0.09
1/5/2024,50.2,41.8,38.3,42.1,36.0,31.5,99.0,81.0,59.0,8.5,1.2,0.0,29.81,29.63,0.04
1/6/2024,50.2,41.4,37.2,34.3,32.0,30.2,83.0,70.0,52.0,10.7,1.8,0.0,30.04,29.79,0.0
1/7/2024,53.8,38.6,26.1,36.7,29.5,24.8,96.0,71.0,47.0,3.8,0.4,0.0,30.09,30.01,0.0
1/8/2024,52.3,35.2,21.9,34.7,28.5,20.5,97.0,79.0,42.0,4.5,0.3,0.0,30.05,29.94,0.0
1/9/2024,45.3,38.9,34.2,38.7,35.9,32.0,95.0,89.0,75.0,2.5,0.1,0.0,30.0,29.93,0.0
1/10/2024,47.7,40.0,33.4,43.5,38.9,32.9,99.0,96.0,79.0,3.4,0.0,0.0,29.98,29.91,0.15
1/11/2024,53.2,38.0,29.7,38.5,31.8,27.3,99.0,81.0,47.0,2.9,0.1,0.0,30.11,29.93,0.01
1/12/2024,46.6,31.5,19.9,32.9,27.0,19.6,99.0,86.0,53.0,2.7,0.0,0.0,30.18,30.09,0.0
1/13/2024,50.0,37.6,24.3,41.2,34.4,23.9,99.0,89.0,66.0,2.7,0.0,0.0,30.19,30.07,0.0
1/14/2024,46.6,41.1,34.3,46.2,40.6,34.0,99.0,99.0,91.0,3.1,0.1,0.0,30.08,29.94,0.07
1/15/2024,55.9,47.0,40.8,55.6,46.7,40.5,99.0,99.0,99.0,2.9,0.1,0.0,29.95,29.81,0.14
1/16/2024,55.0,51.4,47.1,53.6,50.2,46.8,99.0,96.0,82.0,7.2,0.9,0.0,29.87,29.71,0.2
1/17/2024,52.3,49.4,46.6,50.0,48.1,45.5,99.0,95.0,80.0,11.6,3.5,0.0,29.73,29.49,1.25
1/18/2024,59.0,50.3,43.9,52.5,47.2,42.8,99.0,90.0,62.0,10.3,1.3,0.0,29.77,29.64,0.0
1/19/2024,47.3,42.0,37.2,46.9,41.7,36.9,99.0,99.0,99.0,3.4,0.1,0.0,29.83,29.59,1.03
1/20/2024,52.3,38.2,27.3,43.9,34.3,27.0,99.0,88.0,51.0,3.4,0.1,0.0,30.29,29.82,0.0
1/21/2024,55.4,41.1,30.0,43.3,37.2,29.7,99.0,88.0,60.0,4.5,0.3,0.0,30.43,30.28,0.0
1/22/2024,51.3,37.7,28.4,46.2,36.8,28.0,99.0,97.0,82.0,2.2,0.1,0.0,30.49,30.4,0.0
1/23/2024,64.9,45.2,31.1,54.3,42.4,30.7,99.0,91.0,65.0,3.8,0.1,0.0,30.55,30.46,0.0
1/24/2024,68.9,47.5,31.3,55.9,42.5,30.9,99.0,86.0,50.0,1.8,0.0,0.0,30.55,30.46,0.0
1/25/2024,69.3,47.7,31.6,54.0,42.3,31.3,99.0,85.0,49.0,2.2,0.0,0.0,30.5,30.36,0.0
1/26/2024,72.3,48.0,33.1,49.6,38.6,32.7,99.0,78.0,31.0,1.3,0.0,0.0,30.41,30.32,0.0
1/31/2024,35.6,34.7,33.8,35.2,34.3,33.4,99.0,99.0,99.0,0.0,0.0,0.0,30.43,30.42,0.0
2/1/2024,69.4,45.2,28.6,47.5,38.0,28.2,99.0,80.0,41.0,2.7,0.1,0.0,30.45,30.36,0.0
2/2/2024,63.0,45.0,30.6,47.5,38.5,30.2,99.0,81.0,47.0,3.1,0.1,0.0,30.38,30.29,0.0
2/3/2024,64.4,43.4,28.6,47.3,36.2,28.2,99.0,80.0,40.0,2.2,0.0,0.0,30.38,30.31,0.0
2/4/2024,68.7,44.2,25.9,43.0,32.9,25.3,99.0,72.0,24.0,3.8,0.1,0.0,30.37,30.28,0.0
2/5/2024,65.3,43.7,26.6,45.1,34.7,25.9,99.0,76.0,35.0,4.5,0.1,0.0,30.33,30.2,0.0
2/6/2024,64.4,44.6,31.3,47.8,39.7,30.7,99.0,85.0,51.0,4.0,0.1,0.0,30.23,30.12,0.0
2/7/2024,52.3,40.3,28.2,46.0,38.8,27.9,99.0,95.0,76.0,2.2,0.0,0.0,30.17,30.02,0.0
2/8/2024,49.1,45.0,41.0,46.2,43.5,40.6,99.0,95.0,76.0,11.9,1.9,0.0,30.02,29.53,0.77
2/9/2024,48.9,45.8,43.0,48.6,45.4,42.6,99.0,99.0,98.0,9.6,1.8,0.0,29.55,29.12,1.17
2/10/2024,52.3,43.0,38.5,43.2,36.2,28.9,99.0,78.0,56.0,12.1,1.4,0.0,29.65,29.17,0.17
2/11/2024,49.3,40.7,32.5,41.5,35.1,28.2,98.0,81.0,66.0,9.6,1.2,0.0,29.79,29.63,0.0
2/12/2024,64.9,46.9,39.2,45.7,40.8,37.6,99.0,83.0,42.0,10.1,0.5,0.0,30.04,29.69,0.05
