Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,49.1,39.9,31.6,40.6,33.9,24.3,94.0,80.0,40.0,5.8,0.6,0.0,29.52,29.4,0.0
1/2/2024,42.6,37.7,30.9,41.9,35.5,29.7,98.0,92.0,84.0,2.9,0.1,0.0,29.52,29.44,0.0
1/3/2024,52.2,47.1,41.5,50.4,45.9,40.3,99.0,96.0,87.0,6.7,0.4,0.0,29.47,29.4,0.32
1/4/2024,47.5,41.7,34.5,45.1,40.5,34.0,99.0,96.0,88.0,4.5,0.3,0.0,29.46,29.16,0.07
1/5/2024,41.2,37.5,35.1,40.1,35.1,33.4,99.0,91.0,79.0,9.2,2.1,0.0,29.28,29.07,0.3
1/6/2024,41.0,36.3,32.9,35.6,32.5,30.4,92.0,86.0,77.0,7.2,1.7,0.0,29.48,29.28,0.0
1/7/2024,43.2,35.4,31.3,34.5,30.5,28.4,90.0,83.0,66.0,5.8,0.9,0.0,29.53,29.46,0.0
1/8/2024,45.5,35.7,27.1,33.6,29.3,24.6,92.0,79.0,52.0,3.8,0.4,0.0,29.5,29.38,0.0
1/9/2024,41.2,37.7,33.1,37.4,35.1,30.4,96.0,91.0,82.0,3.8,0.2,0.0,29.43,29.37,0.0
1/10/2024,45.0,39.0,36.7,41.4,37.8,35.8,99.0,96.0,81.0,8.3,0.7,0.0,29.44,29.36,0.74
1/11/2024,41.2,36.3,30.7,36.5,32.0,28.6,99.0,85.0,65.0,4.3,0.5,0.0,29.55,29.38,0.01
1/12/2024,44.6,32.8,22.8,34.0,28.0,21.9,97.0,84.0,57.0,2.9,0.3,0.0,29.64,29.53,0.0
1/13/2024,46.6,39.2,29.1,41.7,36.5,27.5,98.0,91.0,78.0,2.5,0.1,0.0,29.66,29.54,0.0
1/14/2024,50.7,42.6,39.0,44.8,41.6,37.0,99.0,97.0,75.0,5.8,0.2,0.0,29.55,29.42,0.33
1/15/2024,56.7,49.0,42.4,53.8,48.3,42.1,99.0,98.0,85.0,6.7,0.4,0.0,29.43,29.31,0.34
1/16/2024,52.3,49.3,46.9,52.0,48.7,45.3,99.0,98.0,88.0,5.8,0.3,0.0,29.37,29.19,0.3
1/17/2024,51.6,47.4,41.9,49.1,45.7,39.9,99.0,94.0,80.0,6.3,0.8,0.0,29.2,28.98,1.35
1/18/2024,55.6,46.0,39.2,50.7,43.0,38.8,99.0,90.0,74.0,7.4,0.5,0.0,29.25,29.14,0.01
1/19/2024,44.4,40.9,31.6,43.9,40.2,28.9,99.0,97.0,85.0,8.1,0.5,0.0,29.27,29.02,0.99
1/20/2024,49.3,37.5,28.2,39.4,32.3,27.3,98.0,83.0,49.0,6.0,0.6,0.0,29.72,29.26,0.0
1/21/2024,50.4,37.3,27.9,42.6,34.1,27.1,99.0,89.0,64.0,3.4,0.3,0.0,29.85,29.71,0.0
1/22/2024,59.4,47.4,32.7,48.7,42.9,31.8,98.0,85.0,59.0,6.3,1.0,0.0,29.92,29.82,0.0
