Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,54.1,48.5,43.0,37.4,35.0,30.9,68.0,60.0,51.0,23.0,6.1,0.0,29.86,29.71,0.0
1/2/2024,55.0,50.3,42.8,39.6,33.4,28.6,63.0,52.0,39.0,24.2,7.3,0.0,29.85,29.68,0.0
1/3/2024,59.9,56.3,50.7,49.8,45.8,38.1,76.0,68.0,58.0,26.2,8.8,0.2,29.75,29.64,0.0
1/4/2024,59.5,53.9,48.2,50.2,44.9,40.8,92.0,72.0,58.0,15.2,3.0,0.0,29.76,29.47,0.0
1/5/2024,51.1,47.3,42.8,46.2,41.7,34.7,92.0,81.0,68.0,35.1,10.3,0.0,29.49,29.29,0.0
1/6/2024,50.7,43.7,39.9,36.9,33.7,28.9,79.0,68.0,53.0,32.0,10.1,0.4,29.61,29.38,0.0
1/7/2024,49.6,42.4,38.3,32.2,28.3,24.6,77.0,59.0,40.0,34.9,10.9,0.2,29.65,29.53,0.0
1/8/2024,47.7,40.6,36.0,27.7,26.1,23.4,66.0,57.0,41.0,47.9,11.5,0.0,29.76,29.59,0.0
1/9/2024,51.8,42.7,37.9,33.3,28.4,23.0,69.0,58.0,35.0,26.6,6.1,0.0,29.84,29.74,0.0
1/10/2024,46.8,43.7,40.6,43.3,38.7,30.0,92.0,83.0,60.0,19.2,2.5,0.0,29.81,29.71,0.25
1/11/2024,42.1,39.4,37.2,37.6,33.9,30.9,89.0,81.0,70.0,47.4,15.9,0.4,29.92,29.7,0.0
1/12/2024,45.0,40.9,36.5,34.0,31.1,28.2,78.0,68.0,60.0,55.9,21.0,5.1,29.98,29.89,0.0
1/13/2024,55.2,47.7,42.1,38.5,33.2,26.4,73.0,57.0,46.0,47.0,10.1,0.0,29.96,29.79,0.0
1/14/2024,58.1,53.6,49.1,45.5,40.8,36.3,72.0,62.0,54.0,29.8,9.2,0.0,29.81,29.56,0.0
1/15/2024,60.6,54.7,48.7,49.8,46.6,43.5,84.0,74.0,66.0,22.1,5.1,0.0,29.6,29.46,0.0
1/16/2024,61.9,57.3,51.4,51.3,49.5,45.9,83.0,75.0,68.0,21.5,3.5,0.0,29.57,29.47,0.0
1/17/2024,65.3,56.3,50.7,52.2,47.5,43.2,90.0,73.0,48.0,26.4,3.5,0.0,29.52,29.19,0.08
1/18/2024,64.4,59.2,55.2,45.5,42.7,38.3,64.0,55.0,47.0,32.4,6.7,0.0,29.53,29.28,0.0
1/19/2024,56.7,46.1,41.2,42.4,40.5,37.2,95.0,82.0,57.0,28.6,7.8,0.0,29.65,29.47,0.92
1/20/2024,48.7,41.1,36.7,40.3,35.4,32.0,94.0,81.0,64.0,35.8,10.3,0.0,30.12,29.63,0.0
1/21/2024,50.5,43.8,38.3,40.1,36.7,32.9,86.0,76.0,63.0,15.7,4.7,0.0,30.22,30.11,0.0
1/22/2024,56.8,50.0,40.3,44.1,38.3,31.1,77.0,64.0,56.0,32.9,9.1,0.0,30.21,30.1,0.0
1/23/2024,62.1,55.4,49.6,48.9,46.1,43.0,86.0,71.0,61.0,32.4,8.3,0.0,30.29,30.15,0.0
1/24/2024,67.3,60.1,50.5,51.3,48.1,44.8,84.0,65.0,56.0,34.0,12.5,0.0,30.29,30.22,0.0
1/25/2024,70.0,64.1,57.7,50.9,46.8,41.7,64.0,54.0,41.0,28.9,12.2,0.0,30.23,30.08,0.0
1/26/2024,67.8,60.9,54.3,49.6,45.7,42.8,70.0,58.0,47.0,30.4,8.2,0.0,30.18,30.09,0.0
1/27/2024,65.5,56.8,49.8,48.6,44.7,40.5,78.0,65.0,51.0,8.1,2.5,0.0,30.15,30.08,0.0
1/28/2024,58.8,51.4,46.2,50.5,45.6,40.8,95.0,81.0,69.0,7.4,1.8,0.0,30.16,30.07,0.0
1/29/2024,54.0,50.9,47.1,47.5,45.7,44.1,93.0,83.0,73.0,10.3,2.5,0.0,30.19,30.12,0.0
1/30/2024,57.9,51.6,46.6,47.1,45.1,43.2,90.0,79.0,59.0,10.5,1.4,0.0,30.24,30.14,0.0
1/31/2024,59.2,50.1,42.1,46.2,42.5,39.9,93.0,76.0,59.0,28.0,6.2,0.0,30.25,30.18,0.0
2/1/2024,60.1,53.2,48.7,45.3,42.8,40.3,76.0,68.0,57.0,29.1,11.4,0.0,30.23,30.11,0.0
2/2/2024,58.1,51.9,46.9,45.3,42.8,40.6,79.0,71.0,60.0,38.5,13.9,0.0,30.19,30.1,0.0
2/3/2024,63.3,55.3,48.6,47.7,44.8,39.9,78.0,68.0,56.0,27.3,5.8,0.0,30.18,30.1,0.0
2/4/2024,65.3,57.2,52.0,46.8,42.8,36.9,77.0,59.0,45.0,45.2,12.0,0.0,30.14,30.07,0.0
2/5/2024,68.2,59.0,54.7,46.2,39.6,32.0,62.0,49.0,28.0,32.9,10.6,0.0,30.1,29.97,0.0
2/6/2024,59.5,53.4,49.3,43.7,41.8,39.2,72.0,65.0,52.0,25.3,7.9,0.0,29.99,29.84,0.0
2/7/2024,61.5,54.6,47.8,42.8,40.2,34.5,74.0,59.0,46.0,31.8,9.5,0.0,29.86,29.7,0.0
2/8/2024,63.7,55.9,51.4,46.9,43.7,41.7,77.0,64.0,48.0,37.4,6.8,0.0,29.72,29.35,0.0
2/9/2024,59.7,51.3,47.3,50.7,46.6,37.8,97.0,85.0,45.0,15.9,2.7,0.0,29.36,28.88,0.32
2/10/2024,54.3,50.2,45.7,50.4,40.1,31.8,98.0,70.0,48.0,36.9,7.6,0.0,29.24,28.8,0.01
2/11/2024,52.9,47.8,43.2,35.2,32.8,30.0,65.0,56.0,50.0,38.3,8.8,0.0,29.5,29.2,0.0
2/12/2024,60.8,52.2,43.9,44.8,38.4,33.6,70.0,59.0,50.0,35.1,8.0,0.2,29.72,29.4,0.0
