Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,50.4,43.0,37.9,-4.2,-9.9,-13.9,10.0,10.0,10.0,11.6,2.7,0.0,29.84,29.71,0.0
1/2/2024,48.0,42.6,38.3,-6.0,-10.2,-13.5,10.0,10.0,10.0,17.9,2.0,0.0,29.86,29.73,0.0
1/3/2024,53.8,50.8,47.3,-1.5,-3.8,-6.5,10.0,10.0,10.0,36.0,7.2,0.0,29.76,29.66,0.06
1/4/2024,51.4,49.1,47.3,-3.3,-5.1,-6.5,10.0,10.0,10.0,21.3,4.0,0.0,29.92,29.6,0.2
1/5/2024,47.7,44.2,40.1,-6.3,-9.0,-12.1,10.0,10.0,10.0,28.6,9.7,0.4,29.71,29.52,0.1
1/6/2024,47.8,42.7,38.7,-6.2,-10.1,-13.4,10.0,10.0,10.0,32.2,7.8,0.0,29.92,29.7,0.0
1/7/2024,52.9,42.2,36.1,-2.2,-10.5,-15.2,10.0,10.0,10.0,10.5,2.3,0.0,29.97,29.88,0.0
1/8/2024,49.3,40.3,31.6,-5.1,-12.0,-18.8,10.0,10.0,10.0,6.0,1.4,0.0,29.94,29.83,0.0
1/9/2024,46.6,42.3,39.0,-7.1,-10.4,-13.0,10.0,10.0,10.0,6.5,1.4,0.0,29.88,29.8,0.0
1/10/2024,45.1,42.2,39.4,-8.1,-10.5,-12.6,10.0,10.0,10.0,16.8,5.4,0.0,29.88,29.8,0.05
1/11/2024,50.7,41.4,36.7,-3.8,-11.2,-14.8,10.0,10.0,10.0,10.1,1.6,0.0,29.98,29.81,0.01
1/12/2024,47.3,38.7,31.8,-6.5,-13.2,-18.6,10.0,10.0,10.0,8.1,1.5,0.0,30.07,29.96,0.0
1/13/2024,48.9,42.6,36.9,-5.3,-10.2,-14.6,10.0,10.0,10.0,7.4,0.9,0.0,30.07,29.93,0.0
1/14/2024,49.8,45.6,42.3,-4.5,-7.9,-10.5,10.0,10.0,10.0,13.2,2.2,0.0,29.96,29.81,0.07
1/15/2024,56.3,52.2,49.6,0.5,-2.7,-4.7,10.0,10.0,10.0,24.4,7.6,0.7,29.81,29.7,0.19
1/16/2024,59.2,54.9,51.8,2.7,-0.7,-3.1,10.0,10.0,10.0,32.9,8.0,0.0,29.76,29.57,0.0
1/17/2024,54.1,51.9,48.9,-1.3,-3.0,-5.3,10.0,10.0,10.0,45.2,13.7,1.8,29.58,29.37,0.41
1/18/2024,56.7,51.8,49.8,0.7,-3.1,-4.5,10.0,10.0,10.0,41.2,13.9,0.7,29.64,29.53,0.0
1/19/2024,50.9,44.6,39.0,-3.8,-8.6,-13.0,10.0,10.0,10.0,24.8,5.0,0.0,30.17,29.45,1.2
1/20/2024,54.5,43.8,36.9,-0.9,-9.2,-14.6,10.0,10.0,10.0,17.2,2.5,0.0,30.63,30.16,0.0
1/21/2024,55.8,46.2,39.6,0.0,-7.4,-12.6,10.0,10.0,10.0,8.3,1.4,0.0,30.77,30.62,0.0
1/22/2024,54.0,44.3,37.6,-1.3,-8.9,-14.1,10.0,10.0,10.0,7.4,0.8,0.0,30.83,29.84,0.0
1/23/2024,64.2,50.1,40.3,6.6,-4.4,-11.9,10.0,10.0,10.0,5.4,0.7,0.0,29.97,29.89,0.0
1/24/2024,70.2,55.7,45.7,11.1,-0.1,-7.8,10.0,10.0,10.0,4.7,0.7,0.0,29.97,29.87,0.0
1/25/2024,70.3,55.6,45.3,11.3,-0.1,-8.1,10.0,10.0,10.0,4.9,0.7,0.0,29.9,29.76,0.0
1/26/2024,70.9,56.8,46.4,11.7,0.8,-7.2,10.0,10.0,10.0,4.5,0.8,0.0,29.82,29.71,0.0
1/27/2024,68.2,56.6,48.2,9.5,0.7,-5.8,10.0,10.0,10.0,8.5,1.2,0.0,29.74,29.63,0.0
1/28/2024,67.8,54.7,45.3,9.3,-0.8,-8.1,10.0,10.0,10.0,5.6,0.9,0.0,29.92,29.63,0.0
1/29/2024,62.4,53.0,46.8,5.2,-2.1,-6.9,10.0,10.0,10.0,6.9,1.0,0.0,29.93,29.83,0.0
1/30/2024,59.7,50.3,43.3,3.0,-4.2,-9.6,10.0,10.0,10.0,5.1,0.8,0.0,30.0,29.91,0.0
1/31/2024,56.3,46.4,40.5,0.5,-7.3,-11.9,10.0,10.0,10.0,5.6,0.7,0.0,30.06,29.98,0.0
2/1/2024,67.6,52.6,43.2,9.1,-2.5,-9.8,10.0,10.0,10.0,6.9,1.8,0.0,30.07,29.96,0.0
2/2/2024,62.2,52.6,43.0,5.0,-2.4,-9.9,10.0,10.0,10.0,12.1,1.6,0.0,29.98,29.89,0.0
2/3/2024,62.8,51.9,43.0,5.4,-2.9,-9.9,10.0,10.0,10.0,8.5,1.6,0.0,29.99,29.92,0.0
2/4/2024,70.2,52.6,41.0,11.1,-2.4,-11.4,10.0,10.0,10.0,6.5,1.1,0.0,29.98,29.89,0.0
2/5/2024,63.1,51.1,42.3,5.7,-3.6,-10.5,10.0,10.0,10.0,6.5,1.0,0.0,29.93,29.82,0.0
2/6/2024,58.6,49.8,43.0,2.3,-4.6,-9.9,10.0,10.0,10.0,13.9,2.7,0.0,29.84,29.73,0.0
2/7/2024,52.3,47.4,43.2,-2.6,-6.5,-9.8,10.0,10.0,10.0,24.8,5.9,0.0,29.78,29.63,0.0
2/8/2024,54.7,49.1,46.2,-0.8,-5.2,-7.4,10.0,10.0,10.0,29.3,6.0,0.0,29.64,29.14,0.01
2/9/2024,52.9,48.8,46.0,-2.2,-5.4,-7.6,10.0,10.0,10.0,21.9,7.1,0.2,29.15,28.73,0.37
