Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,54.5,42.6,38.2,41.8,38.3,35.3,93.0,85.0,58.0,4.3,0.5,0.0,29.78,29.64,0.0
1/2/2024,48.4,42.4,34.9,45.3,39.0,32.8,93.0,88.0,82.0,4.3,0.5,0.0,29.79,29.68,0.0
1/3/2024,56.0,51.5,48.0,52.8,49.2,44.8,95.0,92.0,88.0,6.3,1.7,0.0,29.72,29.63,0.18
1/4/2024,54.3,49.9,46.7,50.7,48.2,45.1,95.0,94.0,87.0,4.9,0.9,0.0,29.7,29.4,0.26
1/5/2024,52.6,45.8,40.6,47.0,38.3,32.7,95.0,76.0,51.0,6.7,1.3,0.0,29.52,29.31,0.07
1/6/2024,53.7,41.7,32.9,35.1,32.1,28.7,86.0,70.0,46.0,4.0,0.4,0.0,29.73,29.5,0.0
1/7/2024,53.4,39.6,30.4,34.3,29.9,27.3,89.0,70.0,44.0,6.7,0.4,0.0,29.78,29.69,0.0
1/8/2024,50.8,37.1,26.7,33.7,29.0,23.6,89.0,74.0,50.0,3.8,0.3,0.0,29.75,29.64,0.0
1/9/2024,47.6,42.1,38.6,38.8,35.6,32.1,87.0,78.0,67.0,3.1,0.5,0.0,29.73,29.65,0.0
1/10/2024,46.0,42.4,40.1,41.8,39.2,36.4,93.0,88.0,84.0,7.6,1.8,0.0,29.72,29.63,0.08
1/11/2024,54.3,40.1,31.3,41.3,33.3,26.2,95.0,78.0,45.0,2.5,0.3,0.0,29.83,29.65,0.0
1/12/2024,51.7,35.4,25.5,35.6,28.5,22.0,89.0,77.0,53.0,2.2,0.2,0.0,29.91,29.8,0.0
1/13/2024,50.0,39.7,30.7,40.8,34.7,28.1,91.0,83.0,68.0,1.8,0.1,0.0,29.92,29.78,0.0
1/14/2024,50.2,44.8,39.5,46.2,41.2,36.8,91.0,87.0,76.0,4.9,0.9,0.0,29.8,29.65,0.07
1/15/2024,58.4,52.5,48.9,54.2,50.6,46.1,96.0,93.0,85.0,6.3,2.3,0.0,29.67,29.54,0.21
1/16/2024,60.9,56.1,52.9,54.6,51.3,44.0,94.0,85.0,63.0,10.1,2.6,0.0,29.59,29.43,0.04
1/17/2024,55.3,52.9,50.2,50.1,48.2,44.3,92.0,84.0,77.0,12.8,4.1,0.4,29.43,29.22,0.51
1/18/2024,59.6,53.2,50.3,52.7,48.6,45.9,91.0,85.0,72.0,10.7,3.2,0.0,29.49,29.38,0.04
1/19/2024,52.0,45.2,37.6,49.5,42.8,34.7,95.0,91.0,83.0,5.1,0.8,0.0,29.54,29.28,1.13
1/20/2024,53.4,42.8,33.3,43.8,37.3,30.1,92.0,81.0,58.0,4.5,0.8,0.0,30.0,29.53,0.02
1/21/2024,60.5,46.3,37.7,43.9,40.2,34.8,94.0,81.0,50.0,3.1,0.4,0.0,30.15,29.99,0.0
1/22/2024,58.0,43.0,33.9,45.4,38.2,32.1,93.0,84.0,62.0,2.9,0.3,0.0,30.22,30.12,0.0
1/23/2024,66.2,46.9,34.7,51.3,41.8,33.2,94.0,84.0,58.0,2.9,0.2,0.0,30.26,30.18,0.0
1/24/2024,74.0,50.8,38.1,53.7,44.5,36.8,95.0,81.0,49.0,2.0,0.1,0.0,30.27,30.17,0.0
1/25/2024,72.8,51.0,37.7,52.9,44.1,36.1,94.0,80.0,48.0,2.7,0.1,0.0,30.2,30.06,0.0
1/26/2024,73.4,51.9,38.7,51.0,43.5,36.4,92.0,76.0,43.0,2.7,0.1,0.0,30.12,30.01,0.0
1/27/2024,72.1,52.0,39.4,50.5,43.6,37.0,91.0,75.0,40.0,2.5,0.1,0.0,30.05,29.93,0.0
1/28/2024,69.9,50.5,37.8,49.8,42.3,35.0,90.0,75.0,47.0,3.1,0.3,0.0,29.99,29.91,0.0
1/29/2024,66.1,50.3,38.7,46.5,42.1,35.7,90.0,75.0,45.0,5.4,0.6,0.0,30.04,29.93,0.0
1/30/2024,63.4,47.7,37.2,47.9,41.4,35.0,92.0,80.0,56.0,3.8,0.4,0.0,30.11,30.01,0.0
1/31/2024,55.6,43.4,37.5,44.3,38.9,34.8,91.0,84.0,65.0,2.5,0.2,0.0,30.17,30.09,0.0
2/1/2024,71.3,47.9,33.2,46.1,37.8,30.9,92.0,72.0,33.0,3.1,0.2,0.0,30.17,30.06,0.0
2/2/2024,69.2,49.4,36.8,45.5,38.7,32.9,87.0,69.0,38.0,4.7,0.5,0.0,30.09,30.0,0.0
2/3/2024,72.4,49.2,36.3,45.0,37.0,33.0,89.0,67.0,28.0,4.5,0.4,0.0,30.09,30.01,0.0
2/4/2024,71.7,53.6,34.7,41.5,37.3,31.2,87.0,57.0,29.0,3.4,0.4,0.0,30.08,29.99,0.0
2/5/2024,63.9,46.4,34.0,43.4,36.7,30.1,86.0,71.0,43.0,3.4,0.3,0.0,30.04,29.92,0.0
2/6/2024,60.1,47.8,38.5,46.5,40.8,34.9,88.0,77.0,56.0,4.0,0.8,0.0,29.94,29.84,0.0
2/7/2024,54.9,47.5,37.7,47.8,43.7,35.3,94.0,87.0,66.0,8.3,1.1,0.0,29.88,29.73,0.0
2/8/2024,55.0,50.7,46.3,47.8,44.2,38.1,90.0,79.0,53.0,8.9,2.6,0.0,29.75,29.26,0.07
