Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,47.8,41.0,35.6,38.4,34.0,30.0,85.0,77.0,64.0,5.8,0.1,0.0,30.06,29.94,0.0
1/2/2024,43.5,39.5,35.7,41.1,36.1,33.2,92.0,88.0,80.0,4.2,0.0,0.0,30.06,29.97,0.0
1/3/2024,52.5,48.5,43.3,49.1,46.0,41.1,93.0,91.0,85.0,6.7,0.4,0.0,30.0,29.94,0.0
1/4/2024,50.3,44.8,39.5,45.1,41.9,37.4,93.0,89.0,79.0,5.5,0.1,0.0,30.0,29.71,0.0
1/5/2024,42.9,41.0,38.3,39.3,33.8,27.5,90.0,76.0,55.0,17.2,2.5,0.0,29.76,29.62,0.11
1/6/2024,42.9,40.6,36.5,31.8,29.0,23.5,72.0,63.0,54.0,19.0,1.8,0.0,30.0,29.76,0.0
1/7/2024,45.8,40.7,33.9,29.8,26.8,24.4,76.0,59.0,46.0,4.9,0.1,0.0,30.03,29.97,0.0
1/8/2024,43.5,36.4,28.9,34.5,28.1,24.4,84.0,72.0,57.0,4.2,0.1,0.0,30.03,29.91,0.0
1/9/2024,43.3,39.6,37.0,36.8,33.8,31.2,85.0,80.0,73.0,1.7,0.0,0.0,29.97,29.91,0.0
1/10/2024,46.5,41.7,39.3,39.9,37.1,35.7,90.0,84.0,67.0,5.3,0.2,0.0,29.94,29.88,0.0
1/11/2024,43.7,38.3,33.8,36.8,31.9,27.5,91.0,78.0,60.0,5.3,0.0,0.0,30.06,29.91,0.0
1/12/2024,42.4,34.8,28.4,31.2,27.2,23.5,84.0,74.0,57.0,2.4,0.0,0.0,30.15,30.06,0.0
1/13/2024,47.1,39.6,32.5,39.9,34.4,28.0,87.0,82.0,72.0,2.4,0.0,0.0,30.15,30.06,0.0
1/14/2024,53.7,43.7,39.5,44.2,40.0,31.6,92.0,87.0,59.0,13.4,0.4,0.0,30.06,29.91,0.0
1/15/2024,57.0,48.2,42.4,51.8,45.6,40.2,93.0,91.0,80.0,6.4,0.3,0.0,29.94,29.79,0.0
1/16/2024,54.1,52.1,49.2,50.3,48.7,44.2,93.0,88.0,75.0,8.2,1.1,0.0,29.85,29.71,0.0
1/17/2024,51.2,49.2,45.3,47.4,45.3,40.6,91.0,86.0,76.0,12.5,1.8,0.0,29.71,29.47,0.04
1/18/2024,57.3,49.9,46.0,48.5,43.0,38.8,88.0,78.0,51.0,12.0,2.2,0.0,29.73,29.65,0.0
1/19/2024,47.4,43.2,38.1,43.8,40.3,34.5,92.0,89.0,84.0,2.6,0.2,0.0,29.79,29.56,0.0
1/20/2024,47.4,39.1,32.7,38.1,33.4,30.0,91.0,81.0,54.0,2.6,0.0,0.0,30.27,29.79,0.0
1/21/2024,49.6,41.3,33.9,41.1,35.7,30.3,88.0,81.0,69.0,5.5,0.1,0.0,30.38,30.27,0.0
1/22/2024,48.5,40.7,34.7,43.5,37.4,32.1,92.0,88.0,82.0,3.3,0.0,0.0,30.44,30.35,0.0
1/23/2024,56.1,46.4,38.6,49.8,42.7,36.1,93.0,87.0,79.0,2.9,0.0,0.0,30.5,30.44,0.0
1/24/2024,62.0,50.3,42.4,51.8,44.2,38.8,90.0,80.0,64.0,1.7,0.0,0.0,30.53,30.44,0.0
1/25/2024,62.9,51.3,42.6,50.9,43.3,36.6,86.0,75.0,53.0,1.5,0.0,0.0,30.47,30.35,0.0
1/26/2024,65.6,53.4,44.4,45.6,40.5,36.1,81.0,64.0,37.0,1.5,0.0,0.0,30.38,30.3,0.0
1/27/2024,64.0,52.7,44.6,43.8,39.0,34.5,75.0,61.0,39.0,0.0,0.0,0.0,30.33,30.24,0.0
1/28/2024,60.2,49.4,41.5,46.0,40.9,36.5,84.0,73.0,56.0,1.3,0.0,0.0,30.24,30.21,0.0
1/29/2024,58.6,49.7,44.6,45.3,41.3,39.2,84.0,74.0,56.0,1.3,0.0,0.0,30.3,30.21,0.0
1/30/2024,54.8,46.0,40.6,47.3,41.3,36.6,90.0,84.0,74.0,3.5,0.0,0.0,30.35,30.27,0.0
1/31/2024,51.2,44.3,39.5,45.3,40.4,35.9,91.0,86.0,80.0,2.6,0.0,0.0,30.41,30.33,0.0
2/1/2024,59.9,48.3,39.3,43.1,37.3,32.0,86.0,68.0,37.0,2.2,0.0,0.0,30.41,30.35,0.0
2/2/2024,57.9,48.0,40.2,44.0,38.0,32.7,81.0,69.0,50.0,2.6,0.0,0.0,30.35,30.27,0.0
2/3/2024,57.0,46.6,38.8,41.9,36.5,31.6,86.0,70.0,41.0,2.4,0.0,0.0,30.35,30.3,0.0
2/4/2024,60.4,47.6,38.1,38.1,31.7,24.4,75.0,56.0,31.0,4.4,0.1,0.0,30.33,30.27,0.0
2/5/2024,57.7,47.6,38.4,40.2,33.2,25.3,72.0,59.0,38.0,2.6,0.0,0.0,30.3,30.18,0.0
2/6/2024,55.7,47.8,40.4,44.6,38.4,29.8,82.0,71.0,47.0,9.1,0.2,0.0,30.21,30.12,0.0
2/7/2024,51.2,43.8,36.8,45.1,38.2,30.5,91.0,81.0,51.0,5.3,0.1,0.0,30.15,30.0,0.0
2/8/2024,48.9,45.3,42.0,42.4,40.9,38.6,92.0,85.0,70.0,10.9,1.5,0.0,30.0,29.53,0.0
2/9/2024,49.2,46.6,44.4,46.4,43.7,39.2,92.0,90.0,81.0,6.7,0.5,0.0,29.53,29.11,0.0
2/10/2024,47.1,42.8,38.4,39.5,32.4,24.4,88.0,67.0,51.0,20.5,3.5,0.0,29.59,29.14,0.04
2/11/2024,48.5,41.0,35.7,39.0,32.2,23.9,88.0,72.0,52.0,15.4,1.1,0.0,29.76,29.62,0.0
2/12/2024,58.2,50.3,39.3,42.8,38.2,33.6,93.0,65.0,40.0,17.0,3.2,0.0,30.0,29.68,0.0
2/13/2024,56.1,49.8,43.5,49.8,44.7,38.1,89.0,83.0,71.0,2.6,0.0,0.0,30.18,30.0,0.0
2/14/2024,58.6,53.2,49.4,51.9,48.5,45.8,89.0,84.0,76.0,2.6,0.0,0.0,30.18,30.06,0.0
2/15/2024,60.9,52.1,47.1,51.4,47.0,38.4,91.0,83.0,60.0,9.1,0.5,0.0,30.06,29.88,0.0
2/16/2024,58.8,50.6,44.2,44.2,39.1,34.1,83.0,65.0,48.0,11.6,0.7,0.0,30.21,29.91,0.0
2/17/2024,60.0,48.0,37.9,42.9,35.1,29.6,83.0,63.0,32.0,5.3,0.1,0.0,30.35,30.21,0.0
2/18/2024,61.1,49.3,39.0,41.1,35.0,26.7,76.0,59.0,41.0,2.9,0.0,0.0,30.41,30.35,0.0
2/19/2024,62.0,51.8,43.3,49.1,42.3,35.9,81.0,71.0,58.0,4.2,0.0,0.0,30.38,30.3,0.0
2/20/2024,63.1,50.2,39.5,43.5,36.0,26.6,83.0,60.0,38.0,3.8,0.0,0.0,30.33,30.21,0.0
2/21/2024,56.4,49.3,41.1,43.8,36.1,21.5,82.0,61.0,36.0,4.2,0.0,0.0,30.24,30.06,0.0
2/22/2024,55.2,48.2,41.5,47.3,41.3,28.9,88.0,78.0,54.0,16.7,1.7,0.0,30.06,29.68,0.0
2/23/2024,46.0,41.8,38.6,36.5,28.8,25.8,78.0,60.0,47.0,18.3,5.3,0.0,29.76,29.68,0.0
2/24/2024,46.2,41.9,37.4,34.8,28.7,24.8,77.0,60.0,47.0,18.7,4.8,0.0,29.88,29.65,0.0
2/25/2024,56.3,48.3,40.2,46.5,41.9,35.2,91.0,79.0,55.0,23.0,3.2,0.0,29.85,29.59,0.0
2/26/2024,51.0,44.0,40.4,37.9,33.3,26.2,81.0,67.0,51.0,19.4,3.6,0.0,29.76,29.53,0.0
2/27/2024,46.0,42.4,39.5,29.4,22.9,8.7,65.0,47.0,24.0,21.0,2.4,0.0,30.03,29.76,0.0
2/28/2024,57.2,46.3,39.3,34.5,27.7,12.5,70.0,49.0,27.0,16.5,1.1,0.0,30.06,29.97,0.0
2/29/2024,52.1,43.0,34.1,39.7,30.8,21.9,84.0,63.0,42.0,17.4,2.7,0.0,30.03,29.85,0.0
3/1/2024,52.5,43.3,34.3,35.6,28.5,19.7,70.0,57.0,43.0,17.2,3.1,0.0,29.97,29.79,0.0
3/2/2024,45.8,41.2,35.6,39.9,34.9,26.6,88.0,79.0,62.0,19.9,3.4,0.0,29.79,29.35,0.62
3/3/2024,45.5,39.6,34.3,34.8,28.8,21.5,79.0,66.0,49.0,20.8,2.9,0.0,29.85,29.5,0.06
3/4/2024,53.0,46.2,39.9,45.8,37.8,29.3,89.0,74.0,53.0,14.9,2.0,0.0,30.0,29.85,0.0
3/5/2024,58.6,45.8,40.1,35.0,32.0,26.0,72.0,59.0,36.0,10.7,1.0,0.0,30.09,30.0,0.0
3/6/2024,55.7,44.0,33.9,37.4,32.9,28.5,83.0,67.0,41.0,4.9,0.1,0.0,30.09,29.88,0.0
