Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,58.2,49.3,43.3,40.1,34.5,25.8,74.0,58.0,35.0,15.8,4.5,0.0,29.82,29.68,0.0
1/2/2024,68.3,52.3,39.0,30.5,23.9,14.9,57.0,35.0,14.0,11.1,3.5,0.0,29.85,29.76,0.0
1/3/2024,67.6,56.4,49.6,42.0,34.9,25.5,68.0,46.0,27.0,11.1,4.0,0.0,29.82,29.73,0.0
1/4/2024,59.1,52.0,46.2,51.4,45.0,39.0,90.0,77.0,68.0,9.8,4.2,0.0,29.79,29.56,0.34
1/5/2024,53.2,44.9,39.5,44.7,37.6,30.5,90.0,76.0,57.0,17.0,4.0,0.0,29.62,29.41,0.07
1/6/2024,49.6,42.1,36.6,33.9,30.1,23.1,80.0,64.0,36.0,14.0,4.0,0.0,29.76,29.62,0.0
1/7/2024,52.5,41.9,35.4,29.1,25.4,15.2,71.0,54.0,23.0,12.0,5.4,0.0,29.76,29.71,0.0
1/8/2024,59.1,44.4,34.8,37.5,21.4,5.9,74.0,45.0,12.0,14.5,4.8,0.0,29.76,29.65,0.0
1/9/2024,50.0,45.3,41.3,42.2,36.2,20.3,93.0,73.0,34.0,9.3,1.9,0.0,29.73,29.65,0.22
1/10/2024,55.7,47.8,43.3,44.0,39.9,35.2,94.0,75.0,47.0,10.2,3.2,0.0,29.76,29.65,0.01
1/11/2024,55.5,45.2,39.0,41.7,37.2,33.6,90.0,75.0,47.0,10.9,3.0,0.0,29.76,29.68,0.0
1/12/2024,47.3,43.8,42.0,41.7,40.7,39.0,94.0,89.0,78.0,8.0,1.8,0.0,29.88,29.76,0.0
1/13/2024,66.9,48.4,36.1,43.5,35.7,24.4,92.0,66.0,32.0,7.6,0.7,0.0,29.91,29.85,0.0
1/14/2024,70.8,58.4,45.5,32.9,24.3,19.5,50.0,29.0,15.0,16.5,3.6,0.0,29.88,29.73,0.0
1/15/2024,65.8,58.5,53.4,48.0,34.0,16.7,78.0,44.0,20.0,21.9,4.6,0.0,29.73,29.65,0.0
1/16/2024,70.5,58.1,48.9,46.4,34.2,20.3,84.0,48.0,15.0,21.4,3.8,0.0,29.71,29.59,0.01
1/17/2024,68.5,58.1,48.5,48.0,40.4,29.8,85.0,54.0,31.0,23.7,5.5,0.0,29.59,29.41,0.03
1/18/2024,64.7,55.6,48.2,45.6,40.4,33.9,80.0,58.0,36.0,13.6,4.3,0.0,29.59,29.5,0.0
1/19/2024,62.9,53.6,44.7,46.9,40.4,25.8,92.0,64.0,32.0,25.7,5.3,0.0,29.53,29.29,0.37
1/20/2024,52.3,45.7,41.9,45.1,41.2,38.1,92.0,85.0,68.0,13.6,2.5,0.0,30.0,29.5,0.0
1/21/2024,62.0,46.6,38.4,43.8,40.3,34.5,93.0,80.0,41.0,9.1,1.0,0.0,30.12,29.97,0.0
1/22/2024,66.7,49.6,36.8,39.3,31.5,18.3,87.0,56.0,17.0,15.6,4.3,0.0,30.18,30.09,0.0
1/23/2024,76.6,57.8,46.9,41.1,32.5,22.4,64.0,40.0,22.0,9.8,2.5,0.0,30.21,30.12,0.0
1/24/2024,72.8,55.0,43.1,43.5,38.4,32.5,75.0,56.0,26.0,8.5,1.5,0.0,30.27,30.18,0.0
1/25/2024,77.5,59.0,43.3,39.7,35.2,27.8,66.0,44.0,22.0,7.6,1.5,0.0,30.21,30.06,0.0
1/26/2024,84.3,60.1,46.0,39.7,34.1,24.6,60.0,41.0,17.0,7.3,1.2,0.0,30.09,30.03,0.0
1/27/2024,72.8,58.5,47.3,37.4,33.0,27.8,61.0,41.0,20.0,8.7,1.9,0.0,30.06,29.94,0.0
1/28/2024,72.1,55.1,41.5,39.5,32.4,24.2,66.0,45.0,21.0,8.0,1.5,0.0,30.0,29.91,0.0
1/29/2024,60.4,49.6,40.6,44.7,41.1,32.9,90.0,74.0,51.0,8.2,1.5,0.0,30.03,29.94,0.0
1/30/2024,60.8,49.9,45.1,44.7,41.8,39.0,89.0,75.0,46.0,8.0,1.6,0.0,30.09,29.97,0.0
1/31/2024,61.7,49.3,41.1,43.7,40.7,35.0,87.0,74.0,46.0,8.2,1.7,0.0,30.12,30.06,0.0
2/1/2024,61.3,47.0,38.6,42.6,38.5,29.4,91.0,75.0,39.0,10.2,1.7,0.0,30.15,30.03,0.0
2/2/2024,69.4,52.5,43.1,39.5,29.4,19.7,71.0,44.0,18.0,10.9,2.7,0.0,30.06,29.97,0.0
2/3/2024,59.7,47.7,38.8,40.2,34.9,29.8,84.0,63.0,42.0,9.3,2.0,0.0,30.06,30.0,0.0
2/4/2024,68.0,49.2,35.0,34.3,25.9,16.3,84.0,44.0,14.0,9.1,1.3,0.0,30.06,29.97,0.0
