Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,51.6,41.6,31.5,42.6,38.7,30.0,97.0,90.0,67.0,6.5,0.7,0.0,30.13,29.98,0.0
1/2/2024,49.3,40.1,29.8,44.2,37.3,28.6,95.0,90.0,76.0,4.7,0.7,0.0,30.13,30.02,0.0
1/3/2024,56.7,50.3,43.5,54.1,48.6,41.9,98.0,94.0,90.0,8.1,1.3,0.0,30.05,29.97,0.16
1/4/2024,54.7,49.2,43.0,51.8,48.1,42.3,98.0,96.0,87.0,6.0,0.8,0.0,30.04,29.74,0.2
1/5/2024,50.5,45.8,39.6,47.7,38.7,32.5,97.0,77.0,56.0,15.2,4.3,0.0,29.86,29.66,0.05
1/6/2024,51.4,40.2,29.1,36.7,32.4,26.8,92.0,75.0,51.0,11.6,2.2,0.0,30.07,29.85,0.0
1/7/2024,53.1,35.5,27.0,37.0,29.3,25.0,94.0,81.0,44.0,7.4,0.8,0.0,30.13,30.04,0.0
1/8/2024,49.1,32.9,21.0,34.7,27.9,19.2,94.0,83.0,51.0,5.4,0.6,0.0,30.09,29.98,0.0
1/9/2024,47.7,40.6,36.0,40.5,36.3,32.4,94.0,85.0,70.0,4.5,0.6,0.0,30.03,29.95,0.0
1/10/2024,46.2,41.7,36.9,43.0,39.7,35.2,96.0,93.0,87.0,10.7,2.0,0.0,30.05,29.95,0.14
1/11/2024,50.7,38.9,27.7,42.3,33.7,25.3,97.0,83.0,55.0,7.6,1.2,0.0,30.14,29.96,0.01
1/12/2024,48.9,33.9,22.8,38.7,29.5,20.8,94.0,85.0,63.0,5.4,0.9,0.0,30.22,30.12,0.0
1/13/2024,51.4,39.4,29.8,44.1,35.8,28.0,94.0,87.0,70.0,4.9,0.9,0.0,30.23,30.08,0.0
1/14/2024,52.2,43.2,36.5,46.6,40.8,35.1,95.0,91.0,78.0,7.2,0.5,0.0,30.11,29.96,0.01
1/15/2024,57.7,51.6,45.9,55.0,50.5,44.1,98.0,96.0,89.0,13.7,1.6,0.0,29.97,29.85,0.36
1/16/2024,61.5,55.7,52.5,56.1,52.4,44.2,98.0,89.0,62.0,9.8,1.8,0.0,29.89,29.73,0.01
1/17/2024,57.0,53.5,50.0,51.6,49.3,46.0,95.0,86.0,75.0,14.1,4.7,0.0,29.73,29.52,0.42
1/18/2024,58.3,52.2,49.1,53.6,49.4,45.7,97.0,90.0,82.0,11.4,2.4,0.0,29.79,29.69,0.1
1/19/2024,51.8,46.7,39.2,50.7,45.3,37.0,98.0,95.0,88.0,12.8,2.2,0.0,29.83,29.56,1.37
1/20/2024,49.1,41.3,32.5,44.1,38.1,31.1,96.0,89.0,75.0,10.1,1.5,0.0,30.31,29.82,0.0
1/21/2024,57.7,43.6,34.0,45.7,39.6,32.9,97.0,87.0,55.0,6.9,0.6,0.0,30.46,30.3,0.0
1/22/2024,55.9,40.0,31.3,46.8,37.3,30.2,97.0,91.0,69.0,4.9,0.8,0.0,30.53,30.44,0.01
1/23/2024,65.3,43.2,34.0,53.2,40.7,33.3,98.0,92.0,62.0,5.4,0.7,0.0,30.58,30.49,0.0
1/24/2024,72.0,46.2,33.8,55.4,42.5,33.1,98.0,89.0,51.0,3.4,0.4,0.0,30.58,30.47,0.01
1/25/2024,70.5,47.4,32.2,54.7,42.6,31.5,98.0,86.0,50.0,4.0,0.5,0.0,30.5,30.36,0.01
1/26/2024,68.7,47.3,33.6,53.8,42.6,32.9,97.0,86.0,55.0,3.8,0.5,0.0,30.43,30.31,0.01
1/27/2024,70.0,49.7,38.1,52.0,43.1,36.5,95.0,81.0,42.0,6.5,0.8,0.0,30.35,30.22,0.0
1/28/2024,68.7,48.8,36.0,51.3,42.4,34.3,94.0,80.0,48.0,4.0,1.0,0.0,30.28,30.21,0.01
1/29/2024,61.9,47.8,36.1,48.2,42.0,34.5,95.0,82.0,56.0,6.5,1.1,0.0,30.34,30.25,0.0
1/30/2024,61.7,45.3,34.7,48.6,40.9,33.4,95.0,85.0,60.0,4.5,1.1,0.0,30.42,30.32,0.0
1/31/2024,54.9,43.6,34.7,46.9,40.2,33.6,96.0,88.0,70.0,5.4,0.9,0.0,30.47,30.39,0.0
2/1/2024,65.1,42.2,27.1,50.4,37.6,26.4,97.0,86.0,56.0,6.0,0.8,0.0,30.49,30.36,0.01
2/2/2024,63.5,44.9,30.4,46.6,38.0,29.1,96.0,79.0,45.0,13.0,1.2,0.0,30.4,30.3,0.0
2/3/2024,67.1,46.1,34.2,44.6,37.0,32.0,93.0,74.0,33.0,6.3,1.4,0.0,30.4,30.32,0.0
2/4/2024,67.5,43.7,28.4,46.2,35.6,27.0,94.0,76.0,36.0,4.0,0.6,0.0,30.4,30.3,0.0
2/5/2024,64.2,42.9,28.6,45.5,36.1,27.1,94.0,79.0,39.0,4.3,0.5,0.0,30.35,30.23,0.0
2/6/2024,59.4,44.2,34.0,48.9,39.7,32.2,96.0,85.0,62.0,5.1,0.7,0.0,30.25,30.14,0.0
2/7/2024,54.0,43.6,31.5,50.0,41.6,30.4,97.0,93.0,81.0,9.2,1.2,0.0,30.2,30.04,0.0
2/8/2024,57.0,48.8,39.6,48.0,43.7,37.4,98.0,84.0,49.0,13.2,2.4,0.0,30.06,29.57,0.04
2/9/2024,56.1,50.8,47.5,51.6,48.1,44.1,97.0,91.0,80.0,13.2,3.5,0.0,29.57,29.14,0.56
2/10/2024,52.5,46.2,37.9,44.8,39.1,32.7,91.0,77.0,59.0,14.8,5.8,0.0,29.7,29.19,0.12
2/11/2024,50.0,41.3,34.2,43.0,37.6,30.9,95.0,87.0,66.0,9.2,2.9,0.0,29.84,29.69,0.0
2/12/2024,61.5,49.2,42.4,53.2,46.0,41.2,97.0,89.0,71.0,15.2,3.3,0.0,30.06,29.73,0.0
2/13/2024,65.1,51.6,41.2,56.1,48.4,40.5,98.0,90.0,65.0,9.6,1.1,0.0,30.2,30.02,0.0
2/14/2024,71.8,54.8,42.4,58.3,50.5,41.7,98.0,87.0,56.0,5.8,0.8,0.0,30.2,30.04,0.0
2/15/2024,61.2,52.9,44.4,55.0,49.7,43.3,96.0,89.0,72.0,14.1,1.3,0.0,30.06,29.9,0.1
2/16/2024,63.5,52.1,41.4,49.6,44.9,37.8,96.0,78.0,46.0,7.2,1.4,0.0,30.26,29.97,0.02
2/17/2024,65.5,45.6,31.3,46.4,36.5,30.2,96.0,75.0,32.0,8.5,1.1,0.0,30.42,30.25,0.0
2/18/2024,67.5,45.9,30.9,45.9,36.5,28.9,93.0,73.0,35.0,4.9,0.6,0.0,30.49,30.39,0.0
2/19/2024,69.3,49.1,34.3,52.0,40.9,32.5,94.0,76.0,44.0,7.4,1.1,0.0,30.44,30.3,0.0
2/20/2024,72.3,47.4,27.5,45.3,35.9,26.1,94.0,69.0,25.0,5.8,0.8,0.0,30.37,30.23,0.0
2/21/2024,64.4,47.0,31.6,48.2,39.4,29.7,93.0,77.0,50.0,7.4,1.0,0.0,30.29,30.09,0.0
2/22/2024,59.4,51.0,38.8,50.9,46.0,37.6,96.0,84.0,68.0,21.5,4.8,0.0,30.12,29.73,0.03
2/23/2024,54.0,44.6,34.2,44.1,36.2,30.7,88.0,73.0,53.0,15.7,4.6,0.0,29.86,29.75,0.01
2/24/2024,53.1,44.1,35.8,38.7,34.6,30.2,92.0,72.0,44.0,14.3,4.2,0.0,29.96,29.75,0.0
2/25/2024,57.9,50.5,39.6,50.4,45.5,35.4,95.0,83.0,68.0,18.3,7.0,0.0,29.96,29.65,0.0
2/26/2024,55.0,49.4,44.6,50.0,39.0,31.1,89.0,68.0,42.0,17.9,5.6,0.0,29.81,29.58,0.0
2/27/2024,54.5,45.9,36.3,34.9,30.5,25.9,80.0,55.0,45.0,24.6,7.5,0.0,30.09,29.81,0.0
2/28/2024,59.0,46.0,30.4,40.3,33.1,25.2,83.0,62.0,46.0,18.8,4.2,0.0,30.11,30.04,0.0
2/29/2024,61.9,44.4,27.3,45.0,33.5,25.5,94.0,69.0,40.0,19.0,4.0,0.0,30.09,29.89,0.0
3/1/2024,58.3,42.8,24.8,38.5,31.4,22.3,91.0,67.0,43.0,14.1,2.9,0.0,30.06,29.87,0.0
3/2/2024,50.2,42.4,32.4,44.1,38.0,30.0,94.0,85.0,70.0,20.8,4.2,0.0,29.88,29.43,0.4
3/3/2024,52.2,43.1,33.1,38.8,33.6,29.3,95.0,70.0,46.0,18.1,5.5,0.0,29.93,29.61,0.0
3/4/2024,57.2,48.8,40.1,48.0,43.6,36.5,93.0,83.0,68.0,15.4,4.3,0.0,30.06,29.92,0.0
3/5/2024,60.1,43.7,29.5,41.0,35.3,28.0,95.0,75.0,39.0,7.4,1.4,0.0,30.17,30.04,0.0
3/6/2024,62.8,44.0,29.3,42.8,35.2,27.5,94.0,74.0,39.0,6.9,1.0,0.0,30.14,29.9,0.0
3/7/2024,57.0,46.0,35.4,46.4,39.4,32.9,95.0,79.0,51.0,14.8,3.2,0.0,29.91,29.62,0.22
3/8/2024,54.5,45.6,38.5,42.8,39.1,35.8,92.0,79.0,53.0,16.6,5.5,0.0,29.68,29.45,0.27
3/9/2024,49.1,42.7,35.1,45.3,39.3,33.6,95.0,88.0,70.0,21.9,4.6,0.0,29.46,29.31,0.85
3/10/2024,55.8,46.6,40.3,46.6,42.0,36.7,96.0,84.0,64.0,17.7,5.1,0.0,29.79,29.39,0.52
3/11/2024,59.9,47.8,34.2,40.5,36.9,32.4,95.0,68.0,41.0,14.1,4.1,0.0,30.11,29.79,0.0
3/12/2024,66.0,46.1,30.6,46.4,37.6,29.3,95.0,76.0,39.0,5.1,0.8,0.0,30.14,30.04,0.0
3/13/2024,71.4,50.3,35.4,50.9,40.8,33.6,93.0,74.0,37.0,6.0,0.9,0.0,30.06,29.89,0.0
3/14/2024,63.9,48.9,36.0,52.3,43.3,34.3,95.0,82.0,62.0,10.5,1.6,0.0,30.08,29.94,0.0
3/15/2024,68.0,50.2,34.7,53.8,44.5,34.0,98.0,83.0,57.0,10.3,1.3,0.0,30.17,30.05,0.0
3/16/2024,69.8,52.9,38.7,56.7,47.9,37.6,98.0,85.0,51.0,5.8,1.0,0.0,30.24,30.13,0.0
3/17/2024,73.4,56.9,41.9,55.6,49.1,40.8,96.0,78.0,44.0,4.7,0.7,0.0,30.18,30.03,0.0
3/18/2024,72.5,56.8,42.4,56.8,50.0,41.2,96.0,80.0,48.0,4.9,0.7,0.0,30.07,29.95,0.0
3/19/2024,78.1,61.0,49.3,57.6,50.6,45.1,93.0,73.0,32.0,6.5,0.9,0.0,29.97,29.86,0.0
3/20/2024,75.4,60.2,45.5,55.6,48.9,43.3,92.0,69.0,39.0,20.6,2.5,0.0,29.94,29.83,0.02
3/21/2024,76.8,63.2,52.0,56.1,49.6,43.7,88.0,63.0,38.0,15.9,2.7,0.0,30.1,29.94,0.01
3/22/2024,79.9,60.7,45.5,59.4,48.7,42.3,90.0,68.0,36.0,8.1,1.3,0.0,30.1,29.93,0.0
3/23/2024,78.6,61.2,45.3,56.5,48.1,42.3,90.0,65.0,33.0,9.6,1.4,0.0,30.04,27.86,0.0
3/24/2024,74.8,58.1,43.7,52.7,46.8,40.8,91.0,68.0,38.0,10.5,1.8,0.0,29.95,29.67,0.0
3/25/2024,58.5,53.8,49.1,55.4,50.5,42.3,96.0,89.0,70.0,10.7,1.9,0.0,29.68,29.26,0.59
3/26/2024,51.3,44.0,37.9,42.8,37.1,29.5,94.0,77.0,53.0,18.8,5.0,0.0,29.37,29.29,0.27
3/27/2024,54.7,48.3,39.6,50.2,45.1,37.9,96.0,89.0,73.0,16.6,5.5,0.0,29.47,29.34,0.34
3/28/2024,62.8,53.1,45.5,54.0,47.7,42.3,96.0,83.0,62.0,14.8,4.6,0.0,29.57,29.41,0.53
3/29/2024,54.5,46.4,36.5,51.4,44.2,35.4,97.0,92.0,79.0,13.7,2.3,0.0,29.47,29.35,0.41
3/30/2024,54.0,46.1,36.5,46.4,42.1,35.8,97.0,86.0,62.0,14.3,3.9,0.0,29.46,29.26,0.38
3/31/2024,52.7,44.0,36.3,44.8,40.6,35.1,96.0,88.0,67.0,18.3,3.2,0.0,29.63,29.29,0.34
4/1/2024,57.9,43.9,32.2,46.0,38.8,31.1,97.0,84.0,51.0,15.4,3.3,0.0,30.01,29.63,0.06
4/2/2024,61.0,47.9,34.0,49.6,41.4,32.9,97.0,80.0,48.0,9.4,1.4,0.0,30.05,29.93,0.0
4/3/2024,66.9,52.8,41.5,52.0,45.9,39.9,95.0,79.0,49.0,9.2,1.6,0.0,30.09,29.98,0.0
4/4/2024,72.5,54.1,38.7,57.2,46.3,37.6,96.0,78.0,42.0,6.9,1.0,0.0,30.09,29.94,0.0
4/5/2024,77.2,58.9,43.3,55.9,47.5,41.2,94.0,70.0,33.0,14.1,1.8,0.0,30.02,29.85,0.0
4/6/2024,79.5,67.4,53.4,60.3,49.2,38.1,89.0,54.0,36.0,23.3,2.7,0.0,29.95,29.8,0.0
4/7/2024,75.9,62.8,52.3,58.8,53.9,50.9,95.0,75.0,48.0,9.2,1.5,0.0,29.95,29.82,0.0
4/8/2024,67.8,54.9,42.4,54.0,47.6,37.4,97.0,78.0,49.0,15.4,3.2,0.0,30.03,29.83,0.03
4/9/2024,64.8,49.6,32.7,40.8,35.3,29.7,92.0,61.0,33.0,10.1,1.9,0.0,30.33,30.02,0.0
4/10/2024,71.1,52.4,32.2,48.9,39.8,30.4,94.0,66.0,36.0,7.8,1.2,0.0,30.35,30.24,0.0
4/11/2024,80.8,61.0,39.6,55.6,46.9,37.8,94.0,64.0,33.0,15.4,2.2,0.0,30.33,30.19,0.0
4/12/2024,79.3,60.1,40.6,51.3,43.6,34.3,88.0,58.0,31.0,6.7,1.0,0.0,30.4,30.25,0.0
4/13/2024,83.7,64.8,45.5,51.8,46.3,41.5,88.0,58.0,24.0,6.0,1.3,0.0,30.32,30.17,0.0
4/14/2024,84.2,63.1,44.8,53.4,46.6,40.8,87.0,60.0,28.0,5.4,1.1,0.0,30.23,30.08,0.0
4/15/2024,86.0,65.3,47.5,58.5,49.7,41.4,90.0,62.0,30.0,7.4,1.1,0.0,30.12,29.96,0.0
4/16/2024,82.6,62.7,42.1,54.0,46.1,39.4,91.0,59.0,28.0,10.3,1.6,0.0,30.04,29.86,0.0
4/19/2024,76.1,65.7,51.4,52.0,46.0,39.9,82.0,51.0,33.0,10.1,1.4,0.0,30.07,29.92,0.0
4/20/2024,79.0,61.3,42.6,55.2,44.4,36.0,93.0,59.0,23.0,7.4,1.1,0.0,29.97,29.8,0.0
4/21/2024,77.7,66.8,42.4,51.6,37.9,30.4,78.0,37.0,22.0,6.5,1.3,0.0,29.94,29.81,0.0
4/22/2024,67.1,60.3,46.0,38.5,33.3,25.3,62.0,37.0,22.0,14.3,4.7,0.0,29.95,29.87,0.0
4/23/2024,66.6,56.1,35.8,39.4,34.1,24.8,72.0,44.0,32.0,12.3,3.4,0.0,30.03,29.91,0.0
4/24/2024,66.9,50.8,30.4,41.4,33.5,25.3,91.0,56.0,25.0,11.4,1.7,0.0,30.05,29.86,0.0
4/25/2024,69.4,56.5,36.9,44.1,38.7,33.6,88.0,55.0,34.0,10.1,2.0,0.0,29.87,29.65,0.0
4/26/2024,65.1,57.2,40.1,46.4,42.2,36.5,87.0,58.0,42.0,13.2,2.8,0.0,29.67,29.55,0.0
4/27/2024,61.7,54.0,46.4,48.4,44.7,40.1,94.0,72.0,48.0,17.0,3.7,0.0,29.71,29.45,0.14
4/28/2024,67.1,50.5,34.0,45.5,38.6,32.9,96.0,69.0,33.0,6.9,1.2,0.0,29.87,29.7,0.0
4/29/2024,67.6,50.9,36.9,49.5,41.7,34.3,93.0,73.0,33.0,9.0,1.0,0.0,29.93,29.85,0.01
4/30/2024,67.3,55.8,41.2,48.6,43.3,37.4,94.0,66.0,35.0,16.3,3.3,0.0,29.94,29.81,0.0
5/1/2024,59.2,51.6,42.3,48.0,39.1,31.5,91.0,64.0,39.0,14.5,4.6,0.0,29.88,29.75,0.0
5/2/2024,62.6,49.5,32.9,41.0,36.2,31.1,93.0,63.0,36.0,10.7,2.6,0.0,30.02,29.87,0.0
5/3/2024,68.5,51.1,32.2,44.4,38.2,30.6,95.0,66.0,33.0,11.6,2.0,0.0,30.08,29.98,0.0
5/4/2024,77.2,58.9,39.4,51.8,45.3,37.6,93.0,65.0,33.0,12.3,2.2,0.0,30.03,29.91,0.0
5/5/2024,68.0,59.7,47.3,55.9,52.3,45.1,96.0,77.0,60.0,17.2,2.1,0.0,29.97,29.83,0.44
5/6/2024,71.6,59.3,48.2,55.8,51.4,41.5,98.0,77.0,43.0,13.4,1.7,0.0,29.97,29.82,0.21
5/7/2024,75.9,57.6,37.8,53.2,44.4,36.7,97.0,66.0,33.0,11.0,1.2,0.0,30.1,29.96,0.0
5/8/2024,80.8,61.7,43.9,55.2,43.8,39.2,86.0,55.0,24.0,8.5,1.5,0.0,30.14,29.99,0.0
5/9/2024,84.4,68.7,43.0,55.9,48.4,39.4,88.0,52.0,26.0,5.6,1.0,0.0,30.04,29.9,0.0
5/10/2024,60.1,54.7,47.3,51.3,47.2,43.9,88.0,76.0,66.0,3.8,0.4,0.0,29.97,29.94,0.0
5/11/2024,84.9,76.2,61.0,57.2,48.3,44.1,69.0,39.0,27.0,10.3,2.3,0.0,29.95,29.85,0.0
5/12/2024,84.2,74.0,56.1,57.2,51.3,46.0,80.0,48.0,28.0,8.7,1.2,0.0,29.96,29.85,0.0
5/13/2024,82.9,68.2,48.6,55.6,51.9,46.6,93.0,60.0,33.0,13.7,2.8,0.0,29.88,29.68,0.0
5/14/2024,71.2,61.4,52.0,55.9,45.5,39.7,87.0,58.0,35.0,12.5,3.2,0.0,29.75,29.66,0.02
5/15/2024,68.4,57.9,48.9,46.2,38.5,31.1,79.0,50.0,29.0,13.2,2.8,0.0,29.76,29.69,0.0
5/16/2024,66.4,55.0,43.0,43.9,40.7,37.0,87.0,61.0,40.0,12.5,2.7,0.0,29.78,29.71,0.0
5/17/2024,70.0,57.3,44.8,51.6,45.0,39.9,94.0,67.0,37.0,12.3,2.6,0.0,29.81,29.7,0.02
5/18/2024,74.3,65.1,49.5,47.8,42.7,38.3,80.0,46.0,29.0,10.5,2.0,0.0,29.84,29.73,0.0
5/19/2024,74.3,58.3,41.4,48.6,42.5,38.3,90.0,59.0,31.0,12.8,2.2,0.0,29.81,29.68,0.0
