Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,54.1,44.4,39.0,41.9,39.1,37.0,94.0,83.0,55.0,5.8,0.4,0.0,29.99,29.85,0.0
1/2/2024,48.4,43.4,39.6,48.0,41.1,37.4,99.0,92.0,83.0,5.6,0.3,0.0,29.99,29.89,0.0
1/3/2024,53.6,51.1,48.0,53.1,50.4,46.8,99.0,98.0,90.0,6.3,1.1,0.0,29.92,29.82,0.03
1/4/2024,51.3,49.3,47.1,50.4,48.8,46.8,99.0,98.0,91.0,4.0,0.3,0.0,29.91,29.61,0.2
1/5/2024,51.1,44.8,39.7,47.5,37.5,31.3,99.0,77.0,51.0,4.0,0.2,0.0,29.73,29.54,0.06
1/6/2024,51.6,43.6,39.6,34.9,32.3,30.4,75.0,65.0,48.0,4.9,0.1,0.0,29.94,29.72,0.0
1/7/2024,55.6,42.9,36.9,33.3,31.0,28.9,80.0,64.0,38.0,2.5,0.0,0.0,29.99,29.91,0.0
1/8/2024,51.1,40.7,33.3,33.3,30.4,28.2,83.0,67.0,46.0,2.5,0.1,0.0,29.96,29.85,0.0
1/9/2024,46.2,42.7,39.9,38.5,36.7,33.1,87.0,79.0,71.0,2.7,0.1,0.0,29.89,29.82,0.0
1/10/2024,45.5,42.7,40.1,42.3,39.9,37.6,97.0,90.0,81.0,8.1,1.0,0.0,29.89,29.81,0.0
1/11/2024,50.5,41.9,37.0,41.7,33.8,27.3,97.0,75.0,50.0,1.8,0.0,0.0,29.99,29.82,0.0
1/12/2024,49.8,39.4,32.5,33.6,28.7,25.9,77.0,66.0,43.0,0.9,0.0,0.0,30.07,29.97,0.0
1/13/2024,49.1,43.3,37.8,39.7,34.9,29.5,79.0,72.0,66.0,0.2,0.0,0.0,30.08,29.95,0.0
1/14/2024,50.0,46.4,43.3,49.1,41.8,38.1,96.0,84.0,75.0,4.0,0.2,0.0,29.97,29.83,0.03
1/15/2024,56.5,52.5,49.6,55.2,51.8,49.1,99.0,98.0,91.0,8.7,1.4,0.0,29.83,29.71,0.14
1/16/2024,59.5,55.3,52.3,55.2,51.9,45.7,99.0,89.0,67.0,11.4,1.9,0.0,29.77,29.59,0.0
1/17/2024,54.3,52.0,48.9,51.4,48.9,45.7,98.0,89.0,81.0,13.2,3.1,0.0,29.6,29.37,0.68
1/18/2024,58.5,52.2,49.8,50.9,49.2,47.3,97.0,90.0,74.0,11.4,2.5,0.0,29.65,29.55,0.0
1/19/2024,51.3,45.0,40.5,50.5,43.0,34.7,99.0,93.0,80.0,2.2,0.1,0.0,29.73,29.44,0.38
1/20/2024,56.5,43.9,35.4,42.8,36.5,28.0,92.0,77.0,39.0,2.2,0.0,0.0,30.18,29.72,0.0
1/21/2024,57.9,46.7,39.0,42.3,40.1,36.7,93.0,79.0,52.0,3.4,0.1,0.0,30.32,30.17,0.0
1/22/2024,55.2,45.3,39.2,46.4,41.4,37.2,97.0,87.0,71.0,3.1,0.1,0.0,30.38,30.29,0.0
1/23/2024,65.3,50.7,40.8,51.3,45.2,38.8,94.0,83.0,58.0,2.0,0.0,0.0,30.44,30.35,0.0
1/24/2024,72.3,56.0,45.5,52.2,48.1,43.5,95.0,77.0,46.0,1.3,0.0,0.0,30.44,30.35,0.0
1/25/2024,71.4,57.0,46.6,50.5,47.0,42.1,86.0,71.0,44.0,1.3,0.0,0.0,30.37,30.24,0.0
1/26/2024,73.2,57.5,46.9,47.1,44.3,41.4,84.0,64.0,34.0,0.9,0.0,0.0,30.29,30.19,0.0
1/27/2024,70.3,58.3,50.4,45.5,42.3,39.4,69.0,57.0,33.0,1.1,0.0,0.0,30.22,30.11,0.0
1/28/2024,68.5,55.9,46.2,45.9,42.8,39.7,79.0,63.0,40.0,1.1,0.0,0.0,30.16,30.09,0.0
1/29/2024,65.3,54.6,48.4,46.0,43.1,38.7,81.0,66.0,41.0,2.5,0.0,0.0,30.21,30.11,0.0
1/30/2024,62.8,51.2,43.3,46.8,43.6,40.6,91.0,76.0,53.0,2.2,0.0,0.0,30.27,30.18,0.0
1/31/2024,57.9,48.0,41.7,45.7,42.1,38.8,90.0,80.0,61.0,0.9,0.0,0.0,30.33,30.26,0.0
2/1/2024,69.1,53.6,43.3,47.1,40.8,36.5,92.0,65.0,33.0,1.3,0.0,0.0,30.35,30.24,0.0
2/2/2024,64.9,53.6,45.3,43.7,40.4,36.3,79.0,62.0,44.0,1.8,0.0,0.0,30.26,30.17,0.0
2/3/2024,66.4,53.5,44.4,41.2,38.6,34.5,80.0,59.0,36.0,1.1,0.0,0.0,30.26,30.2,0.0
2/4/2024,70.5,53.9,43.5,38.5,35.6,32.4,71.0,52.0,26.0,2.5,0.0,0.0,30.25,30.17,0.0
2/5/2024,65.3,52.5,43.2,42.6,38.1,34.0,73.0,59.0,32.0,2.5,0.1,0.0,30.21,30.1,0.0
2/6/2024,62.4,51.1,44.2,47.8,42.8,39.4,84.0,74.0,54.0,4.7,0.3,0.0,30.11,30.01,0.0
2/7/2024,53.1,48.1,44.2,48.6,45.2,41.7,98.0,90.0,74.0,7.2,0.7,0.0,30.06,29.9,0.0
2/8/2024,55.2,49.4,46.9,48.4,44.5,35.6,97.0,84.0,48.0,12.3,1.1,0.0,29.92,29.42,0.02
2/9/2024,53.4,49.3,46.2,50.9,47.4,43.3,99.0,93.0,85.0,12.3,1.5,0.0,29.42,29.01,0.39
2/10/2024,55.0,46.5,42.3,44.6,37.1,30.6,97.0,71.0,48.0,9.0,0.7,0.0,29.57,29.07,0.0
2/11/2024,46.8,41.5,36.9,41.2,36.0,29.5,95.0,82.0,61.0,7.6,1.0,0.0,29.7,29.56,0.0
2/12/2024,62.4,49.4,41.7,51.4,46.0,40.1,99.0,89.0,65.0,9.2,1.5,0.0,29.93,29.59,0.0
2/13/2024,62.4,54.7,49.5,54.9,51.3,48.2,96.0,89.0,69.0,5.4,0.4,0.0,30.07,29.88,0.0
2/14/2024,67.8,57.3,51.8,56.1,52.6,50.7,98.0,85.0,63.0,0.7,0.0,0.0,30.07,29.92,0.0
2/15/2024,59.4,54.4,50.4,52.5,50.2,47.5,95.0,86.0,69.0,6.0,0.3,0.0,29.93,29.77,0.09
2/16/2024,65.1,53.6,46.9,48.2,42.3,38.8,93.0,67.0,41.0,3.4,0.1,0.0,30.13,29.84,0.0
2/17/2024,69.8,53.8,41.9,43.2,38.9,35.2,84.0,60.0,30.0,3.1,0.1,0.0,30.29,30.12,0.0
2/18/2024,68.7,54.8,44.2,41.4,36.7,33.3,68.0,52.0,30.0,2.9,0.1,0.0,30.35,30.26,0.0
2/19/2024,71.2,57.5,47.1,48.6,43.7,38.3,76.0,61.0,43.0,3.4,0.1,0.0,30.31,30.18,0.0
2/20/2024,71.2,56.4,44.8,45.7,37.1,32.9,69.0,50.0,31.0,4.7,0.1,0.0,30.25,30.12,0.0
2/21/2024,61.9,53.2,44.8,46.9,41.8,36.9,80.0,66.0,44.0,4.7,0.4,0.0,30.15,29.97,0.0
2/22/2024,54.0,50.7,46.0,51.4,46.2,36.7,97.0,85.0,68.0,13.2,2.2,0.0,29.99,29.61,0.07
2/23/2024,51.6,44.0,36.7,39.7,35.2,30.2,88.0,72.0,57.0,12.3,1.4,0.0,29.72,29.61,0.0
2/24/2024,54.5,44.1,36.7,37.4,33.4,27.7,93.0,69.0,38.0,5.4,0.5,0.0,29.81,29.61,0.0
2/25/2024,56.3,48.8,42.3,50.0,45.5,37.2,97.0,89.0,74.0,14.3,4.4,0.0,29.81,29.52,0.0
2/26/2024,55.8,48.3,43.2,49.5,36.8,29.7,96.0,66.0,37.0,6.5,0.3,0.0,29.69,29.45,0.0
2/27/2024,56.5,46.0,38.5,31.3,27.8,22.6,67.0,50.0,36.0,2.2,0.1,0.0,29.95,29.67,0.0
2/28/2024,63.1,49.2,39.2,37.2,31.2,22.5,66.0,51.0,33.0,2.2,0.0,0.0,29.97,29.9,0.0
2/29/2024,62.6,49.2,39.9,42.6,34.7,25.3,80.0,59.0,38.0,2.9,0.1,0.0,29.96,29.76,0.0
3/1/2024,58.5,46.6,37.4,39.4,32.1,25.5,80.0,58.0,40.0,8.1,0.9,0.0,29.92,29.73,0.0
3/2/2024,46.6,43.0,37.9,44.4,39.5,31.6,94.0,87.0,76.0,14.1,2.6,0.0,29.73,29.3,0.1
3/3/2024,54.1,43.7,36.9,37.6,32.0,27.7,77.0,64.0,39.0,8.1,0.5,0.0,29.8,29.48,0.0
3/4/2024,56.5,47.8,42.3,47.5,42.9,36.5,95.0,83.0,67.0,10.1,1.6,0.0,29.92,29.78,0.0
3/5/2024,61.9,50.2,42.3,37.0,34.3,30.4,74.0,56.0,31.0,4.9,0.2,0.0,30.02,29.91,0.0
3/6/2024,63.1,50.2,39.2,39.2,35.3,32.4,78.0,58.0,38.0,3.6,0.1,0.0,29.99,29.76,0.0
3/7/2024,55.2,46.8,41.2,45.7,38.5,32.9,93.0,74.0,53.0,7.2,0.5,0.0,29.77,29.47,0.28
3/8/2024,53.2,44.4,39.7,42.1,38.1,34.7,97.0,80.0,51.0,14.8,2.5,0.0,29.53,29.3,0.56
3/9/2024,47.5,42.3,39.2,45.3,38.8,35.1,96.0,88.0,68.0,9.6,2.4,0.0,29.31,29.17,0.21
3/10/2024,56.7,45.9,39.7,44.8,40.6,36.3,98.0,83.0,50.0,8.3,1.3,0.0,29.68,29.24,0.07
3/11/2024,62.1,50.3,42.8,38.5,36.2,33.6,75.0,60.0,36.0,2.2,0.1,0.0,29.97,29.67,0.0
3/12/2024,66.0,52.6,41.4,41.9,38.4,35.2,83.0,61.0,34.0,5.6,0.1,0.0,30.01,29.91,0.0
3/13/2024,71.8,57.0,45.7,43.3,39.8,36.7,76.0,55.0,28.0,2.9,0.0,0.0,29.92,29.77,0.0
3/14/2024,62.1,54.5,48.7,48.2,44.7,41.2,86.0,70.0,55.0,8.5,1.0,0.0,29.94,29.8,0.0
3/15/2024,68.7,55.8,45.7,52.5,47.7,43.0,91.0,76.0,51.0,4.5,0.3,0.0,30.04,29.91,0.0
3/16/2024,68.5,57.0,47.8,53.8,49.8,45.7,94.0,78.0,52.0,4.5,0.1,0.0,30.11,30.01,0.0
3/17/2024,72.5,62.0,51.8,53.6,50.9,48.2,89.0,69.0,45.0,2.9,0.0,0.0,30.05,29.91,0.0
3/18/2024,73.0,62.5,53.2,54.0,50.7,47.7,86.0,67.0,42.0,4.9,0.2,0.0,29.94,29.83,0.0
3/19/2024,77.2,65.7,54.9,52.3,48.5,42.4,83.0,56.0,30.0,4.9,0.2,0.0,29.85,29.75,0.0
3/20/2024,77.4,65.4,56.3,50.0,47.0,44.8,70.0,52.0,36.0,4.5,0.2,0.0,29.82,29.71,0.0
3/21/2024,81.0,65.8,56.8,50.7,47.5,45.3,73.0,54.0,30.0,2.9,0.1,0.0,29.98,29.81,0.0
3/22/2024,82.2,67.4,56.3,50.7,47.1,40.5,74.0,51.0,28.0,1.3,0.0,0.0,29.98,29.82,0.0
3/23/2024,79.9,67.6,56.8,53.1,46.5,41.4,65.0,48.0,34.0,1.8,0.0,0.0,29.92,29.79,0.0
3/24/2024,74.7,63.2,54.3,50.0,45.8,41.4,73.0,55.0,34.0,1.3,0.0,0.0,29.84,29.54,0.0
3/25/2024,59.2,54.7,50.0,53.4,48.4,37.6,93.0,80.0,62.0,7.4,0.5,0.0,29.55,29.13,0.0
3/26/2024,52.3,43.4,37.4,39.2,35.3,30.6,95.0,74.0,45.0,9.6,2.0,0.0,29.24,29.16,0.03
3/27/2024,57.0,47.6,39.0,48.7,44.2,37.4,96.0,89.0,62.0,15.9,3.7,0.0,29.32,29.18,0.03
3/28/2024,60.3,51.4,43.9,51.8,45.8,41.0,96.0,82.0,56.0,14.1,2.9,0.0,29.42,29.26,0.39
3/29/2024,52.0,45.0,41.7,50.4,43.1,39.0,97.0,93.0,79.0,7.6,0.8,0.0,29.33,29.22,0.27
3/30/2024,52.7,45.1,40.1,44.2,41.3,38.1,96.0,87.0,63.0,7.4,0.8,0.0,29.31,29.13,0.4
3/31/2024,52.5,43.7,40.3,42.3,39.6,37.2,96.0,86.0,59.0,11.6,1.5,0.0,29.48,29.13,0.47
4/1/2024,57.7,45.8,39.7,44.2,40.0,37.0,96.0,81.0,51.0,11.0,1.8,0.0,29.86,29.47,0.11
4/2/2024,57.4,50.2,43.0,46.2,42.4,39.2,89.0,75.0,58.0,6.0,0.5,0.0,29.9,29.8,0.0
4/3/2024,66.7,55.3,48.4,48.6,45.3,41.9,92.0,71.0,44.0,8.7,0.9,0.0,29.96,29.84,0.0
4/4/2024,71.8,59.1,48.0,52.3,47.6,44.4,88.0,68.0,42.0,4.7,0.2,0.0,29.95,29.83,0.0
4/5/2024,78.6,63.7,53.1,51.6,47.0,41.4,78.0,57.0,32.0,3.8,0.1,0.0,29.88,29.73,0.0
4/6/2024,78.1,66.5,57.7,50.4,45.1,40.5,59.0,47.0,30.0,3.6,0.1,0.0,29.83,29.68,0.0
4/7/2024,73.2,64.3,58.5,53.4,51.1,49.1,79.0,63.0,46.0,9.6,0.5,0.0,29.83,29.71,0.0
4/8/2024,63.9,55.8,48.7,51.8,45.7,35.1,90.0,70.0,42.0,10.1,1.2,0.0,29.91,29.69,0.01
4/9/2024,66.2,52.5,42.3,36.3,32.3,28.0,67.0,48.0,27.0,5.1,0.2,0.0,30.19,29.9,0.0
4/10/2024,72.9,57.8,44.1,46.9,39.0,34.0,70.0,51.0,32.0,4.7,0.1,0.0,30.21,30.11,0.0
4/11/2024,84.6,67.2,52.3,54.1,46.2,39.6,73.0,49.0,29.0,4.5,0.0,0.0,30.18,30.09,0.0
4/12/2024,81.3,66.8,54.7,47.1,40.8,34.5,51.0,39.0,26.0,3.6,0.1,0.0,30.26,30.14,0.0
4/13/2024,85.6,69.2,55.0,48.2,43.7,38.1,68.0,42.0,20.0,2.9,0.1,0.0,30.19,30.06,0.0
4/14/2024,85.3,70.2,58.1,47.8,43.0,38.3,58.0,39.0,21.0,4.5,0.1,0.0,30.11,29.97,0.0
4/15/2024,86.7,71.5,59.9,55.9,48.5,43.3,63.0,46.0,26.0,3.4,0.1,0.0,29.99,29.85,0.0
4/16/2024,84.4,69.0,57.9,49.8,43.3,38.3,60.0,41.0,21.0,4.0,0.1,0.0,29.92,29.76,0.0
4/17/2024,75.7,62.2,49.6,43.3,39.8,36.1,67.0,45.0,29.0,1.8,0.0,0.0,29.84,29.73,0.0
4/18/2024,75.7,61.5,50.0,40.3,36.9,33.4,60.0,42.0,24.0,2.0,0.1,0.0,29.88,29.77,0.0
4/19/2024,75.9,59.5,44.6,47.3,38.5,30.0,60.0,46.0,32.0,2.5,0.1,0.0,29.95,29.8,0.0
4/20/2024,79.5,65.1,52.7,47.8,40.4,27.1,76.0,46.0,16.0,1.8,0.0,0.0,29.84,29.69,0.0
4/21/2024,78.1,63.6,51.1,41.0,33.8,27.9,50.0,34.0,22.0,1.8,0.0,0.0,29.81,29.69,0.0
4/22/2024,70.3,57.4,46.2,36.9,30.0,22.3,62.0,36.0,25.0,1.3,0.1,0.0,29.87,29.73,0.0
4/23/2024,65.1,52.0,39.4,37.8,27.7,21.7,57.0,40.0,29.0,1.8,0.0,0.0,29.89,29.78,0.0
4/24/2024,68.9,54.4,42.4,38.1,31.1,24.3,66.0,43.0,22.0,4.0,0.2,0.0,29.91,29.73,0.0
4/25/2024,67.1,58.0,49.6,39.7,34.0,28.0,55.0,41.0,29.0,3.8,0.0,0.0,29.74,29.53,0.0
4/26/2024,62.1,55.1,49.1,43.0,39.4,35.8,72.0,56.0,39.0,11.2,0.7,0.0,29.57,29.42,0.0
4/27/2024,59.0,51.4,44.1,47.7,43.5,36.7,95.0,76.0,45.0,9.4,0.9,0.0,29.57,29.33,0.28
4/28/2024,65.3,53.2,43.5,43.2,37.4,32.5,82.0,58.0,31.0,2.9,0.1,0.0,29.74,29.57,0.0
4/29/2024,66.7,55.8,46.4,44.6,39.8,35.8,73.0,56.0,34.0,1.6,0.0,0.0,29.79,29.71,0.0
4/30/2024,64.8,55.9,48.2,47.8,42.6,36.7,81.0,63.0,37.0,7.4,0.7,0.0,29.79,29.68,0.0
5/1/2024,58.6,50.0,44.2,47.8,38.8,28.6,90.0,68.0,33.0,5.6,0.3,0.0,29.75,29.62,0.07
5/2/2024,61.7,50.2,41.5,39.7,36.0,32.9,80.0,60.0,36.0,4.9,0.3,0.0,29.88,29.75,0.0
5/3/2024,68.2,54.5,43.5,43.5,39.6,35.4,82.0,60.0,34.0,4.7,0.3,0.0,29.94,29.85,0.0
5/4/2024,73.8,60.9,49.8,47.8,44.5,36.1,79.0,57.0,27.0,8.1,0.6,0.0,29.89,29.79,0.0
5/5/2024,64.9,60.4,55.2,56.1,51.3,45.7,95.0,73.0,51.0,7.8,0.7,0.0,29.85,29.7,0.11
5/6/2024,69.3,59.1,52.5,55.8,48.9,38.1,96.0,72.0,38.0,3.8,0.1,0.0,29.84,29.69,0.03
5/7/2024,75.9,61.8,49.1,45.7,40.7,32.9,71.0,48.0,32.0,2.0,0.0,0.0,29.97,29.83,0.0
5/8/2024,79.3,63.9,51.3,41.4,36.7,26.6,63.0,40.0,16.0,2.9,0.1,0.0,30.0,29.87,0.0
5/9/2024,82.8,68.5,55.9,45.7,41.1,35.6,60.0,39.0,21.0,1.3,0.0,0.0,29.91,29.79,0.0
