Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,48.7,39.6,32.4,48.4,39.2,32.0,99.0,99.0,99.0,10.3,1.6,0.0,30.11,29.99,0.0
1/2/2024,44.4,38.7,33.6,44.1,38.3,33.3,99.0,99.0,99.0,9.2,0.7,0.0,30.11,30.02,0.05
1/3/2024,51.8,47.5,42.6,51.4,47.2,42.3,99.0,99.0,99.0,13.6,1.9,0.0,30.07,29.99,0.5
1/4/2024,46.2,41.7,36.9,45.9,41.3,36.5,99.0,99.0,99.0,9.6,1.1,0.0,30.07,29.77,0.14
1/5/2024,41.9,36.4,33.6,41.5,36.0,33.3,99.0,99.0,99.0,25.3,5.2,0.0,29.88,29.68,0.14
1/6/2024,37.0,34.5,32.2,36.7,34.1,31.8,99.0,99.0,99.0,16.8,4.3,0.0,30.06,29.86,0.03
1/7/2024,41.2,35.7,32.4,40.8,35.4,32.0,99.0,99.0,99.0,16.3,3.0,0.0,30.1,30.04,0.19
1/8/2024,44.6,35.6,28.4,44.2,35.3,28.0,99.0,99.0,99.0,12.8,1.7,0.0,30.08,29.97,0.02
1/9/2024,38.1,35.2,32.5,37.8,34.8,32.2,99.0,99.0,99.0,4.7,0.8,0.0,30.02,29.96,0.0
1/10/2024,41.5,37.4,35.2,41.2,37.1,34.9,99.0,99.0,99.0,13.2,1.5,0.0,30.02,29.94,0.39
1/11/2024,41.4,35.3,31.5,41.0,35.0,31.1,99.0,99.0,99.0,13.6,1.9,0.0,30.12,29.97,0.01
1/12/2024,41.2,32.0,24.3,40.8,31.6,23.9,99.0,99.0,99.0,5.8,0.9,0.0,30.21,30.1,0.0
1/13/2024,50.0,41.7,32.7,49.6,41.4,32.4,99.0,99.0,99.0,6.5,0.7,0.0,30.22,30.11,0.0
1/14/2024,52.3,45.4,42.1,52.0,45.1,41.7,99.0,99.0,99.0,19.2,1.5,0.0,30.12,29.99,0.3
1/15/2024,52.3,49.7,46.6,52.0,49.3,46.2,99.0,99.0,99.0,21.3,2.3,0.0,30.0,29.89,0.85
1/16/2024,52.3,48.7,45.3,52.0,48.4,45.0,99.0,99.0,99.0,11.2,1.4,0.0,29.94,29.77,0.25
1/17/2024,47.5,45.1,39.0,47.1,44.8,38.7,99.0,99.0,99.0,13.2,2.3,0.0,29.78,29.58,1.79
1/18/2024,52.5,45.7,39.4,52.2,45.3,39.0,99.0,99.0,99.0,15.7,2.3,0.0,29.84,29.72,0.01
1/19/2024,43.7,39.3,32.9,43.3,39.0,32.5,99.0,99.0,99.0,17.4,1.5,0.0,29.85,29.62,1.53
1/20/2024,48.7,37.6,31.1,48.4,37.2,30.7,99.0,99.0,99.0,8.3,1.1,0.0,30.3,29.84,0.0
1/21/2024,52.3,38.7,30.2,52.0,38.3,29.8,99.0,99.0,99.0,5.6,1.1,0.0,30.44,30.29,0.0
1/22/2024,58.6,48.7,36.5,58.3,48.3,36.1,99.0,99.0,99.0,14.8,2.6,0.0,30.52,30.4,0.0
1/23/2024,61.0,51.4,42.6,60.6,51.1,42.3,99.0,99.0,99.0,15.9,2.1,0.0,30.59,30.49,0.0
1/24/2024,68.5,54.6,45.5,68.2,54.3,45.1,99.0,99.0,99.0,5.4,0.9,0.0,30.6,30.53,0.0
1/25/2024,70.2,55.7,47.1,69.8,55.4,46.8,99.0,99.0,99.0,5.8,1.0,0.0,30.55,30.42,0.0
1/26/2024,67.6,55.7,48.9,67.3,55.4,48.6,99.0,99.0,99.0,5.8,0.9,0.0,30.46,30.39,0.0
1/27/2024,63.3,53.7,47.3,63.0,53.4,46.9,99.0,99.0,99.0,5.4,1.2,0.0,30.4,30.3,0.0
1/28/2024,61.7,50.3,41.4,61.3,49.9,41.0,99.0,99.0,99.0,6.9,1.3,0.0,30.32,30.26,0.0
1/29/2024,56.7,48.1,42.1,56.3,47.8,41.7,99.0,99.0,99.0,5.6,1.0,0.0,30.36,30.27,0.0
1/30/2024,56.5,45.2,36.3,56.1,44.9,36.0,99.0,99.0,99.0,5.6,0.8,0.0,30.41,30.33,0.0
1/31/2024,59.2,46.0,36.5,58.8,45.6,36.1,99.0,99.0,99.0,10.5,1.2,0.0,30.48,30.38,0.0
2/1/2024,61.2,50.1,40.8,60.8,49.7,40.5,99.0,99.0,99.0,11.9,1.3,0.0,30.5,30.41,0.0
2/2/2024,56.1,49.4,42.1,55.8,49.0,41.7,99.0,99.0,99.0,8.1,1.6,0.0,30.43,30.34,0.0
2/3/2024,56.7,46.0,37.9,56.3,45.7,37.6,99.0,99.0,99.0,6.9,1.3,0.0,30.41,30.35,0.0
2/4/2024,61.9,48.8,39.6,61.5,48.5,39.2,99.0,99.0,99.0,6.0,0.9,0.0,30.4,30.34,0.0
2/5/2024,58.5,48.4,40.1,58.1,48.1,39.7,99.0,99.0,99.0,8.1,1.1,0.0,30.37,30.25,0.0
2/6/2024,57.7,47.9,41.5,57.4,47.5,41.2,99.0,99.0,99.0,12.3,1.5,0.0,30.27,30.17,0.0
2/7/2024,51.3,44.3,37.9,50.9,44.0,37.6,99.0,99.0,99.0,9.6,1.8,0.0,30.21,30.06,0.01
2/8/2024,43.3,41.7,40.1,43.0,41.3,39.7,99.0,99.0,99.0,10.3,1.5,0.0,30.07,29.61,0.18
2/9/2024,45.3,42.4,39.4,45.0,42.0,39.0,99.0,99.0,99.0,12.8,1.9,0.0,29.61,29.2,1.3
2/10/2024,40.8,37.3,34.5,40.5,37.0,34.2,99.0,99.0,99.0,26.4,7.4,0.0,29.68,29.24,0.51
2/11/2024,44.6,36.7,33.6,44.2,36.4,33.3,99.0,99.0,99.0,19.5,3.8,0.0,29.82,29.67,0.0
2/12/2024,55.0,47.7,35.6,54.7,47.3,35.2,99.0,99.0,99.0,24.2,5.9,0.0,30.1,29.74,0.0
2/13/2024,54.0,49.5,45.0,53.6,49.2,44.6,99.0,99.0,99.0,9.2,1.2,0.0,30.25,30.05,0.04
2/14/2024,57.0,48.7,44.2,56.7,48.4,43.9,99.0,99.0,99.0,5.8,0.8,0.0,30.25,30.13,0.01
2/15/2024,59.2,49.7,44.6,58.8,49.4,44.2,99.0,99.0,99.0,15.2,2.1,0.0,30.14,29.95,0.11
2/16/2024,50.7,45.2,41.2,50.4,44.8,40.8,99.0,99.0,99.0,18.3,4.9,0.0,30.28,29.99,0.01
2/17/2024,58.6,48.3,40.6,58.3,47.9,40.3,99.0,99.0,99.0,16.1,3.3,0.0,30.43,30.25,0.0
2/18/2024,61.2,48.9,38.7,60.8,48.5,38.3,99.0,99.0,99.0,8.5,1.4,0.0,30.48,30.41,0.0
2/19/2024,61.5,52.5,44.1,61.2,52.1,43.7,99.0,99.0,99.0,16.3,2.6,0.0,30.46,30.36,0.0
2/20/2024,66.4,52.9,42.1,66.0,52.6,41.7,99.0,99.0,94.0,9.8,1.6,0.0,30.41,30.3,0.0
2/21/2024,61.3,52.2,43.3,61.0,51.9,43.0,99.0,99.0,95.0,15.7,2.5,0.0,30.33,30.14,0.0
2/22/2024,55.6,48.4,37.8,55.2,48.1,37.4,99.0,99.0,99.0,32.4,4.2,0.0,30.15,29.77,0.15
2/23/2024,42.3,36.3,32.7,41.9,35.9,32.4,99.0,99.0,99.0,27.3,8.1,0.0,29.84,29.72,0.05
2/24/2024,42.4,36.6,32.4,42.1,36.3,32.0,99.0,99.0,99.0,28.2,6.3,0.0,29.94,29.72,0.0
2/25/2024,53.2,45.8,37.9,52.9,45.5,37.6,99.0,99.0,99.0,27.3,6.1,0.0,29.93,29.66,0.0
2/26/2024,44.8,37.8,33.4,44.4,37.4,33.1,99.0,99.0,99.0,27.7,7.1,0.0,29.84,29.58,0.0
2/27/2024,40.5,34.6,29.7,40.1,34.3,29.3,99.0,99.0,99.0,38.7,9.8,0.0,30.05,29.81,0.0
2/28/2024,46.6,38.3,32.7,46.2,38.0,32.4,99.0,99.0,99.0,35.6,8.1,0.0,30.15,30.01,0.0
2/29/2024,50.4,42.7,33.1,50.0,42.3,32.7,99.0,99.0,99.0,23.7,6.0,0.0,30.11,29.91,0.0
3/1/2024,46.8,38.0,28.0,46.4,37.7,27.7,99.0,99.0,99.0,24.8,4.6,0.0,30.05,29.87,0.0
3/2/2024,41.0,36.4,30.2,40.6,36.0,29.8,99.0,99.0,99.0,22.8,4.6,0.0,29.87,29.43,0.0
3/3/2024,39.9,34.4,29.3,39.6,34.1,28.9,99.0,99.0,99.0,22.6,6.2,0.0,29.94,29.63,0.0
3/4/2024,50.9,42.7,37.6,50.5,42.3,37.2,99.0,99.0,99.0,15.9,3.1,0.0,30.07,29.93,0.0
3/5/2024,49.8,40.9,34.7,49.5,40.6,34.3,99.0,99.0,99.0,16.8,3.0,0.0,30.18,30.06,0.0
3/6/2024,50.9,41.0,31.3,50.5,40.6,30.9,99.0,99.0,99.0,9.6,1.6,0.0,30.15,29.94,0.0
3/7/2024,44.8,39.4,33.3,44.4,39.0,32.9,99.0,99.0,99.0,15.4,3.4,0.0,29.95,29.63,0.57
3/8/2024,42.4,35.4,32.0,42.1,35.0,31.6,99.0,99.0,99.0,13.9,2.5,0.0,29.69,29.48,0.0
3/9/2024,38.8,35.4,31.8,38.5,35.0,31.5,99.0,99.0,99.0,13.9,2.5,0.0,29.49,29.32,0.07
3/10/2024,43.7,37.7,32.2,43.3,37.4,31.8,99.0,99.0,99.0,23.7,4.9,0.0,29.79,29.4,0.13
3/11/2024,48.7,41.5,36.3,48.4,41.1,36.0,99.0,99.0,99.0,18.3,3.9,0.0,30.14,29.79,0.0
3/12/2024,57.6,45.5,35.4,57.2,45.1,35.1,99.0,99.0,99.0,12.3,1.9,0.0,30.16,30.09,0.0
3/13/2024,60.8,48.9,39.9,60.4,48.5,39.6,99.0,99.0,99.0,8.1,1.7,0.0,30.11,29.98,0.0
3/14/2024,56.8,48.3,42.8,56.5,47.9,42.4,99.0,99.0,99.0,10.7,1.7,0.0,30.11,29.99,0.0
3/15/2024,56.8,49.6,41.9,56.5,49.3,41.5,99.0,99.0,99.0,9.2,1.8,0.0,30.21,30.08,0.0
3/16/2024,60.4,50.8,41.7,60.1,50.4,41.4,99.0,99.0,99.0,9.2,1.4,0.0,30.26,30.18,0.0
3/17/2024,63.3,53.1,43.7,63.0,52.7,43.3,99.0,99.0,99.0,6.0,1.1,0.0,30.23,30.11,0.0
3/18/2024,66.4,55.6,46.2,66.0,55.2,45.9,99.0,99.0,99.0,8.9,1.3,0.0,30.14,30.04,0.0
3/19/2024,68.0,57.2,47.1,67.6,56.8,46.8,99.0,99.0,99.0,7.6,1.3,0.0,30.06,29.97,0.0
3/20/2024,64.6,57.8,50.7,64.2,57.4,50.4,99.0,99.0,99.0,11.2,3.3,0.0,30.03,29.92,0.0
3/21/2024,68.2,59.0,50.9,67.8,58.7,50.5,99.0,99.0,99.0,15.4,4.2,0.0,30.19,30.01,0.0
3/22/2024,71.2,60.8,51.3,70.9,60.5,50.9,99.0,99.0,99.0,11.6,1.8,0.0,30.18,30.06,0.0
3/23/2024,69.3,59.2,51.4,68.9,58.9,51.1,99.0,99.0,99.0,9.2,1.4,0.0,30.13,30.02,0.0
3/24/2024,64.2,56.1,47.5,63.9,55.7,47.1,99.0,99.0,99.0,9.4,1.8,0.0,30.06,29.74,0.0
