Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,49.3,37.6,29.1,39.0,33.9,28.4,99.0,88.0,61.0,2.2,0.0,0.0,30.0,29.87,0.0
1/2/2024,42.1,38.1,33.6,41.5,37.2,33.3,99.0,97.0,87.0,1.3,0.0,0.0,30.01,29.91,0.0
1/3/2024,52.0,46.0,41.2,51.1,45.6,40.8,99.0,99.0,95.0,2.2,0.0,0.0,29.95,29.86,0.07
1/4/2024,48.9,43.7,39.0,47.5,43.2,38.7,99.0,98.0,91.0,1.6,0.0,0.0,29.94,29.64,0.08
1/5/2024,43.9,40.1,37.8,41.2,34.8,29.8,99.0,82.0,62.0,16.3,2.8,0.0,29.7,29.55,0.05
1/6/2024,43.9,39.2,36.0,33.8,31.0,28.8,83.0,73.0,59.0,16.1,3.1,0.0,29.94,29.68,0.0
1/7/2024,47.7,36.6,26.4,34.5,28.2,24.6,95.0,73.0,50.0,6.3,0.5,0.0,30.0,29.92,0.0
1/8/2024,45.9,33.7,24.1,32.5,27.7,22.5,97.0,80.0,49.0,3.1,0.0,0.0,29.96,29.86,0.0
1/9/2024,42.6,37.3,32.9,37.0,34.2,30.6,95.0,89.0,79.0,2.5,0.0,0.0,29.92,29.85,0.0
1/10/2024,43.3,38.4,31.8,42.4,37.7,31.3,99.0,98.0,92.0,0.9,0.0,0.0,29.9,29.83,0.26
1/11/2024,46.0,36.0,27.9,38.5,31.5,25.9,99.0,85.0,58.0,3.8,0.1,0.0,30.03,29.86,0.0
1/12/2024,42.1,29.6,20.8,32.5,26.3,20.1,99.0,88.0,57.0,2.0,0.0,0.0,30.09,30.01,0.0
1/13/2024,47.3,36.7,25.9,40.6,34.0,25.5,99.0,91.0,70.0,1.3,0.0,0.0,30.09,29.97,0.0
1/14/2024,46.4,40.8,34.9,45.9,40.3,34.5,99.0,98.0,95.0,2.9,0.0,0.0,29.98,29.85,0.07
1/15/2024,54.0,45.9,39.7,53.6,45.5,39.4,99.0,99.0,99.0,2.0,0.0,0.0,29.86,29.74,0.2
1/16/2024,52.7,49.9,46.8,52.3,49.3,46.2,99.0,98.0,92.0,4.3,0.1,0.0,29.79,29.64,0.19
1/17/2024,50.2,47.5,43.9,49.6,46.8,43.2,99.0,98.0,90.0,6.0,0.3,0.0,29.65,29.41,1.26
1/18/2024,57.0,46.8,39.7,52.2,44.5,39.4,99.0,92.0,61.0,6.9,0.2,0.0,29.69,29.56,0.01
1/19/2024,46.0,41.4,36.7,45.7,41.0,36.3,99.0,99.0,99.0,4.0,0.0,0.0,29.74,29.5,1.12
1/20/2024,47.8,35.6,28.2,43.9,33.5,27.9,99.0,93.0,60.0,1.6,0.0,0.0,30.19,29.73,0.0
1/21/2024,50.5,39.6,29.5,43.5,36.8,29.1,99.0,91.0,65.0,2.2,0.0,0.0,30.33,30.18,0.0
1/22/2024,47.5,37.2,29.8,44.8,36.5,29.5,99.0,98.0,89.0,2.2,0.0,0.0,30.4,30.3,0.0
1/23/2024,57.9,44.5,33.4,52.3,42.8,33.1,99.0,95.0,76.0,2.0,0.0,0.0,30.46,30.38,0.0
1/24/2024,64.0,48.0,37.8,55.8,45.1,37.4,99.0,91.0,61.0,1.3,0.0,0.0,30.47,30.39,0.0
1/25/2024,65.1,48.7,38.7,53.2,44.8,38.3,99.0,89.0,46.0,1.6,0.0,0.0,30.41,30.27,0.01
1/26/2024,68.4,50.0,38.5,51.4,42.0,36.9,99.0,78.0,34.0,1.3,0.0,0.0,30.32,30.23,0.0
1/27/2024,65.7,49.2,38.3,50.0,40.9,34.9,93.0,75.0,42.0,1.1,0.0,0.0,30.25,30.15,0.0
1/28/2024,61.2,46.1,36.5,48.2,41.8,36.1,99.0,87.0,55.0,1.8,0.0,0.0,30.19,30.12,0.0
1/29/2024,58.3,46.3,38.7,48.0,42.3,38.1,99.0,87.0,61.0,1.8,0.0,0.0,30.23,30.14,0.0
1/30/2024,54.9,42.8,34.9,49.6,41.4,34.5,99.0,95.0,77.0,1.8,0.0,0.0,30.3,30.21,0.0
1/31/2024,52.0,41.9,35.1,48.2,40.8,34.7,99.0,96.0,84.0,1.8,0.0,0.0,30.35,30.27,0.0
2/1/2024,62.8,44.8,32.7,48.2,38.8,32.4,99.0,82.0,47.0,1.8,0.0,0.0,30.37,30.28,0.01
2/2/2024,60.3,45.0,34.3,46.2,38.4,31.5,98.0,79.0,46.0,2.2,0.1,0.0,30.29,30.21,0.0
2/3/2024,60.4,42.8,32.7,47.1,37.5,32.4,99.0,84.0,44.0,1.8,0.0,0.0,30.29,30.23,0.0
