Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,51.0,41.2,33.0,41.3,35.7,29.8,96.0,81.0,62.0,8.9,2.0,0.0,30.04,29.9,0.0
1/2/2024,46.2,40.5,35.2,45.4,39.0,34.2,97.0,94.0,86.0,4.9,1.0,0.0,30.05,29.95,0.0
1/3/2024,52.3,49.3,43.8,51.8,48.5,42.5,98.0,97.0,91.0,8.3,1.8,0.0,29.97,29.89,0.08
1/4/2024,49.2,45.0,40.5,48.1,44.1,39.7,98.0,97.0,94.0,6.7,1.1,0.0,29.96,29.68,0.14
1/5/2024,48.3,43.5,38.9,44.9,35.7,29.5,98.0,75.0,49.0,20.1,5.8,0.0,29.78,29.6,0.0
1/6/2024,48.3,42.6,37.1,34.7,31.6,29.7,77.0,65.0,50.0,19.9,5.5,0.0,30.0,29.77,0.0
1/7/2024,49.9,41.7,34.8,31.3,28.9,26.1,80.0,61.0,41.0,17.0,4.7,0.0,30.04,29.96,0.0
1/8/2024,46.4,38.0,29.2,35.0,29.7,25.0,86.0,73.0,53.0,6.5,1.5,0.0,30.01,29.9,0.0
1/9/2024,45.5,40.4,37.0,39.2,36.7,33.1,94.0,87.0,77.0,5.6,1.0,0.0,29.95,29.88,0.0
1/10/2024,47.6,41.6,37.7,42.7,39.2,36.4,96.0,91.0,73.0,10.7,1.8,0.0,29.95,29.87,0.02
1/11/2024,52.0,40.2,32.1,38.4,32.9,27.5,93.0,76.0,45.0,10.3,2.4,0.0,30.05,29.88,0.0
1/12/2024,46.7,36.4,29.4,30.6,27.8,24.6,83.0,72.0,51.0,9.4,2.4,0.0,30.13,30.04,0.0
1/13/2024,48.8,41.9,35.7,40.7,36.1,30.0,89.0,80.0,70.0,5.6,1.1,0.0,30.14,30.01,0.0
1/14/2024,46.4,43.9,41.1,44.6,41.7,38.4,96.0,92.0,81.0,7.4,1.3,0.0,30.03,29.89,0.08
1/15/2024,55.5,50.1,45.1,54.3,49.3,44.0,98.0,97.0,95.0,7.6,1.6,0.0,29.89,29.78,0.2
1/16/2024,57.8,53.8,50.3,54.6,51.4,47.0,98.0,92.0,76.0,12.8,3.4,0.0,29.83,29.65,0.05
1/17/2024,52.5,50.7,47.9,50.0,48.1,44.1,97.0,91.0,82.0,23.7,7.0,0.0,29.66,29.44,0.84
