Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/7/2024,51.4,39.1,28.9,31.1,28.4,25.7,90.0,68.0,39.0,7.6,0.8,0.0,29.98,29.91,0.0
1/8/2024,53.6,37.8,26.6,35.9,30.1,24.4,92.0,76.0,39.0,6.9,0.6,0.0,29.98,29.84,0.0
1/9/2024,49.4,42.5,39.0,40.2,37.9,35.2,90.0,84.0,66.0,4.9,0.4,0.0,29.89,29.82,0.0
1/10/2024,48.3,42.7,37.5,43.5,40.0,35.9,95.0,90.0,77.0,4.9,0.3,0.0,29.89,29.81,0.12
1/11/2024,49.6,39.9,31.4,41.0,31.9,25.5,96.0,76.0,40.0,10.5,0.9,0.0,30.0,29.84,0.03
1/12/2024,47.6,35.0,25.3,32.7,28.3,23.7,93.0,78.0,45.0,6.0,0.4,0.0,30.08,29.99,0.0
1/13/2024,48.2,39.5,33.0,42.4,35.7,30.9,94.0,86.0,70.0,2.6,0.1,0.0,30.09,29.96,0.0
1/14/2024,47.4,42.9,37.2,46.2,41.2,35.6,97.0,94.0,89.0,5.3,0.4,0.0,29.98,29.82,0.01
1/15/2024,59.0,50.2,43.8,55.0,48.8,42.9,97.0,95.0,84.0,5.5,0.4,0.0,29.83,29.7,0.39
1/16/2024,62.7,56.4,51.9,55.4,51.6,45.5,97.0,85.0,60.0,8.9,1.4,0.0,29.75,29.55,0.0
1/17/2024,56.6,53.4,49.2,52.1,49.0,44.0,95.0,85.0,73.0,12.3,2.3,0.0,29.56,29.35,0.64
1/18/2024,61.3,53.9,49.2,51.0,48.6,46.9,95.0,83.0,62.0,10.7,1.7,0.0,29.63,29.54,0.01
1/19/2024,49.8,45.8,37.0,48.5,43.1,27.8,97.0,90.0,68.0,15.8,1.9,0.0,29.76,29.45,1.48
1/20/2024,55.4,41.9,32.5,39.2,33.2,28.0,95.0,74.0,40.0,8.0,0.9,0.0,30.21,29.76,0.0
1/21/2024,56.3,40.9,29.8,43.7,36.1,29.1,96.0,85.0,53.0,4.9,0.5,0.0,30.35,30.2,0.0
1/22/2024,54.6,41.4,31.4,46.5,38.3,30.9,97.0,89.0,66.0,5.8,0.5,0.0,30.4,30.32,0.0
1/23/2024,64.7,48.2,36.6,51.0,43.7,35.6,97.0,86.0,58.0,4.2,0.4,0.0,30.45,30.36,0.0
1/24/2024,71.0,48.4,34.8,52.5,42.6,33.9,97.0,84.0,41.0,3.5,0.2,0.0,30.46,30.33,0.0
1/25/2024,70.5,47.0,32.0,51.9,40.8,30.9,96.0,82.0,34.0,3.5,0.2,0.0,30.38,30.22,0.0
1/26/2024,73.5,47.7,33.6,54.3,41.2,32.5,96.0,82.0,37.0,2.4,0.1,0.0,30.28,30.17,0.0
1/27/2024,70.8,47.5,34.5,49.6,40.3,33.4,96.0,80.0,37.0,4.6,0.2,0.0,30.21,30.09,0.0
1/28/2024,66.2,46.1,31.6,48.7,39.6,30.7,96.0,81.0,44.0,6.4,0.4,0.0,30.16,30.07,0.0
1/29/2024,64.2,47.3,36.3,47.1,41.5,35.2,96.0,83.0,43.0,6.0,0.4,0.0,30.22,30.1,0.0
1/30/2024,60.9,44.6,36.1,47.1,40.0,35.2,97.0,86.0,55.0,6.4,0.4,0.0,30.28,30.18,0.0
1/31/2024,59.1,43.3,34.8,48.2,39.3,33.9,97.0,87.0,60.0,3.8,0.4,0.0,30.35,30.26,0.0
2/1/2024,68.9,45.9,31.1,49.2,37.9,30.2,96.0,78.0,34.0,5.1,0.4,0.0,30.37,30.23,0.0
2/2/2024,64.7,46.2,32.9,45.1,37.3,31.4,95.0,76.0,36.0,6.7,0.4,0.0,30.28,30.16,0.0
2/3/2024,65.3,44.5,30.5,43.8,35.9,29.4,95.0,76.0,35.0,5.8,0.4,0.0,30.26,30.18,0.0
2/4/2024,68.9,43.8,29.3,41.5,33.7,27.8,95.0,73.0,24.0,4.2,0.3,0.0,30.26,30.16,0.0
2/5/2024,65.6,42.7,28.2,45.6,34.9,26.9,95.0,77.0,36.0,4.4,0.2,0.0,30.23,30.1,0.0
2/6/2024,67.1,46.4,36.6,49.2,40.0,35.2,95.0,81.0,42.0,5.3,0.3,0.0,30.12,30.0,0.0
2/7/2024,55.0,43.2,31.6,49.1,40.1,30.5,96.0,89.0,76.0,7.6,0.5,0.0,30.07,29.9,0.0
2/8/2024,55.7,49.2,42.8,48.2,44.3,36.5,95.0,84.0,49.0,13.6,2.0,0.0,29.9,29.4,0.14
2/9/2024,54.1,50.0,47.4,51.9,47.9,44.4,97.0,93.0,84.0,10.2,1.7,0.0,29.4,28.98,0.75
2/10/2024,54.5,47.7,42.8,45.5,36.0,27.5,94.0,65.0,47.0,15.2,3.3,0.0,29.56,29.05,0.03
2/11/2024,51.6,42.0,36.3,41.7,35.4,26.2,94.0,78.0,54.0,6.9,0.8,0.0,29.69,29.56,0.0
2/12/2024,64.2,47.7,37.4,50.3,42.9,36.3,97.0,85.0,52.0,6.9,0.6,0.0,29.92,29.6,0.01
2/13/2024,66.5,53.0,44.4,55.2,48.3,43.1,96.0,85.0,60.0,7.6,0.5,0.0,30.07,29.89,0.0
2/14/2024,66.3,53.6,45.1,55.2,50.3,43.8,97.0,89.0,65.0,4.2,0.2,0.0,30.07,29.91,0.0
2/15/2024,61.1,51.4,44.9,55.2,49.0,44.0,97.0,92.0,68.0,6.4,0.8,0.0,29.91,29.74,0.06
2/16/2024,60.6,52.0,45.3,47.3,41.5,37.4,94.0,69.0,45.0,12.3,2.4,0.0,30.14,29.85,0.01
2/17/2024,64.9,50.6,37.9,42.9,35.6,25.1,94.0,62.0,23.0,12.5,1.6,0.0,30.3,30.12,0.0
2/18/2024,69.6,47.0,31.6,47.3,36.4,28.0,93.0,72.0,26.0,7.6,0.5,0.0,30.35,30.24,0.0
2/19/2024,69.8,51.8,36.1,48.0,39.7,34.5,95.0,69.0,28.0,10.5,0.9,0.0,30.31,30.16,0.0
2/20/2024,72.3,49.7,32.3,48.3,38.2,30.7,95.0,69.0,29.0,10.5,0.6,0.0,30.25,30.1,0.0
2/21/2024,63.1,46.4,31.1,50.3,38.5,29.1,93.0,76.0,41.0,4.9,0.4,0.0,30.16,29.97,0.0
2/22/2024,57.5,49.8,38.8,52.1,44.7,31.6,96.0,83.0,51.0,14.5,2.4,0.0,29.98,29.59,0.07
2/23/2024,52.5,44.4,33.9,40.6,34.4,27.3,89.0,69.0,50.0,9.8,1.5,0.0,29.72,29.62,0.0
2/24/2024,54.8,45.6,37.2,37.7,31.3,25.8,85.0,60.0,36.0,14.9,2.9,0.0,29.81,29.6,0.0
2/25/2024,57.7,51.4,43.3,50.5,45.8,37.2,89.0,81.0,71.0,11.8,2.9,0.0,29.81,29.5,0.0
2/26/2024,53.4,49.1,43.1,49.2,35.5,27.6,88.0,60.0,39.0,17.0,3.8,0.0,29.75,29.46,0.01
2/27/2024,52.7,45.5,40.1,33.9,27.8,24.6,63.0,51.0,38.0,17.0,4.6,0.0,29.99,29.75,0.0
2/28/2024,55.7,48.1,40.8,36.8,31.3,24.6,61.0,52.0,44.0,19.9,4.6,0.0,30.02,29.95,0.0
