Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,52.3,42.5,36.9,43.5,39.6,36.3,99.0,90.0,65.0,7.8,1.4,0.0,30.33,30.19,0.0
1/2/2024,47.3,42.9,36.0,44.6,40.2,34.0,94.0,90.0,82.0,5.8,0.6,0.0,30.34,30.23,0.0
1/3/2024,54.9,50.5,45.1,53.4,49.3,43.2,99.0,96.0,90.0,13.2,2.5,0.0,30.26,30.17,0.08
1/4/2024,52.7,50.2,47.1,51.1,49.5,45.7,99.0,97.0,92.0,8.1,1.6,0.0,30.24,29.95,0.23
1/5/2024,51.1,45.9,41.0,47.8,38.2,32.2,96.0,76.0,52.0,12.8,3.7,0.0,30.07,29.87,0.05
1/6/2024,51.6,43.9,39.4,35.6,33.4,31.5,78.0,67.0,52.0,8.9,2.9,0.0,30.27,30.06,0.0
1/7/2024,55.6,42.6,35.2,35.6,32.2,29.7,86.0,68.0,40.0,6.0,0.7,0.0,30.33,30.24,0.0
1/8/2024,50.0,38.4,29.5,36.3,30.7,26.2,90.0,75.0,51.0,5.4,0.6,0.0,30.3,30.19,0.0
1/9/2024,47.8,42.6,38.5,39.4,36.9,33.4,85.0,80.0,72.0,3.8,0.7,0.0,30.24,30.16,0.0
1/10/2024,45.7,42.9,39.2,42.6,40.2,37.6,96.0,91.0,83.0,13.4,3.3,0.0,30.25,30.15,0.04
1/11/2024,50.5,41.1,34.7,41.5,34.5,27.9,97.0,79.0,54.0,6.0,1.0,0.0,30.34,30.16,0.0
1/12/2024,48.9,38.5,29.7,36.5,31.1,25.7,85.0,75.0,58.0,5.8,1.0,0.0,30.43,30.33,0.0
1/13/2024,48.9,41.6,35.2,41.0,35.9,30.6,87.0,80.0,71.0,3.1,0.6,0.0,30.43,30.29,0.0
1/14/2024,50.2,45.6,41.2,46.0,42.1,38.1,94.0,88.0,80.0,5.6,0.8,0.0,30.31,30.17,0.01
1/15/2024,57.2,51.7,47.1,55.0,50.9,45.1,99.0,97.0,90.0,11.2,3.5,0.0,30.18,30.06,0.25
1/16/2024,59.9,55.7,52.2,55.2,52.0,46.0,96.0,88.0,68.0,13.2,3.2,0.0,30.1,29.94,0.0
1/17/2024,56.5,52.9,50.0,51.3,48.9,45.1,97.0,86.0,77.0,22.6,6.6,0.0,29.94,29.73,0.52
1/18/2024,57.9,52.3,49.8,51.4,49.1,46.6,96.0,89.0,76.0,17.4,5.8,0.0,30.0,29.89,0.02
1/19/2024,51.6,45.3,38.1,50.7,43.6,34.3,99.0,94.0,84.0,8.3,1.8,0.0,30.06,29.79,1.05
1/20/2024,53.2,43.4,36.1,44.1,37.8,32.5,94.0,81.0,61.0,8.1,1.2,0.0,30.52,30.05,0.0
1/21/2024,55.9,45.9,38.1,44.4,40.8,36.3,96.0,83.0,60.0,4.5,0.7,0.0,30.67,30.52,0.0
1/22/2024,57.0,43.5,34.3,48.0,40.1,33.4,96.0,88.0,69.0,5.6,0.4,0.0,30.73,30.64,0.0
1/23/2024,64.4,48.1,37.2,52.5,43.8,36.5,97.0,86.0,62.0,2.9,0.3,0.0,30.79,30.7,0.0
1/24/2024,70.7,51.8,40.6,54.3,46.5,39.9,98.0,84.0,53.0,2.9,0.2,0.0,30.79,30.69,0.0
1/25/2024,70.0,52.3,41.0,51.8,45.6,39.2,96.0,80.0,48.0,3.4,0.3,0.0,30.72,30.57,0.0
1/26/2024,71.2,53.0,42.1,50.0,45.1,40.1,96.0,77.0,44.0,4.0,0.3,0.0,30.64,30.52,0.0
1/27/2024,69.8,53.4,42.6,49.1,45.0,39.7,92.0,75.0,45.0,3.8,0.4,0.0,30.55,30.44,0.0
1/28/2024,68.9,52.4,41.2,48.9,44.3,38.7,91.0,76.0,47.0,3.8,0.4,0.0,30.5,30.42,0.0
1/29/2024,61.0,51.3,43.5,47.3,44.2,40.5,89.0,78.0,55.0,4.5,0.5,0.0,30.55,30.46,0.0
1/30/2024,61.2,49.2,40.6,48.7,43.5,38.8,95.0,82.0,61.0,4.0,0.4,0.0,30.61,30.53,0.0
1/31/2024,55.9,44.9,38.7,46.2,40.8,36.5,93.0,86.0,68.0,4.7,0.6,0.0,30.68,30.6,0.0
2/1/2024,69.6,49.8,37.2,45.1,40.3,35.4,96.0,74.0,39.0,4.9,0.5,0.0,30.7,30.58,0.0
2/2/2024,64.4,50.2,39.7,46.4,41.0,36.9,90.0,72.0,48.0,6.9,0.7,0.0,30.6,30.51,0.0
2/3/2024,66.6,50.0,39.7,44.4,39.9,36.7,89.0,71.0,42.0,5.1,0.9,0.0,30.61,30.53,0.0
2/4/2024,70.2,49.8,37.4,42.6,37.6,32.9,85.0,66.0,30.0,3.8,0.5,0.0,30.6,30.51,0.0
2/5/2024,63.3,48.4,37.9,44.1,39.3,34.0,87.0,72.0,45.0,3.8,0.4,0.0,30.55,30.43,0.0
2/6/2024,60.1,48.9,41.2,48.2,42.6,37.9,90.0,80.0,60.0,7.4,1.3,0.0,30.46,30.36,0.0
2/7/2024,54.0,48.4,43.3,49.1,45.4,41.2,97.0,90.0,70.0,12.3,3.2,0.0,30.4,30.25,0.0
2/8/2024,56.7,49.3,44.6,47.1,44.4,38.8,97.0,84.0,55.0,14.3,2.6,0.0,30.26,29.77,0.03
2/9/2024,55.0,50.1,47.3,51.3,47.7,43.5,98.0,91.0,82.0,16.3,3.6,0.0,29.77,29.35,0.47
2/10/2024,50.9,45.7,39.9,44.6,39.0,31.8,94.0,78.0,61.0,14.1,4.3,0.0,29.92,29.41,0.07
2/11/2024,47.1,41.2,35.4,41.9,37.2,30.7,96.0,86.0,63.0,12.1,3.5,0.0,30.05,29.9,0.01
2/12/2024,60.6,49.2,42.1,52.2,46.2,40.6,98.0,90.0,72.0,15.9,4.0,0.0,30.27,29.93,0.0
2/13/2024,63.3,54.4,48.0,55.9,50.7,46.2,95.0,88.0,71.0,11.4,1.8,0.0,30.41,30.23,0.0
2/14/2024,72.3,56.8,49.3,58.3,52.4,47.8,99.0,86.0,60.0,5.4,0.7,0.0,30.42,30.26,0.0
2/15/2024,56.8,52.9,49.1,53.2,50.0,47.1,95.0,90.0,79.0,8.5,1.5,0.0,30.27,30.11,0.17
2/16/2024,64.6,53.8,46.6,48.9,44.1,39.4,93.0,71.0,47.0,7.6,1.7,0.0,30.46,30.18,0.0
2/17/2024,68.7,51.1,38.1,44.8,39.8,35.4,91.0,68.0,33.0,8.1,0.7,0.0,30.62,30.45,0.0
2/18/2024,66.4,51.4,39.2,44.1,39.4,34.5,85.0,66.0,38.0,6.0,0.8,0.0,30.69,30.6,0.0
2/19/2024,71.4,54.6,41.2,50.9,44.0,37.8,89.0,69.0,45.0,4.7,0.5,0.0,30.65,30.51,0.0
2/20/2024,70.3,53.2,39.9,45.7,38.5,28.6,82.0,60.0,22.0,5.8,0.7,0.0,30.58,30.45,0.0
2/21/2024,62.2,51.2,39.9,48.2,42.1,35.8,87.0,72.0,55.0,8.5,1.6,0.0,30.49,30.3,0.0
2/22/2024,55.6,51.2,45.5,51.1,46.6,37.9,95.0,84.0,71.0,18.8,5.9,0.0,30.32,29.94,0.16
2/23/2024,52.7,44.5,36.0,40.6,36.3,31.1,90.0,73.0,55.0,18.3,4.7,0.0,30.07,29.95,0.01
2/24/2024,54.9,44.5,37.2,38.3,34.8,30.0,92.0,71.0,42.0,11.6,4.2,0.0,30.16,29.95,0.0
2/25/2024,57.0,49.6,43.0,50.0,45.9,38.3,98.0,87.0,72.0,23.5,8.5,1.3,30.16,29.85,0.0
2/26/2024,55.8,48.9,43.9,49.5,38.2,31.1,92.0,68.0,40.0,14.8,4.7,0.0,30.02,29.8,0.0
2/27/2024,58.8,46.1,38.5,34.3,30.1,26.2,72.0,55.0,37.0,8.7,2.5,0.0,30.29,30.02,0.0
2/28/2024,62.8,47.5,34.5,37.4,32.1,24.8,74.0,56.0,36.0,9.4,1.3,0.0,30.32,30.25,0.0
2/29/2024,63.7,47.7,36.1,44.8,35.4,29.3,88.0,65.0,41.0,12.1,2.8,0.0,30.3,30.1,0.0
3/1/2024,57.2,46.8,38.1,39.9,33.1,26.8,84.0,60.0,44.0,14.1,4.1,0.0,30.26,30.07,0.0
3/2/2024,48.9,43.4,34.7,44.1,39.4,32.4,96.0,86.0,74.0,24.6,6.5,0.0,30.07,29.63,0.41
3/3/2024,52.2,43.2,34.3,38.7,33.2,29.1,85.0,69.0,46.0,13.9,3.9,0.0,30.14,29.82,0.0
3/4/2024,56.3,48.4,41.9,47.8,43.6,38.1,95.0,84.0,70.0,17.2,5.1,0.0,30.26,30.13,0.0
3/5/2024,61.7,49.1,38.3,38.3,35.7,32.5,83.0,62.0,37.0,8.3,1.6,0.0,30.37,30.25,0.0
3/6/2024,62.8,48.3,36.0,42.3,36.6,31.8,86.0,66.0,42.0,6.9,0.7,0.0,30.33,30.1,0.0
3/7/2024,56.1,46.9,41.2,45.5,39.6,34.2,93.0,77.0,57.0,12.8,1.8,0.0,30.11,29.82,0.23
3/8/2024,52.7,44.8,40.3,42.8,38.9,37.0,93.0,81.0,60.0,22.1,5.2,0.0,29.88,29.64,0.38
3/9/2024,47.7,42.7,38.7,45.1,39.1,35.4,95.0,87.0,73.0,17.4,5.6,0.0,29.65,29.51,0.7
3/10/2024,55.8,46.3,40.3,44.8,41.6,37.0,96.0,84.0,61.0,16.3,5.3,0.0,30.0,29.59,0.39
3/11/2024,61.7,50.5,43.5,40.3,37.4,35.1,81.0,62.0,40.0,10.3,3.0,0.0,30.31,29.99,0.0
3/12/2024,65.1,50.6,37.4,44.8,39.7,34.0,91.0,69.0,42.0,6.5,0.7,0.0,30.36,30.25,0.0
3/13/2024,70.5,54.5,41.0,46.6,42.1,37.4,87.0,65.0,38.0,5.6,0.7,0.0,30.25,30.1,0.0
3/14/2024,62.8,52.8,43.5,50.5,45.6,39.9,90.0,77.0,61.0,11.9,2.5,0.0,30.27,30.14,0.0
3/15/2024,68.2,54.8,43.0,53.8,47.8,40.8,95.0,79.0,57.0,8.9,1.8,0.0,30.38,30.25,0.0
3/16/2024,68.5,54.9,43.7,56.1,49.8,42.8,99.0,84.0,58.0,6.7,0.8,0.0,30.46,30.35,0.0
3/17/2024,73.8,60.2,48.0,55.4,50.9,46.2,95.0,74.0,47.0,4.7,0.4,0.0,30.39,30.25,0.0
3/18/2024,72.3,60.4,49.1,56.5,51.7,46.9,93.0,75.0,49.0,5.8,0.7,0.0,30.28,30.17,0.0
3/19/2024,77.5,64.0,52.2,54.7,50.7,46.0,90.0,65.0,35.0,6.5,0.7,0.0,30.19,30.07,0.0
3/20/2024,79.0,63.5,52.3,52.9,49.1,46.6,81.0,61.0,37.0,7.2,1.0,0.0,30.15,30.05,0.0
3/21/2024,78.6,64.3,54.7,53.4,49.8,47.7,82.0,61.0,36.0,7.6,1.4,0.0,30.31,30.14,0.01
3/22/2024,82.2,65.7,53.6,53.6,50.2,47.3,83.0,60.0,33.0,6.5,1.2,0.0,30.32,30.15,0.0
3/23/2024,79.3,64.9,53.1,57.2,49.8,44.1,80.0,60.0,33.0,11.2,1.2,0.0,30.25,30.11,0.0
3/24/2024,75.7,61.3,51.3,50.7,47.8,44.2,81.0,63.0,37.0,5.6,1.4,0.0,30.17,29.88,0.0
3/25/2024,59.5,54.2,49.3,54.7,49.9,42.6,95.0,86.0,71.0,14.8,2.9,0.0,29.89,29.47,0.06
3/26/2024,50.7,43.4,37.8,42.6,36.6,31.8,94.0,78.0,54.0,16.3,5.6,0.2,29.57,29.49,0.24
3/27/2024,56.1,48.1,40.6,49.8,44.8,38.8,96.0,89.0,70.0,23.0,8.3,1.3,29.68,29.53,0.24
3/28/2024,61.5,52.2,45.0,52.3,46.8,41.2,96.0,83.0,62.0,19.9,6.6,0.0,29.78,29.61,0.53
3/29/2024,52.2,45.6,40.6,50.7,43.4,38.3,97.0,92.0,79.0,12.8,2.9,0.0,29.67,29.56,0.35
3/30/2024,53.6,45.7,40.6,45.3,41.8,38.5,96.0,87.0,62.0,14.3,2.6,0.0,29.66,29.46,0.39
3/31/2024,50.9,43.8,41.0,43.9,40.8,37.6,97.0,89.0,74.0,17.4,3.9,0.0,29.82,29.49,0.45
4/1/2024,56.7,46.0,38.1,44.6,40.0,36.0,94.0,81.0,53.0,21.5,5.0,0.0,30.21,29.82,0.03
4/2/2024,60.3,50.4,41.0,47.1,42.6,38.1,91.0,76.0,54.0,9.2,1.8,0.0,30.26,30.14,0.0
4/3/2024,66.0,55.3,47.1,50.5,46.2,42.8,89.0,73.0,49.0,12.3,2.7,0.0,30.29,30.19,0.0
4/4/2024,72.0,58.5,45.1,53.2,48.3,43.0,93.0,71.0,46.0,6.7,0.9,0.0,30.29,30.15,0.0
