Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,48.9,39.6,34.2,38.1,31.6,19.9,97.0,75.0,33.0,8.5,0.9,0.0,30.04,29.92,0.0
1/2/2024,41.0,35.3,32.0,40.6,34.7,30.7,99.0,98.0,93.0,4.9,0.4,0.0,30.04,29.94,0.06
1/3/2024,52.0,45.4,40.6,49.6,44.0,38.3,99.0,95.0,82.0,9.6,0.7,0.0,29.99,29.91,0.24
1/4/2024,45.7,40.6,34.2,43.2,39.2,33.6,99.0,95.0,82.0,6.0,0.3,0.0,29.98,29.68,0.05
1/5/2024,41.5,36.5,34.2,38.5,33.5,31.3,98.0,89.0,76.0,14.3,2.7,0.0,29.79,29.61,0.29
1/6/2024,38.5,34.6,31.3,32.5,30.8,28.2,96.0,87.0,77.0,13.9,3.8,0.0,29.98,29.78,0.04
1/7/2024,37.0,33.9,30.4,30.9,29.1,27.1,92.0,82.0,70.0,12.1,1.6,0.0,30.03,29.96,0.0
1/8/2024,42.8,34.9,30.2,30.2,26.9,20.5,87.0,74.0,43.0,11.6,2.5,0.0,29.99,29.89,0.0
1/9/2024,38.5,34.8,32.4,35.1,32.3,27.9,98.0,91.0,82.0,5.1,0.4,0.0,29.94,29.88,0.0
1/10/2024,41.0,35.9,32.2,38.8,35.2,31.8,99.0,98.0,84.0,6.5,0.3,0.0,29.92,29.86,0.39
1/11/2024,37.0,33.3,26.2,34.3,28.3,22.5,99.0,82.0,64.0,11.4,3.0,0.0,30.04,29.89,0.08
1/12/2024,40.3,30.1,21.0,28.0,24.1,19.0,94.0,79.0,45.0,4.9,0.3,0.0,30.12,30.02,0.0
1/13/2024,47.7,36.8,27.1,37.4,32.0,25.0,93.0,84.0,58.0,4.0,0.3,0.0,30.13,30.02,0.0
1/14/2024,48.2,42.9,35.6,45.0,40.4,34.2,99.0,91.0,75.0,8.1,0.7,0.0,30.04,29.89,0.06
1/15/2024,55.0,47.6,42.3,52.5,47.0,41.9,99.0,98.0,88.0,7.4,0.5,0.0,29.9,29.79,0.67
1/16/2024,50.9,48.6,45.0,50.0,47.9,44.2,99.0,98.0,86.0,15.4,1.7,0.0,29.85,29.68,0.13
1/17/2024,49.1,45.8,39.6,46.4,43.7,36.7,99.0,93.0,68.0,14.8,3.5,0.0,29.7,29.47,0.65
1/18/2024,58.3,47.5,41.9,47.8,41.0,36.0,99.0,80.0,49.0,18.8,2.0,0.0,29.75,29.61,0.0
1/19/2024,43.7,38.8,33.4,42.1,37.5,31.3,99.0,95.0,83.0,13.2,1.1,0.0,29.79,29.56,0.77
1/20/2024,47.7,38.2,29.7,36.1,31.1,19.4,97.0,78.0,33.0,14.5,1.9,0.0,30.23,29.78,0.0
1/21/2024,50.7,37.9,27.3,40.1,33.4,27.0,99.0,86.0,45.0,5.8,0.5,0.0,30.36,30.22,0.0
1/22/2024,57.7,46.4,33.8,47.8,42.3,33.1,99.0,86.0,58.0,11.2,1.2,0.0,30.44,30.32,0.0
1/23/2024,64.8,52.4,43.9,51.1,45.9,42.4,96.0,80.0,47.0,8.1,1.1,0.0,30.5,30.41,0.0
1/24/2024,66.7,52.9,41.5,48.4,41.0,34.0,96.0,66.0,35.0,4.5,0.4,0.0,30.51,30.44,0.0
1/25/2024,71.2,54.6,42.3,47.7,38.7,32.2,75.0,56.0,30.0,3.8,0.4,0.0,30.46,30.33,0.0
1/26/2024,68.2,55.2,45.3,46.0,36.2,32.0,72.0,50.0,29.0,4.9,0.4,0.0,30.38,30.3,0.0
1/27/2024,66.4,53.2,43.7,43.9,35.8,29.7,71.0,53.0,27.0,3.8,0.2,0.0,30.32,30.22,0.0
1/28/2024,59.4,48.8,38.5,44.8,39.7,35.4,90.0,72.0,52.0,6.5,0.5,0.0,30.25,30.18,0.0
1/29/2024,57.0,47.3,40.1,44.8,40.5,37.0,91.0,78.0,58.0,4.3,0.3,0.0,30.27,30.19,0.0
1/30/2024,58.8,45.2,36.3,45.7,40.2,35.6,98.0,84.0,50.0,5.6,0.4,0.0,30.34,30.25,0.0
1/31/2024,59.4,44.9,34.2,46.8,36.8,27.7,98.0,76.0,41.0,10.3,0.9,0.0,30.39,30.31,0.01
2/1/2024,61.7,49.3,37.8,39.4,34.4,29.5,78.0,58.0,34.0,12.1,2.2,0.0,30.42,30.33,0.0
2/2/2024,58.3,49.4,40.6,43.3,33.8,22.6,87.0,56.0,36.0,7.6,1.1,0.0,30.35,30.26,0.0
2/3/2024,58.6,45.7,34.3,41.9,35.0,28.2,95.0,69.0,34.0,5.8,0.5,0.0,30.33,30.28,0.0
2/4/2024,62.6,47.7,35.2,37.6,29.1,1.6,76.0,51.0,9.0,6.7,0.7,0.0,30.33,30.26,0.0
2/5/2024,58.3,47.0,36.7,38.8,33.4,26.8,78.0,60.0,31.0,5.8,0.4,0.0,30.3,30.18,0.0
2/6/2024,57.7,47.5,39.2,42.1,35.9,29.5,79.0,65.0,47.0,8.5,0.8,0.0,30.19,30.09,0.0
2/7/2024,52.3,42.5,36.1,42.8,36.3,30.2,98.0,80.0,54.0,9.0,0.7,0.0,30.13,29.98,0.0
2/8/2024,44.1,40.9,37.6,42.6,39.8,37.2,99.0,96.0,82.0,15.4,3.2,0.0,29.98,29.5,0.22
2/9/2024,45.5,42.4,39.0,45.1,42.1,38.7,99.0,99.0,97.0,11.2,2.3,0.0,29.51,29.11,0.93
2/10/2024,42.1,37.5,33.6,39.2,34.2,28.8,99.0,88.0,78.0,14.1,3.2,0.0,29.59,29.15,0.61
2/11/2024,42.6,37.0,33.4,37.2,32.6,28.0,99.0,84.0,69.0,12.3,2.5,0.0,29.73,29.59,0.04
2/12/2024,55.9,46.3,35.8,44.6,40.3,35.4,99.0,81.0,56.0,15.9,2.7,0.0,30.01,29.64,0.3
2/13/2024,51.6,48.2,45.5,49.8,45.6,38.1,99.0,91.0,71.0,5.1,0.5,0.0,30.16,29.98,0.1
2/14/2024,58.1,48.6,42.1,52.9,47.1,41.7,99.0,95.0,80.0,3.4,0.3,0.0,30.17,30.04,0.01
2/15/2024,57.6,49.2,45.3,51.8,47.4,40.8,99.0,94.0,74.0,16.3,2.4,0.0,30.05,29.87,0.16
2/16/2024,51.4,45.2,41.0,43.3,39.7,35.6,96.0,82.0,58.0,14.1,2.6,0.0,30.2,29.92,0.01
2/17/2024,55.9,45.8,37.6,39.6,32.5,20.1,84.0,62.0,27.0,13.7,3.3,0.0,30.36,30.19,0.0
2/18/2024,61.0,48.8,36.3,41.7,33.0,20.8,78.0,56.0,31.0,11.6,2.6,0.0,30.4,30.34,0.0
2/19/2024,59.5,51.1,41.7,44.8,40.3,31.5,83.0,68.0,43.0,16.1,3.7,0.0,30.39,30.28,0.0
2/20/2024,65.7,51.0,38.8,35.1,26.8,9.7,75.0,42.0,13.0,12.3,1.6,0.0,30.32,30.22,0.0
2/21/2024,61.7,49.3,38.1,39.6,24.6,5.5,73.0,39.0,17.0,7.6,0.6,0.0,30.25,30.05,0.0
2/22/2024,57.4,45.7,36.3,49.1,39.8,31.3,99.0,81.0,47.0,18.1,2.0,0.0,30.06,29.67,0.22
2/23/2024,44.4,36.8,32.9,35.4,30.6,27.3,92.0,79.0,61.0,12.8,3.6,0.0,29.75,29.64,0.07
2/24/2024,44.4,37.0,32.4,34.0,30.6,27.9,89.0,78.0,60.0,12.8,2.5,0.0,29.86,29.63,0.07
2/25/2024,55.0,46.7,37.2,44.6,40.5,33.1,95.0,80.0,61.0,14.8,3.1,0.0,29.85,29.55,0.3
2/26/2024,45.0,38.7,33.3,37.6,34.0,28.8,93.0,84.0,61.0,19.0,4.3,0.0,29.73,29.51,0.27
2/27/2024,40.6,34.6,30.9,32.0,28.2,25.9,86.0,78.0,66.0,30.0,10.8,0.2,29.99,29.7,0.02
2/28/2024,46.8,38.7,32.7,38.3,32.5,26.6,87.0,79.0,68.0,27.7,7.7,0.0,30.07,29.91,0.0
2/29/2024,52.9,41.8,32.4,41.4,34.3,25.7,89.0,75.0,58.0,15.4,2.7,0.0,30.03,29.82,0.06
3/1/2024,48.7,38.5,28.4,37.0,30.1,22.8,83.0,72.0,56.0,17.5,2.5,0.0,29.95,29.76,0.03
3/2/2024,42.8,37.3,30.9,39.7,34.6,29.7,98.0,90.0,74.0,15.0,2.4,0.0,29.77,29.36,0.17
3/3/2024,42.1,34.2,28.2,34.7,30.5,25.3,97.0,87.0,69.0,8.5,2.6,0.0,29.84,29.51,0.15
3/4/2024,53.6,41.6,36.5,43.5,37.3,30.2,99.0,86.0,57.0,7.6,1.0,0.0,29.98,29.83,0.1
3/5/2024,51.1,40.9,33.3,35.4,31.9,29.5,86.0,71.0,45.0,9.8,1.5,0.0,30.08,29.97,0.0
3/6/2024,51.4,40.0,27.9,39.4,32.2,25.3,92.0,75.0,54.0,11.9,1.5,0.0,30.06,29.85,0.0
3/7/2024,47.1,39.6,34.5,40.3,35.3,30.6,99.0,85.0,70.0,19.2,4.3,0.0,29.86,29.54,0.37
3/8/2024,48.4,36.4,31.6,38.5,33.5,30.7,99.0,91.0,54.0,17.5,3.8,0.0,29.57,29.39,0.46
3/9/2024,46.6,36.9,32.0,38.1,33.8,26.6,99.0,90.0,48.0,16.8,3.0,0.0,29.39,29.21,0.17
3/10/2024,47.7,38.6,32.2,41.0,35.6,31.5,99.0,89.0,73.0,11.6,2.6,0.0,29.71,29.3,0.2
3/11/2024,47.5,40.6,36.0,37.0,34.1,31.3,92.0,78.0,57.0,11.6,2.4,0.0,30.04,29.7,0.0
3/12/2024,57.7,46.0,33.8,42.6,36.4,31.1,91.0,70.0,47.0,8.5,1.1,0.0,30.06,29.99,0.0
3/13/2024,59.4,47.7,36.7,43.7,36.9,32.9,89.0,68.0,46.0,10.1,1.4,0.0,30.01,29.88,0.0
3/14/2024,58.5,48.0,37.9,48.4,40.2,33.4,85.0,75.0,56.0,15.4,2.0,0.0,30.02,29.89,0.0
3/15/2024,57.9,49.8,39.9,49.5,43.7,36.1,91.0,80.0,65.0,9.6,0.8,0.0,30.13,29.99,0.01
3/16/2024,61.2,51.0,37.8,52.0,44.7,36.0,95.0,80.0,43.0,11.6,1.3,0.0,30.18,30.1,0.0
3/17/2024,62.8,52.8,40.8,53.8,47.8,40.5,99.0,84.0,59.0,7.6,0.8,0.0,30.14,30.03,0.0
3/18/2024,68.2,55.5,44.8,55.6,49.0,43.9,97.0,80.0,55.0,11.2,1.1,0.0,30.06,29.95,0.0
3/19/2024,67.6,56.3,43.9,54.0,46.8,39.7,95.0,72.0,52.0,14.1,1.4,0.0,29.98,29.87,0.0
3/20/2024,64.8,55.7,46.2,50.5,44.3,40.5,90.0,66.0,45.0,13.4,1.7,0.0,29.97,29.85,0.05
3/21/2024,70.5,59.3,48.2,50.4,44.4,40.5,82.0,59.0,34.0,15.0,1.7,0.0,30.11,29.95,0.0
3/22/2024,73.4,60.4,47.5,49.1,42.4,31.1,84.0,54.0,23.0,8.3,0.8,0.0,30.11,29.98,0.0
3/23/2024,70.3,58.8,48.2,52.5,43.9,36.3,79.0,58.0,41.0,7.6,0.7,0.0,30.04,29.94,0.0
3/24/2024,67.6,56.1,45.7,52.3,44.6,38.7,91.0,67.0,36.0,9.6,0.9,0.0,29.98,29.66,0.0
3/25/2024,51.3,47.0,40.3,48.9,42.8,35.8,99.0,86.0,64.0,7.6,0.9,0.0,29.67,29.26,0.25
