Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,50.9,40.6,34.9,39.9,34.1,27.3,94.0,78.0,47.0,6.0,0.9,0.0,29.92,29.79,0.0
1/2/2024,42.8,36.8,33.4,42.4,36.2,32.9,99.0,98.0,93.0,9.4,1.0,0.0,29.92,29.82,0.01
1/3/2024,50.7,46.4,42.4,49.5,45.3,40.8,99.0,97.0,80.0,8.9,1.4,0.0,29.87,29.79,0.04
1/4/2024,46.4,41.9,35.6,45.0,41.0,35.2,99.0,97.0,83.0,7.6,0.5,0.0,29.85,29.55,0.1
1/5/2024,43.0,37.8,35.8,41.2,34.6,32.2,99.0,89.0,73.0,19.7,5.5,0.0,29.65,29.47,0.2
1/6/2024,40.6,36.1,32.7,33.4,31.9,30.2,93.0,85.0,72.0,17.9,6.5,0.0,29.85,29.65,0.0
1/7/2024,41.4,35.4,31.6,32.5,30.2,28.4,89.0,82.0,70.0,15.2,4.4,0.0,29.91,29.84,0.0
1/8/2024,47.1,34.9,28.0,31.6,27.9,23.2,92.0,77.0,40.0,10.5,1.7,0.0,29.87,29.77,0.0
1/9/2024,38.7,36.8,33.8,36.0,34.7,30.9,97.0,92.0,86.0,4.9,0.4,0.0,29.82,29.76,0.0
1/10/2024,41.7,37.4,32.7,40.3,36.5,32.4,99.0,97.0,88.0,3.8,0.1,0.0,29.81,29.74,0.29
1/11/2024,41.7,34.5,28.8,35.2,29.5,24.6,99.0,83.0,63.0,12.1,1.5,0.0,29.92,29.76,0.0
1/12/2024,44.2,31.7,23.5,31.3,25.9,21.2,92.0,80.0,51.0,5.4,0.2,0.0,30.0,29.9,0.0
1/13/2024,46.4,37.9,29.5,39.9,32.9,26.6,92.0,83.0,66.0,6.9,0.4,0.0,30.01,29.9,0.0
1/14/2024,49.1,42.8,37.4,45.0,40.6,35.4,99.0,92.0,73.0,8.1,1.0,0.0,29.91,29.77,0.05
1/15/2024,52.7,46.7,41.0,52.3,46.3,40.6,99.0,99.0,99.0,4.5,0.3,0.0,29.78,29.66,0.36
1/16/2024,50.4,49.3,46.2,50.0,48.5,45.0,99.0,97.0,83.0,10.7,2.2,0.0,29.72,29.55,0.06
1/17/2024,50.0,46.3,39.7,47.7,45.6,39.4,99.0,98.0,81.0,14.3,2.6,0.0,29.56,29.35,1.63
1/18/2024,55.0,46.9,43.3,49.5,44.0,40.8,99.0,90.0,61.0,12.3,2.1,0.0,29.62,29.48,0.0
1/19/2024,45.7,40.1,35.1,45.0,39.6,33.3,99.0,99.0,92.0,8.5,0.2,0.0,29.67,29.42,1.05
