Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,51.6,37.7,28.2,38.6,30.7,25.3,91.0,78.0,39.0,4.6,0.3,0.0,30.06,29.97,0.0
1/2/2024,38.4,35.6,31.8,36.8,33.3,29.6,94.0,92.0,88.0,6.7,0.2,0.0,30.09,30.0,0.01
1/3/2024,50.1,43.9,38.3,48.7,42.6,36.8,96.0,95.0,93.0,5.1,0.1,0.0,30.03,29.94,0.04
1/4/2024,45.1,39.5,32.5,42.9,37.9,31.2,95.0,94.0,90.0,4.9,0.1,0.0,30.03,29.73,0.09
1/5/2024,41.0,37.1,34.8,37.9,33.0,30.3,95.0,85.0,71.0,12.3,2.4,0.0,29.82,29.65,0.2
1/6/2024,43.7,36.6,32.0,33.2,30.2,27.8,88.0,78.0,62.0,11.4,2.3,0.0,30.0,29.82,0.0
1/7/2024,42.6,35.5,29.4,31.1,28.0,26.0,89.0,75.0,58.0,14.0,1.6,0.0,30.06,30.0,0.0
1/8/2024,46.9,35.6,28.7,29.6,26.4,22.4,85.0,71.0,40.0,7.3,0.7,0.0,30.03,29.94,0.0
1/9/2024,41.7,36.0,32.7,34.1,31.8,28.2,90.0,85.0,73.0,4.4,0.1,0.0,29.97,29.94,0.0
1/10/2024,42.8,36.9,31.8,39.0,34.7,30.3,94.0,92.0,78.0,4.9,0.1,0.0,29.97,29.91,0.22
1/11/2024,41.5,34.4,24.4,33.0,28.1,21.5,95.0,79.0,54.0,8.0,0.6,0.0,30.09,29.94,0.01
1/12/2024,44.4,29.4,19.2,27.6,22.6,16.8,91.0,77.0,44.0,4.9,0.4,0.0,30.15,30.06,0.0
1/13/2024,48.9,36.3,25.3,37.2,30.5,22.4,91.0,80.0,54.0,4.6,0.2,0.0,30.18,30.06,0.0
1/14/2024,45.6,40.0,33.8,42.6,37.5,31.2,95.0,91.0,87.0,4.6,0.3,0.0,30.09,29.94,0.04
1/15/2024,54.5,45.3,39.5,52.7,43.9,38.3,96.0,95.0,90.0,6.7,0.1,0.0,29.94,29.82,0.17
1/16/2024,52.3,48.9,45.6,50.7,47.0,43.1,96.0,93.0,80.0,9.6,0.6,0.0,29.88,29.73,0.09
1/17/2024,50.9,46.3,40.1,46.0,43.8,36.6,96.0,91.0,67.0,14.3,1.0,0.0,29.73,29.5,0.89
1/18/2024,57.0,46.3,39.7,46.9,41.3,35.6,95.0,84.0,53.0,9.6,1.1,0.0,29.79,29.65,0.0
1/19/2024,43.8,39.2,34.3,41.9,37.5,30.9,95.0,93.0,86.0,6.7,0.3,0.0,29.82,29.59,0.83
