Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,50.9,40.3,31.6,42.8,37.7,30.9,98.0,91.0,67.0,10.5,1.5,0.0,29.94,29.79,0.0
1/2/2024,46.0,41.9,37.6,44.2,40.7,37.2,99.0,96.0,85.0,5.4,0.9,0.0,29.95,29.83,0.0
1/3/2024,54.1,50.6,44.1,53.6,50.2,43.5,99.0,98.0,89.0,15.9,2.4,0.0,29.86,29.77,0.0
1/4/2024,50.9,47.2,42.8,50.2,46.9,42.6,99.0,98.0,91.0,6.0,0.6,0.0,29.85,29.55,0.0
1/5/2024,49.8,45.6,41.0,47.1,37.9,31.6,99.0,75.0,51.0,21.3,5.4,0.0,29.68,29.49,0.0
1/6/2024,48.7,43.2,37.6,35.2,33.5,30.9,81.0,69.0,55.0,13.7,3.6,0.0,29.89,29.67,0.0
1/7/2024,52.0,41.9,32.5,34.7,31.4,28.2,88.0,68.0,42.0,14.1,2.7,0.0,29.93,29.85,0.0
1/8/2024,48.7,38.4,25.9,36.0,31.7,24.1,94.0,78.0,55.0,5.8,0.8,0.0,29.91,29.79,0.0
1/9/2024,47.7,41.7,38.1,40.6,38.2,35.1,94.0,87.0,76.0,4.3,0.6,0.0,29.85,29.77,0.0
1/10/2024,46.8,42.4,38.5,44.1,40.8,37.4,99.0,94.0,86.0,11.2,2.6,0.0,29.85,29.76,0.01
1/11/2024,49.5,40.7,31.1,40.6,34.5,30.6,99.0,80.0,55.0,13.2,1.5,0.0,29.94,29.76,0.0
1/12/2024,48.7,37.5,28.6,33.4,29.8,25.2,89.0,75.0,52.0,9.6,1.4,0.0,30.03,29.93,0.0
1/13/2024,49.8,42.2,35.1,41.7,36.6,31.1,92.0,81.0,68.0,5.8,0.9,0.0,30.03,29.89,0.0
1/14/2024,46.8,43.5,39.4,46.0,42.3,37.8,99.0,95.0,88.0,8.3,0.8,0.0,29.92,29.77,0.01
