Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,45.9,39.1,34.2,41.2,37.9,33.8,99.0,96.0,81.0,5.4,0.6,0.0,30.05,29.92,0.0
1/2/2024,43.3,39.4,34.0,42.4,38.6,33.6,99.0,98.0,88.0,4.7,0.5,0.0,30.06,29.95,0.01
1/3/2024,51.8,47.9,42.8,51.4,47.5,42.4,99.0,99.0,99.0,5.6,0.6,0.0,29.99,29.9,0.17
1/4/2024,48.4,46.6,45.1,48.0,46.3,44.8,99.0,99.0,99.0,3.4,0.2,0.0,29.97,29.67,0.22
1/5/2024,46.0,41.5,36.3,45.1,37.8,33.1,99.0,88.0,67.0,14.1,1.9,0.0,29.78,29.59,0.06
1/6/2024,45.3,39.7,35.4,35.8,33.0,30.6,87.0,77.0,62.0,16.8,3.6,0.0,29.99,29.77,0.0
1/7/2024,46.4,39.6,31.8,34.9,31.1,28.2,87.0,72.0,58.0,15.2,3.7,0.0,30.04,29.97,0.0
1/8/2024,47.3,37.3,27.1,34.3,30.3,23.9,93.0,76.0,53.0,13.2,1.4,0.0,30.01,29.91,0.0
1/9/2024,41.9,38.7,35.1,39.2,35.9,31.5,98.0,90.0,84.0,3.8,0.4,0.0,29.97,29.89,0.0
1/10/2024,44.4,40.5,37.4,42.1,39.5,36.1,99.0,96.0,89.0,4.9,0.7,0.0,29.95,29.87,0.03
1/11/2024,45.7,37.5,31.8,37.8,32.8,27.1,99.0,84.0,62.0,7.4,2.5,0.0,30.07,29.89,0.0
1/12/2024,46.2,34.7,28.6,35.4,29.0,24.8,90.0,80.0,59.0,6.9,2.1,0.0,30.13,30.04,0.0
1/13/2024,48.4,40.3,30.9,42.4,35.7,28.0,93.0,84.0,67.0,4.3,0.7,0.0,30.15,30.02,0.0
1/14/2024,45.3,42.3,38.8,45.0,41.2,37.0,99.0,96.0,84.0,7.6,0.7,0.0,30.03,29.89,0.06
1/15/2024,54.1,48.4,42.6,53.8,48.1,42.3,99.0,99.0,99.0,6.0,0.6,0.0,29.9,29.77,0.25
1/16/2024,54.7,52.7,49.5,54.0,51.7,47.1,99.0,97.0,87.0,7.6,2.0,0.0,29.83,29.67,0.07
1/17/2024,53.6,50.3,48.2,50.2,48.4,46.0,99.0,93.0,81.0,14.1,4.1,0.0,29.68,29.46,0.37
1/18/2024,57.9,50.9,48.0,51.3,48.3,46.0,99.0,91.0,77.0,10.1,2.6,0.0,29.72,29.61,0.0
1/19/2024,49.5,41.1,34.7,49.1,40.0,31.8,99.0,96.0,86.0,17.9,7.0,0.0,29.79,29.54,1.36
1/20/2024,49.5,39.9,31.1,43.5,36.2,29.5,99.0,87.0,54.0,16.8,2.5,0.0,30.24,29.78,0.0
1/21/2024,53.6,43.2,33.1,43.5,39.3,32.2,99.0,87.0,63.0,11.2,1.1,0.0,30.38,30.23,0.0
1/22/2024,46.8,39.1,33.6,44.1,38.4,33.3,99.0,98.0,88.0,5.8,0.6,0.0,30.45,30.36,0.01
1/23/2024,63.1,47.9,36.7,53.2,45.3,36.1,99.0,91.0,66.0,5.1,0.9,0.0,30.5,30.41,0.01
1/24/2024,70.2,55.0,48.6,56.1,49.6,45.7,94.0,83.0,52.0,11.6,2.3,0.0,30.5,30.42,0.0
1/25/2024,67.8,55.3,44.4,53.8,46.7,40.5,90.0,74.0,49.0,4.9,1.3,0.0,30.44,30.31,0.0
1/26/2024,71.2,57.5,49.1,50.0,43.2,39.9,84.0,60.0,35.0,6.7,1.9,0.0,30.35,30.26,0.0
1/27/2024,68.5,57.3,51.4,51.6,43.4,39.6,70.0,60.0,45.0,8.7,2.4,0.0,30.29,30.18,0.0
1/28/2024,64.2,53.2,46.6,48.4,43.0,39.7,80.0,69.0,50.0,5.6,1.4,0.0,30.23,30.16,0.0
1/29/2024,60.4,51.0,42.8,47.7,42.9,40.1,95.0,75.0,54.0,4.9,1.3,0.0,30.28,30.18,0.0
