Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/4/2024,52.3,50.2,47.8,50.5,49.1,46.5,98.0,96.0,91.0,8.2,1.5,0.0,29.78,29.64,0.14
1/5/2024,50.3,45.8,41.0,47.1,37.0,28.5,97.0,74.0,48.0,14.7,3.5,0.0,29.75,29.56,0.04
1/6/2024,54.1,43.2,35.9,33.2,30.8,27.1,82.0,63.0,41.0,9.8,1.6,0.0,29.95,29.74,0.0
1/7/2024,52.5,41.2,32.7,34.5,29.5,26.2,88.0,65.0,38.0,7.8,1.3,0.0,30.01,29.94,0.0
1/8/2024,48.2,38.1,28.4,32.1,28.8,23.7,94.0,71.0,40.0,6.7,1.0,0.0,29.98,29.88,0.0
1/9/2024,47.8,41.9,38.3,38.1,35.0,30.3,84.0,77.0,65.0,6.0,1.4,0.0,29.93,29.86,0.0
1/10/2024,47.1,42.9,39.3,42.9,39.9,37.4,95.0,90.0,81.0,12.0,2.1,0.0,29.92,29.85,0.01
1/11/2024,47.8,40.9,35.0,41.3,33.0,26.2,97.0,75.0,48.0,8.7,1.7,0.0,30.03,29.85,0.0
1/12/2024,49.2,37.7,29.3,32.7,28.4,24.9,84.0,70.0,49.0,8.2,2.3,0.0,30.11,30.01,0.0
1/13/2024,50.1,41.8,34.8,40.6,34.6,29.1,84.0,76.0,62.0,5.5,1.0,0.0,30.12,29.98,0.0
1/14/2024,49.8,45.1,41.3,46.2,41.3,37.5,92.0,87.0,79.0,11.6,1.5,0.0,30.01,29.86,0.04
1/15/2024,58.1,52.4,47.6,55.2,51.1,45.3,98.0,96.0,87.0,9.3,2.5,0.0,29.87,29.74,0.14
1/16/2024,60.2,56.0,52.3,55.2,51.9,42.9,96.0,87.0,61.0,15.4,3.8,0.0,29.92,29.73,0.0
1/17/2024,55.7,52.7,50.0,51.0,48.9,45.1,96.0,87.0,78.0,28.8,6.0,0.0,29.77,29.56,0.22
1/18/2024,57.7,52.8,50.7,51.8,49.2,46.5,96.0,88.0,73.0,14.3,3.7,0.0,29.82,29.73,0.01
1/19/2024,51.2,44.6,37.9,50.1,42.7,34.5,97.0,93.0,84.0,15.4,5.3,0.0,29.86,29.62,0.91
1/20/2024,51.0,42.7,35.7,42.9,36.7,30.5,94.0,80.0,51.0,16.3,3.9,0.0,30.34,29.86,0.0
1/21/2024,57.5,46.5,39.3,42.4,40.0,36.1,95.0,80.0,51.0,6.7,0.9,0.0,30.49,30.34,0.0
1/22/2024,55.4,43.6,33.6,44.4,39.3,32.0,96.0,86.0,64.0,6.9,0.9,0.0,30.56,30.47,0.0
1/23/2024,64.4,48.8,37.2,50.5,43.4,35.9,96.0,83.0,57.0,4.9,0.9,0.0,30.61,30.53,0.0
1/24/2024,70.1,53.6,40.6,51.8,46.2,39.5,96.0,78.0,48.0,6.9,0.8,0.0,30.61,30.51,0.0
1/25/2024,69.2,53.1,39.5,50.1,44.8,38.1,96.0,76.0,43.0,5.5,0.5,0.0,30.54,30.41,0.0
1/26/2024,70.7,54.1,42.2,48.5,43.5,38.1,94.0,70.0,38.0,6.9,0.7,0.0,30.46,30.36,0.0
1/27/2024,68.9,55.1,44.7,46.5,42.3,38.3,86.0,65.0,34.0,5.8,1.0,0.0,30.38,30.27,0.0
