Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,52.3,43.2,39.3,41.5,39.2,36.6,97.0,86.0,59.0,8.7,0.9,0.0,30.15,30.02,0.0
1/2/2024,46.4,42.2,37.5,45.1,39.7,35.9,97.0,91.0,82.0,6.2,0.5,0.0,30.16,30.06,0.0
1/3/2024,54.3,51.3,46.2,52.7,50.0,44.4,98.0,96.0,92.0,14.9,3.1,0.0,30.09,30.0,0.12
1/4/2024,52.5,49.0,46.0,50.1,47.9,45.1,98.0,96.0,90.0,9.6,1.3,0.0,30.07,29.78,0.29
1/5/2024,48.9,45.2,41.3,47.1,37.7,29.1,97.0,76.0,49.0,19.0,5.6,0.0,29.87,29.69,0.07
1/6/2024,50.0,42.9,38.6,34.7,32.2,27.6,77.0,66.0,47.0,15.8,2.7,0.0,30.09,29.87,0.0
1/7/2024,50.0,41.2,35.4,33.4,30.8,28.2,85.0,67.0,45.0,8.0,1.1,0.0,30.15,30.07,0.0
1/8/2024,45.6,39.1,31.1,32.5,30.2,27.6,89.0,71.0,53.0,5.8,0.7,0.0,30.11,30.02,0.0
1/9/2024,45.8,42.0,39.0,38.4,36.3,32.0,88.0,80.0,70.0,6.2,0.7,0.0,30.06,29.99,0.0
1/10/2024,46.5,43.3,41.1,42.0,39.8,37.7,93.0,88.0,81.0,14.0,3.1,0.0,30.05,29.97,0.0
1/11/2024,48.0,40.4,35.9,41.0,33.7,27.3,95.0,78.0,52.0,8.2,1.6,0.0,30.17,29.99,0.0
1/12/2024,48.7,36.9,29.6,32.5,28.8,26.0,86.0,73.0,49.0,5.1,0.9,0.0,30.25,30.15,0.0
1/13/2024,48.3,40.7,34.7,40.1,34.6,29.3,86.0,79.0,68.0,4.2,0.4,0.0,30.26,30.13,0.0
1/14/2024,49.1,44.8,40.8,46.7,41.6,37.5,93.0,89.0,84.0,10.2,1.4,0.0,30.14,29.99,0.11
1/15/2024,57.0,51.6,45.3,55.0,50.4,44.4,98.0,96.0,89.0,15.2,3.5,0.0,30.0,29.88,0.25
1/16/2024,59.0,55.5,51.6,55.0,51.9,45.6,97.0,88.0,68.0,18.1,4.3,0.0,29.93,29.77,0.01
1/17/2024,54.5,52.2,50.1,51.0,48.8,45.3,96.0,88.0,80.0,25.2,6.5,0.0,29.77,29.56,0.26
1/18/2024,58.1,52.9,50.3,50.7,49.0,47.4,95.0,87.0,71.0,23.4,6.1,0.0,29.81,29.71,0.0
1/19/2024,51.2,43.9,37.9,50.1,42.0,33.2,98.0,93.0,82.0,14.5,3.5,0.0,29.88,29.63,1.35
1/20/2024,53.0,42.5,35.4,43.8,36.9,30.2,93.0,81.0,58.0,14.9,1.5,0.0,30.34,29.88,0.01
1/21/2024,55.9,46.1,39.7,42.6,40.0,36.3,93.0,80.0,54.0,7.3,1.2,0.0,30.48,30.34,0.0
1/22/2024,52.3,42.5,35.9,44.6,39.5,34.3,95.0,89.0,74.0,4.9,0.4,0.0,30.56,30.46,0.0
1/23/2024,64.7,47.9,38.4,50.7,43.7,37.5,98.0,87.0,56.0,4.2,0.1,0.0,30.6,30.53,0.0
1/24/2024,71.0,52.6,42.2,51.8,45.8,39.9,95.0,80.0,46.0,3.8,0.4,0.0,30.61,30.52,0.0
1/25/2024,72.5,52.7,42.4,49.6,44.5,38.8,88.0,75.0,41.0,3.3,0.4,0.0,30.54,30.41,0.0
1/26/2024,71.6,54.1,43.5,48.5,43.5,39.3,88.0,70.0,36.0,3.5,0.4,0.0,30.46,30.36,0.0
1/27/2024,69.0,54.1,45.3,47.1,42.9,38.6,81.0,67.0,38.0,4.2,0.6,0.0,30.38,30.28,0.0
1/28/2024,68.3,52.0,42.9,46.0,42.7,38.8,87.0,72.0,40.0,3.3,0.5,0.0,30.33,30.26,0.0
1/29/2024,61.3,51.1,43.5,46.4,43.1,40.1,90.0,75.0,47.0,5.8,0.5,0.0,30.38,30.28,0.0
1/30/2024,60.0,48.5,41.0,46.9,43.4,39.3,95.0,84.0,59.0,2.6,0.2,0.0,30.44,30.35,0.0
1/31/2024,51.8,43.8,37.5,44.9,40.8,35.9,96.0,90.0,75.0,3.3,0.5,0.0,30.5,30.43,0.0
2/1/2024,65.8,50.2,39.5,43.8,39.5,35.6,96.0,70.0,39.0,3.8,0.5,0.0,30.51,30.41,0.0
2/2/2024,62.7,50.6,41.3,43.5,39.9,35.4,85.0,68.0,44.0,8.2,1.1,0.0,30.42,30.35,0.0
2/3/2024,66.2,49.7,39.5,43.7,38.4,34.1,89.0,68.0,32.0,3.8,0.8,0.0,30.44,30.36,0.0
2/4/2024,71.9,50.2,38.1,37.9,34.3,30.0,80.0,59.0,23.0,5.3,0.7,0.0,30.42,30.34,0.0
2/5/2024,63.8,49.2,39.5,41.9,37.2,33.4,81.0,65.0,35.0,5.1,0.5,0.0,30.38,30.27,0.0
2/6/2024,59.9,49.5,42.4,46.9,41.9,38.1,86.0,76.0,54.0,10.5,1.3,0.0,30.28,30.18,0.0
2/7/2024,52.8,47.3,40.8,48.0,44.1,39.2,96.0,89.0,69.0,15.2,2.4,0.0,30.22,30.08,0.0
2/8/2024,54.6,49.5,46.7,48.3,44.9,37.2,95.0,85.0,53.0,20.1,3.0,0.0,30.08,29.6,0.03
2/9/2024,53.2,49.4,46.0,50.9,47.6,43.8,98.0,94.0,85.0,19.6,3.8,0.0,29.6,29.18,0.53
2/10/2024,50.1,46.2,42.2,44.6,36.0,29.8,94.0,69.0,52.0,27.2,8.3,0.0,29.71,29.22,0.01
2/11/2024,47.4,42.6,39.9,40.8,35.6,30.2,94.0,77.0,63.0,20.5,5.0,0.0,29.86,29.71,0.0
2/12/2024,61.3,49.8,42.0,50.3,45.8,40.6,98.0,87.0,60.0,18.5,3.8,0.0,30.09,29.76,0.0
2/13/2024,61.7,54.1,48.0,54.5,50.6,46.0,96.0,88.0,74.0,10.2,1.4,0.0,30.24,30.05,0.0
2/14/2024,63.8,55.6,50.5,55.5,52.0,49.4,96.0,88.0,72.0,6.2,0.7,0.0,30.24,29.9,0.0
2/15/2024,57.5,53.1,49.4,53.2,50.1,47.1,95.0,90.0,76.0,14.0,1.8,0.0,29.91,29.74,0.12
2/16/2024,61.3,53.1,48.5,48.0,42.6,37.7,90.0,69.0,48.0,16.3,2.2,0.0,30.09,29.79,1.41
2/17/2024,66.9,52.1,42.0,42.6,37.1,27.1,88.0,60.0,25.0,6.7,0.8,0.0,30.25,30.08,0.0
2/18/2024,69.8,51.8,39.9,40.8,36.3,31.8,79.0,58.0,25.0,4.6,0.6,0.0,30.32,30.23,0.0
2/19/2024,73.0,54.9,43.3,48.5,42.6,35.6,87.0,65.0,37.0,5.1,0.7,0.0,30.28,30.15,0.0
2/20/2024,69.8,53.6,40.8,43.5,35.9,21.7,80.0,54.0,17.0,7.8,1.1,0.0,30.22,30.08,0.0
2/21/2024,60.2,51.1,40.8,47.3,40.1,32.1,81.0,67.0,47.0,10.5,1.2,0.0,30.12,29.94,0.0
2/22/2024,54.6,51.4,46.9,51.8,45.8,34.1,95.0,82.0,59.0,27.7,6.5,0.0,29.95,29.57,0.14
2/23/2024,49.2,44.3,39.7,39.9,33.9,29.8,79.0,67.0,54.0,28.8,7.0,0.0,29.68,29.57,0.01
2/24/2024,50.0,44.4,38.4,37.2,31.9,26.9,90.0,64.0,43.0,20.1,6.1,0.0,29.78,29.56,0.0
2/25/2024,55.7,49.3,42.6,49.8,45.4,37.2,95.0,87.0,74.0,27.9,8.7,0.0,29.77,29.46,0.01
2/26/2024,51.8,47.8,44.7,49.1,36.3,28.7,93.0,65.0,43.0,25.5,7.1,0.0,29.65,29.41,0.0
2/27/2024,52.7,45.2,41.3,30.7,27.4,23.5,62.0,50.0,41.0,17.6,4.8,0.0,29.91,29.65,0.0
2/28/2024,56.3,47.7,40.4,36.5,31.4,23.0,68.0,54.0,44.0,12.7,3.3,0.0,29.94,29.87,0.0
2/29/2024,57.2,46.6,35.4,41.7,34.4,24.8,90.0,65.0,42.0,26.1,4.6,0.0,29.93,29.71,0.0
3/1/2024,55.4,45.9,38.1,40.1,31.8,23.9,79.0,59.0,45.0,18.1,5.2,0.0,29.87,29.68,0.0
3/2/2024,47.1,43.4,34.7,43.7,39.3,32.0,95.0,86.0,72.0,26.3,7.3,0.0,29.68,29.27,0.45
3/3/2024,49.1,42.8,37.7,36.8,31.3,25.1,79.0,65.0,43.0,27.0,7.6,0.0,29.75,29.42,0.0
3/4/2024,55.7,48.5,42.6,46.9,42.3,35.0,92.0,80.0,58.0,20.5,5.7,0.0,29.88,29.74,0.0
3/5/2024,58.8,48.8,40.8,37.9,35.2,32.5,79.0,60.0,39.0,16.3,2.7,0.0,29.99,29.88,0.0
3/6/2024,60.0,46.7,35.6,39.0,35.3,31.4,86.0,67.0,39.0,8.5,0.8,0.0,29.96,29.74,0.0
3/7/2024,55.2,46.3,41.0,45.5,39.5,35.0,94.0,78.0,56.0,14.3,1.6,0.0,29.74,29.45,0.23
3/8/2024,51.9,44.2,39.5,42.6,38.3,32.9,97.0,81.0,50.0,28.8,5.6,0.0,29.5,29.28,0.31
3/9/2024,46.7,42.9,39.5,45.1,39.0,34.8,96.0,87.0,71.0,23.7,6.0,0.0,29.28,29.13,0.23
3/10/2024,55.4,46.4,39.9,42.9,39.5,34.1,96.0,79.0,46.0,25.7,7.4,0.0,29.61,29.21,0.11
3/11/2024,57.3,49.8,44.2,38.3,34.9,29.1,75.0,58.0,38.0,22.1,5.8,0.0,29.93,29.61,0.0
3/12/2024,66.2,50.1,37.9,41.5,37.6,34.7,89.0,65.0,36.0,3.8,0.6,0.0,29.97,29.88,0.0
3/13/2024,71.2,53.8,41.5,43.1,39.8,37.2,88.0,63.0,32.0,5.5,0.9,0.0,29.89,29.74,0.0
3/14/2024,61.5,52.3,43.7,48.0,43.4,38.1,84.0,73.0,56.0,14.9,2.7,0.0,29.9,29.77,0.0
3/15/2024,66.5,53.9,43.3,52.1,47.1,41.7,96.0,79.0,54.0,9.3,1.4,0.0,29.97,29.87,0.0
3/16/2024,68.3,55.8,46.9,53.6,49.4,46.2,99.0,81.0,51.0,10.7,0.9,0.0,30.03,29.94,0.0
3/17/2024,72.3,60.1,49.1,53.4,50.2,46.5,92.0,72.0,47.0,7.8,0.7,0.0,29.97,29.84,0.0
3/18/2024,72.8,60.9,50.1,53.7,50.6,47.4,92.0,71.0,44.0,10.0,0.8,0.0,29.87,29.76,0.0
3/19/2024,75.2,63.2,52.3,52.8,48.5,40.4,89.0,62.0,30.0,11.1,1.1,0.0,29.78,29.67,0.0
3/20/2024,73.5,62.3,52.3,49.6,46.9,44.6,79.0,59.0,38.0,7.1,0.9,0.0,29.75,29.64,0.0
3/21/2024,78.6,64.2,55.7,51.9,48.3,44.7,79.0,59.0,32.0,7.3,1.7,0.0,29.91,29.75,0.0
3/22/2024,79.1,65.3,53.2,52.5,48.4,43.7,81.0,58.0,29.0,5.5,0.9,0.0,29.91,29.75,0.0
3/23/2024,78.0,64.4,53.0,54.6,48.0,41.7,73.0,57.0,38.0,7.8,1.3,0.0,29.85,29.72,0.0
3/24/2024,75.0,61.4,52.8,51.9,46.2,40.6,80.0,59.0,33.0,6.4,1.5,0.0,29.77,29.48,0.0
3/25/2024,59.3,54.1,49.8,53.9,49.5,38.4,96.0,85.0,64.0,15.4,2.5,0.0,29.48,29.06,0.11
3/26/2024,50.5,44.3,38.6,39.0,34.3,25.3,94.0,70.0,44.0,27.0,7.0,0.0,29.14,29.06,0.04
3/27/2024,55.5,47.9,39.7,49.2,44.0,37.4,95.0,87.0,65.0,31.9,8.5,0.0,29.24,29.11,0.04
3/28/2024,60.4,52.0,44.7,52.5,46.2,41.1,97.0,81.0,57.0,28.8,6.4,0.0,29.36,29.18,0.51
3/29/2024,52.1,46.1,41.0,50.7,44.0,39.2,97.0,93.0,79.0,18.3,3.8,0.0,29.26,29.14,0.29
3/30/2024,53.7,45.2,39.5,45.1,41.6,38.3,97.0,88.0,58.0,15.4,2.4,0.0,29.25,29.06,0.33
3/31/2024,50.5,44.1,40.8,42.6,39.8,35.2,97.0,86.0,62.0,21.4,4.7,0.0,29.4,29.08,0.39
4/1/2024,55.4,46.3,39.2,43.1,39.8,36.8,94.0,79.0,53.0,24.6,5.9,0.0,29.79,29.4,0.01
4/2/2024,58.8,50.1,40.4,46.0,42.4,38.8,95.0,76.0,56.0,14.7,2.5,0.0,29.84,29.73,0.0
4/3/2024,65.6,55.7,49.1,48.3,44.9,41.7,91.0,69.0,44.0,15.2,3.9,0.0,29.88,29.77,0.0
4/4/2024,70.5,57.4,44.7,50.9,46.9,42.6,93.0,70.0,44.0,8.2,0.9,0.0,29.88,29.76,0.0
4/5/2024,76.6,60.8,48.2,50.1,46.6,42.2,89.0,63.0,30.0,5.5,0.6,0.0,29.82,29.68,0.0
4/6/2024,77.9,64.7,53.7,51.8,47.0,42.9,72.0,54.0,31.0,7.6,0.8,0.0,29.75,29.63,0.0
4/7/2024,73.2,64.7,57.5,54.6,51.7,48.2,82.0,64.0,46.0,15.2,2.7,0.0,29.75,29.63,0.0
4/8/2024,63.8,57.0,49.6,51.8,45.5,36.5,83.0,66.0,45.0,26.3,6.6,0.0,29.82,29.61,0.01
4/9/2024,63.3,51.5,42.6,37.5,32.6,26.6,71.0,50.0,30.0,15.8,2.1,0.0,30.12,29.81,0.0
4/10/2024,74.3,56.2,42.9,46.2,38.3,34.5,76.0,54.0,30.0,8.2,1.3,0.0,30.14,30.04,0.0
4/11/2024,79.7,65.1,51.8,51.2,45.3,39.2,75.0,51.0,30.0,11.8,1.7,0.0,30.12,30.01,0.0
4/12/2024,80.7,65.4,51.9,46.7,41.0,34.7,70.0,43.0,23.0,7.6,0.8,0.0,30.19,30.06,0.0
4/13/2024,85.2,66.9,52.5,50.0,43.3,32.1,84.0,49.0,16.0,6.0,1.0,0.0,30.12,29.98,0.0
4/14/2024,82.7,68.3,53.6,48.2,43.8,38.3,73.0,44.0,22.0,8.9,1.6,0.0,30.03,29.89,0.0
4/15/2024,85.8,69.1,57.2,53.9,48.4,41.3,75.0,50.0,28.0,8.9,1.2,0.0,29.91,29.78,0.0
4/16/2024,80.0,65.8,53.9,48.3,43.6,37.2,71.0,47.0,28.0,9.1,1.5,0.0,29.85,29.68,0.0
4/17/2024,74.6,59.4,47.1,43.3,39.6,36.6,72.0,50.0,31.0,8.0,2.4,0.0,29.78,29.67,0.0
4/18/2024,73.0,58.4,47.1,39.9,36.7,34.1,66.0,46.0,27.0,8.7,2.8,0.0,29.83,29.71,0.0
4/19/2024,76.1,57.6,43.7,44.9,37.5,29.8,64.0,49.0,29.0,8.7,1.7,0.0,29.89,29.73,0.0
4/20/2024,78.0,62.7,50.0,46.9,39.0,27.6,80.0,48.0,18.0,8.2,1.4,0.0,29.77,29.62,0.0
4/21/2024,78.2,62.1,49.2,39.0,33.8,28.4,56.0,36.0,23.0,8.5,1.6,0.0,29.75,29.62,0.0
