Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,50.7,40.8,31.6,42.8,37.1,30.0,96.0,88.0,65.0,6.3,0.6,0.0,30.59,30.47,0.0
1/2/2024,48.7,42.5,36.9,48.0,41.3,36.0,97.0,95.0,88.0,5.8,0.5,0.0,30.61,30.5,0.07
1/3/2024,54.1,50.5,45.3,52.3,49.0,44.4,97.0,94.0,80.0,9.2,1.4,0.0,30.54,30.46,0.12
1/4/2024,48.7,45.2,40.5,46.9,44.2,39.7,98.0,96.0,92.0,4.5,0.2,0.0,30.52,30.24,0.14
1/5/2024,48.6,43.6,38.7,45.1,34.9,26.6,96.0,73.0,49.0,13.2,2.3,0.0,30.36,30.18,0.22
1/6/2024,48.7,42.8,38.7,33.3,30.6,27.9,72.0,62.0,49.0,13.6,2.1,0.0,30.57,30.35,0.0
1/7/2024,50.0,40.9,33.3,32.2,29.9,27.1,83.0,66.0,45.0,7.6,1.0,0.0,30.61,30.53,0.0
1/8/2024,48.6,37.4,27.1,36.5,30.4,24.3,91.0,77.0,51.0,4.5,0.5,0.0,30.59,30.46,0.0
1/9/2024,46.0,40.5,36.1,39.9,36.3,32.4,93.0,85.0,75.0,6.3,0.3,0.0,30.5,30.44,0.0
1/10/2024,43.3,40.3,36.0,41.0,38.3,34.2,95.0,93.0,89.0,5.8,0.8,0.0,30.51,30.43,0.06
1/11/2024,46.6,40.0,32.7,38.3,31.8,26.6,94.0,74.0,48.0,7.8,1.2,0.0,30.61,30.46,0.01
1/12/2024,48.2,34.9,26.4,33.8,28.4,23.9,91.0,78.0,54.0,2.7,0.3,0.0,30.69,30.59,0.0
1/13/2024,46.2,38.9,32.7,40.5,34.9,30.4,93.0,86.0,73.0,3.1,0.1,0.0,30.7,30.57,0.0
1/14/2024,51.1,44.3,36.9,48.2,41.3,34.9,94.0,89.0,80.0,8.7,1.1,0.0,30.59,30.44,0.05
1/15/2024,54.7,51.0,44.8,53.6,49.7,43.3,97.0,95.0,90.0,10.5,1.6,0.0,30.45,30.34,0.43
1/16/2024,58.1,54.0,51.4,53.8,51.2,46.6,96.0,91.0,74.0,10.7,2.7,0.0,30.39,30.17,0.38
1/17/2024,53.8,50.4,46.0,51.1,48.0,43.5,95.0,92.0,86.0,15.7,4.9,0.0,30.18,29.99,1.33
1/18/2024,55.4,50.6,48.4,50.9,48.2,46.8,95.0,92.0,82.0,13.6,3.5,0.0,30.27,30.16,0.12
1/19/2024,48.6,43.9,35.6,47.5,41.9,28.0,97.0,92.0,74.0,17.2,1.6,0.0,30.37,30.07,1.71
1/20/2024,53.2,40.9,32.9,41.4,34.4,28.0,95.0,78.0,55.0,12.5,1.2,0.0,30.8,30.37,0.0
1/21/2024,52.2,39.4,29.8,44.4,36.4,29.1,98.0,90.0,69.0,4.9,0.4,0.0,30.93,30.79,0.0
1/22/2024,57.7,43.5,32.5,49.1,40.4,31.8,98.0,90.0,69.0,6.5,0.5,0.0,31.0,30.91,0.02
1/23/2024,62.6,49.2,39.9,53.1,45.9,39.0,97.0,89.0,69.0,4.5,0.5,0.0,31.05,30.97,0.0
1/24/2024,68.0,49.8,37.9,53.2,44.5,37.2,98.0,84.0,51.0,4.3,0.5,0.0,31.06,30.97,0.02
1/25/2024,67.1,49.6,37.4,53.1,43.7,36.1,95.0,83.0,44.0,3.6,0.6,0.0,31.0,30.86,0.0
1/26/2024,71.1,50.3,38.3,51.4,42.3,36.1,93.0,77.0,40.0,4.0,0.6,0.0,30.91,30.82,0.01
1/27/2024,68.0,49.9,38.7,49.5,41.6,36.3,92.0,75.0,42.0,3.8,0.5,0.0,30.84,30.73,0.0
1/28/2024,63.9,48.4,36.0,48.6,42.3,34.7,96.0,81.0,53.0,5.1,0.5,0.0,30.77,30.71,0.0
1/29/2024,60.6,48.2,39.9,47.3,42.8,38.1,94.0,83.0,52.0,5.8,0.4,0.0,30.83,30.73,0.0
1/30/2024,57.4,44.8,34.5,48.0,41.3,33.8,98.0,88.0,69.0,5.8,0.5,0.0,30.89,30.8,0.01
1/31/2024,57.0,43.9,34.3,47.8,40.4,33.6,98.0,88.0,68.0,3.8,0.4,0.0,30.94,30.87,0.01
2/1/2024,66.6,49.3,35.2,47.1,38.3,32.9,93.0,69.0,35.0,6.5,0.7,0.0,30.97,30.87,0.0
2/2/2024,62.2,51.8,41.9,43.5,37.1,25.2,89.0,59.0,31.0,5.8,1.0,0.0,30.89,30.8,0.0
2/3/2024,63.3,46.4,34.7,43.9,38.1,33.4,95.0,76.0,41.0,5.4,0.5,0.0,30.88,30.82,0.0
2/4/2024,64.0,45.5,32.4,45.1,36.2,30.4,94.0,73.0,35.0,5.1,0.6,0.0,30.87,30.8,0.0
2/5/2024,63.9,45.3,32.5,43.5,36.1,29.3,90.0,72.0,37.0,4.0,0.5,0.0,30.84,30.72,0.0
2/6/2024,62.4,49.6,40.1,48.4,42.0,37.0,91.0,76.0,49.0,6.5,0.8,0.0,30.73,30.64,0.0
2/7/2024,50.7,46.7,39.2,47.7,44.2,37.2,95.0,91.0,83.0,8.9,1.7,0.0,30.68,30.52,0.0
