Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,47.6,40.4,34.1,42.0,37.4,32.5,95.0,90.0,79.0,4.6,0.2,0.0,29.71,29.58,0.0
1/2/2024,45.5,41.6,37.4,42.4,39.6,35.4,96.0,93.0,86.0,2.6,0.0,0.0,29.72,29.62,0.01
1/3/2024,53.6,48.7,43.1,52.3,47.7,42.2,98.0,96.0,94.0,4.2,0.2,0.0,29.63,29.55,0.12
1/4/2024,51.8,48.6,45.8,49.6,47.3,44.7,98.0,95.0,87.0,3.5,0.2,0.0,29.63,29.33,0.12
1/5/2024,48.9,44.7,40.8,45.8,37.8,30.0,98.0,78.0,51.0,11.8,1.8,0.0,29.43,29.24,0.04
1/6/2024,51.6,44.4,40.4,35.9,30.9,26.7,77.0,60.0,41.0,12.0,2.2,0.0,29.64,29.42,0.0
1/7/2024,48.9,39.5,30.2,32.3,29.4,26.0,90.0,69.0,43.0,9.3,1.1,0.0,29.71,29.63,0.0
1/8/2024,46.5,37.2,28.4,33.9,29.8,25.5,89.0,75.0,53.0,4.2,0.3,0.0,29.68,29.58,0.0
1/9/2024,46.0,41.5,37.9,39.0,36.5,33.2,88.0,83.0,76.0,4.2,0.2,0.0,29.63,29.57,0.0
1/10/2024,48.5,43.4,40.2,42.9,40.1,37.9,95.0,88.0,71.0,4.6,0.3,0.0,29.62,29.54,0.0
1/11/2024,47.1,38.7,30.7,38.6,32.5,28.4,96.0,80.0,56.0,7.3,0.7,0.0,29.74,29.57,0.0
1/12/2024,44.9,36.1,28.9,30.9,28.1,24.8,87.0,73.0,53.0,5.5,0.8,0.0,29.81,29.73,0.0
1/13/2024,48.7,39.3,29.4,40.2,34.4,27.3,91.0,83.0,68.0,4.6,0.1,0.0,29.82,29.7,0.0
1/14/2024,47.3,42.6,37.5,45.6,40.9,35.6,97.0,94.0,88.0,6.0,0.2,0.0,29.71,29.57,0.12
1/15/2024,57.0,49.1,42.6,54.8,47.9,41.5,97.0,96.0,92.0,4.4,0.2,0.0,29.58,29.44,0.14
1/16/2024,57.7,54.9,51.4,55.5,52.8,48.2,97.0,93.0,80.0,7.1,1.0,0.0,29.49,29.34,0.12
1/17/2024,54.6,52.1,49.8,51.6,49.4,45.6,97.0,91.0,81.0,9.8,2.1,0.0,29.34,29.11,0.62
1/18/2024,59.0,52.3,48.3,52.8,49.2,46.5,95.0,89.0,76.0,8.0,1.3,0.0,29.38,29.27,0.0
1/19/2024,50.7,44.6,40.1,49.4,42.1,34.8,97.0,91.0,79.0,12.9,3.1,0.0,29.46,29.21,1.02
1/20/2024,51.8,41.8,32.9,40.8,35.7,28.4,95.0,80.0,43.0,6.9,0.8,0.0,29.92,29.45,0.0
1/21/2024,54.1,44.3,36.6,42.9,39.3,34.8,95.0,83.0,61.0,4.2,0.3,0.0,30.06,29.92,0.0
1/22/2024,44.9,38.9,32.7,42.8,37.3,31.6,96.0,94.0,90.0,4.4,0.2,0.0,30.12,30.04,0.0
1/23/2024,62.2,45.8,34.5,52.1,42.7,33.6,97.0,90.0,68.0,2.9,0.1,0.0,30.17,30.1,0.0
1/24/2024,66.9,49.7,37.5,51.4,44.7,36.6,97.0,85.0,52.0,3.1,0.0,0.0,30.18,30.08,0.0
1/25/2024,66.5,49.4,36.8,50.5,43.9,35.9,97.0,83.0,51.0,3.1,0.1,0.0,30.11,29.98,0.01
1/26/2024,71.7,51.6,39.2,47.6,41.4,34.1,95.0,73.0,26.0,2.9,0.1,0.0,30.03,29.92,0.0
1/27/2024,69.0,51.5,40.2,47.8,42.1,36.8,91.0,73.0,39.0,2.6,0.0,0.0,29.96,29.85,0.0
1/28/2024,64.5,49.7,37.5,46.9,41.7,35.7,94.0,76.0,44.0,2.9,0.1,0.0,29.9,29.83,0.0
1/29/2024,61.5,50.0,41.1,46.9,42.8,39.3,93.0,78.0,52.0,2.9,0.1,0.0,29.95,29.85,0.0
1/30/2024,58.1,46.2,38.4,48.9,42.6,36.8,95.0,88.0,69.0,3.1,0.1,0.0,30.02,29.92,0.0
1/31/2024,50.7,42.8,37.9,46.2,40.7,36.6,96.0,92.0,82.0,2.9,0.1,0.0,30.08,30.0,0.0
2/1/2024,66.0,46.8,33.2,45.6,38.7,32.0,96.0,77.0,37.0,2.6,0.1,0.0,30.09,29.98,0.0
2/2/2024,60.6,47.9,36.5,45.1,39.3,33.6,92.0,74.0,48.0,8.9,0.8,0.0,29.99,29.91,0.0
2/3/2024,63.1,46.8,35.6,44.0,37.1,33.2,95.0,72.0,37.0,3.3,0.2,0.0,30.01,29.94,0.0
2/4/2024,67.2,46.2,32.5,38.4,33.5,26.4,92.0,66.0,27.0,2.9,0.1,0.0,29.99,29.9,0.0
2/5/2024,62.7,46.1,33.4,43.1,36.1,30.3,90.0,70.0,40.0,2.6,0.1,0.0,29.95,29.82,0.0
2/6/2024,59.5,46.5,37.0,46.4,40.4,34.5,93.0,80.0,55.0,2.9,0.1,0.0,29.85,29.74,0.0
2/7/2024,51.9,43.9,34.5,47.1,41.2,33.2,96.0,90.0,78.0,5.1,0.3,0.0,29.79,29.64,0.0
2/8/2024,53.0,48.7,45.8,48.3,46.0,40.6,97.0,91.0,66.0,9.8,0.5,0.0,29.65,29.17,0.29
2/9/2024,52.5,49.0,45.6,51.4,47.9,44.0,97.0,96.0,92.0,7.3,0.6,0.0,29.17,28.71,1.25
2/10/2024,53.2,45.9,40.1,45.1,37.6,22.6,96.0,74.0,41.0,10.7,1.9,0.0,29.27,28.78,0.12
2/11/2024,52.1,40.4,31.1,41.5,35.8,29.4,95.0,84.0,60.0,7.6,0.8,0.0,29.42,29.26,0.0
2/12/2024,66.0,50.5,42.0,49.6,42.5,36.6,97.0,78.0,35.0,6.4,0.7,0.0,29.66,29.33,0.01
2/13/2024,60.6,51.4,43.5,53.7,47.8,41.0,95.0,88.0,77.0,3.5,0.3,0.0,29.8,29.63,0.0
2/14/2024,53.4,50.6,48.0,50.5,48.7,46.7,96.0,93.0,90.0,5.1,0.5,0.0,29.81,29.78,0.0
2/20/2024,63.5,51.3,42.9,44.9,41.0,35.9,78.0,69.0,45.0,2.6,0.2,0.0,29.89,29.84,0.15
2/21/2024,58.6,47.5,35.6,45.5,38.7,32.3,89.0,73.0,47.0,3.5,0.1,0.0,29.89,29.7,0.0
2/22/2024,59.1,50.3,42.2,51.0,44.7,31.4,94.0,82.0,50.0,15.2,1.9,0.0,29.71,29.31,0.04
2/23/2024,53.2,44.8,37.0,37.0,31.9,27.3,82.0,62.0,39.0,13.1,2.5,0.0,29.42,29.32,0.0
2/24/2024,53.0,45.4,38.8,35.2,30.8,24.8,80.0,58.0,36.0,13.4,2.3,0.0,29.53,29.32,0.0
2/25/2024,58.1,50.2,42.9,49.8,45.5,35.0,94.0,84.0,64.0,13.4,2.9,0.0,29.52,29.21,0.04
2/26/2024,54.5,48.0,43.1,48.3,36.0,25.8,94.0,65.0,39.0,13.4,2.3,0.0,29.42,29.17,0.01
2/27/2024,51.6,45.9,42.0,30.9,26.3,21.2,56.0,47.0,39.0,18.5,5.9,0.0,29.68,29.42,0.0
2/28/2024,55.4,48.2,40.6,36.1,30.9,22.1,74.0,52.0,42.0,18.3,5.4,0.0,29.7,29.63,0.0
2/29/2024,60.4,45.6,31.8,42.4,32.5,23.1,90.0,63.0,37.0,20.3,2.1,0.0,29.69,29.48,0.0
3/1/2024,59.7,46.1,32.0,39.5,31.0,21.0,82.0,57.0,37.0,15.4,1.9,0.0,29.64,29.44,0.0
3/2/2024,47.4,43.1,37.4,44.0,39.9,31.8,94.0,89.0,73.0,21.0,2.3,0.0,29.45,29.01,0.33
3/3/2024,50.9,42.2,32.5,38.6,32.5,25.3,91.0,71.0,39.0,15.2,1.9,0.0,29.51,29.19,0.0
3/4/2024,57.2,47.4,39.7,49.6,41.4,33.6,93.0,80.0,55.0,7.6,1.2,0.0,29.64,29.5,0.0
3/5/2024,59.0,45.0,33.4,37.9,33.5,30.5,91.0,67.0,37.0,10.7,0.5,0.0,29.76,29.64,0.0
3/6/2024,61.5,46.4,33.6,39.0,34.8,30.2,89.0,66.0,37.0,4.2,0.4,0.0,29.73,29.51,0.0
3/7/2024,57.5,46.1,39.0,46.5,39.6,34.8,95.0,79.0,53.0,9.6,0.8,0.0,29.52,29.21,0.22
3/8/2024,53.0,44.1,39.7,43.3,40.2,38.1,96.0,87.0,59.0,10.7,1.7,0.0,29.27,29.06,0.47
3/9/2024,47.1,43.3,39.3,45.1,39.9,36.5,96.0,88.0,69.0,10.7,2.0,0.0,29.06,28.87,0.29
3/10/2024,57.3,47.5,40.2,43.5,39.2,34.8,95.0,75.0,45.0,12.5,2.2,0.0,29.37,28.97,0.07
