Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,45.3,39.8,34.2,39.7,34.0,29.7,88.0,80.0,58.0,5.6,0.0,0.0,27.15,27.03,0.0
1/2/2024,46.9,39.7,34.5,45.1,36.5,31.8,94.0,88.0,80.0,2.2,0.1,0.0,27.16,27.07,0.0
1/3/2024,51.8,48.0,43.7,50.0,46.2,40.8,96.0,93.0,86.0,5.8,0.1,0.0,27.1,27.02,0.12
1/4/2024,46.6,43.0,38.1,44.6,40.9,36.5,95.0,92.0,85.0,5.1,0.0,0.0,27.09,26.79,0.08
1/5/2024,43.3,40.4,38.1,39.6,34.3,31.1,94.0,79.0,64.0,17.2,3.2,0.0,26.86,26.71,0.12
1/6/2024,42.4,39.5,36.9,33.3,31.2,28.0,77.0,72.0,62.0,22.2,3.1,0.0,27.12,26.84,0.0
1/7/2024,43.5,38.3,33.4,31.6,28.9,26.1,81.0,69.0,51.0,9.8,1.1,0.0,27.15,27.09,0.0
1/8/2024,43.9,37.1,30.0,33.6,29.0,23.7,85.0,73.0,59.0,5.8,0.1,0.0,27.13,27.03,0.0
1/9/2024,42.6,39.0,35.1,37.2,34.7,31.1,89.0,84.0,80.0,2.9,0.0,0.0,27.07,27.0,0.0
1/10/2024,47.1,40.5,37.8,40.3,37.0,35.4,94.0,87.0,65.0,7.2,0.7,0.0,27.06,26.98,0.3
1/11/2024,42.1,37.8,32.7,36.0,30.3,25.0,93.0,75.0,51.0,10.3,0.5,0.0,27.17,27.0,0.0
1/12/2024,43.5,34.7,28.2,32.7,28.0,23.9,86.0,77.0,58.0,6.5,0.2,0.0,27.25,27.15,0.0
1/13/2024,47.5,40.9,33.6,41.7,36.3,29.3,91.0,84.0,76.0,2.5,0.0,0.0,27.26,27.14,0.0
1/14/2024,50.5,43.8,40.8,44.6,41.0,36.9,95.0,90.0,76.0,5.8,0.3,0.0,27.15,27.01,0.2
1/15/2024,56.5,50.3,43.7,52.0,48.2,42.4,96.0,92.0,81.0,5.6,0.3,0.0,27.02,26.9,0.41
1/16/2024,55.6,51.0,48.4,51.4,48.6,44.4,96.0,92.0,78.0,3.4,0.1,0.0,26.96,26.78,0.12
1/17/2024,49.8,47.9,44.1,48.4,45.6,40.8,96.0,92.0,83.0,10.3,0.1,0.0,26.78,26.57,0.42
1/18/2024,57.4,48.2,43.2,50.5,44.6,40.8,94.0,87.0,73.0,4.0,0.1,0.0,26.84,26.73,0.03
1/19/2024,47.1,42.8,35.2,45.1,41.0,32.5,95.0,93.0,87.0,9.6,0.9,0.0,26.89,26.65,1.6
1/20/2024,45.3,37.2,32.2,38.8,33.8,28.6,96.0,88.0,55.0,3.4,0.0,0.0,27.35,26.88,0.0
1/21/2024,47.5,38.9,32.0,41.7,35.4,30.4,94.0,88.0,68.0,2.5,0.0,0.0,27.49,27.35,0.0
1/22/2024,55.0,43.6,36.7,48.9,40.8,35.4,95.0,90.0,78.0,10.1,0.2,0.0,27.56,27.46,0.0
1/23/2024,56.5,49.0,39.7,50.9,45.7,38.1,96.0,89.0,74.0,6.9,0.2,0.0,27.61,27.52,0.0
1/24/2024,63.0,51.8,45.0,53.4,45.6,41.4,90.0,80.0,62.0,2.7,0.0,0.0,27.62,27.54,0.0
1/25/2024,63.3,52.6,44.8,51.8,43.6,36.9,85.0,72.0,47.0,1.6,0.0,0.0,27.56,27.43,0.0
1/26/2024,64.4,54.4,46.2,48.0,41.6,32.9,79.0,63.0,45.0,1.8,0.0,0.0,27.48,27.39,0.0
1/27/2024,62.8,53.9,47.7,46.4,39.7,34.2,70.0,59.0,44.0,1.8,0.0,0.0,27.41,27.3,0.0
1/28/2024,58.6,50.2,43.2,46.2,42.4,39.0,86.0,75.0,60.0,3.4,0.0,0.0,27.34,27.27,0.0
1/29/2024,57.0,49.3,43.9,46.2,42.3,39.9,87.0,77.0,61.0,2.7,0.0,0.0,27.38,27.29,0.0
1/30/2024,53.8,45.2,38.8,47.5,41.9,37.0,94.0,88.0,77.0,2.2,0.0,0.0,27.45,27.35,0.0
1/31/2024,53.6,44.3,38.3,47.7,41.5,36.5,95.0,90.0,77.0,2.2,0.0,0.0,27.5,27.42,0.0
