Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,52.5,41.5,32.7,42.3,37.3,30.9,99.0,86.0,64.0,6.5,0.7,0.0,30.25,30.14,0.0
1/2/2024,51.1,42.6,36.3,50.0,41.8,35.8,99.0,97.0,86.0,9.4,1.0,0.0,30.27,30.15,0.01
1/3/2024,56.1,51.5,47.3,53.4,50.1,46.8,99.0,95.0,84.0,9.6,1.4,0.0,30.19,30.11,0.06
1/4/2024,48.0,44.9,40.1,47.7,44.3,39.7,99.0,98.0,89.0,4.0,0.2,0.0,30.17,29.87,0.11
1/5/2024,49.6,44.2,37.9,46.2,35.9,28.4,99.0,74.0,48.0,13.0,1.9,0.0,30.0,29.83,0.26
1/6/2024,50.2,42.3,34.0,33.4,31.4,28.0,88.0,66.0,48.0,10.5,1.4,0.0,30.23,29.99,0.0
1/7/2024,50.9,42.3,35.4,33.3,30.4,27.1,85.0,63.0,43.0,6.3,0.7,0.0,30.28,30.18,0.0
1/8/2024,47.8,38.3,29.8,36.7,30.5,25.2,90.0,75.0,50.0,4.5,0.4,0.0,30.24,30.12,0.0
1/9/2024,44.8,41.1,38.8,39.7,37.3,34.3,95.0,86.0,79.0,5.4,0.4,0.0,30.17,30.1,0.0
1/10/2024,43.5,41.3,38.3,42.1,39.8,37.0,98.0,95.0,87.0,6.9,0.9,0.0,30.18,30.09,0.19
1/11/2024,48.4,40.7,34.0,39.9,32.3,25.7,99.0,74.0,45.0,6.9,0.8,0.0,30.27,30.11,0.02
1/12/2024,48.7,34.8,25.9,33.3,28.7,24.1,95.0,80.0,51.0,3.4,0.3,0.0,30.36,30.25,0.0
1/13/2024,46.6,39.3,32.9,41.5,35.5,31.1,96.0,87.0,72.0,2.7,0.1,0.0,30.38,30.23,0.0
