Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,48.0,39.3,32.5,41.5,36.2,31.2,95.0,89.0,75.0,6.2,0.8,0.0,30.18,30.06,0.0
1/2/2024,45.1,41.0,35.4,41.5,38.7,33.8,96.0,92.0,83.0,4.9,0.4,0.0,30.21,30.09,0.0
1/3/2024,53.0,47.2,42.0,51.8,46.3,41.1,98.0,97.0,95.0,7.3,0.5,0.0,30.12,30.03,0.07
1/4/2024,50.9,47.3,44.6,48.2,46.1,43.7,98.0,96.0,86.0,5.3,0.6,0.0,30.09,29.79,0.14
1/5/2024,47.8,44.1,38.8,46.0,37.9,31.1,98.0,80.0,54.0,8.7,1.0,0.0,29.91,29.73,0.14
1/6/2024,46.9,41.8,37.5,35.9,33.2,30.7,86.0,72.0,56.0,11.8,2.5,0.0,30.12,29.91,0.06
1/7/2024,49.8,40.3,33.8,34.8,31.2,28.5,86.0,71.0,48.0,13.6,2.0,0.0,30.18,30.12,0.0
1/8/2024,47.8,38.1,27.6,34.1,30.2,25.7,92.0,75.0,45.0,8.7,0.9,0.0,30.15,30.06,0.0
1/9/2024,44.2,40.4,35.9,38.6,36.3,32.5,89.0,85.0,79.0,6.9,0.4,0.0,30.09,30.03,0.0
1/10/2024,46.9,42.2,38.4,42.9,39.7,36.6,96.0,91.0,84.0,6.2,0.5,0.0,30.09,30.0,0.06
1/11/2024,48.7,38.4,30.7,37.4,32.2,25.7,97.0,80.0,41.0,8.9,1.2,0.0,30.21,30.03,0.06
1/12/2024,47.6,34.2,25.3,33.2,28.0,23.1,90.0,79.0,48.0,6.2,1.1,0.0,30.27,30.21,0.0
1/13/2024,51.0,39.2,30.0,40.8,34.3,27.8,93.0,83.0,53.0,5.5,0.8,0.0,30.3,30.18,0.0
1/14/2024,46.2,41.7,37.0,44.4,40.0,35.2,97.0,94.0,87.0,7.3,0.6,0.0,30.18,30.03,0.06
1/15/2024,55.4,48.3,40.8,53.6,47.2,39.9,97.0,96.0,93.0,7.3,0.6,0.0,30.03,29.91,0.11
1/16/2024,57.2,54.0,50.3,54.5,51.7,47.1,98.0,92.0,78.0,8.2,1.6,0.0,29.94,29.79,0.11
1/17/2024,57.2,51.8,49.8,50.9,48.7,46.0,96.0,89.0,72.0,12.7,3.5,0.0,29.79,29.59,0.55
1/18/2024,59.9,52.3,48.2,51.9,48.4,45.8,94.0,87.0,73.0,9.6,2.4,0.0,29.85,29.73,0.55
1/19/2024,48.5,43.8,40.6,47.6,41.1,34.1,97.0,90.0,77.0,13.4,3.7,0.0,29.91,29.68,1.08
1/20/2024,53.6,41.7,30.9,42.2,35.5,26.4,96.0,80.0,37.0,8.7,1.2,0.0,30.38,29.94,1.08
1/21/2024,53.2,43.7,35.0,42.6,38.2,32.5,95.0,82.0,61.0,7.1,1.2,0.0,30.53,30.38,0.0
1/22/2024,46.7,38.6,32.1,43.1,36.8,30.9,96.0,93.0,87.0,5.3,0.6,0.0,30.59,30.5,0.0
1/23/2024,60.6,45.6,34.5,51.6,42.1,33.6,98.0,89.0,65.0,5.5,0.7,0.0,30.62,30.56,0.0
1/24/2024,67.4,50.1,39.3,52.8,44.1,37.4,96.0,82.0,51.0,7.8,1.4,0.0,30.65,30.56,0.01
1/25/2024,66.5,50.2,39.2,50.5,42.9,35.9,92.0,78.0,46.0,5.8,1.4,0.0,30.59,30.44,0.01
1/26/2024,73.7,52.6,40.4,50.7,42.0,36.8,91.0,72.0,31.0,7.3,1.0,0.0,30.47,30.38,0.0
1/27/2024,71.0,52.1,41.0,50.7,42.1,36.5,87.0,72.0,33.0,6.9,1.4,0.0,30.41,30.3,0.0
1/28/2024,65.6,49.4,38.8,47.6,41.6,36.5,92.0,77.0,44.0,6.7,1.6,0.0,30.35,30.3,0.0
1/29/2024,63.1,49.6,41.5,46.4,42.1,39.0,93.0,77.0,49.0,7.6,1.0,0.0,30.41,30.3,0.0
1/30/2024,57.0,44.5,36.1,48.2,41.2,35.0,96.0,89.0,69.0,5.5,0.9,0.0,30.47,30.38,0.0
1/31/2024,49.1,42.0,35.9,44.6,39.9,34.8,97.0,92.0,82.0,5.3,0.6,0.0,30.53,30.47,0.0
2/1/2024,65.8,47.3,34.3,46.9,39.0,32.5,97.0,76.0,42.0,5.8,0.8,0.0,30.53,30.44,0.0
2/2/2024,62.7,47.1,35.2,46.0,39.0,32.1,92.0,76.0,47.0,14.0,1.6,0.0,30.44,30.38,0.0
2/3/2024,64.7,47.0,35.4,46.0,37.6,33.0,93.0,74.0,31.0,7.3,1.3,0.0,30.47,30.41,0.0
2/4/2024,64.7,46.4,33.6,42.8,34.5,28.9,88.0,68.0,27.0,7.3,1.4,0.0,30.44,30.35,0.0
2/5/2024,61.5,46.1,34.7,44.4,37.0,32.0,90.0,74.0,40.0,6.0,1.1,0.0,30.41,30.3,0.0
2/6/2024,59.3,45.3,36.3,46.4,39.3,33.8,94.0,81.0,53.0,6.7,1.1,0.0,30.33,30.21,0.0
2/7/2024,52.1,42.6,32.9,45.1,39.7,31.8,96.0,90.0,73.0,5.3,0.7,0.0,30.27,30.12,0.0
2/8/2024,52.8,48.2,45.5,47.3,45.0,40.6,96.0,89.0,65.0,11.8,1.8,0.0,30.12,29.65,0.37
2/9/2024,52.1,48.7,45.3,50.9,47.4,43.3,97.0,95.0,90.0,10.0,2.4,0.0,29.62,29.17,1.0
2/10/2024,53.9,45.8,40.1,44.4,36.9,26.7,95.0,72.0,52.0,12.9,1.6,0.0,29.73,29.23,1.0
2/11/2024,50.1,41.0,33.6,40.4,35.3,26.6,94.0,81.0,58.0,8.9,1.5,0.0,29.88,29.73,0.07
2/12/2024,65.6,49.8,41.7,50.7,41.7,35.7,97.0,78.0,34.0,7.1,0.9,0.0,30.12,29.79,0.01
2/13/2024,62.6,50.7,41.0,52.8,46.8,39.2,96.0,87.0,65.0,5.5,0.9,0.0,30.27,30.09,0.01
2/14/2024,62.6,54.0,47.3,55.2,50.6,46.2,96.0,89.0,73.0,7.3,1.1,0.0,30.27,30.15,0.0
2/15/2024,62.6,52.4,46.7,54.5,49.7,45.5,96.0,91.0,73.0,6.7,1.1,0.0,30.15,29.97,0.14
2/16/2024,59.9,51.3,42.9,49.8,42.8,37.4,96.0,74.0,46.0,12.9,2.7,0.0,30.33,30.03,0.14
2/17/2024,66.7,51.7,39.5,39.7,35.2,23.0,91.0,58.0,20.0,14.9,2.0,0.0,30.47,30.33,0.0
2/18/2024,65.4,48.0,34.7,46.4,36.4,30.7,90.0,68.0,33.0,6.0,1.1,0.0,30.53,30.47,0.0
2/19/2024,69.6,52.5,38.8,51.8,42.7,35.7,95.0,72.0,42.0,7.6,0.8,0.0,30.5,30.38,0.0
2/20/2024,69.0,53.6,37.2,44.7,38.1,33.4,90.0,60.0,29.0,7.8,1.1,0.0,30.44,30.33,0.0
2/21/2024,59.1,46.5,34.8,46.5,37.2,28.9,88.0,72.0,41.0,5.3,1.0,0.0,30.35,30.15,0.0
2/22/2024,57.2,48.7,38.6,50.7,43.6,33.6,95.0,83.0,57.0,11.4,2.2,0.0,30.18,29.79,0.01
2/23/2024,53.0,45.2,37.5,40.6,32.2,26.7,80.0,62.0,39.0,10.0,1.6,0.0,29.88,29.76,0.01
2/24/2024,54.8,45.4,37.9,35.2,31.5,27.1,81.0,60.0,36.0,10.2,1.8,0.0,29.97,29.79,0.0
2/25/2024,57.3,49.9,42.8,48.9,44.5,34.7,92.0,82.0,65.0,12.0,3.9,0.0,29.97,29.68,0.0
2/26/2024,56.3,47.6,42.2,48.0,36.8,29.8,94.0,68.0,39.0,16.1,2.8,0.0,29.88,29.65,0.0
2/27/2024,50.3,43.9,40.4,33.2,29.5,25.5,66.0,57.0,47.0,22.5,7.0,0.0,30.15,29.88,0.0
2/28/2024,55.2,47.3,41.5,38.8,33.5,26.6,73.0,59.0,49.0,19.6,6.4,0.0,30.18,30.12,0.0
2/29/2024,62.7,45.8,30.3,43.7,33.2,21.3,93.0,64.0,40.0,13.1,1.9,0.0,30.15,29.94,0.0
3/1/2024,60.6,46.3,30.0,39.9,31.0,21.5,85.0,57.0,36.0,11.4,1.9,0.0,30.09,29.91,0.0
3/2/2024,46.7,42.8,37.5,43.7,39.3,32.1,91.0,87.0,75.0,16.3,3.4,0.0,29.91,29.47,0.28
3/3/2024,52.1,43.4,32.9,37.9,32.0,27.6,89.0,66.0,42.0,11.6,2.0,0.0,29.97,29.68,0.28
3/4/2024,57.7,47.4,39.2,49.1,41.2,31.8,92.0,80.0,58.0,9.6,1.5,0.0,30.09,29.97,0.0
3/5/2024,58.1,46.7,35.7,38.4,34.2,30.0,90.0,65.0,38.0,8.7,1.3,0.0,30.21,30.09,0.0
3/6/2024,59.5,44.6,31.4,39.7,34.8,29.3,92.0,72.0,42.0,9.6,1.8,0.0,30.21,29.97,0.0
3/7/2024,57.0,45.0,37.0,48.2,39.2,34.5,94.0,81.0,54.0,13.1,2.3,0.0,29.97,29.68,0.2
3/8/2024,51.4,43.6,39.3,42.6,39.2,37.4,96.0,85.0,61.0,10.5,3.4,0.0,29.73,29.53,0.4
3/9/2024,46.9,43.1,38.8,44.6,38.9,35.6,94.0,85.0,68.0,12.0,3.5,0.0,29.53,29.35,0.47
3/10/2024,59.1,47.4,39.2,43.5,38.6,34.8,94.0,74.0,42.0,9.6,1.9,0.0,29.82,29.44,0.22
3/11/2024,60.2,50.7,41.5,38.3,35.5,30.7,81.0,57.0,37.0,14.0,1.8,0.0,30.15,29.85,0.03
3/12/2024,65.4,48.7,33.8,43.7,37.2,31.8,93.0,69.0,33.0,6.7,1.2,0.0,30.21,30.12,0.0
3/13/2024,67.8,50.8,37.4,45.5,39.0,34.7,91.0,69.0,33.0,7.8,1.4,0.0,30.12,29.97,0.0
3/14/2024,65.8,50.6,37.9,49.2,42.2,35.2,92.0,75.0,50.0,9.6,1.9,0.0,30.12,30.0,0.0
3/15/2024,62.9,49.8,38.8,52.8,45.0,37.5,95.0,85.0,60.0,7.6,1.1,0.0,30.24,30.12,0.0
3/16/2024,68.0,53.6,39.5,53.7,46.7,38.4,96.0,79.0,56.0,7.6,1.4,0.0,30.3,30.21,0.0
3/17/2024,71.2,57.4,44.7,56.4,49.6,43.3,95.0,78.0,53.0,6.2,1.3,0.0,30.24,30.12,0.0
3/18/2024,74.4,59.2,46.0,57.9,50.4,44.2,95.0,75.0,46.0,7.6,1.3,0.0,30.15,30.03,0.0
3/19/2024,76.4,60.7,47.8,55.9,48.9,44.0,93.0,69.0,34.0,8.5,1.7,0.0,30.06,29.94,0.0
3/20/2024,75.9,61.0,48.2,51.2,46.7,43.8,86.0,63.0,33.0,10.9,2.0,0.0,30.06,29.91,0.0
3/21/2024,79.5,65.0,55.0,55.7,48.8,44.9,77.0,59.0,30.0,10.2,2.4,0.0,30.18,30.03,0.0
3/22/2024,83.3,63.7,48.5,54.8,46.9,39.3,87.0,61.0,22.0,6.2,1.4,0.0,30.18,30.03,0.0
3/23/2024,79.5,61.8,48.7,55.7,48.9,42.2,84.0,65.0,33.0,10.0,1.7,0.0,30.12,29.97,0.0
3/24/2024,77.0,60.9,47.3,50.0,45.0,36.1,89.0,60.0,29.0,7.8,1.4,0.0,30.03,29.73,0.0
3/25/2024,59.3,52.9,48.7,53.7,47.9,36.6,93.0,84.0,47.0,8.2,0.6,0.0,29.73,29.32,0.18
3/26/2024,54.3,45.1,38.1,44.2,36.1,23.9,93.0,73.0,31.0,9.3,1.8,0.0,29.41,29.32,0.28
3/27/2024,57.0,45.8,36.8,49.2,42.1,34.3,95.0,87.0,64.0,10.7,3.0,0.0,29.5,29.35,0.28
3/28/2024,61.7,51.8,44.4,51.8,45.8,40.8,93.0,81.0,57.0,14.3,4.1,0.0,29.62,29.44,0.25
3/29/2024,51.0,46.5,41.5,50.0,44.6,39.2,96.0,93.0,84.0,8.0,1.7,0.0,29.53,29.41,0.85
3/30/2024,54.1,45.0,40.4,46.5,41.9,38.8,96.0,89.0,59.0,12.5,2.3,0.0,29.53,29.32,0.85
3/31/2024,51.6,43.2,38.1,43.8,40.2,36.3,95.0,89.0,69.0,12.0,2.3,0.0,29.65,29.35,0.64
4/1/2024,57.9,46.0,36.6,47.1,39.7,35.0,95.0,80.0,51.0,12.5,1.8,0.0,30.06,29.68,0.59
4/2/2024,59.1,47.7,35.4,48.0,41.6,34.1,96.0,81.0,62.0,8.2,1.2,0.0,30.12,30.0,0.0
4/3/2024,68.1,52.9,41.5,50.3,44.4,39.5,93.0,75.0,44.0,7.8,1.1,0.0,30.15,30.03,0.0
4/4/2024,70.1,54.1,39.2,51.9,45.6,37.9,96.0,76.0,46.0,9.3,1.4,0.0,30.15,30.03,0.0
4/5/2024,74.8,57.6,42.9,53.0,46.1,41.3,94.0,70.0,33.0,6.9,1.6,0.0,30.09,29.94,0.0
4/6/2024,79.7,61.9,47.3,57.3,48.2,41.5,87.0,65.0,27.0,8.5,1.3,0.0,30.03,29.91,0.0
4/7/2024,75.7,63.1,53.2,54.6,49.9,44.2,87.0,65.0,36.0,8.0,1.3,0.0,30.0,29.91,0.0
4/8/2024,66.9,55.8,47.3,51.4,45.6,33.8,94.0,71.0,33.0,10.9,1.8,0.0,30.09,29.88,0.01
4/9/2024,63.1,50.7,36.6,38.4,34.2,28.7,87.0,56.0,29.0,14.9,2.4,0.0,30.38,30.09,0.01
4/10/2024,73.7,54.9,36.1,47.3,39.8,32.9,90.0,60.0,33.0,13.8,1.8,0.0,30.41,30.3,0.0
4/11/2024,81.5,63.9,42.9,53.4,46.1,39.9,92.0,57.0,31.0,11.8,2.0,0.0,30.38,30.3,0.0
4/12/2024,80.9,61.3,42.2,54.5,45.5,39.9,92.0,62.0,29.0,6.9,1.1,0.0,30.44,30.33,0.0
4/13/2024,86.5,63.9,45.3,53.9,45.9,34.3,91.0,60.0,17.0,5.8,1.1,0.0,30.38,30.24,0.0
4/14/2024,84.9,64.5,46.2,53.0,46.7,41.3,86.0,58.0,24.0,9.8,1.5,0.0,30.3,30.15,0.0
4/15/2024,86.5,66.6,50.9,57.2,49.5,40.2,88.0,59.0,27.0,11.4,1.9,0.0,30.18,30.06,0.0
4/16/2024,81.5,64.4,44.9,51.2,44.1,37.5,85.0,51.0,27.0,16.1,2.3,0.0,30.12,29.97,0.0
4/17/2024,78.4,59.8,43.1,46.2,40.2,36.1,83.0,52.0,24.0,10.0,2.0,0.0,30.03,29.94,0.0
4/18/2024,73.7,56.8,39.2,47.1,38.6,34.5,87.0,55.0,27.0,9.3,1.8,0.0,30.12,29.97,0.0
