Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,56.5,41.9,31.6,45.0,39.8,31.3,99.0,93.0,65.0,4.5,0.0,0.0,30.12,29.97,0.0
1/2/2024,50.7,40.3,30.9,46.6,38.7,30.6,99.0,95.0,82.0,2.2,0.0,0.0,30.11,30.0,0.0
1/3/2024,57.6,51.5,43.2,55.9,50.7,42.8,99.0,97.0,93.0,4.9,0.1,0.0,30.04,29.96,0.08
1/4/2024,55.9,50.9,46.0,54.1,50.2,45.7,99.0,98.0,89.0,3.8,0.0,0.0,30.02,29.73,0.15
1/5/2024,51.6,46.2,41.5,48.4,40.0,34.2,99.0,80.0,57.0,17.2,1.1,0.0,29.85,29.65,0.02
1/6/2024,52.7,41.0,31.1,38.3,33.9,28.9,93.0,77.0,52.0,8.5,0.6,0.0,30.05,29.83,0.0
1/7/2024,57.2,35.9,27.1,37.6,30.9,25.9,99.0,85.0,41.0,5.4,0.0,0.0,30.12,30.02,0.0
1/8/2024,51.4,32.9,21.0,36.1,29.1,20.5,99.0,88.0,49.0,2.5,0.0,0.0,30.08,29.96,0.0
1/9/2024,50.2,41.2,35.1,42.8,37.7,33.1,96.0,88.0,72.0,2.2,0.0,0.0,30.02,29.93,0.0
1/10/2024,46.4,42.5,35.8,44.4,41.5,35.1,99.0,96.0,90.0,7.8,0.4,0.0,30.04,29.94,0.05
1/11/2024,55.2,39.0,28.2,43.9,35.1,26.4,99.0,87.0,52.0,6.3,0.1,0.0,30.12,29.94,0.01
1/12/2024,54.3,33.5,21.9,41.5,30.5,21.4,99.0,90.0,61.0,2.2,0.0,0.0,30.2,30.1,0.0
1/13/2024,49.6,38.2,29.3,44.4,36.3,28.9,99.0,94.0,77.0,0.7,0.0,0.0,30.21,30.06,0.0
1/14/2024,52.7,44.0,36.0,47.8,42.1,35.6,99.0,94.0,80.0,1.8,0.0,0.0,30.09,29.94,0.0
1/15/2024,58.1,53.4,48.4,56.7,52.7,47.3,99.0,98.0,91.0,6.9,0.1,0.0,29.96,29.83,0.4
1/16/2024,63.0,56.5,52.3,58.1,53.4,45.3,99.0,90.0,63.0,6.3,0.1,0.0,29.88,29.71,0.01
1/17/2024,59.0,53.8,49.3,53.6,50.6,47.1,99.0,89.0,77.0,11.2,0.7,0.0,29.71,29.49,0.44
1/18/2024,59.0,53.6,50.4,54.5,51.2,47.3,99.0,91.0,83.0,8.7,0.5,0.0,29.77,29.67,0.11
1/19/2024,52.2,47.4,38.1,51.8,47.0,37.8,99.0,99.0,96.0,0.9,0.0,0.0,29.81,29.55,1.37
1/20/2024,56.8,41.7,32.2,48.0,39.4,31.8,99.0,92.0,69.0,3.1,0.0,0.0,30.29,29.81,0.0
1/21/2024,60.6,43.9,32.9,46.2,40.7,32.5,99.0,90.0,55.0,2.5,0.0,0.0,30.44,30.28,0.0
1/22/2024,58.6,39.6,30.0,49.3,37.8,29.7,99.0,94.0,69.0,3.4,0.0,0.0,30.51,30.42,0.0
1/23/2024,68.2,43.2,33.1,54.0,41.0,32.7,99.0,93.0,58.0,2.9,0.0,0.0,30.57,30.47,0.0
1/24/2024,72.5,45.3,33.1,57.0,42.7,32.7,99.0,93.0,57.0,3.8,0.0,0.0,30.56,30.45,0.01
1/25/2024,71.6,46.2,32.0,56.5,43.0,31.6,99.0,91.0,57.0,2.5,0.0,0.0,30.49,30.34,0.0
1/26/2024,72.3,46.2,33.1,54.1,42.7,32.7,99.0,90.0,48.0,2.9,0.0,0.0,30.41,30.29,0.01
1/27/2024,73.6,47.8,34.5,53.1,43.5,34.2,99.0,88.0,46.0,1.6,0.0,0.0,30.33,30.2,0.0
1/28/2024,70.7,46.9,32.5,52.7,42.8,32.2,99.0,88.0,51.0,2.5,0.0,0.0,30.27,30.18,0.01
1/29/2024,65.7,46.2,35.1,50.7,42.8,34.7,99.0,89.0,57.0,2.9,0.0,0.0,30.32,30.22,0.0
