Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,51.9,42.1,36.9,44.2,39.2,35.8,98.0,90.0,66.0,7.4,1.0,0.0,29.88,29.74,0.0
1/2/2024,47.3,41.8,35.1,44.7,39.8,34.1,96.0,93.0,81.0,4.9,0.5,0.0,29.88,29.78,0.0
1/3/2024,54.8,50.2,43.9,53.7,49.4,42.3,99.0,97.0,94.0,29.5,2.0,0.0,29.81,29.72,0.08
1/4/2024,52.5,50.2,47.6,51.1,49.5,46.2,98.0,97.0,94.0,7.4,1.8,0.0,29.79,29.5,0.17
1/5/2024,49.8,45.0,40.3,46.7,37.6,30.8,97.0,76.0,54.0,12.5,5.0,1.1,29.62,29.43,0.07
1/6/2024,50.8,42.2,35.4,35.1,32.7,30.6,84.0,70.0,48.0,10.5,3.2,0.0,29.82,29.61,0.0
1/7/2024,53.7,41.4,33.8,33.5,31.1,28.2,89.0,68.0,40.0,7.4,1.4,0.0,29.88,29.79,0.0
1/8/2024,48.2,37.6,28.6,34.9,30.7,26.0,92.0,77.0,53.0,4.0,0.3,0.0,29.84,29.74,0.0
1/9/2024,48.4,42.1,38.1,40.1,37.1,33.3,90.0,82.0,70.0,5.4,0.7,0.0,29.78,29.7,0.0
1/10/2024,45.4,42.5,38.6,42.8,40.3,37.2,96.0,92.0,83.0,12.1,3.3,0.0,29.79,29.71,0.02
1/11/2024,51.0,40.5,34.9,41.4,34.4,28.0,95.0,80.0,53.0,7.6,1.9,0.0,29.88,29.71,0.0
1/12/2024,47.3,37.4,30.1,36.1,30.5,26.1,85.0,76.0,62.0,7.2,2.7,0.0,29.97,29.86,0.0
1/13/2024,48.1,41.5,36.0,40.8,35.7,30.8,88.0,80.0,72.0,6.3,2.1,0.0,29.98,29.84,0.0
1/14/2024,49.2,44.8,40.2,47.5,41.7,37.5,94.0,89.0,78.0,4.5,0.9,0.0,29.86,29.72,0.0
1/15/2024,56.3,51.9,47.0,54.9,51.1,46.1,99.0,97.0,94.0,13.2,3.2,0.0,29.73,29.6,0.52
1/16/2024,60.7,55.3,51.4,56.2,52.0,46.0,98.0,89.0,68.0,10.1,3.3,0.0,29.66,29.48,0.02
1/17/2024,55.9,52.6,49.1,51.4,49.1,45.4,97.0,88.0,78.0,16.3,6.4,0.0,29.49,29.27,0.44
1/18/2024,57.7,52.0,48.6,52.0,49.4,46.8,98.0,91.0,77.0,16.6,6.0,0.0,29.54,29.45,0.04
1/19/2024,50.7,45.4,39.1,50.2,43.7,35.3,98.0,94.0,84.0,16.6,5.1,0.0,29.61,29.33,1.13
1/20/2024,52.3,42.2,34.1,44.2,37.2,31.7,96.0,83.0,65.0,12.8,2.0,0.0,30.07,29.6,0.0
1/21/2024,56.9,44.5,36.7,43.6,40.3,35.9,97.0,86.0,57.0,5.1,0.5,0.0,30.22,30.06,0.0
1/22/2024,57.2,42.6,33.7,47.6,39.8,32.7,97.0,90.0,70.0,5.8,0.7,0.0,30.27,30.19,0.0
1/23/2024,66.1,47.4,37.2,52.4,43.9,36.2,97.0,89.0,59.0,4.5,0.8,0.0,30.32,30.24,0.0
1/24/2024,68.2,50.4,39.8,53.2,45.9,39.0,98.0,86.0,55.0,4.7,0.7,0.0,30.33,30.23,0.0
1/25/2024,70.8,51.4,39.1,52.2,46.1,38.1,96.0,83.0,49.0,4.9,0.6,0.0,30.25,30.12,0.0
1/26/2024,71.2,51.8,41.5,51.3,44.9,39.5,95.0,80.0,45.0,5.1,0.7,0.0,30.17,30.07,0.0
1/27/2024,67.1,53.5,44.6,48.7,44.5,40.1,92.0,73.0,46.0,6.7,1.7,0.0,30.1,29.99,0.0
1/28/2024,66.9,52.5,42.7,47.7,44.1,39.4,89.0,74.0,48.0,6.3,1.7,0.0,30.04,29.97,0.0
1/29/2024,60.0,51.1,43.4,46.9,44.0,40.5,90.0,78.0,57.0,5.8,1.4,0.0,30.09,30.0,0.0
1/30/2024,62.2,48.7,42.0,48.0,43.4,39.9,94.0,83.0,57.0,4.7,1.0,0.0,30.16,30.07,0.0
1/31/2024,54.6,45.5,39.4,45.4,41.4,37.0,93.0,86.0,69.0,6.3,1.9,0.0,30.22,30.14,0.0
2/1/2024,66.9,49.2,35.7,46.0,40.1,34.1,95.0,75.0,36.0,7.2,1.4,0.0,30.24,30.12,0.0
2/2/2024,62.9,50.1,39.9,44.9,41.0,36.9,91.0,72.0,49.0,11.2,1.8,0.0,30.14,30.06,0.0
2/3/2024,64.6,50.3,42.3,42.2,39.7,37.2,87.0,69.0,42.0,7.8,2.6,0.0,30.15,30.08,0.0
2/4/2024,70.1,49.3,37.8,41.5,37.4,33.4,86.0,67.0,28.0,4.0,0.7,0.0,30.14,30.05,0.0
2/5/2024,64.6,47.6,37.6,43.4,38.4,33.5,88.0,72.0,41.0,4.7,0.6,0.0,30.09,29.99,0.0
2/6/2024,59.6,48.4,39.5,47.8,42.6,37.4,93.0,81.0,62.0,7.8,1.5,0.0,30.0,29.9,0.0
2/7/2024,53.5,48.5,44.0,49.7,46.0,41.8,96.0,91.0,68.0,12.5,3.5,0.0,29.95,29.8,0.0
2/8/2024,56.9,48.9,43.9,47.8,43.9,36.8,97.0,84.0,48.0,12.8,2.1,0.0,29.8,29.31,0.05
2/9/2024,54.5,49.7,46.5,51.4,47.7,43.7,98.0,93.0,85.0,12.8,3.0,0.0,29.31,28.9,0.45
2/10/2024,51.9,44.9,38.4,44.5,38.8,30.7,95.0,80.0,57.0,16.8,5.4,0.0,29.46,28.96,0.07
2/11/2024,49.3,40.5,33.8,42.6,37.6,31.7,94.0,90.0,70.0,10.7,2.6,0.0,29.59,29.45,0.02
2/12/2024,59.0,49.1,41.8,51.9,46.4,40.7,98.0,91.0,75.0,15.4,4.5,0.0,29.81,29.49,0.0
