Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,49.1,39.7,32.9,41.7,36.3,30.9,96.0,88.0,70.0,4.9,0.5,0.0,30.22,30.08,0.0
1/2/2024,42.6,39.8,35.8,41.0,38.3,34.0,98.0,95.0,89.0,2.9,0.2,0.0,30.22,30.12,0.0
1/3/2024,50.9,45.8,40.8,50.5,45.4,40.5,99.0,99.0,98.0,2.5,0.1,0.0,30.14,30.06,0.04
1/4/2024,49.5,45.6,42.1,47.8,44.9,41.7,99.0,98.0,91.0,4.0,0.2,0.0,30.13,29.83,0.12
1/5/2024,46.9,42.8,39.7,44.2,36.6,30.7,99.0,80.0,57.0,10.3,1.9,0.0,29.95,29.74,0.07
1/6/2024,48.2,41.9,37.8,35.4,32.9,30.9,80.0,71.0,56.0,17.2,3.1,0.0,30.16,29.94,0.0
1/7/2024,48.2,40.2,32.7,33.6,30.9,28.2,86.0,70.0,54.0,9.6,1.8,0.0,30.25,30.14,0.0
1/8/2024,47.7,38.4,28.8,32.5,30.0,24.8,86.0,72.0,47.0,6.0,0.9,0.0,30.19,30.07,0.0
1/9/2024,42.6,39.3,35.4,38.5,35.5,31.1,93.0,86.0,81.0,3.4,0.2,0.0,30.11,30.05,0.0
1/10/2024,43.7,40.6,37.0,42.6,39.4,36.3,99.0,96.0,91.0,4.9,0.2,0.0,30.09,30.03,0.26
1/11/2024,47.8,39.1,30.2,37.2,31.8,25.9,98.0,77.0,45.0,6.9,1.0,0.0,30.23,30.05,0.0
1/12/2024,48.2,33.8,25.2,31.8,27.5,22.6,92.0,79.0,50.0,3.4,0.4,0.0,30.32,30.21,0.0
1/13/2024,48.2,38.7,29.8,40.1,34.1,27.5,95.0,84.0,63.0,5.1,0.5,0.0,30.34,30.19,0.0
1/14/2024,46.4,41.8,36.7,44.4,40.6,35.1,99.0,96.0,90.0,6.7,0.4,0.0,30.2,30.05,0.04
1/15/2024,51.8,46.9,42.6,51.3,46.5,42.3,99.0,99.0,96.0,2.2,0.1,0.0,30.06,29.94,0.21
1/16/2024,55.8,51.8,49.1,54.5,50.8,47.7,99.0,97.0,85.0,6.5,0.9,0.0,29.98,29.83,0.12
1/17/2024,53.2,49.9,45.7,50.9,48.5,43.9,99.0,95.0,84.0,9.6,2.2,0.0,29.84,29.6,0.96
1/18/2024,60.6,49.5,43.5,52.7,47.5,43.0,99.0,93.0,73.0,6.3,0.9,0.0,29.9,29.76,0.01
1/19/2024,47.1,42.7,38.8,46.4,41.0,34.9,99.0,94.0,83.0,13.9,2.1,0.0,29.96,29.71,1.06
