Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,46.6,39.1,32.0,36.1,30.9,26.4,86.0,73.0,58.0,8.3,1.4,0.0,30.25,30.13,0.0
1/2/2024,41.4,36.7,34.0,40.5,34.8,31.1,97.0,93.0,80.0,7.6,0.8,0.0,30.25,30.15,0.02
1/3/2024,52.2,45.8,40.6,48.0,43.3,37.0,98.0,91.0,67.0,15.0,1.3,0.0,30.2,30.12,0.09
1/4/2024,45.1,42.5,38.8,43.3,40.4,34.7,97.0,92.0,73.0,9.6,1.1,0.0,30.19,29.89,0.07
1/5/2024,43.5,38.4,35.8,37.2,31.0,26.1,92.0,75.0,57.0,25.1,5.0,0.0,29.99,29.8,0.13
1/6/2024,41.2,37.6,34.3,30.0,26.6,22.8,83.0,65.0,51.0,28.6,8.0,0.0,30.18,29.98,0.0
1/7/2024,42.6,36.8,31.8,28.0,25.8,23.5,78.0,64.0,52.0,14.3,2.5,0.0,30.25,30.17,0.0
1/8/2024,43.9,35.4,27.7,29.5,25.4,20.7,79.0,68.0,43.0,11.9,2.3,0.0,30.21,30.1,0.0
1/9/2024,37.2,35.3,32.9,34.0,31.4,27.7,94.0,86.0,75.0,5.8,1.0,0.0,30.15,30.09,0.0
1/10/2024,41.9,37.2,34.5,37.6,34.5,32.4,96.0,90.0,70.0,13.9,1.1,0.0,30.14,30.07,0.23
1/11/2024,42.1,35.1,28.8,33.4,27.1,22.6,91.0,73.0,52.0,14.8,3.9,0.0,30.25,30.09,0.01
1/12/2024,41.2,31.7,24.8,28.0,24.1,20.5,86.0,74.0,56.0,6.9,1.5,0.0,30.33,30.23,0.0
1/13/2024,45.7,38.6,30.0,36.7,32.2,25.5,85.0,78.0,64.0,8.3,1.0,0.0,30.35,30.24,0.0
1/14/2024,52.5,43.7,39.0,46.0,39.2,33.8,96.0,85.0,57.0,16.3,1.3,0.0,30.25,30.11,0.04
1/15/2024,55.8,48.7,42.4,50.5,46.0,40.8,96.0,91.0,75.0,11.2,1.3,0.0,30.12,30.01,0.31
1/16/2024,54.1,48.9,45.0,48.7,46.6,42.6,96.0,92.0,78.0,14.5,3.0,0.0,30.07,29.9,0.14
1/17/2024,49.3,45.6,41.5,45.0,42.9,38.1,95.0,91.0,71.0,15.9,5.2,0.0,29.91,29.68,1.8
1/18/2024,53.4,47.7,43.0,46.4,40.7,36.7,95.0,77.0,56.0,11.0,2.3,0.0,29.96,29.82,0.0
1/19/2024,44.8,40.4,36.3,41.0,36.7,31.6,91.0,87.0,76.0,17.5,4.8,0.0,29.99,29.74,1.33
1/20/2024,48.6,38.9,31.5,37.8,30.4,22.3,89.0,72.0,39.0,15.4,3.3,0.0,30.44,29.99,0.0
1/21/2024,49.3,39.8,31.6,39.4,33.9,28.4,89.0,80.0,61.0,7.6,1.3,0.0,30.58,30.43,0.0
1/22/2024,53.2,43.1,34.5,44.8,38.0,30.9,92.0,82.0,66.0,17.7,1.7,0.0,30.65,30.54,0.0
1/23/2024,58.6,49.0,40.3,49.3,43.2,37.6,92.0,81.0,68.0,8.1,1.7,0.0,30.71,30.62,0.0
1/24/2024,65.8,52.3,43.2,49.6,41.3,34.7,82.0,67.0,44.0,5.6,2.2,0.0,30.72,30.65,0.0
1/25/2024,67.8,53.0,43.7,47.7,39.9,33.4,78.0,62.0,39.0,5.4,2.1,0.0,30.67,30.54,0.0
1/26/2024,68.2,55.2,46.0,45.0,36.9,32.9,70.0,52.0,30.0,6.7,2.2,0.0,30.58,30.51,0.0
1/27/2024,65.1,52.5,44.4,43.9,36.4,31.3,73.0,55.0,35.0,4.9,2.0,0.0,30.53,30.43,0.0
1/28/2024,58.5,48.3,40.1,43.3,38.7,34.7,82.0,70.0,54.0,8.5,2.3,0.0,30.46,30.4,0.0
1/29/2024,57.4,47.8,41.2,42.6,39.1,36.3,84.0,72.0,53.0,5.4,1.6,0.0,30.48,30.4,0.0
1/30/2024,55.4,44.5,36.0,45.7,38.6,32.5,89.0,80.0,68.0,5.4,1.3,0.0,30.54,30.46,0.0
1/31/2024,55.6,44.4,35.2,46.0,37.3,29.3,95.0,78.0,40.0,7.6,1.4,0.0,30.6,30.52,0.0
2/1/2024,62.8,52.2,40.6,40.8,32.6,23.0,70.0,48.0,29.0,11.6,3.4,0.0,30.62,30.53,0.0
2/2/2024,58.3,50.7,40.3,41.7,33.4,23.0,76.0,53.0,29.0,9.2,2.2,0.0,30.55,30.47,0.0
2/3/2024,58.5,45.7,37.6,41.4,34.2,24.6,83.0,66.0,36.0,8.5,2.3,0.0,30.55,30.49,0.0
2/4/2024,61.3,48.1,37.6,35.4,27.3,16.5,62.0,46.0,21.0,6.9,2.5,0.0,30.53,30.47,0.0
2/5/2024,58.1,47.3,38.3,38.3,30.8,23.9,70.0,54.0,30.0,5.8,2.1,0.0,30.51,30.39,0.0
2/6/2024,55.8,48.3,38.8,43.0,33.4,26.4,71.0,57.0,35.0,12.1,2.0,0.0,30.41,30.3,0.0
2/7/2024,49.8,42.0,35.2,40.8,35.3,26.1,91.0,78.0,40.0,8.7,1.4,0.0,30.34,30.19,0.0
2/8/2024,43.3,41.6,39.0,40.6,38.9,36.0,95.0,90.0,79.0,16.8,5.3,0.0,30.19,29.72,0.33
2/9/2024,45.7,42.8,39.2,43.9,41.1,37.4,95.0,94.0,94.0,17.9,3.8,0.0,29.72,29.32,0.94
2/10/2024,41.4,38.2,35.6,38.3,30.6,24.1,94.0,75.0,56.0,42.7,6.1,0.0,29.81,29.36,0.47
2/11/2024,42.1,37.1,34.7,35.4,29.0,23.5,93.0,73.0,56.0,34.0,4.2,0.0,29.96,29.8,0.02
2/12/2024,56.5,46.8,35.8,42.8,36.3,30.0,94.0,69.0,39.0,28.2,4.7,0.0,30.22,29.87,0.22
2/13/2024,51.3,48.0,42.4,47.1,42.3,36.0,91.0,81.0,60.0,9.6,1.1,0.0,30.37,30.19,0.01
2/14/2024,59.0,49.8,43.0,50.0,45.8,40.6,94.0,87.0,71.0,6.3,0.9,0.0,30.38,30.25,0.0
2/15/2024,59.5,49.7,46.2,48.2,44.9,37.0,93.0,84.0,62.0,19.0,3.1,0.0,30.26,30.08,0.12
2/16/2024,54.0,47.4,41.4,39.4,34.8,31.1,74.0,62.0,47.0,21.5,5.3,0.0,30.41,30.12,0.0
2/17/2024,58.8,48.6,39.4,34.0,29.8,14.7,72.0,50.0,19.0,21.0,4.8,0.0,30.57,30.39,0.0
2/18/2024,61.2,48.9,37.0,41.2,31.3,21.2,65.0,51.0,36.0,10.7,2.5,0.0,30.62,30.55,0.0
2/19/2024,64.0,54.1,44.2,45.3,38.7,28.9,73.0,57.0,29.0,16.6,4.1,0.0,30.59,30.48,0.0
2/20/2024,67.1,52.9,41.2,37.4,25.2,12.6,58.0,35.0,14.0,11.2,2.7,0.0,30.53,30.42,0.0
2/21/2024,58.5,48.4,39.9,39.7,29.5,15.6,68.0,49.0,25.0,10.1,1.9,0.0,30.46,30.26,0.0
2/22/2024,53.2,44.7,38.3,44.2,37.8,26.6,91.0,77.0,45.0,32.7,3.0,0.0,30.27,29.86,0.11
2/23/2024,45.7,38.2,33.8,32.4,26.9,23.9,82.0,64.0,48.0,34.0,5.7,0.0,29.96,29.87,0.02
2/24/2024,44.6,37.8,33.4,30.4,26.7,24.3,77.0,64.0,49.0,23.0,4.8,0.0,30.07,29.86,0.05
2/25/2024,54.1,45.5,37.6,44.1,38.3,29.3,92.0,77.0,53.0,24.8,4.5,0.0,30.07,29.79,0.19
2/26/2024,45.7,40.3,35.4,34.9,30.0,23.2,78.0,67.0,51.0,40.7,7.9,0.0,29.95,29.71,0.05
2/27/2024,39.2,35.6,34.0,27.1,24.1,20.8,67.0,63.0,53.0,43.2,18.3,1.3,30.05,29.9,0.0
3/1/2024,51.3,45.1,41.5,33.4,32.0,29.3,71.0,60.0,46.0,17.5,3.2,0.0,30.07,29.98,0.0
3/2/2024,43.2,37.3,32.0,37.4,32.6,25.7,93.0,83.0,67.0,38.0,6.0,0.0,29.99,29.55,0.34
3/3/2024,42.3,35.6,30.0,31.5,26.8,23.4,84.0,71.0,51.0,28.0,6.2,0.0,30.05,29.74,0.1
3/4/2024,51.6,42.2,37.4,43.0,34.8,26.4,90.0,76.0,55.0,19.5,3.1,0.0,30.2,30.03,0.03
3/5/2024,50.2,42.0,35.6,34.2,29.8,25.7,76.0,62.0,47.0,16.3,3.2,0.0,30.29,30.19,0.0
3/6/2024,52.0,41.2,31.1,36.9,30.7,25.9,82.0,67.0,49.0,11.6,2.7,0.0,30.27,30.07,0.0
3/7/2024,45.7,39.8,34.7,38.5,33.6,29.7,93.0,79.0,64.0,17.2,4.5,0.0,30.07,29.76,0.36
3/8/2024,43.9,35.9,31.8,36.5,32.5,30.0,94.0,88.0,68.0,17.9,6.4,0.0,29.8,29.6,0.74
3/9/2024,39.9,36.2,32.5,36.9,32.4,28.2,94.0,87.0,70.0,14.8,4.2,0.0,29.6,29.45,0.47
3/10/2024,47.7,39.4,32.0,37.0,32.5,29.8,93.0,77.0,56.0,22.2,4.7,0.0,29.93,29.53,0.2
3/11/2024,48.0,42.0,37.4,33.1,30.4,25.3,77.0,64.0,49.0,30.2,4.3,0.0,30.26,29.92,0.0
3/12/2024,57.7,45.4,34.0,40.6,34.1,28.2,81.0,65.0,50.0,9.8,2.4,0.0,30.28,30.21,0.0
3/13/2024,59.5,48.4,38.1,41.5,35.2,30.6,76.0,61.0,43.0,11.2,2.8,0.0,30.23,30.09,0.0
3/14/2024,57.9,48.4,39.9,44.1,38.0,32.7,79.0,68.0,54.0,16.3,3.2,0.0,30.22,30.11,0.0
3/15/2024,55.6,48.9,39.9,47.1,40.6,34.0,82.0,73.0,62.0,7.6,1.5,0.0,30.34,30.21,0.0
3/16/2024,61.0,51.0,40.1,48.2,42.7,35.8,86.0,74.0,57.0,11.2,2.3,0.0,30.4,30.32,0.0
3/17/2024,62.2,53.4,44.2,50.2,45.4,39.6,86.0,75.0,60.0,9.0,2.2,0.0,30.36,30.25,0.0
3/18/2024,66.6,56.0,46.6,51.3,46.4,42.1,87.0,71.0,51.0,10.5,2.2,0.0,30.27,30.16,0.0
3/19/2024,68.0,57.1,46.2,48.4,44.1,37.8,80.0,63.0,45.0,12.8,2.8,0.0,30.19,30.09,0.0
3/20/2024,66.6,57.0,48.7,48.7,43.2,40.3,73.0,61.0,42.0,15.9,3.3,0.0,30.18,30.05,0.01
3/21/2024,71.8,60.3,51.4,48.7,43.3,39.6,70.0,55.0,33.0,11.2,2.7,0.0,30.32,30.17,0.0
3/22/2024,74.3,61.0,49.3,46.2,40.6,32.9,73.0,49.0,24.0,8.5,2.4,0.0,30.32,30.19,0.0
3/23/2024,71.1,59.2,49.8,51.8,44.1,37.4,73.0,58.0,42.0,7.6,2.1,0.0,30.26,30.15,0.0
3/24/2024,68.0,57.3,46.9,47.7,42.2,36.7,79.0,59.0,35.0,8.5,1.8,0.0,30.18,29.88,0.0
3/25/2024,53.4,47.9,41.5,47.3,41.0,32.4,92.0,78.0,54.0,16.8,2.9,0.0,29.89,29.46,0.25
3/26/2024,45.5,38.2,32.0,32.7,26.7,21.0,92.0,64.0,40.0,15.7,4.4,0.0,29.52,29.43,0.04
3/27/2024,54.7,42.7,34.5,42.8,35.5,26.4,91.0,77.0,42.0,23.3,6.5,0.0,29.6,29.47,0.29
3/28/2024,50.7,44.7,39.6,45.1,37.7,27.0,92.0,77.0,52.0,25.7,7.7,0.0,29.71,29.53,0.64
3/29/2024,45.3,40.0,33.4,43.3,38.0,31.5,94.0,93.0,87.0,22.2,4.7,0.0,29.63,29.51,0.84
3/30/2024,43.5,37.5,32.9,38.5,35.1,30.9,94.0,91.0,74.0,19.0,5.7,0.0,29.62,29.45,0.96
3/31/2024,44.4,36.6,31.8,37.9,32.6,28.4,94.0,87.0,57.0,12.1,2.7,0.0,29.76,29.45,0.62
