Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,52.6,42.3,36.1,39.5,34.7,29.5,91.0,75.0,43.0,6.9,1.3,0.0,29.68,29.57,0.0
1/2/2024,47.4,41.9,36.3,46.9,39.5,33.1,98.0,91.0,77.0,4.7,0.5,0.0,29.69,29.59,0.0
1/3/2024,53.2,48.9,45.0,51.0,47.7,42.5,99.0,96.0,88.0,6.0,1.2,0.0,29.64,29.57,0.12
1/4/2024,48.2,44.1,38.3,47.1,42.2,36.6,98.0,93.0,85.0,5.4,0.7,0.0,29.62,29.34,0.08
1/5/2024,45.3,40.2,36.9,42.1,35.2,31.5,98.0,83.0,59.0,19.9,6.2,0.0,29.43,29.26,0.33
1/6/2024,46.7,39.2,33.4,34.2,31.9,29.8,87.0,75.0,57.0,16.8,4.0,0.0,29.66,29.43,0.05
1/7/2024,48.9,39.1,32.5,32.4,30.2,28.5,87.0,71.0,49.0,8.5,2.0,0.0,29.69,29.62,0.0
1/8/2024,48.4,37.2,27.5,34.7,30.4,25.5,93.0,78.0,44.0,6.0,0.8,0.0,29.66,29.55,0.0
1/9/2024,43.7,39.4,36.3,38.7,36.4,33.4,94.0,89.0,81.0,3.8,0.4,0.0,29.58,29.52,0.0
1/10/2024,46.7,40.2,37.4,42.0,38.4,35.7,99.0,93.0,66.0,13.6,2.1,0.0,29.59,29.52,0.15
1/11/2024,49.0,38.6,32.2,36.8,31.0,26.3,96.0,76.0,44.0,6.9,1.4,0.0,29.69,29.53,0.0
1/12/2024,46.3,36.0,27.8,32.8,28.1,24.0,88.0,74.0,50.0,5.4,1.0,0.0,29.76,29.67,0.0
1/13/2024,48.0,41.3,36.4,42.7,37.8,31.7,95.0,88.0,77.0,3.8,0.6,0.0,29.78,29.66,0.0
1/14/2024,48.7,44.4,42.0,45.0,41.9,37.2,98.0,91.0,74.0,8.3,0.8,0.0,29.68,29.55,0.12
1/15/2024,54.2,49.1,44.5,53.1,48.7,43.7,99.0,99.0,95.0,6.5,0.8,0.0,29.55,29.44,0.24
1/16/2024,55.0,51.2,48.7,54.3,49.4,44.7,99.0,94.0,73.0,10.7,1.5,0.0,29.49,29.3,0.06
1/17/2024,50.9,48.4,44.9,49.8,46.7,42.0,99.0,94.0,81.0,17.9,3.8,0.0,29.31,29.1,0.59
1/18/2024,58.9,49.0,44.6,51.1,46.6,43.8,99.0,92.0,71.0,10.1,1.3,0.0,29.38,29.26,0.01
1/19/2024,46.5,42.1,31.2,45.7,40.6,27.5,98.0,94.0,86.0,11.2,2.3,0.0,29.44,29.17,0.91
1/20/2024,54.3,38.9,29.2,39.3,33.2,27.9,96.0,82.0,44.0,9.4,1.4,0.0,29.89,29.43,0.0
1/21/2024,54.5,41.0,31.2,41.6,35.1,29.3,94.0,81.0,55.0,6.0,1.4,0.0,30.01,29.87,0.0
1/22/2024,60.5,48.1,37.3,49.7,42.3,33.5,91.0,81.0,61.0,11.0,2.0,0.0,30.09,29.99,0.0
1/23/2024,63.4,53.5,45.4,52.9,48.2,43.1,94.0,83.0,65.0,6.5,1.3,0.0,30.14,30.05,0.0
1/24/2024,71.1,55.6,46.1,54.5,44.2,36.5,83.0,66.0,47.0,7.4,1.5,0.0,30.15,30.07,0.0
1/25/2024,71.4,56.7,47.6,48.8,39.1,31.5,74.0,53.0,25.0,5.6,1.6,0.0,30.09,29.97,0.0
1/26/2024,74.4,57.7,49.6,51.2,41.2,31.9,68.0,55.0,37.0,4.7,1.3,0.0,30.01,29.93,0.0
1/27/2024,69.4,57.0,48.9,46.7,38.3,31.2,62.0,50.0,35.0,4.7,1.1,0.0,29.95,29.85,0.0
1/28/2024,66.6,54.0,44.8,46.1,41.5,38.1,78.0,63.0,43.0,4.7,1.1,0.0,29.88,29.82,0.0
1/29/2024,61.6,51.1,44.8,46.2,42.5,39.3,88.0,73.0,50.0,3.6,0.5,0.0,29.92,29.83,0.0
1/30/2024,61.1,47.2,38.4,49.9,42.7,36.7,96.0,85.0,64.0,5.4,0.8,0.0,29.98,29.89,0.0
1/31/2024,60.3,46.7,38.2,49.3,42.7,36.4,97.0,87.0,63.0,5.1,0.7,0.0,30.04,29.96,0.0
2/1/2024,66.7,52.1,43.4,43.7,37.7,33.0,81.0,59.0,37.0,6.9,1.8,0.0,30.06,29.97,0.0
2/2/2024,63.1,52.3,43.2,44.0,35.8,24.4,72.0,54.0,38.0,5.4,1.2,0.0,29.99,29.9,0.0
2/3/2024,63.0,50.6,42.1,40.6,36.7,29.9,83.0,61.0,35.0,6.5,1.4,0.0,29.98,29.92,0.0
2/4/2024,67.0,50.8,40.5,39.4,29.7,19.1,58.0,45.0,26.0,6.5,2.3,0.0,29.97,29.9,0.0
2/5/2024,63.8,49.9,40.9,41.3,30.3,21.7,72.0,48.0,24.0,5.8,1.6,0.0,29.93,29.82,0.0
2/6/2024,65.7,51.5,43.7,43.6,36.5,28.6,79.0,58.0,35.0,9.8,1.6,0.0,29.83,29.73,0.0
2/7/2024,54.1,45.0,36.5,47.0,38.8,31.1,97.0,80.0,61.0,7.4,1.4,0.0,29.78,29.62,0.0
2/8/2024,49.2,45.4,41.6,45.5,42.3,37.1,97.0,89.0,63.0,14.5,2.5,0.0,29.62,29.13,0.02
2/9/2024,48.6,45.7,41.9,48.1,45.1,41.1,99.0,98.0,96.0,9.2,1.9,0.0,29.14,28.74,0.45
2/10/2024,47.7,41.8,37.2,42.1,35.3,30.4,99.0,78.0,60.0,22.4,6.9,0.0,29.3,28.81,0.2
2/11/2024,48.3,39.4,36.3,39.6,34.4,29.8,97.0,83.0,67.0,13.4,2.5,0.0,29.4,29.28,0.08
2/12/2024,62.5,48.6,36.0,46.3,41.3,35.5,99.0,78.0,45.0,14.1,3.0,0.0,29.65,29.31,0.01
2/13/2024,65.1,53.6,46.4,55.2,48.7,42.3,94.0,84.0,69.0,5.6,0.9,0.0,29.79,29.61,0.0
2/14/2024,58.3,52.7,47.5,53.1,49.9,45.6,97.0,90.0,81.0,6.5,1.0,0.0,29.8,29.65,0.0
2/15/2024,59.6,53.2,47.9,52.7,49.3,44.0,98.0,87.0,70.0,15.2,2.5,0.0,29.66,29.49,0.12
2/16/2024,58.2,48.7,43.8,45.2,40.9,37.7,90.0,75.0,51.0,12.1,4.3,0.0,29.86,29.56,0.0
