Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,51.2,43.3,38.6,42.0,39.5,36.8,96.0,87.0,60.0,8.2,1.9,0.0,29.82,29.68,0.0
1/2/2024,48.2,43.1,37.2,44.4,39.4,34.1,90.0,87.0,78.0,5.5,1.0,0.0,29.82,29.72,0.0
1/3/2024,55.2,51.7,45.8,53.0,49.7,43.1,96.0,93.0,88.0,13.8,3.2,0.0,29.74,29.67,0.08
1/4/2024,52.8,50.8,49.1,50.7,49.1,46.7,96.0,94.0,89.0,10.0,2.4,0.0,29.73,29.44,0.22
1/5/2024,49.1,45.5,41.0,47.1,37.1,30.3,95.0,74.0,52.0,15.2,5.5,0.0,29.56,29.37,0.05
1/6/2024,49.2,42.8,37.9,34.7,31.6,28.9,80.0,65.0,49.0,14.5,4.2,0.0,29.76,29.55,0.0
1/7/2024,51.8,41.9,34.8,32.9,30.1,26.2,85.0,64.0,39.0,8.2,1.6,0.0,29.82,29.74,0.0
1/8/2024,45.5,38.8,30.0,33.0,29.1,26.2,87.0,69.0,50.0,5.5,0.9,0.0,29.78,29.68,0.0
1/9/2024,46.7,42.5,38.8,38.4,35.6,31.8,82.0,77.0,69.0,7.3,1.3,0.0,29.73,29.65,0.0
1/10/2024,44.9,42.9,39.9,42.4,39.9,37.4,94.0,89.0,80.0,15.2,4.2,0.0,29.74,29.65,0.06
1/11/2024,47.1,41.3,36.6,41.3,33.3,26.0,94.0,75.0,52.0,10.0,2.3,0.0,29.83,29.65,0.0
1/12/2024,46.4,37.8,30.3,35.2,29.6,25.3,83.0,72.0,62.0,7.8,1.9,0.0,29.91,29.81,2.57
1/13/2024,48.5,42.0,36.5,40.6,35.2,30.2,82.0,77.0,69.0,6.2,1.3,0.0,29.92,29.78,0.0
1/14/2024,51.4,45.8,41.7,46.7,41.3,38.1,91.0,84.0,74.0,9.8,1.7,0.0,29.8,29.66,0.0
1/15/2024,56.6,53.1,48.9,54.8,51.6,46.7,96.0,94.0,91.0,17.4,5.4,0.0,29.66,29.55,0.39
1/16/2024,60.0,55.9,52.5,54.6,51.2,42.4,95.0,85.0,58.0,16.5,3.6,0.0,29.6,29.42,0.02
1/17/2024,56.4,53.2,50.0,50.7,48.4,45.1,94.0,84.0,74.0,22.5,6.6,0.0,29.43,29.22,0.52
1/18/2024,57.5,52.6,49.8,51.0,49.0,45.6,95.0,88.0,75.0,16.5,5.9,0.0,29.48,29.39,0.05
