Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,47.4,40.4,33.8,41.1,36.9,31.2,92.0,88.0,77.0,4.4,0.1,0.0,30.24,30.12,0.0
1/2/2024,45.5,40.9,34.3,41.1,37.8,31.6,92.0,89.0,81.0,2.6,0.0,0.0,30.24,30.15,0.0
1/3/2024,54.3,49.1,43.3,51.2,46.8,41.1,93.0,92.0,89.0,5.5,0.2,0.0,30.18,30.09,0.14
1/4/2024,50.5,48.1,46.0,47.4,45.9,43.8,93.0,92.0,88.0,3.1,0.0,0.0,30.15,29.85,0.15
1/5/2024,48.7,44.0,38.8,44.4,37.6,31.4,93.0,79.0,55.0,10.0,0.9,0.0,29.97,29.79,0.09
1/6/2024,49.1,42.4,34.5,34.8,32.7,30.0,86.0,69.0,53.0,10.0,1.0,0.0,30.18,29.97,0.0
1/7/2024,50.5,39.9,30.5,34.1,30.4,26.0,88.0,70.0,48.0,10.2,1.2,0.0,30.24,30.15,0.0
1/8/2024,49.8,38.5,27.1,35.2,29.9,24.2,88.0,72.0,48.0,5.8,0.3,0.0,30.21,30.09,0.0
1/9/2024,44.4,41.0,38.3,38.3,35.8,32.5,88.0,82.0,76.0,3.1,0.1,0.0,30.15,30.09,0.0
1/10/2024,47.6,42.9,39.9,42.0,39.1,37.0,90.0,86.0,79.0,5.3,0.2,0.0,30.15,30.06,0.0
1/11/2024,47.1,39.1,31.4,38.6,31.7,27.1,92.0,76.0,52.0,7.8,0.7,0.0,30.27,30.06,0.01
1/12/2024,45.5,34.6,24.8,32.0,27.8,22.2,89.0,77.0,55.0,5.5,0.2,0.0,30.33,30.24,0.0
1/13/2024,50.9,38.8,28.4,41.5,33.7,26.0,90.0,83.0,56.0,4.9,0.1,0.0,30.33,30.21,0.0
1/14/2024,47.3,42.2,37.0,44.4,39.5,34.1,92.0,90.0,88.0,5.5,0.2,0.0,30.21,30.09,0.09
1/15/2024,55.9,49.0,43.3,53.0,46.8,41.1,93.0,92.0,89.0,5.5,0.2,0.0,30.09,29.97,0.22
1/16/2024,58.1,54.8,51.6,54.1,51.3,47.1,93.0,88.0,77.0,6.2,0.8,0.0,30.0,29.85,0.04
1/17/2024,54.8,52.2,49.8,49.4,48.1,46.2,92.0,86.0,76.0,11.6,2.1,0.0,29.85,29.65,0.37
1/18/2024,58.8,52.5,49.2,51.2,48.1,45.8,91.0,85.0,71.0,8.0,1.2,0.0,29.91,29.79,0.01
1/19/2024,51.0,43.6,38.1,48.3,40.2,32.3,92.0,88.0,78.0,14.9,4.1,0.0,29.97,29.71,1.02
1/20/2024,51.2,42.6,34.5,43.1,35.6,26.2,90.0,78.0,40.0,10.7,1.4,0.0,30.41,29.97,0.0
1/21/2024,53.6,44.0,34.5,42.2,38.3,31.8,91.0,81.0,61.0,6.7,0.3,0.0,30.56,30.44,0.0
1/22/2024,47.8,38.7,31.8,43.1,35.9,30.0,92.0,90.0,84.0,4.9,0.2,0.0,30.65,30.56,0.0
