Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,49.3,40.6,35.1,42.3,37.4,33.8,95.0,89.0,74.0,6.0,0.7,0.0,29.94,29.81,0.0
1/2/2024,44.2,40.8,36.1,42.3,39.2,34.7,99.0,94.0,86.0,4.5,0.4,0.0,29.95,29.84,0.0
1/3/2024,53.4,47.3,41.9,52.7,46.9,41.5,99.0,99.0,97.0,7.4,0.6,0.0,29.86,29.78,0.11
1/4/2024,50.2,47.2,44.6,48.9,46.6,44.2,99.0,98.0,91.0,3.8,0.4,0.0,29.85,29.55,0.16
1/5/2024,52.3,44.5,40.6,45.9,38.1,31.6,99.0,79.0,53.0,12.1,1.3,0.0,29.66,29.47,0.05
1/6/2024,48.6,42.6,36.5,35.4,32.9,29.3,84.0,69.0,53.0,13.2,2.3,0.0,29.87,29.66,0.0
1/7/2024,47.8,40.7,33.6,33.6,30.9,28.4,86.0,69.0,52.0,19.0,2.6,0.0,29.93,29.85,0.0
1/8/2024,48.0,38.7,28.9,34.7,30.5,25.7,89.0,73.0,50.0,8.5,1.0,0.0,29.89,29.79,0.0
1/9/2024,43.9,40.7,36.7,39.0,36.6,32.9,90.0,85.0,80.0,3.4,0.2,0.0,29.85,29.77,0.0
1/10/2024,47.3,42.5,39.2,42.4,39.9,37.6,98.0,91.0,74.0,5.6,1.0,0.0,29.83,29.75,0.0
1/11/2024,49.8,39.7,32.4,39.6,32.8,27.7,98.0,78.0,45.0,5.8,0.9,0.0,29.96,29.77,0.01
1/12/2024,49.1,35.8,28.0,32.7,28.5,24.4,88.0,76.0,47.0,6.0,1.1,0.0,30.03,29.94,0.0
1/13/2024,48.7,39.7,31.6,40.8,35.0,28.4,92.0,84.0,68.0,5.8,0.8,0.0,30.04,29.91,0.0
1/14/2024,45.9,41.9,38.1,45.1,40.8,36.3,99.0,96.0,91.0,6.5,0.6,0.0,29.92,29.78,0.07
1/15/2024,55.8,48.2,41.9,54.7,47.8,41.5,99.0,99.0,94.0,6.0,0.7,0.0,29.79,29.65,0.12
1/16/2024,56.8,54.4,50.7,54.9,52.5,47.1,99.0,94.0,76.0,9.6,2.9,0.0,29.7,29.54,0.05
1/17/2024,53.8,51.8,49.5,51.3,49.0,45.5,99.0,91.0,77.0,16.3,6.2,0.0,29.55,29.33,0.35
1/18/2024,59.2,52.0,48.6,51.6,48.9,46.4,98.0,89.0,73.0,13.4,3.7,0.0,29.6,29.47,0.0
1/19/2024,50.0,43.4,40.1,49.5,41.1,34.5,99.0,92.0,79.0,13.9,4.0,0.0,29.67,29.42,1.08
1/20/2024,54.1,42.8,34.0,42.8,36.4,26.6,96.0,80.0,37.0,11.6,1.3,0.0,30.13,29.66,0.0
1/21/2024,54.7,44.5,36.5,43.0,38.9,34.0,96.0,82.0,61.0,5.8,1.2,0.0,30.27,30.13,0.0
1/22/2024,47.7,39.4,33.1,43.9,37.9,32.2,98.0,94.0,85.0,4.0,0.5,0.0,30.34,30.25,0.0
1/23/2024,64.2,46.5,35.1,52.5,43.3,34.7,99.0,90.0,64.0,4.0,0.6,0.0,30.39,30.31,0.0
1/24/2024,71.1,51.9,41.0,52.7,45.4,38.7,97.0,80.0,49.0,5.8,1.6,0.0,30.39,30.3,0.01
1/25/2024,69.8,51.7,41.2,53.2,44.3,37.2,89.0,77.0,51.0,5.8,1.4,0.0,30.32,30.19,0.0
1/26/2024,76.1,54.1,41.0,50.0,43.1,38.1,90.0,70.0,34.0,4.9,0.9,0.0,30.24,30.14,0.0
