Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/10/2024,36.2,35.2,34.6,34.4,33.8,32.8,95.0,95.0,93.0,1.1,0.2,0.0,29.93,29.91,0.01
1/11/2024,47.7,36.4,28.9,35.4,29.8,24.7,96.0,78.0,48.0,4.0,0.5,0.0,30.09,29.92,0.0
1/12/2024,47.3,31.4,22.8,30.9,25.4,21.2,95.0,80.0,47.0,2.9,0.2,0.0,30.17,30.07,0.0
1/13/2024,48.9,37.1,25.8,38.6,32.6,24.5,96.0,84.0,63.0,3.1,0.0,0.0,30.19,30.06,0.0
1/14/2024,45.9,41.1,35.5,44.3,39.4,33.7,99.0,94.0,85.0,14.1,0.2,0.0,30.07,29.93,0.04
1/15/2024,59.8,47.2,40.7,55.0,46.4,40.2,99.0,97.0,82.0,1.8,0.0,0.0,29.94,29.82,0.0
1/16/2024,53.6,50.5,46.4,52.2,49.3,45.5,99.0,96.0,83.0,7.8,1.1,0.0,29.87,29.71,0.14
1/17/2024,52.2,48.1,46.4,48.8,46.6,43.9,99.0,95.0,84.0,12.1,3.2,0.0,29.73,29.5,0.99
1/18/2024,59.2,48.7,43.6,51.4,46.0,42.6,98.0,91.0,67.0,11.6,3.2,0.0,29.76,29.63,0.0
1/19/2024,46.8,40.8,35.7,46.3,39.7,34.1,98.0,96.0,88.0,14.5,4.7,0.0,29.83,29.57,1.03
1/20/2024,50.2,38.4,30.7,38.6,33.3,24.2,98.0,83.0,38.0,8.9,1.5,0.0,30.29,29.82,0.01
1/21/2024,52.3,41.3,33.3,41.9,36.9,31.8,96.0,85.0,63.0,5.1,0.9,0.0,30.41,30.28,0.0
1/22/2024,52.2,39.8,32.5,47.4,38.2,31.7,98.0,94.0,79.0,4.5,0.3,0.0,30.48,30.39,0.0
1/23/2024,62.1,47.4,36.7,51.8,44.6,35.9,99.0,91.0,68.0,4.5,0.6,0.0,30.54,30.46,0.0
1/24/2024,67.2,53.0,41.8,51.4,44.7,39.3,97.0,76.0,49.0,3.1,0.2,0.0,30.55,30.46,0.0
1/25/2024,67.2,53.2,42.9,49.9,43.1,37.3,92.0,70.0,48.0,3.6,0.1,0.0,30.49,30.35,0.0
1/26/2024,70.4,56.0,46.8,44.1,38.5,32.7,80.0,54.0,28.0,2.2,0.0,0.0,30.4,30.31,0.0
1/27/2024,68.8,54.3,45.9,43.6,37.0,31.8,71.0,53.0,34.0,2.5,0.0,0.0,30.33,30.23,0.0
1/28/2024,62.7,50.2,41.4,44.9,40.4,37.3,86.0,70.0,48.0,4.7,0.3,0.0,30.27,30.21,0.0
1/29/2024,61.4,49.8,41.1,44.4,41.0,38.1,93.0,73.0,51.0,6.0,0.2,0.0,30.3,30.22,0.0
1/30/2024,58.1,44.8,37.9,48.9,42.4,37.0,98.0,92.0,69.0,3.1,0.1,0.0,30.36,30.29,0.0
1/31/2024,54.1,43.6,39.2,46.9,41.9,38.7,98.0,94.0,73.0,3.1,0.0,0.0,30.43,30.35,0.0
